id,english,arabic,french,german,uri,description,image_uri_remote,vt,uatv
61411,delay,تَأْخِيرٌ,retard,Verzögerung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61411,مقدار الزمن الذي مضى على بدء إشارة كهربائيةمُهْلَةٌ (المرادف العربي),,False,True
61412,delete,مَحْو,effacer,löschen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61412,عملية حذف محرف أو فقرة أو نص أو ملف أو غير ذلك,,False,True
61413,deletion,حَذْفٌ,élimination,Löschung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61413,إسقاط برنامج من ذاكرة أو تسجيلة أو عدة تسجيلات من ملف,,False,True
61414,delimiter,مُحَدِّد,délimiteur,Begrenzungszeichen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61414,رمز يحدد مجموعة من المعطيات بحيث تصبح وحدة واحدة على ألا يكون ذلك الرمز من مكونات هذه المجموعة,,False,True
61415,density,كَثَافَة,densité,Dichte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61415,لفظ عام يطلق أيضا على  خاصية القرص من حيث عدد المعطيات التي يمكن تخزينها فيه,,False,True
61416,descending order,تَرْتِيبٌ تَنَازُلِيّ,ordre décroissant,absteigende Reihenfolge,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61416,ترتيب ينطلق من آخر حرف إلى أول حرف,,False,True
61417,descriptor,وَاصِف,descripteur,Deskriptor,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61417,في برنامج: القيمة التي تعرف موردا. في البرمجة الموجهة إلى المواضيع: يقابل برنامجا فرعيا,,False,True
61418,design,تَصَوُّر,conception,Design,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61418,المرحلة الأولى التي تحدد كيف ستضع الوسائل الحاسوبية  قيد التطبيق نظاما أو برمجيةتَصميم (المرادف العربي),,False,True
61419,desk,مَكْتَب,bureau,Schreibtisch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61419,مساحة عمل مرئية لوجيهات المستعمل الرسومية,,False,True
61420,destination terminal,مِطْرَافٌ مُسْتَقْبِل,terminal récepteur,Empfangsterminal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61420,المطراف الذي ترسل إليه المعطيات ويستقبلها,,False,True
61421,detachable disk,قُرْصٌ خَلُوع,disque amovible,Wechselfestplatte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61421,قرص صلب يمكن استبداله بسهولة وفكه من علبته مثل القريص ونقله مع المعطيات التي يتضمنها,,False,True
61422,detail file,مِلَفّ الْتفاصيل,fichier des mouvements,Detaildatei,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61422,ملفات تحتوي على معطيات مفصلة عن عمليات تمت خلال فترة مُعَيّنة واللازمة لتيويم ملف آخر,,False,True
61423,development,تَطْوِير,développement,Entwicklung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61423,عملية تحليل المشاكل ووضع وضبط البرامج لحلها,,False,True
61424,device,جِهَاز,dispositif,Gerät,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61424,تقال عن بعض المكونات مثل القرص أو الشريط أو غيره,,False,True
61425,device driver,قَائِدُ جِهَاز,pilote de périphérique,Gerätetreiber,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61425,برمجية ضرورية لتشغيل أي جهاز محيطي موصول فيزيائيا بالحاسوب، وتقوم بوظيفة وجيهة بين نظام التشغيل والمحيطي وتمكنهما من التواصل فيما بينهما,,False,True
61426,diagnostic,تَشْخِيص,diagnostique,Diagnose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61426,تحديد وكشف الأخطاء والعيوب في برامج وأجهزة الحاسوب,,False,True
61427,diagram,مِبْيَان,diagramme,Diagramm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61427,الرسم الذي يمكن من تمثيل الأرقام والجداول في شكل رسوم. المبيانات يمكنها أن تكون ممثلة ببعدين أو ثلاثة,,False,True
61428,dial pulse,نَبْضَةُ اتِّصُال هَاتِفِيّ,impulsion de numérotation,Wählimpuls,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61428,منوال ترقيم مستعمل من طرف الشركات الهاتفية لتشفير أرقام الهاتفنَبْضَةُ تَرْقِيم (المرادف العربي),,False,True
61430,dial-up,رَبْطٌ هَاتفِيّ,connexion en dial-up,,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61430,نوع من الارتباط المؤقت بشبكة الإنترنيت يتطلب موديما وخطا هاتفيا عاديا,,False,True
61431,dial-up network,شَبَكَةٌ تَبْدِيلِيَّة,réseau commuté,DFÜ-Netzwerk,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61431,شبكة تستعمل أجهزة تبديل أو تحويل لتوجيه ومراقبة الاتصالات,,False,True
61429,dialog,حِوَار,dialogue,Dialog,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61429,عملية تبادل المعلومات بين المستعمل والحاسوب أو بين مستعملين بواسطة الحاسوب,,False,True
61432,dichotomizing search,بَحْثٌ تَنصيفي,recherche dichotomique,dichotome Suche,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61432,بحث ينبني على التنصيف,,False,True
61433,dichotomy,تَنصيف,dichotomie,Dichotomie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61433,طريقة تهدف إلى تسريع البحث في ملف وذلك بالبحث في نصفه الأول وفي حالة الفشل يتم البحث في النصف الأول من النصف الثاني وهكذا إلى أن يتم الحصول على المعطاة المطلوبة,,False,True
61434,digit,رَقْم,chiffre,Ziffer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61434,رمز يستعمل في نظام ترقيم ما,,False,True
61435,digital,رَقْمي,numérique,digital,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61435,صفة تعني قابلا للتعداد في مقابل تناظري أو قياسي,,False,True
61436,digital cassette,سَفْطَةٌ رَقْمِيَّة,cassette numérique,Digitalkassette,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61436,أداة لتخزين المعلومات الرقمية,,False,True
61437,digital computer,حَاسُوبٌ رَقْمِيّ,ordinateur numérique,Digitalcomputer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61437,الحاسوب الذي يعالج مختلف المعلومات بعد تحويلها إلى أرقام يجري عليها مختلف العمليات الحسابية والمنطقية، ويقابله الحاسوب التناظري,,False,True
61438,digital signature,تَوْقَيعٌ رَقْمِيّ,signature digitale,digitale Signatur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61438,معطيات تضاف إلى الرسائل الإلكترونية لإثبات هوية مرسلها وسلامة محتوياتها خلال التبادل.  يستخدم المرسل دالة خاصة لتوليد رقم معين، يسمى التوقيع، بالاعتماد على محتويات الرسالة، ثم يشفّر التوقيع الناتج ويضيفه,,False,True
61439,digital sort,فَرْزٌ رَقْمِيّ,tri numérique,digitale Sortierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61439,عملية الفرز على أساس الأعداد من الصفر إلى التسعة أو العكسفَرْزٌ عَدَدِيّ (المرادف العربي),,False,True
61440,digital video disk (DVD),قُرْص فيديو رَقْمِيّ,vidéodisque numérique(DVD),digitale Videodisc (DVD),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61440,قرص يشبه القرص المدمج من حيث القطر لكن سعته أكبر بثماني مرات على الأقل، ويستعمل عادة لتسجيل الأفلام,,False,True
61441,digitize,رَوْقَمَة,digitaliser,digitalisieren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61441,تحويل معلومات تناظرية إلى معلومات رقمية بواسطة مفراس أو غيره,,False,True
61442,direct access,وُلُوج مُبَاشِر,accès direct,Direktzugriff,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61442,تقنية الولوج إلى ذاكرة مركزية أو خارجية كالقرص والتي تمكن من الوصول إلى تسجيلة مباشرَةً دون قراءة التسجيلات السابقة. وبهذا تكون سرعة الولوج هي نفسها بغض النظر عن مكان وجود التسجيلة,,False,True
61443,directory,مَصْنَفَة,répertoire,Verzeichnis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61443,تقسيم للقرص الصلب يسمح بتصنيف الملفات المخزنة إلى مجموعات فرعية مختلفة. تعتبر كل مصنفة جزءا من بنية المصنفات، ويمكن للمصنفة أن تقسم في حد ذاتها إلى مصنفات فرعية. ومنها تسميتها بشجرية المصنفات,,False,True
61444,directory structure,بِنْيَةٌ شَجَرِيَّة,structure en répertoires,Verzeichnisstruktur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61444,يتعلق الأمر بتنظيم المعطيات في القرص الصلب أو غيره في شكل شجرية,,False,True
61445,disabled,مُعَطَّل,désactivé,deaktiviert,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61445,في المعلوميات نستعمل هذه الصفة لوصف الوظائف التي توجد مؤقتا خارج الخدمة,,False,True
61446,disconnect,فَصْل,déconnecter,trennen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61446,قطع الربط بين حاسوبين أو نظامين,,False,True
61447,disk,قُرْص,disque,Datenträger,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61447,مصطلح عام يطلق على مختلف الذاكرات الخارجية على شكل قرص,,False,True
61448,disk buffer area,مِنْطَقَةُ قُرْصٍ وَسِيطَة,zone tampon disque,Datenträger-Pufferzone,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61448,يقوم نظام التشغيل بتكبير افتراضي لذاكرة العمل حيث يعمد إلى نقل البرامج التي لا يحتاجها مؤقتا إلى هذه المنطقة من القرص,,False,True
61449,disk directory,مَصْنَفَةُ قُرْص,répertoire d'un disque,Datenträgerverzeichnis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61449,منطقة في القرص الصلب تخلق وتسمى من طرف المستعمل,,False,True
61450,disk drive,قَارِئَةُ أَقْرَاص,lecteur de disques,Laufwerk,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61450,جهاز يكون داخل الحاسوب أو منفصلا عنه يُمكن من قراءة المعطيات المخزنة على الأقراص,,False,True
61451,disk formatting,شَوْكَلَة قُرْص,formatage de disque,Datenträgerformatierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61451,1- عملية إعداد القرص للاستعمال في الحاسوب وتقتضي حذف كل المعطيات التي يمكن أن يضمها. 2-عملية إعداد القرص لإعطائه شوكلا أي بنية، يمكن استعمالها من طرف الحاسوب,,False,True
61452,disk operating system ( DOS),نِظَام تَشْغِيلٍ عَلَى الْقُرْص,système d'exploitation sur disque( DOS),Disk Operating System (DOS),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61452,برمجية أساسية تقوم بوظيفة الوجيهة بين المستعمل ولغة الحاسوب، وظيفتها الأساسية ليست فقط تدبير الأقراص، بل تحدّد وتدبّر كل المحيطيات والقارئات، وكذا بنيات الآمرات، والملفات، والبرامج. كما تتكلّف بتوزيع الموارد وتدبير المكوّنات الداخلية للحاسوب,,False,True
61453,displacement,زَيْح,déplacement,Verschiebung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61453,أمر تحويل يمكن من زيح عنصر بالإشارة إلى موقعه الجديد بواسطة الفأرة,,False,True
61454,display,شَاشَة,affichage,Bildschirm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61454,تطلق على أداة الترئية وعلى عملية الترئية نفسهاتَرْئية (المرادف العربي),,False,True
61455,display board,لَوْحَةُ الْعَرْض,tableau d'affichage,Anzeigetafel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61455,لفظ عام يطلق على مختلف التجهيزات الإلكترونية التي تمكن من ترئية المعطيات في مختلف أشكالها,,False,True
61456,display device,جِهازُ عَرض,périphérique d'affichage,Anzeigegerät,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61456,تطلق على شاشة الحاسوب أو أية لوحة ترئية مرتبطة به,,False,True
61457,display driver,قَائِدُ الشَّاشَة,pilote d'affichage,Grafiktreiber,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61457,برمجية تسمح لنظام التشغيل باستعمال البطاقة الرسومية، هذه البرمجية إما أن تكون مدمجة في نظام التشغيل، أو من إنتاج صانع البطاقة الرسومية وتسلم معها,,False,True
61458,distributed data base,قَاعِدَةُ مُعْطَيَاتٍ مُوَزَّعَة,base de données réparties,verteilte Datenbank,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61458,قاعدة معطيات مشتركة بين عدة مستعملين سواء من حيث الإنشاء أو المساءلة,,False,True
61459,document,وَثِيقَة,document,Dokument,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61459,كل مجموعة من المعطيات الممكن تخزينها تسمى وثيقة. والوثيقة يمكن أن تضم معلومات نصية في شكل محارف أو مروقمة في شكل رسوم أو صور أو أصوات,,False,True
61460,document retrieval,اسْتِرْجَاع وَثَائق,recherche documentaire,Dokumentabruf,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61460,عملية البحث عن الوثائق في قاعدة معطيات أو مجموعة من قاعدات معطيات واستخراجها مرتبة في شكل قابل للاستغلال,,False,True
61461,document retrieval system,نِظَام اسْتِرْجَاع وَثَائق,système de recherche documentaire,Dokumentabrufsystem,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61461,نظام يمكن من البحث عن الوثائق في قاعدة معطيات أو مجموعة من قاعدات معطيات واستخراجها مرتبة في شكل قابل للاستغلال,,False,True
61462,documentation,تَوْثِيق,documentation,Dokumentation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61462,عملية إنشاء وتجميع وتنظيم وتخزين الوثائق أو المعلومات التي تتضمنها الوثائق، وكذلك مجموعة الوثائق الخاصة بموضوع أو مجال معينوَثَائِق (المرادف العربي),,False,True
61463,domain,مَجَال,domaine,Domäne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61463,مجمع الخدمات والمزودات المجمعة حسب معايير محددة، مثل : مستوى الولوج إلى الإنترنيت، والمواضيع، والبلاد، وغير ذلك,,False,True
61464,domain name server (DNS),خَادِمُ أسْمَاء الْمَجَالات,serveur de noms de domaine (DNS),Domain Name Server (DNS),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61464,بروتوكول يضمن التحويل بين أسماء الحواسيب  الموصولة بالإنترنيت وعناوين ( أرقام),,False,True
61465,domain name system (DNS),نِظَامُ أَسْمَاءِ الْمَجَالات,système de noms de domaine (DNS),Domain Name System (DNS),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61465,قاعدة معطيات تمكن من تحويل التعريف الألفبائي لحاسوب في الشبكة إلى تعريف رقمي وكذلك العكس,,False,True
61466,dongle,مِفْتَاح حماية,dongle,Dongle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61466,جهاز إلكتروني على شكل علبة صغيرة توضع فوق أحد المخارج خلف الحاسوب. هذا الجهاز مشفر ويسلم من جانب الاحتياط للحماية من القرصنة مع بعض البرمجيات الغالية الثمن,,False,True
61467,downloading,تَنـْزيل,téléchargement,Herunterladen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61467,عملية نقل ملفات (برمجيات، نصوص، صور ورسوم...) من حاسوب خادم  إلى حاسوب محلي,,False,True
61468,drag and drop,إِزْلاقٌ,glisser,Drag and Drop,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61468,وظيفة تمكن من نقل موضوع بواسطة الفأرة من مكان إلى آخرإسْقَاط (المرادف العربي),,False,True
61469,driver,قَائِد,pilote,Treiber,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61469,برمجية خاصة ببطاقة ما (بطاقة الصوت أو الشبكة مثلا) تمكن من تشغيل تلك البطاقة,,False,True
61470,drum scanner,مِفْرَاسٌ ذُو أُسْطُوَانَة,scanner à tambour,Trommelscanner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61470,يستعمل لجودته العالية خصوصا في ميدان المعالجة المهنية للصورة,,False,True
61471,duplicate,نَسْخ,copier,duplizieren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61471,عملية تهدف إلى الحصول على نسخة ثانية من معطيات أو ملف أو محتوى سناد تخزين,,False,True
61472,duplicate,نُسْخَة,copie,Duplikat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61472,صورة منقولة عن الأصل,,False,True
61473,duplication check,مُرَاقَبَةٌ بِالنَّسْخ,contrôle par duplication,Duplikatkontrolle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61473,تقنية تستعمل في مراقبة تراسل المعطيات وذلك بإرسالها مرتين,,False,True
61474,echo,صَدىً,écho,Echo,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61474,يستعمل كأبسط طريقة للكشف عن الأغلاط في أنظمة تراسل المعطيات حيث يقوم الجهاز المستقبل بإرجاع الرموز نفسها التي توصل بها إلى الجهاز المرسل,,False,True
61475,edition,نَشْر,édition,Edition,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61475,مجموعة وظائف توفرها مختلف أنظمة معالجة النصوص وغيرها تمكن من القيام بعمليات من قبيل اللصق والقطع والحذف والتعويض وغير ذلك,,False,True
61476,editor,نَاشِر,éditeur,Editor,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61476,برمجية تمكن من إدخال البرامج إلى الحاسوب بإحدى لغات البرمجة وتصحيحه من الناحية التركيبية,,False,True
61477,efficiency,فَعَّالِيَّة,efficacité,Effizienz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61477,نسبة ساعات تشغيل الحاسوب الحقيقية إلى ساعات تشغيله المفترضة,,False,True
61478,eight-bit byte,بَايْت,octet,Oktett,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61478,سلسلة من ثمانية بتات تمثل وحدة واحدة,,False,True
61479,eject,قَذْف,éjecter,auswerfen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61479,عملية إخراج القريص أو القرص المدمج من مكانه في الحاسوب,,False,True
61480,elapsed time,مُدّة مُنْقََضِيَة,temps écoulé,verstrichene Zeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61480,المدة الزمنية الفاصلة بين بداية القيام بعملية ما ونهايتها,,False,True
61481,electronic bulletin board,خِدمَة البَرِيد الإلِكترونِيّ,messagerie électronique,Forum,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61481,خدمة تمكن من تبادل البريد والرسائل بين مستعملي الشبكة. وتطلق أيضا على الرسائل نفسها,,False,True
61482,electronic data interchange (EDI),تَبَادُلُ مُعْطَيَاتٍ إلِكْترونيّة,échange de données électroniques,elektronischer Datenaustausch (EDI),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61482,معيار تبادل المعطيات الإلكترونية، وبالأخص المعطيات التي تقدم على شكل وثائق، وقد أنشأته الإيزو,,False,True
61483,electronic dictionary,قَامُوس إلِكْترونِيّ,dictionnaire électronique,elektronisches Wörterbuch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61483,ملف يضم قاموسا يسمح بالتصحيح الآلي للوثائق. ويستعمل هذا القاموس من طرف برنامج التصحيح الإملائي الذي يراقب وجود كل كلمة في الوثيقة المراد تصحيحها بالرجوع إلى القاموس,,False,True
61484,electronic filing,تَرْبِيدٌ إلِكْترونِيّ,archivage sur ordinateur,elektronische Übermittlung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61484,تخزين فوق سناد إلكتروني ( قرص ضوئي، قرص مدمج، إلخ) لوثيقة مرقمة مسبقاأَرْشَفَة إلِكتْرونيَّة (المرادف العربي),,False,True
61485,"electronic mail (e-mail, email)",بَرِيدٌ إلِكْتْرُوني,message électronique,E-Mail,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61485,مجموعة الرسيلات المرسلة عن طريق شبكة محلية داخلية أو عالمية، مثل الإنترنيت,,False,True
61486,emitter,بَاثّ,émetteur,Sender,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61486,مصطلح عام يشير إلى بنية قادرة على إرسال إشارات (أصوات، صور، رسوم، نصوص) إلى بنية أخرى قادرة على استقبالها,,False,True
61487,empty value,قِيمَةٌ فَارِغَة,valeur vide,leerer Wert,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61487,عندما تكون قيمة متغير ما تساوي الصفر,,False,True
61488,emulation,تَمثيل,émulation,Emulation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61488,خاصية برنامج أو عتاد تحرص على أن يكون اشتغال نظام ما مماثلا لاشتغال نظام آخر,,False,True
61489,encode,أَشْفَرَ,encoder,enkodieren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61489,وضع شفرة لمعلومة ما قبل نشرها على الشبكة بواسطة حاسوب,,False,True
61490,encryption,تَشْفِير,cryptage,Verschlüsselung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61490,يمنع من الاطلاع على معلومات من طرف أشخاص غير مسموح لهم بذلك,,False,True
61491,end of file (EOF),نِهاَيَةُ مِلَفّ,fin de fichier,Dateiende (EOF),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61491,محرف تحكُّم يشير إلى نهاية ملف,,False,True
61492,end of text (ETX),نِهَايَةُ نَصّ,fin de texte,Textende (ETX),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61492,محرف تحكُّم يشير إلى نهاية نص,,False,True
61493,end of transmission (EOT),نِهَايَة الإِرْسَال,fin de transmission,Ende der Übertragung (EOT),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61493,محرف تحكُّم يشير إلى نهاية الإرسال,,False,True
61494,end page,صَفْحَةُ الْنهَايَة,page de garde,Endseite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61494,صفحة الشاشة التي توجد فيها معلومات عن الوثيقة وإرشادات التصفح والاستعمال,,False,True
61495,end user,مُسْتَعْمِلٌ نِهَائِي,utilisateur final,Endbenutzer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61495,الشخص أو الجهة التي تستعمل نظاما ما بهدف استغلاله مباشرة، وليس بهدف تطويره أو تجربته,,False,True
61496,entry,دَخْلَة,entrée,Eingabe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61496,يشير إلى ما يتم إدخاله إلى الحاسوب وكذا إلى عملية الإدخالإِدْخَال (المرادف العربي),,False,True
61497,environment,بيئة,environnement,Umgebung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61497,يشير عادة إلى نوع الجهاز أو النظام أو البنية التي يتم الاشتغال فيها,,False,True
61498,equipment compatibility,تَلاؤُم التَّجْهِيزَات,compatibilité d'équipement,Hardware-Kompatibilität,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61498,خاصية تمكن من استعمال مختلف مكونات الحاسوب من عتاد وبرمجيات مجتمعة بكيفية سليمة وإن لم تكن من إنتاج الصانع والمطور نفسهما,,False,True
61499,ergonomics,شُغْلِيَّات,ergonomie,Ergonomie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61499,دراسة ظروف العمل والعلاقة بين الإنسان والآلة والمحيط,,False,True
61500,error,غَلَط,erreur,Fehler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61500,يشير عادة إلى كل أنواع الأخطاء والمشاكل التي تحول دون الاشتغال الطبيعي لنظام أو جهاز أو برمجية,,False,True
61501,error detection,كَشْفُ الأغْلاط,détection d'erreurs,Fehlererkennung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61501,عملية الكشف عن الأغلاط بواسطة تقنيات معروفة أبسطها الصدى والمراقبة الشفعية,,False,True
61502,error diagnostic,تَشْخِيصُ الأغْلاط,diagnostic d'erreurs,Fehlersuche,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61502,عملية البحث عن الأغلاط في برمجية أو نظام تشغيل أو شبكة بهدف تصحيحها,,False,True
61503,error message,رَسِيلَة غَلَط,message d'erreur,Fehlermeldung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61503,إشارة أو سلسلة محارف يبعثها نظام أو برمجية عندما يقع غلط في التنفيذ,,False,True
61504,escape (ESC),انْفِلات,échappement,Escape (ESC),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61504,محرف مراقبة يستعمل عادة لإلغاء تنفيذ برنامج أو وظيفة,,False,True
61507,evolutionary,تَطَوُّرِيّ,évolutif,evolutionär,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61507,تقال عن جهاز أو نظام يمكن تحسين أدائه بإضافة مكونات جديدة إليه,,False,True
61508,exchange,تَبَادُل,échange,Austausch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61508,تنقيل أحادي الجانب أو متعدد الجوانب لمعطيات حاسوب بين المكونات أو الأجهزة أو الأنظمة,,False,True
61509,executable,قَابِلٌ للتَّنْفِيذ,exécutable,ausführbar,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61509,صيغة البرنامج التي يمكن تنفيذها في الحاسوب,,False,True
61510,execute,نَفَّذَ,exécuter,ausführen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61510,تقال عن تطبيق برنامج أو وظيفة حاسوبية على معطيات للوصول إلى نتائج,,False,True
61511,execute time,مُدَّة التَّنْفِيذ,durée d'exécution,Ausführungszeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61511,هي الفترة التي يكون أثنائها البرنامج نشيطا، أي يقوم بتنفيذ التعليمات المُرسلة إليه,,False,True
61512,exit,خُرُوج,sortie,Beenden,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61512,آمرة تستعمل في غالب أنظمة التشغيل لإنهاء تنفيذ برنامج تطبيق,,False,True
