term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sl,zh
807-03-07,compact disc interactive system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-07,نظام تفاعلي مع القرص المدمج,"interaktives Compact-Disc-System, nCD-I, Abkürzung",compact disc interactive systemCD-I  (abbreviation),CD-I (abreviatura)sistema interactivo sobre disco compacto,"système interactif à disque compact, mCD-I  (abréviation) m",sistema interattivo a compact disc CD-I,CDインタアクテブ（略語）,컴팩 디스크 대화형 시스템시디-아이,system płyt kompaktowych interaktywnych CD-I (akronim),sistema interactivo de disco compactoCD-I (abreviatura),interaktivni sistem na kompaktni ploščiCD-I,交互激光唱片系统CD-I
807-03-08,compact disc video system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-08,نظام مرئي ذو قرص مدمج,"Compact-Disc-Video-System, nCD-V, Abkürzung",compact disc video systemCD-V  (abbreviation),CD-V (abreviatura)sistema de video sobre disco compacto,"système vidéo à disque compact, mCD-V  (abréviation) m",sistema video a compact disc CD-V,CDビデオコンパクトデスクビデオ方式（略語）,컴팩 디스크 비디오 시스템,system płyt kompaktowych wizyjnych CD-V (akronim),sistema de disco compacto vídeoCD-V (abreviatura),video sistem na kompaktni ploščiCD-V,图像激光唱片系统CD-V
807-03-09,CD plus graphics system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-09,نظام اضافة الرسومات التصويرية للقرص المدمج,"CD-plus-Grafiken-System, n",CD plus graphics system,sistema CD más gráficos,"système CD plus graphismes, m",sistema a compact disc più grafica,CDプラスグラフィック方式,시디 플러스 그래픽 시스템,system CD z grafiką,sistema CD mais grafismos,grafični sistem CD plus,图文激光唱片系统
807-03-10,constant angular velocity system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-10,نظام السرعة الزاوية الثابتة,"System konstanter Winkelgeschwindigkeit, nCAV-System, Abkürzung",constant angular velocity systemCAV system  (abbreviation),CAV (abreviatura)sistema de velocidad angular constante,"système à vitesse angulaire constante, mVAC (abréviation) m",sistema a velocità angolare costante,"等角速度方式CAV方式, （略語）",등각속도 시스템시에이브이 시스템,system o stałej prędkości kątowej CAV (akronim),sistema de velocidade angular constanteVAC (abreviatura),sistem s konstantno kotno hitrostjosistem CAV,恒定角速度系统CAV系统
807-03-11,constant linear velocity system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-11,نظام السرعة الخطية الثابتة,"System konstanter Geschwindigkeit, nCLV-System, Abkürzung",constant linear velocity systemCLV system  (abbreviation),CLV (abreviatura)sistema de velocidad lineal constante,"système à vitesse linéaire constante, mVLC  (abréviation) m",sistema a velocità lineare costante,"等線速度方式CLV方式, （略語）",등선속도 시스템일정 선속도 시스템시엘브이 시스템,system o stałej prędkości liniowej CLV (akronim),sistema de velocidade linear constanteVLC (abreviatura),sistem s konstantno linearno hitrostjosistem CLV,恒定线速度系统CLV系统
807-03-12,radial differential signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-12,اشارة تفاضلية نصف قطرية,"radiales Fehlersignal, nRD, Abkürzung",radial differential signalRD (abbreviation),DR (abreviatura)señal diferencial radial,"signal radial différentiel, mDR (abréviation) m",segnale differenziale radiale,"角度差分信号RD, （略語）",방사상 차동신호각도 차동신호,sygnał różnicowy promieniowy RD (akronim),sinal radial diferencialDR (abreviatura),diferencialni radialni signalRD,径向差动信号RD信号
807-03-13,radial offset (in a CD system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-13,إزاحة نصف قطرية ( في نظام القرص المدمج),"Radialversatz (in einem CD-System), m",radial offset (in a CD system),desviación radial (en un sistema CD),décalage radial (sur un CD) m,offset radiale,"半径方向偏差, <CDシステムの>","방사상 편차, 시디 시스템",przesunięcie promieniowe (w systemie CD),desvio radial (num CD),radialni odmik pri sistemu CD,"径向偏移, <CD系统中>"
807-03-14,subcode (in CD and DAT systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-14,ترميز فرعي (في انظمة الأقراص المدمجة والأشرطةالرقمية  السمعية),"Subcode (in CD- und DAT-Systemen), m",subcode (in CD and DAT systems),subcódigo (en sistemas CD o DAT),sous-code (dans les systèmes CD ou DAT) m,subcodice,"サブコード, <CDまたはDATシステムの>","서브코드, <시디 디지털오디오테이프 시스템>",subkod (w systemach CD i DAT),sub-código (nos sistemas CD ou DAT),podkoda pri sistemih CD in DAT,"子码, <在CD和DAT系统中>"
807-03-15,P channel (in CD system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-15,القناة P (في نظام القرص المدمج),"Kanal P (im CD-System), m",P channel (in CD system),canal P (en sistemas CD),voie P (sur un CD) f,canale P,"Pチャネル, <CDシステムの>","피 채널, 시디 시스템",kanał P (w systemie CD),canal P (num CD),kanal P pri sistemu CD,"P通道, <CD系统中>"
807-03-16,Q channel (in CD system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-16,القناة Q (في نظام القرص المدمج),"Kanal Q (im CD-System), m",Q channel (in CD system),canal Q (en sistemas CD),voie Q (sur un CD) f,canale Q,"Qチャネル, <CDシステムの>","큐 채널, 시디 시스템",kanał Q (w systemie CD),canal Q (num CD),kanal Q pri sistemu CD,"Q通道, <CD系统中>"
807-03-17,absolute disk address,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-17,العنوان المطلق للقرص,"absolute Adresse, f",absolute disk address,dirección absoluta del disco,"adresse absolue sur le disque, f",indirizzo assoluto sul disco,絶対デスク番地,절대 디스크 주소,adres absolutny płyty,endereço absoluto no disco,absolutni naslov na plošči,光盘绝对地址
807-03-18,absolute sector address,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-18,العنوان المطلق للقطاع,"absolute Sektoradresse, f",absolute sector address,dirección absoluta del sector,"adresse absolue du secteur, f",indirizzo assoluto del settore,絶対セクタ番地,절대 섹터 주소,adres absolutny sektora,endereço absoluto do sector,absolutni naslov sektorja,扇区绝对地址
807-03-19,album descriptor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-19,واصف ألبوم,"Album-Kennzeichnung, f",album descriptor,descriptor de álbum,"descripteur d'album, m",descrittore dell'album,アルバムデスクリプタ,앨범 기술어앨범 디스크립터,opis albumu,descritor de álbum,pregled albuma,唱片集说明
807-03-20,user bits,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-20,أرقام ثنائية للمستخدم,"Nutzerbits, n, pl",user bits,bits del usuario,"bits utilisateur, m pl",bit utente,使用者用ビット,사용자 비트,bity użytkownika,bits de utilizador,uporabnikovi biti,用户比特
807-03-21,merging bits,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-21,أرقام ثنائية للدمج,"Koppelbits, n, pl",merging bits,bits de unión,"bits de remplissage, m pl",bit di riempimento,差込みビット,삽입 비트합동 비트,bity łączące,bits de enchimento,povezovalni biti,连接比特
807-03-22,auxiliary data field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-22,مجال بيانات اضافي,"Zusatzdatenfeld, n",auxiliary data field,zona de datos auxiliares,"zone de données auxiliaires, f",campo di dati ausiliari,補助データ領域,보조 데이터 필드보조 데이터 영역,pole danych pomocniczych,zona de dados auxiliares,pomožno podatkovno polje,辅助数据区
807-04-01,digital audio tape recording system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-04-01,نظام تسجيل سمعي رقمي للاشرطة,"digitales Tonband-Aufzeichnungssystem, n",digital audio tape recording system,sistema de grabación digital de audio sobre cinta,"système à bande audionumérique, m",sistema di registrazione digitale audio su nastro,デジタルオーデオテープ記録方式,디지털 오디오 테이프 기록 시스템디지털 오디오 테이프 녹음 시스템,system rejestracji cyfrowej fonicznej na taśmach,sistema digital de fita áudio,sistem za digitalno avdio zapisovanje-snemanje na trak,数字磁带录音系统
807-04-02,DAT system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-04-02,نظام  الأشرطة السمعية الرقمية (DAT),"DAT-System, nDAT, Abkürzung",DAT systemDAT (abbreviation),DAT (abreviatura)sistema DAT,"système DAT, mDAT (abréviation) m",sistema DAT,"DAT方式DAT, （略語）",디에이티 시스템디지털 오디오 테이프 시스템,system DAT DAT (akronim),sistema DATDAT (abreviatura),sistem DATDAT,数字磁带录音系统DAT系统
807-04-03,S-DAT,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-04-03,إشارة الأشرطة السمعية الرقمية (S-DAT),"S-DAT, Abkürzung",S-DAT,S-DAT,S-DAT (abréviation) m,sistema S-DAT,S-DAT,고정헤드식 디지털오디오테이프에스디에이티,system rejestracji cyfrowej głowicami stałymi S-DAT (akronim),S-DAT,S-DAT,固定磁头数字磁带录音系统S-DAT系统
807-04-04,digital audio stationary heads system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-04-04,نظام سمعي رقمي ذو رؤوس ثابتة,"digitales Tonband-Aufzeichnungssystem mit stationären Köpfen, n",digital audio stationary heads system,sistema de grabación digital de audio con cabezas fijas,"système d'enregistrement audionumérique à têtes fixes, m",sistema di registrazione audiodigitale a testine fisse,固定ヘッドデジタルオーデオ方式,고정헤드식 디지털오디오 시스템,system cyfrowy foniczny z głowicami stałymi,sistema digital áudio de cabeças fixas,digitalni avdio sistem z mirujočimi glavami,数字音频固定磁头系统
807-04-05,digital video tape recording system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-04-05,نظام تسجيل رقمي للشريط المرئي,"digitales Videoband-Aufzeichnungssystem, nDVTR, Abkürzung",digital video tape recording systemDVTR  (abbreviation),DVTR (abreviatura)sistema de grabación digital de video sobre cinta,"système vidéonumérique sur bande, mDVTR (abréviation) m",sistema video digitale su nastro DVTR,"デジタルビデオテープ記録方式DVTR, （略語）",디지털 비디오 테이프 기록 시스템,system rejestracji cyfrowej wizyjnej na taśmach DVTR (akronim),sistema digital vídeo em fitaDVTR (abreviatura),sistem za digitalno video zapisovanje-snemanje na trakDVTR,数字磁带录像系统DVTR系统
807-04-06,overwrite (in digital audio and video),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-04-06,تسجيل تراكبي (في الرقمية السمعية والمرئية),"Überschreiben (bei digitaler Audio- und Video-Aufzeichnung), n",overwrite (in digital audio and video),sobregrabación (en grabación digital de audio y video),enregistrement à saturation (en enregistrement numérique magnétique) m,sovrascrittura,"重ね書き, <デジタルオーデオとビデオで>","겹쳐쓰기, 디지털 오디오 비디오오버라이트, 디지털 오디오 비디오",nadpisywanie (w cyfrowej fonii i wizji),sobregravação (em gravação digital áudio e vídeo),presnemavanje digitalnih avdio in video zapisov-posnetkov,"重写, <数字音频、视频中>改写"
807-04-07,reference recording current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-04-07,تيار تسجيل مرجعي,"Bezugs-Aufzeichnungsstromstärke, fBezugs-Aufzeichnungsstrom, m",reference recording current,,"courant d'enregistrement de référence, m",corrente di registrazione di riferimento,基準記録電流,기준 기록 전류,prąd odniesienia zapisywania,corrente de gravação de referência,referenčni zapisovalni-snemalni tok,基准记录电流
