term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
441-14-20,circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-20,قاطع دارة,"Leitungsschutzschalter, mLeistungsschalter, m",circuit-breaker,interruptor automático (mecánico),katkaisija,"disjoncteur, m",interruttore,遮断器,차단기,таслуур,effektbrytar,wyłącznik,disjuntor,"прекидач, м јд",effektbrytare,断路器
441-14-21,current-limiting circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-21,قاطع دارة محد للتيار,"strombegrenzender Leistungsschalter, m",current-limiting circuit-breaker,interruptor automático limitador de corriente,virtaarajoittava katkaisija,"disjoncteur limiteur de courant, m",interruttore limitatore di corrente,限流遮断器,한류 차단기,гүйдэл хязгаарладаг таслуур,straumavgrensande effektbrytar,wyłącznik ograniczający,disjuntor limitador de corrente,"прекидач осигурач, м јд",strömbegränsande effektbrytare,限流断路器
441-14-22,integrally fused circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-22,قاطع دارة متكامل بالمصهر,"Leistungsschalter mit integrierten Sicherungen, m",integrally fused circuit-breaker,interruptor automático con fusibles incorporados,varokekatkaisija,"disjoncteur à fusibles incorporés, m",interruttore con fusibili incorporati,ヒューズ一体型遮断器,퓨즈 내장형 차단기,хайламтгай гал хамгаалагчтай таслуур,effektbrytar med innebygde sikringar,wyłącznik dobezpieczony,disjuntor com fusíveis incorporados,"прекидач са осигурачима, м јд",effektbrytare med inbyggda säkringar,带熔断器的断路器
441-14-23,circuit-breaker with lock-out preventing closing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-23,قاطع دارة ذو قفل لمنع الغلق,"Leistungsschalter mit Einschaltsperre, m",circuit-breaker with lock-out preventing closing,interruptor automático con cierre impedido,sulkeutumisen estolaitteella varustettu katkaisija,"disjoncteur à fermeture empêchée, m",interruttore a chiusura impedita,ロックアウト防止機構付き遮断器,투입 방지 잠김 차단기,таслах үйлдлийн хоригтой таслуур,effektbrytar med innkoplingssperre,wyłącznik o zamykaniu blokowanym,disjuntor com fecho impedido,"прекидач са запречним затварањем, м јд",effektbrytare med frånslagsprioritering,带合闸闭锁的断路器
441-14-24,moulded-case circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-24,قاطع تيار من النوع المقولب,"kompakter Leistungsschalter, m",moulded-case circuit-breaker,interruptor automático de estuche moldeado,kompaktikatkaisija,"disjoncteur en boîtier moulé, m",interruttore scatolato,配線用遮断器,몰드 차단기,цутгамал хайрцагтай таслуур,kompakt effektbrytar,wyłącznik kompaktowy,disjuntor com caixa moldada,"прекидач у изолационом кућишту, м јд",isolerkapslad effektbrytare,塑料外壳式断路器
441-14-25,dead tank circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-25,قاطع دارة ذو خزان غير مكهرب,"Kesselleistungsschalter, mKesselschalter, m",dead tank circuit-breaker,interruptor automático con cuba a tierra,maadoitetussa säiliössä oleva katkaisija,"disjoncteur à cuve mise à la terre, m",interruttore con involucro a terra,デッドタンク遮断器,데드 탱크 차단기,газардуулсан савтай таслуур,effektbrytar med jorda tank,wyłącznik z kadzią uziemioną,disjuntor com cuba conectada à terradisjuntor com cuba ligada à terra,"прекидач са уземљеном посудом, м јд",effektbrytare med jordad tank,落地罐式断路器
441-14-26,live tank circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-26,قاطع دارة ذو خزان مكهرب,"Schaltkammerleistungsschalter, mSchaltkammerschalter, m",live tank circuit-breaker,interruptor automático con cuba activa,maasta eristetyssä säiliössä oleva katkaisija,"disjoncteur à cuve sous tension, m",interruttore con involucro in tensione,ライブタンク遮断器,라이브 탱크 차단기,хүчдэл бүхий бактай таслуур,effektbrytar med tank isolert fra jord,wyłącznik z kadzią izolowaną,disjuntor com cuba em tensão,"прекидач са посудом под напоном, м јд",effektbrytare med spänningsförande,柱式断路器
441-14-27,air circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-27,قاطع دارة هوائى,"Luftleistungsschalter, mLuftschalter, m",air circuit-breaker,interruptor automático en aire,ilmakatkaisija,"disjoncteur à air, m",interruttore ad aria,低圧気中遮断器,공기 차단기,агаарын таслуур,lufteffektbrytar,wyłącznik powietrzny,disjuntor de ar,"ваздушни прекидач, м јд",luftbrytare,空气断路器
441-14-28,oil circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-28,قاطع دارة زيتى,"Ölleistungsschalter, mÖlschalter, m",oil circuit-breaker,interruptor automático en aceite,öljykatkaisija,"disjoncteur à huile, m",interruttore ad olio,油遮断器,유입 차단기,тосон таслуур,oljeeffektbrytar,wyłącznik olejowy,disjuntor de óleo,"уљни прекидач, м јд",oljebrytare,油断路器
441-14-29,vacuum circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-29,قاطع دارة فراغى,"Vakuumleistungsschalter, mVakuumschalter, m",vacuum circuit-breaker,interruptor automático de vacío,tyhjiökatkaisija,"disjoncteur à vide, m",interruttore a vuoto,真空遮断器,진공 차단기,вакуум таслуур,vakuumeffektbrytar,wyłącznik próżniowy,disjuntor de vácuo,"вакуумски прекидач, м јд",vakuumbrytare,真空断路器
441-14-30,gas-blast circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-30,قاطع دارة باندفاع الغاز,"Druckgasleistungsschalter, mDruckgasschalter, m",gas-blast circuit-breaker,interruptor automático de gas comprimido,painekaasukatkaisija,"disjoncteur à gaz comprimé, m",interruttore a gas compresso,ガス遮断器,가스입 차단기,хийн тэсрэлттэй таслуур,trykkgasseffektbrytar,wyłącznik z gazem sprężonym,disjuntor de gás comprimido,"гасни прекидач, м јд",tryckgasbrytare,气吹断路器
441-14-31,sulphur hexafluoride circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-31,قاطع دارة بغاز سادس فلوريد الكبريت,"Schwefelhexafluorid-Leistungsschalter, mSF6 -Leistungsschalter, m",sulphur hexafluoride circuit-breakerSF6 circuit-breaker,interruptor automático de hexafluoruro de azufreinterruptor automático de SF6,SF6-katkaisija,"disjoncteur à hexafluorure de soufre, mdisjoncteur à SF6, m",interruttore ad esafluoruro di zolfo,六フッ化硫黄遮断器,육불화 황 차단기,хийн таслуур,SF6-effektbrytar,wyłącznik z sześciofluorkiem siarkiwyłącznik z SF6,disjuntor de hexafluoreto de enxofredisjuntor de SF6,"SF6-прекидач, м јд",SF6-brytare,六氟化硫断路器
441-14-32,air-blast circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-32,قاطع دارة باندفاع الهواء,"Druckluftleistungsschalter, mDruckluftschalter, m",air-blast circuit-breaker,interruptor automático de aire comprimido,paineilmakatkaisija,"disjoncteur à air comprimé, m",interruttore ad aria compressa,空気遮断器,공기 차단기,агаарын тэсрэлттэй таслуур,trykklufteffektbrytar,wyłącznik pneumatyczny,disjuntor de ar comprimido,"пнеуматски прекидач, м јд",tryckluftsbrytare,压缩空气断路器
441-14-33,mechanical contactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-33,مفتاح تلامس (ميكانيكى),"Schütz, n",mechanical contactor,contactor (mecánico),kontaktori,"contacteur mécanique, m",contattore (meccanico),（機械式）接触器機械式接触器,기계식 접점,механик контактор,kontaktor,stycznik,contactor (mecânico),"контактор, <механички> м јд",kontaktor,"接触器, <机械的>"
441-14-34,latched contactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-34,مفتاح تلامس بسقاطة,"verklinktes Schütz, n",latched contactor,contactor con retencióncontactor de pestillo,salpakontaktori,"contacteur à accrochage, m",contattore con agganci,ラッチ式接触器,래치형 접점,тээглүүртэй контактор,kontaktor med utkoplingssperre,stycznik zapadkowy,contactor de retenção,"контактор са запором, м јд",kontaktor med tillägesspärr,锁扣接触器
441-14-35,contactor relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-35,متمم تلامس,"Hilfsschütz, n",contactor relay,contactor auxiliar,apukontaktori,"contacteur auxiliaire, m",contattore ausiliario,継電器,접점 계전기,контактор реле,"kontaktorrelé, hjelpekontaktor",stycznik pomocniczy,contactor auxiliar,"помоћни контактор, м јд",reläkontaktor,继电式接触器
441-14-36,instantaneous contactor relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-36,متمم تلامس لحظى,"unverzögertes Hilfsschütz, n",instantaneous contactor relay,contactor auxiliar instantáneo,hidastamaton apukontaktori,"contacteur auxiliaire instantané, m",contattore ausiliario istantaneo,無遅延継電器,순시 접점 계전기,эгшин зуурын контактор реле,momentant kontaktorrelé,stycznik pomocniczy bezzwłoczny,contactor auxiliar instantâneo,"тренутни помоћни контактор, м јд",momentan reläkontaktor,瞬时继电式接触器
441-14-37,time-delay contactor relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-37,متمم تلامس بزمن متأخر,"verzögertes Hilfsschütz, n",time-delay contactor relay,contactor auxiliar temporizado,hidastettu apukontaktori,"contacteur auxiliaire temporisé, m",contattore ausiliario temporizzato,遅延継電器,시간 지연 접점 계전기,хугацааны барилттай контактор реле,forseinka kontaktorrelé,stycznik pomocniczy zwłoczny,contactor auxiliar temporizado,"помоћни контактор са кашњењем, м јд",fördröjd reläkontaktor,时延继电式接触器
441-14-38,starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-38,بادئ حركة,"Starter, m",starter,arrancador,käynnistin,"démarreur, m",avviatore,始動器，スタータ,기동기,пускательсоронзон залгуур,motorstartar,rozrusznik,arrancador,"покретач, м јд",startkopplare,起动器
441-14-39,manual starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-39,بادئ حركة يدوى,"Starter mit Handantrieb, m",manual starter,arrancador manual,käsikäynnistin,"démarreur à main, m",avviatore manuale,手動始動器,수동 기동기,гар пускатель,manuell motorstartar,rozrusznik ręczny,arrancador manual,"ручни покретач, м јд",handmanövrerad startkopplare,人力操作起动器
441-14-40,direct-on-line starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-40,بادئ حركة جاهز للعمل مباشرة,"Starter zum direkten Einschalten, m",direct-on-line starter,arrancador directo,suorakäynnistin,"démarreur direct, m",avviatore diretto,じか入れ始動器,직입 기동기,шууд холбодог пускатель,direkte motorstartar,rozrusznik bezpośredni,arrancador directo,"директни покретач, м јд",motorskyddsbrytare,直接起动器
441-14-41,n-step starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-41,بادئ حركة بخطوات n,"Starter mit n Einschaltstellungen, m",n-step starter,arrancador de n etapas,n-portainen käynnistin,"démarreur à n étapes, m",avviatore a n gradini,n-ステップ始動器,n단계 기동기,n тооны шатлалтай пускатель,n-trinn motorstartar,rozrusznik n-stopniowy,arrancador de n posiçõesarrancador de n pontos,"покретач са nкорака, м јд",n-stegsstartkopplare,n级起动器
441-14-42,rheostatic starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-42,بادئ حركة ريوستاتى,"Widerstandsstarter, m",rheostatic starter,arrancador de resistencias,vastuskäynnistin,"démarreur à résistances, m",avviatore con resistenza,抵抗始動器,저항 기동기,реостат пускатель,rheostatisk motorstartar,rozrusznik rezystorowy,arrancador de resistênciasarrancador de resistoresarrancador reostático,"покретач са отпорницима, м јд",motståndspådrag,变阻式起动器
441-14-43,rheostatic rotor starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-43,بادئ حركة العضو الدوار ريوستاتى,"Widerstands-Läuferstarter, m",rheostatic rotor starter,arrancador retórico de resistenciasarrancador rotórico de resistencias,roottorivastuskäynnistin,"démarreur rotorique à résistances, m",avviatore rotorico reostatico,抵抗回転始動器,저항 회전자 기동기,реостат ротор пускатель,rheostatisk rotorstartar,rozrusznik wirnikowy rezystorowy,arrancador rotórico,"роторски покретач са отпорницима, м јд",rotorpådrag,转子变阻式起动器
441-14-44,star-delta starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-44,بادئ حركة نجمة / دلتا,"Stern-Dreieck-Starter, m",star-delta starter,arrancador estreIla-triángulo,tähtikolmiokäynnistin,"démarreur étoile-triangle, m",avviatore stella-triangolo,スターデルタ始動器,성형 삼각 기동기와이 델타 기동기,“од-гурвалжин” пускатель,stjerne-trekant motorstartar,przełącznik gwiazda-trójkąt,arrancador estrela-triângulo,"покретач звезда−троугао, м јд",stjäm-triangelkopplare,星-三角起动器
441-14-45,auto-transformer starter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-45,بادئ حركة من نوع المحول الذاتى,"Starter mit Spartransformator, m",auto-transformer starter,arrancador por autotransformador,säästömuuntajakäynnistin,"démarreur par autotransformateur, m",avviatore ad autostrasformatore,始動補償器,단권 변압기 기동기에이티에스,автотрансформатор пускатель,transformator motorstartar,rozrusznik autotransformatorowy,arrancador por autotransformador,"покретач са аутотрансформатором, м јд",transformatorpådrag,自耦减压起动器
441-14-46,control switch (for control and auxiliary circuits),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-46,مفتاح تحكم,"Hilfsstromschalter (für Steuer- und Hilfsstromkreise), m",control switch (for control and auxiliary circuits),auxiliar de mando (para circuitos auxiliares de mando),ohjauskytkin,auxiliaire de commande (pour circuits auxiliaires de commande) m,interruttore di comando,制御スイッチ,"제어 스위치, <제어 및 보조 회로>제어 개폐기, <제어 및 보조 회로>","удирдлагын ачаалал таслуур, <удирдлагын болон туслах хэлхээнд зориулсан>",kontrollbrytar,łącznik sterowniczy (do obwodów pomocniczych i sterowniczych),auxiliar de comando (para circuitos auxiliares de comando),"управљачка склопка, <за управљање и помоћна кола> ж јд",manöverkopplare,"控制开关, <控制电路和辅助电器的>"
441-14-47,rotary (control) switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-47,مفتاح (تحكم) دوار,"Drehschalter, m",rotary (control) switch,conmutador rotativo (de mando),vääntökytkin,commutateur rotatif (de commande) m,commutatore rotativo (di comando),ロータリー（制御）スイッチロータリー制御スイッチ,회전 제어 개폐기회전 제어 스위치,эргүүлдэг удирдлагын ачаалал таслуур,dreiebrytar,łącznik (sterowniczy) pokrętny,comutador rotativo (de comando),"обртна склопка, ж јдобртна управљачка склопка, ж јд",vridkopplare,旋转控制开关
441-14-48,pilot switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-48,مفتاح دليل,"Hilfsstromschalter als Regler, m",pilot switch,auxiliar automático de mando,valvontakytkin,"auxiliaire automatique de commande, m",interruttore automatico di comando,検出スイッチ,파일럿 스위치파일럿 개폐기,удирдлагын автомат ачаалал таслуур,pilot brytar,łącznik czujnikowy,auxiliar automático de comando,"аутоматска управљачка склопка, ж јд",vakt,指示开关
441-14-49,position switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-49,مفتاح موضع,"Positionsschalter, m",position switch,interruptor de posición,asentokytkin,"interrupteur de position, m",interruttore di posizione,位置切替器,위치 개폐기위치 스위치,байрлалын ачаалал таслуур,posisjonsbrytar,łącznik drogowy,interruptor de posição,"положајна склопка, ж јд",lägeskopplare,位置开关
441-14-50,limit switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-50,مفتاح حدى,"Positionsschalter für Sicherheitsfunktionen, m",limit switch,interruptor de final de carrerainterruptor final de carrera,rajakytkinturvarajakytkin,"interrupteur de fin de course, m",interruttore di fine corsa,リミットスイッチ,제한 개폐기제한 스위치,төгсгөлийн ачаалал таслуур,grensebrytar,łącznik krańcowy,interruptor de fim de curso,"гранична склопка, ж јд",gränslägeskopplare,限位开关终端开关
441-14-51,proximity switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-51,مفتاح تقارب,"Näherungsschalter, m",proximity switch,interruptor de proximidad,lähestymiskytkin,"interrupteur de proximité, m",interruttore di prossimità,近接スイッチ,근접 스위치근접 개폐기,мэдрэгчтэй ачаалал таслуур,nærleiksbrytar,łącznik zbliżeniowy,interruptor de proximidade,"близинска склопка, ж јд",beröringsfri lägeskopplare,接近开关
441-14-52,foot switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-52,مفتاح يشغل بالقدم,"Fußschalter, m",foot switch,interruptor de pedal,jalkakytkin,"interrupteur à pédale, m",interruttore a pedale,足踏みスイッチ,풋 스위치풋 개폐기,хөлөөр ажилладаг ачаалал таслуур,fotbrytar,łącznik nożny,interruptor de pedal,"ножна склопка, ж јд",trampkontakt,脚踏开关
441-14-53,push-button,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-53,أزرار إنضغاطية,"Drucktaster, m",push-button,pulsador,painikepainonappi,"bouton-poussoir, m",pulsante,押しボタン,푸시 버튼누름 단추,товчлуураар ажилладаг ачаалал таслуур,trykknappbrytar,łącznik przyciskowy przycisk,botão de premirbotão de pressão,"тастер, м јд",tryckknapp,按钮
441-15-01,pole of a switching device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-01,قطب لمعدة فصل ووصل,"Pol eines Schaltgeräts, m",pole of a switching device,polo de un aparato de conexión,kytkinlaitteen napa,"pôle d'un appareil de connexion, m",polo di un apparecchio di manovra,開閉装置の極,개폐장치 극,"таслах, залгах төхөөрөмжийн туйл",brytarpol,biegun łącznika,pólo de um aparelho de conexão,"пол расклопног апарата, м јд",pol,开关装置的极
441-15-02,main circuit (of a switching device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-02,دارة رئيسية,"Hauptstromkreis (eines Schaltgeräts), mHauptstrombahn (eines Schaltgeräts), f",main circuit (of a switching device),circuito principal (de un aparato de conexión),pääpiiri,circuit principal (d'un appareil de connexion) m,circuito principale,主回路,"주회로, <개폐장치>","үндсэн хэлхээ, <таслах, залгах төхөөрөмжийн>",hovudstraumkrins,obwód główny (łącznika) tor prądowy główny (łącznika),circuito principal (de um aparelho de conexão),"главно струјно коло, <расклопног апарата> с јд",,"主回路, <开关装置的>"
441-15-03,control circuit (of a switching device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-03,دارة تحكم,"Steuerstromkreis (eines Schaltgeräts), m",control circuit (of a switching device),circuito de mando (de un aparato de conexión),ohjauspiiri,circuit de commande (d'un appareil de connexion) m,circuito di comando,補助回路,"제어회로, <개폐장치>","удирдлагын хэлхээ, <таслах, залгах төхөөрөмжийн>",kontrollstraumkrins,obwód sterowniczy (łącznika) tor prądowy sterowniczy (łącznika),circuito de comando (de um aparelho de conexão),"управљачко струјно коло , <расклопног апарата> с јд",manöverströmbana,"控制回路, <开关装置的>"
441-15-04,auxiliary circuit (of a switching device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-04,دارة مساعدة,"Hilfsstromkreis (eines Schaltgeräts), m",auxiliary circuit (of a switching device),circuito auxiliar (de un aparato de conexión),apupiiri,circuit auxiliaire (d'un appareil de connexion) m,circuito ausiliario,制御回路,"보조회로, <개폐장치>","туслах хэлхээ, <таслах, залгах төхөөрөмжийн>",hjelpestraumkrins,obwód pomocniczy (łącznika)tor prądowy pomocniczy (łącznika),circuito auxiliar (de um aparelho de conexão),"помоћно струјно коло , <расклопног апарата> с јд",hjälpströmbanahuvudströmbana,"辅助回路, <开关装置的>"
441-15-05,contact (of a mechanical switching device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-05,لامس-تماس-إتصال,"Kontakt (eines mechanischen Schaltgeräts), m",contact (of a mechanical switching device),contacto (de un aparato mecánico de conexión),kosketin,contact (d'un appareil de connexion) m,contatto,接点,"접점, <기계개폐장치>접촉자, <기계개폐장치>접촉, <기계개폐장치>","контакт, <механик таслах, залгах төхөөрөмжийн>",kontakt,zestyk (łącznika mechanizmowego),contacto (de um aparelho de conexão),"контакт, <механичког расклопног апарата> м јд",kontakt,"触头, <机械开关装置的>"
441-15-06,contact (piece),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-06,لامس-تماس-إتصال,"Kontaktstück, nSchaltstück, n",contact (piece),(pieza de) contacto,kosketinosa,"(pièce de) contact, m",contatto,接触子,"접점, <조각>접촉자, <조각>접촉, <조각>","контакт, <контактын эд анги>",kontaktdel,styk,(peça de) contacto,"контактни део, м јд",kontaktdel,触片
441-15-07,main contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-07,ملامس رئيسى,"Hauptkontakt, m",main contact,contacto principal,pääkosketin,"contact principal, m",contatto principale,主接点,주 접점주 접촉자,үндсэн контакт,hovudkontakt,zestyk główny,contacto principal,"главни контакт, м јд",,主触头
441-15-08,arcing contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-08,ملامس بشرارة,"Lichtbogenkontakt, mAbbrennkontakt, m",arcing contact,contacto de arco,valokaarikosketin,"contact d'arc, m",contatto d'arco,アーク接触子,아크 접점,нум үүсгэгч контакт,lysbogekontakt,zestyk opalny,contacto de arco,"лучни контакт, м јд",ljusbågskontakt,弧触头
441-15-09,control contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-09,ملامس تحكم,"Steuerkontakt, m",control contact,contacto de mando,ohjauskosketin,"contact de commande, m",contatto di comando,制御接点,제어 접점,удирдлагын контакт,kontrollkontakt,zestyk sterowniczy .,contacto de comando,"управљачки контакт, м јд",manöverkontakt,控制触头
441-15-10,auxiliary contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-10,ملامس مساعد,"Hilfskontakt, m",auxiliary contact,contacto auxiliar,apukosketin,"contact auxiliaire, m",contatto ausiliario,補助接点,보조 접점,туслах контакт,hjelpekontakt,zestyk pomocniczy,contacto auxiliar,"помоћни контакт, м јд",hjälpkontakt,辅助触头
441-15-11,auxiliary switch (of a mechanical switching device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-11,مفتاح مساعد,"Hilfsschalter (eines mechanischen Schaltgeräts), m",auxiliary switch (of a mechanical switching device),interruptor auxiliar (de un aparato mecánico de conexión),apukytkinapukosketinlohkomekaanisen kytkinlaitteen apukytkin,interrupteur auxiliaire (d'un appareil mécanique de connexion) m,interruttore ausiliario,補助スイッチ,"보조 스위치, <기계개폐장치>보조 개폐기, <기계개폐장치>","туслах ачаалал таслуур, <механик таслах, залгах төхөөрөмжийн>",hjelpebrytar,łącznik pomocniczy (łącznika mechanizmowego),interruptor auxiliar (de um aparelho mecânico de conexão),"помоћна склопка, <механичког расклопног апарата> ж јд",hjälpkontaktblock,"辅助开关, <机械开关装置的>"
441-15-12,"""a"" contact",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-12,ملامس (أ),"Schließer, m","""a"" contactmake contact","contacto ""a""contacto de cierre",sulkukosketin,"contact à fermeture, mcontact ""a"", m","contatto ""a""","""a""接点","접점 """"a""""","""а"" контактзалгах контакт",sluttekontakt,"zestyk sterowniczy pomocniczy zwiernyzestyk sterowniczy zwiernyzestyk ""a”","contacto de fechocontacto ""a""","""а"" контакт, м јд",a-kontakt,a触头动合触头常开触头
441-15-13,"""b"" contact",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-13,ملامس (ب),"Öffner, m","""b"" contactbreak contact","contacto ""b""contacto de apertura",avauskosketin,"contact à ouverture, mcontact ""b"", m","contatto ""b""","""b""接点","접점 """"b""""","""b"" контакттаслах контакт",brytekontakt,"zestyk sterowniczy pomocniczy rozwiernyzestyk sterowniczy rozwiernyzestyk ""b”","contacto de aberturacontacto ""b""","""b"" контакт, м јд",b-kontakt,b触头动断触头常闭触头
441-15-14,butt contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-14,ملامس ذو طرف غليظ مستدير,"Druckkontakt, m",butt contact,contacto de presión directa,puskukosketin,"contact à pression directe, m",contatto a pressione diretta,バット接点,뭉툭 접점,мөргөх контакт,trykkontakt,zestyk czołowy,contacto de pressão directa,"чеони контакт, м јд",stum kontakt,对接触头
441-15-15,sliding contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-15,ملامس تزحلق,"Gleitkontakt, m",sliding contact,contacto deslizante,liukukosketin,"contact glissant, m",contatto strisciante,すり接点滑り接触,미끄럼 접점미끄럼 접속,гулсах контакт,glidekontakt,zestyk ślizgowy,contacto deslizante,"клизни контакт, м јд",glidkontakt,滑动触头
441-15-16,rolling contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-16,ملامس دحرجة,"Wälzkontakt, m",rolling contact,contacto rodante,rullakosketin,"contact roulant, m",contatto rotolante,転がり接触,회전 접점회전 접촉자,өнхрөх контакт,rullekontakt,zestyk toczny,contacto rolante,"котрљајући контакт, м јд",rullkontakt,滚动触头
441-15-17,release (of a mechanical switching device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-17,اعتاق,"Auslöser (eines mechanischen Schaltgeräts), m",release (of a mechanical switching device),disparador (de un aparato mecánico de conexión)mecanismo de disparo (de un aparato mecánico de conexión),laukaisin,déclencheur (d'un appareil mécanique de connexion) m,sganciatore,ゆるめ装置レリーズ,"복구, <기계개폐소자>","суллах хэрэгсэл, <механик таслах, залгах төхөөрөмжийн>",utløysar,wyzwalacz (łącznika mechanizmowego),disparador (de um aparelho mecânico de conexão),"окидач, <механичког расклопног склопа> м јд",utlösare,"脱扣器, <机械开关装置的>"
441-15-18,arc control device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-18,معدة تحكم الشرارة,"Lichtbogen-Löscheinrichtung, f",arc control device,cámara de extinción,valokaariohjain,"chambre d'extinction, f",camera d'estinzione,アーク制御装置,아크 제어 장치,нум унтраах хэрэгсэл,sløkkjekammer,komora gaszeniowa,câmara de extinção,"прекидна комора, ж јд",släckningskammare,灭弧装置
441-15-19,arc chute,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-19,مسقط الشرارة,"Lichtbogenkammer, f",arc chute,cámara de soplado,sammutuskammiovalokaaren sammutuskammio,"boîte de soufflage, f",camera d'arco,アークシュート,아크 슈트,нум унтраах камер,lysbogekammer,komora łukowa,câmara de sopragem,"лучна комора, ж јд",ljusbågsskärm,灭弧室
441-15-20,blow-out coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-20,ملف الإطفاء (للشرارة),"Blasspule, f",blow-out coil,bobina de soplado,puhalluskäämi,"bobine de soufflage, f",bobina di soffio,吹消しコイル,소호 코일,соронзон орон үүсгэгч ороомог,blåsespole,cewka wydmuchowa,bobine de sopragem,"намотај за одувавање лука, м јд",blåsspole,吹弧线圈
441-15-21,"actuating system,  (of a control switch)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-21,جهاز التشغيل,"Betätigungssystem (eines Hilfsstromschalters), n","actuating system,  (of a control switch)",sistema de mando (de un auxiliar de mando),toimilaitteisto,mécanisme transmetteur (d'un auxiliaire de commande) m,sistema di azionamento,動作システム,"작동 시스템, <제어개폐>","дамжлагын механизм, <удирдлагын таслуурын>","beteningsssystem for ein kontrollbrytar, manøversystem",mechanizm napędowy (łącznika sterowniczego),mecanismo transmissor (de um auxiliar de comando),"погонски систем, <управљачке склопке> м јд",manöversystem,"执行系统, <控制开关的>"
441-15-22,actuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-15-22,مشغل,"Bedienteil, n",actuator,elemento de mando,ohjain,"organe de commande, m",attuatore,アクチュエータ作動装置,작동-기액추에이터,удирдах хэсэг,pådragsorgan,manipulatorelement napędowy,órgão de comandoactuador,"актуатор, м јд",manöverdon,执行器
