term_id,term,term_url,ar,de,en,es,fr,it,ja,no,pl,pt,ru,zh
426-04-60,"continuous transmission, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-60,"انتقال مستمر, الأجواء المتفجرة","kontinuierliche Übertragung, <explosionsfähige Atmosphären> f","continuous transmission, <explosive atmospheres>","transmisión continua, f","transmission continue, <atmosphères explosives> f","trasmissione continua, <atmosfere esplosive>","連続伝搬, <爆発性雰囲気>","kontinuerlig overføring,","emisja sygnału ciągłego, <atmosfery wybuchowe> f","transmissão contínua, <atmosferas explosivas>",непрерывная передача,"连续发射, <爆炸性环境>"
426-04-61,pulsed transmission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-61,انتقال نابض,"gepulste Übertragung, <explosionsfähige Atmosphären> f",pulsed transmission,"transmisión a impulsos, f","transmission à impulsions, f",trasmissione a impulso,パルス伝搬,pulserende overføring,"emisja sygnału impulsowego, f",transmissão por impulsos,импульсная передача,脉冲发射
426-04-62,thermal initiation time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-62,زمن نشوء الحرارة,"Zündinduktionszeit, f",thermal initiation time,"tiempo de iniciación térmica, m","temps d'initiation thermique, m",tempo di innesco termico,熱的開始時間,termisk initieringstid,"czas indukcji zapłonu, m",tempo de iniciação térmica,время теплового инициирования,热起燃时间
426-04-63,threshold energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-63,طاقة البدء,"Schwellenenergie, f",threshold energy,"umbral de energía, m","énergie de seuil, f",energia di soglia,しきい（閾）値エネルギー,terskelenergi,"energia progowa, f",energia de limiarenergia do limiar,пороговая энергияэнергетический порог,阈能量
426-04-64,threshold power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-64,قدرة البدء,"Schwellenleistung, f",threshold power,"umbral de potencia, m","puissance de seuil, f",potenza di soglia,しきい（閾）値電力,terskeleffekt,"moc progowa, f",potência de limiarpotência do limiar,пороговая мощность,阈功率
426-04-65,"antenna gain, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-65,ارسال بالهوائى,"Antennengewinn, m","antenna gain, <explosive atmospheres>","ganancia de antena, f","gain d'antenne, <atmospheres explosives> m",guadagno di antenna,アンテナ利得,"antenneforsterkning,","zysk anteny, m",ganho de antena,усиление антенны,天线增益
426-04-66,"solid insulation, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-66,"عزل صلب, الأجواء المتفجرة","feste Isolierung, <explosionsfähige Atmosphären> f","solid insulation, <explosive atmospheres>","aislamiento sólido, m","isolation solide, <atmosphères explosives> f","isolamento solido, <atmosfere esplosive>","固体絶縁, <爆発性雰囲気>","fast isolasjon,","izolacja stała, <atmosfery wybuchowe> f","isolação sólida, <atmosferas explosivas>",твёрдая изоляциятвёрдый изоляционный материал,固体绝缘
426-04-67,working voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-67,جهد التشغيل,"Arbeitsspannung, f",working voltage,"tensión de trabajo, f","tension de service, f",tensione di lavoro,動作電圧,arbeidsspenning,"napięcie pracy, n",tensão de trabalho,рабочее напряжение,工作电压
426-04-68,Ex Component Certificate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-68,شهادة موثقة للمكون من الفئة Ex,"Ex-Bauteil-Zertifikat, n",Ex Component Certificate,"certificado de componente Ex, m","Certificat pour les Composants Ex, m",Certificato per il componente Ex,Exコンポーネント認証書,Ex-komponentsertifikat,"certyfikat komponentu Ex, m",certificado de componente Ex,сертификат взрывозащищенного компанента,Ex元件证书
426-04-69,Ex Equipment Certificate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-69,شهادة موثقة للمعدة من الفئة Ex,"Ex-Geräte-Zertifikat, n",Ex Equipment Certificate,"certificado de equipo Ex, m","Certificat pour le Matériel Ex, m",Certificato per l'apparecchiatura Ex,Ex機器認証書,Ex-utstyrssertifikat,"certyfikat urządzenia Ex, m",certificado de equipamento Ex,сертификат взрывозащищенного оборудования,Ex设备证书
426-04-70,coating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-70,طلاء,"Beschichtung, f",coating,"recubrimiento, mrevestimiento, m","revêtement, m",rivestimento,コーティング,belegg,"powłoka, f",revestimento,покрытие,涂层
426-04-71,conformal coating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-71,طلاء واقى,"konforme Beschichtung, f",conformal coating,"revestimiento conforme, m","revêtement conformé, m",rivestimento conforme,コンフォーマルコーティング,konformt belegg,"powłoka konformalna, fpowłoka zabezpieczająca, f",revestimento conformado,"конформное покрытиеПокрытие, повторяющее форму покрываемого предмета.",敷形涂层
426-04-72,"factory connections, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-72,وصلات مركبة فى المصنع,"werkseitige Verbindungen, pl","factory connections, pl","conexiones de fábrica, f","connexions d'usine, f pl","collegamenti eseguiti in fabbrica, pl",工場で行う配線の接続部,fabrikktilkoblinger,"przyłączenia fabryczne, n pl","conexões de fábrica, pl",заводские соединения,工厂连接件
426-04-73,"field-wiring connections, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-73,وصلات مركبة فى الموقع,"feldseitige Verbindungen, pl","field-wiring connections, pl","conexiones en campo, f","connexions de câblage in situ, f pl","collegamenti eseguiti in campo, pl",現場接続,felt-tilkoblinger,"przyłączenia okablowania, n pl","conexões de cablagem de campo, pl",внешние соединения,现场布线连接件
426-04-74,elastomer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-74,المطاط الصناعي,"Elastomer, n",elastomer,"elastómero, m","élastomère, m",elastomero,エラストマー,elastomer,"elastomer, m",elastómero,эластомеркаучукоподобный полимер,弹性体
426-04-75,limiting temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-75,اقصى درجة حرارة مسموح بها,"Grenztemperatur, f",limiting temperature,"temperatura límite, f","température limite, f",temperatura limite,許容温度,begrensende temperatur,"temperatura graniczna, f",temperatura limite,предельная температура,极限温度
426-04-76,"encapsulation, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-04-76,تغليف,"Vergusskapseln, fVerkapseln, n","encapsulation, <explosive atmospheres>","encapsulado, m","encapsulage, <atmospheres explosives> m",incapsulamento,樹脂充填,"innkapsling,","hermetyzacja, fhermetyzowanie, n",encapsulamento,герметизация компаундом,浇封
426-06-01,"flameproof enclosure ""d""",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-01,حاوية ضد اللهب,"druckfeste Kapselung ""d"", f","flameproof enclosure ""d""","envolvente antideflagrante ""d"", f","enveloppe antidéflagrante ""d"", f",custodia a prova di esplosione “d”,"耐圧防爆構造""ｄ""","eksplosjonssikker innkapsling ""d""","osłona ognioszczelna ""d"", f","invólucro antideflagrante ""d""","взрывонепроницаемая оболочка ""d""",隔爆外壳“d”
426-06-02,flameproof joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-02,وصلة ضد اللهب,"zünddurchschlagsicherer Spalt, m",flameproof joint,"junta antideflagrante, f","joint antidéflagrant, m",giunto a prova di esplosione,耐圧防爆接合部,flammespalte,"złącze ognioszczelne, n",junta antideflagrante,взрывонепроницаемое соединение,隔爆接合面
426-06-03,"gap, <of a flameproof joint>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-03,"ثغرة, وصلة ضد اللهب","Spaltweite, <eines zünddurchschlagsicheren Spalts> f","gap, <of a flameproof joint>","intersticio, m","interstice, <d'un joint antidéflagrant> m","interstizio, <di un giunto a prova di esplosione>","隙間, <耐圧防爆ジョイント>ギャップ",gap,"prześwit, <złącza ognioszczelnego> m","hiato, <de uma junta antideflagrante>",зазорзазор взрывозащищенного соединения,"间隙, <隔爆接合面的>"
426-06-05,width of flameproof joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-05,عرض لوصلة ضد اللهب,"Spaltlänge, <eines zünddurchschlagsicheren Spalts> fLänge des zünddurchschlagsicheren Spalts, f",width of flameproof joint,"longitud de la junta antideflagrante, f","longueur du joint antidéflagrant, f",larghezza di giunto a prova di esplosione,耐圧防爆接合部の奥行き,lengd av flammespalte,"długość złącza ognioszczelnego, f",largura de uma junta antideflagrante,ширина взрывозащищенного соединения,隔爆接合面宽度
426-06-07,"distance, <flameproof joint>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-07,"اقصر مسافة لمرور اللهب, وصلة ضد اللهب","Abstand, <eines zünddurchschlagsicheren Spalts> m","distance, <flameproof joint>","distancia, f","distance, <joint antidéflagrant> f","distanza, <giunto a prova di esplosione>","距離, <耐圧防爆ジョイント>",avstand,"odległość, <złącze ognioszczelne> f","distância, <junta antideflagrante>",расстояниепуть взрывозащищенного соединения,"距离, <隔爆接合面>"
426-06-08,"enclosure volume, <flameproof enclosure ""d"">",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-08,"حجم الحاوية, وصلة ضد اللهب","Gehäusevolumen, <druckfeste Kapselung ""d""> n","enclosure volume, <flameproof enclosure ""d"">","volumen de la envolvente, m","volume de l'enveloppe, <enveloppe antidéflagrante> m","volume della custodia, <custodia ""d"" di giunto a prova di esplosione>","容器内容積,, <耐圧防爆構造""ｄ""の>",volum,"objętość osłony, <osłona ognioszczelna ""d""> f","volume do invólucro, <invólucro antideflagrante ""d"">",объем оболочки,"外壳容积, <隔爆外壳“d”>"
426-06-09,"shaft, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-09,عمود,"Welle, f","shaft, <explosive atmospheres>","árbol, meje","arbre, <atmospheres explosives> m",albero,軸,aksling,"wał, m",veio,вал,转轴
426-06-10,operating rod,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-10,قضيب التشغيل,"Betätigungsteil, n",operating rod,"eje de accionamiento, mvarilla de accionamiento","tige de commande, f",organo di trasmissione,操作軸,betjeningsstang,"drążek sterujący, m",haste de manobra,валик управлениятяга рычажной передачи,操纵杆
426-06-11,quick-acting door,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-11,باب سريع االحركةغطاء سريع الحركة,"Tür mit Schnellverschluss, fDeckel mit Schnellverschluss, m",quick-acting doorquick-acting cover,"puerta de apertura rápida, f","porte à manœuvre rapide, fcouvercle à manœuvre rapide, m",portella ad azione rapidacoperchio ad azione rapida,単純な操作で開閉できるドア,hurtigverkande dør eller lok,"drzwi szybko zamykane lub otwierane, n pl",porta de manobra rápida,быстрозапирающаяся дверьдверь с кремальерным запором,快开式门快开式盖
426-06-12,door fixed by threaded fasteners,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-12,باب مثبت بواسطة مفصلات حلزونيةغطاء مثبت بواسطة مفصلات حلزونية,"mit Schraubverschlüssen befestigte Tür, fmit Schraubverschlüssen befestigter Deckel, m",door fixed by threaded fastenerscover fixed by threaded fasteners,"puerta fijada con tornillos, f","porte à vis, fcouvercle à vis, m",portella fissata con mezzi di unione filettaticoperchio fissato con mezzi di unione filettati,固定用締付ねじ付ドア,dør eller lok festa med gjenga boltar,"drzwi mocowane za pomocą gwintowych elementów łączących, n pl",porta fixa por fechos aparafusados,зафиксированная резьбовыми креплениями дверь,用螺纹紧固件固定的门用螺纹紧固件固定的盖
426-06-13,threaded door,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-06-13,باب بمفصلات حلزونيةغطاء بمفصلات حلزونية,"Tür mit Gewinde, fDeckel mit Gewinde, m",threaded doorthreaded cover,"puerta roscada, f","porte vissée, fcouvercle vissé, m",portella filettatacoperchio filettato,ねじ山付きドア,gjenga dør eller lok,"drzwi gwintowe, n pl",porta aparafusada,резьбовая дверь,螺纹式门螺纹式盖
426-07-01,"powder filling ""q""",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-07-01,عبوة المسحوق,"Sandkapselung ""q"", f","powder filling ""q""","relleno pulverulento ""q"", m","remplissage pulvérulent ""q"", m",riempimento pulverulento “q”,"粉末充填方式""q""","sandfylling ""q""","osłona piaskowa ""q"", f","enchimento pulverulento ""q""","Кварцевое заполнение оболочки типа ""q""",充砂型“q”
426-07-02,"filling material, <powder filling>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-07-02,"مادة التعبئة, عبوة المسحوق","Füllgut, <Sandkapselung> n","filling material, <powder filling>","material de relleno, m","matériau de remplissage, <remplissage pulvérulent> m","materiale di riempimento, <riempimento pulverulento>","粉末充填材料, <粉末充填の>",fyllmateriale (pulver),"wypełniacz, <osłona piaskowa> m","material de enchimento, <enchimento pulverulento>",заполнитель,"填充材料, <充砂>"
426-07-03,"distance through filling material, <powder filling>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-07-03,"أقل مسافة تعبئة للمسحوق بين موصلين, عبوة المسحوق","Abstand durch Füllgut, <Sandkapselung> m","distance through filling material, <powder filling>","distancia a través del material de relleno, f","distance dans le matériau de remplissage, <remplissage pulvérulent> f","distanza attraverso il materiale di riempimento, <riempimento pulverulento>","充填材料内導電部間距離, <粉末充填の>",avstand gjennom fyllmateriale,"odstęp przez wypełniacz, <osłona piaskowa> m","distância no material de enchimento, <enchimento pulverulento>",расстояние через заполняющий материал,"通过填充材料的距离, <充砂>"
426-08-01,"increased safety ""e""",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-01,"درجة الأمان الزائد ""e""","erhöhte Sicherheit ""e"", f","increased safety ""e""","seguridad aumentada ""e"", f","sécurité augmentée ""e"", f",sicurezza aumentata “e”,"安全増防爆構造""e""","auka tryggleik ""e""","budowa wzmocniona ""e"", f","segurança aumentada ""e""","повышенная защита вида ""е""",增安型 “e”
426-08-03,time tE,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-03,زمن بدء التشغيل,"Zeit tE, f",time tE,"tiempo de calentamiento, m","durée tE, f",tempo,許容時間,tid,"czas tE, m","duração, <i>t</i><sub>E</sub>",время,tE时间
426-08-04,initial starting current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-04,تيار بدء التشغيل,"Anzugstrom, m",initial starting current,"corriente inicial de arranque, f","courant initial de démarrage, m",corrente di spunto,初期始動電流,initiell startstraum,"początkowy prąd rozruchowy, m",corrente inicial de arranque,начальный пусковой ток,初始启动电流
426-08-05,"normal service, <machines>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-05,"التشغيل العادي, ألات","bestimmungsgemäßer Betrieb, <eines Motors> m","normal service, <machines>","servicio normal, m","service normal, <machines> m","servizionormale, <macchine>","通常運転, <機械>",normal drift,"normalna praca, <maszyny> f","serviço normal, <máquinas>",нормальный режим работы,"正常运行, <电动机>"
426-08-06,rated dynamic current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-06,تيار ديناميكى مقنن,"Bemessungs-Stoßstrom, m",rated dynamic current,"corriente dinámica asignada, f","courant dynamique assigné, m",corrente dinamica nominale,機械的安定定格電流,dynamisk merkestrøm,"prąd dynamiczny znamionowy, m",corrente dinâmica estipulada,номинальный динамический ток,额定动态电流
426-08-07,rated short-time thermal current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-07,تيار حرارى مقنن لفترة ا ثانية,"thermischer Bemessungs-Kurzzeitstrom, m",rated short-time thermal current,"corriente térmica asignada de corta duración, f","courant thermique de courte durée assigné, m",corrente termica di breve durata nominale,定格短時間熱的電流,korttids termisk merkestrøm,"krótkotrwały cieplny prąd znamionowy, m",corrente de curto-circuito térmica estipulada,номинальный термический ток короткого замыкания,额定短时发热电流
426-08-08,resistance-heating device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-08,جهازتسخين المقاومة,"Widerstandsheizelement, n",resistance-heating device,"elemento de calentamiento por resistencia, m","dispositif de chauffage par résistance, m",dispositivo di riscaldamento a resistenza,抵抗加熱装置,motstandsvarmeelement,"rezystancyjne urządzenie grzejne, n",dispositivo de aquecimento por resistência,резистивное нагревательное устройство,电阻加热元件
426-08-09,resistance-heating unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-09,وحدةتسخين بالمقاومة,"Widerstandsheizeinrichtung, f",resistance-heating unit,"unidad de calentamiento por resistencia, f","unité de chauffage par résistance, f",unità di riscaldamento a resistenza,抵抗加熱ユニット,motstandsvarmeeining,"rezystancyjny zespół grzejny, m",unidade de aquecimento por resistência,резистивный нагревательный блок,电阻加热器
426-08-10,"workpiece, <resistance-heating>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-10,"قطعة تشغيل, مقاومة تسخين","Widerstandsheizelementträger, m","workpiece, <resistance-heating>","pieza de trabajo, fpieza, f","objet, <chauffage par résistance> m","piastra di lavoro, <riscaldamento mediante cavo in traccia>","被加熱物, <熱抵抗の>","anleggsdel,","ogrzewany obiekt, <ogrzewanie rezystancyjne> m","peça de trabalho, <aquecimento por resistência>",детальрабочий объект,"工件, <电阻加热>"
426-08-11,temperature self-limiting characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-11,خواص الحدية الذاتية للحرارة,"selbstbegrenzende Temperaturcharakteristik, f",temperature self-limiting characteristic,"caracteristica de temperatura autolimitante, f","caractéristique autolimitante de température, f",caratteristica autolimitante della temperatura,温度自己制御特性,sjølvavgrensande eigenskap,"charakterystyka samoograniczająca temperaturę, f",característica auto-limitante em temperatura,характеристика температурного самоограничения,自限温特性
426-08-12,stabilized design,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-12,تصميم مستقرحراريا,"stabilisierte Ausführung, f",stabilized design,"diseño estabilizado, m","conception stabilisée, f",progetto stabilizzato,安定化設計,stabilisert design,"konstrukcja stabilizowana, f",projeto estabilizado,стабилизированная конструкция,稳态设计
426-08-13,starting current ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-13,نسبة تيار بدءالتشغيل,"Anzugstromverhältnis, n",starting current ratio,"relación de la corriente de arranque, f","rapport du courant de démarrage, m",rapporto della corrente di spunto,始動電流比,startstraumsforhold,"krotność prądu rozruchowego, f",razão da corrente de arranque,кратность пускового тока,启动电流比
426-08-14,trace heater,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-14,جهاز تسخين بالتتبع,"Begleitheizelement, n",trace heater,"calentador por traceado, m","résistance de traçage, f",riscaldatore a cavo in traccia,トレースヒーティング,varmekabel,"przewód grzejny, m",resistência de traçagem,сетевой электронагреватель,"伴热器, <相关条目：IEV 426-20-37>"
426-08-15,"ferrule, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-15,حلقة معدنية,"Druckhülse, f","ferrule, <explosive atmospheres>","férula, f","férule, f",ghiera,接続管,"hylse,","tulejka, f",ferrolho,муфтаметаллический наконечник,金属包头
426-08-16,light emitting diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-16,صمام ثنائي باعث لضوء LED,"Leuchtdiode, fLED",light emitting diodeLED,"diodo emisor de luz, mLED, m","diode électroluminescente, fLED, f",diodo emettitore di luceLED,LED,lysdiode LED,"dioda świecąca, f",díodo emissor de luzLEDdíodo fotoemissor,светодиод,发光二极管LED
426-08-17,LED module,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-17,نموذج صمام ثنائي باعث لضوء LED,"LED-Modul, n",LED module,"módulo LED, m","module à LED, m",modulo led,LEDモジュール,LED-modul,"moduł LED, m",módulo de LED,светодиодный модуль,LED模块
426-08-18,LED package,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-18,حزمة صمام ثنائي باعث لضوء LED,"LED-Package, f, n",LED package,"empaquetado de LED, mcápsula de LED, fencapsulado de LED, m","composant à LED, m",LED package,LEDパッケージ,LED-pakke,"element LED, mpakiet LED, m",invólucro de LED,светодиодная сборка,LED封装
426-08-19,resistance heating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-19,تسخين بالمقاومة,"Widerstandsheizung, f",resistance heating,"calefacción por resistencia, f","chauffage par résistance, m",riscaldamento a resistenza,抵抗加熱,motstandsoppvarming,"ogrzewanie rezystancyjne, n",aquecimento por resistência,электрообогрев,电阻加热
426-08-20,"short-circuit current, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-20,الأجواء المتفجرة,"Kurzschlussstrom, <explosionsfähige Atmosphären> m","short-circuit current, <explosive atmospheres>","corriente de cortocircuito, f","courant de court-circuit, <atmosphères explosives> m","corrente di cortocircuito, <atmosfere esplosive>","短絡電流, <爆発性雰囲気>","kortslutningsstrøm,","prąd zwarciowy, <atmosfery wybuchowe> m","corrente de curto-circuito, <atmosferas explosivas>",ток короткого замыкания,"短路电流, <爆炸性环境>"
426-08-21,stator winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-21,ملف الجزء الثابت,"Ständerwicklung, f",stator winding,"arrollamiento del estátor, mdevanado del estátor, m","enroulement du stator, m",avvolgimento di statore,固定子巻線,statorvikling,"uzwojenie stojana, n",enrolamento estatórico,статорная обмотка,定子绕组
426-08-22,terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-08-22,نهاية,"Anschluss, mAnschlusspunkt, mPol, mKlemme, f",terminal,"borne, m","borne, f",morsetto,端子ターミナル,klemme; pol,"zacisk, m",terminal,контактный вывод,端子
426-09-01,"pressurization ""p""",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-01,الانضغاط الداخلى برمز P,"Überdruckkapselung ""p"", f","pressurization ""p""","presurización ""p"", f","surpression interne ""p"", f","pressurizzazione ""p""","内圧防爆構造""p""",trykksetjing,"osłona gazowa z nadciśnieniem ""p"", f","pressurização ""p""","оболочки под избыточным давлением ""р""",正压型“p”
426-09-02,pressurized enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-02,حاوية منضغطة داخليا,"überdruckgekapseltes Gehäuse, n",pressurized enclosure,"envolvente presurizada, f","enveloppe à surpression externe, f",custodia pressurizzata,内圧防爆構造,trykksett kapsling,"osłona gazowa z nadciśnieniem, f",invólucro de pressurização interna,оболочка под избыточным давлением,正压外壳
426-09-03,purging,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-03,تطهير,"Vorspülung, f",purging,"purga, fpurgado, m","balayage, <atmospheres explosives> m",lavaggio,掃気,spyling,"przewietrzanie, n",varrimento,продувка оболочки под избыточным давлением,换气
426-09-04,protective gas,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-04,"غـــاز الحمــاية, حاوية منضغطة داخليا برمزp","Zündschutzgas, n",protective gas,"gas protector, mgas de protección, m","gaz de protection, m",gas di protezione,保護ガス,vernande gass,"gaz ochronny, m",gás de proteção,защитный газ,保护气体
426-09-05,"alarm, <pressurized enclosure ""p"">",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-05,جهازإنذار,"Alarm, <überdruckgekapseltes Gehäuse ""p""> m","alarm, <pressurized enclosure ""p"">","alarma, f","alarme, <surpression interne ""p""> f","allarme, <custodia pressurizzata ""p"">","警報, <加圧容器""p"">警報器",alarm,"urządzenie alarmowe, <osłona gazowa z nadciśnieniem ""p""> n","alarme, <invólucro de pressurização interna ""p"">",сигнальное устройствосигнал тревоги,"报警器, <正压外壳“p”>"
426-09-06,containment system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-06,نظام إحتواء مادة الاشتعال,"Containment-System, n",containment system,"sistema de confinamiento, msistema de contención, m","système de confinement, m",sistema di contenimento,流通路,inneslutningssystem,"system wewnętrzny, m",sistema de confinamento,встроенная система,内置系统
426-09-07,dilution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-07,تخفيف,"Verdünnung, <explosionsfähige Atmosphären> f",dilution,"dilución, f","dilution, f",diluizione,希釈,fortynning,"rozcieńczanie, n",diluição,разбавление,稀释
426-09-08,dilution area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-08,"منطقة تخفيف, حاوية منضغطة داخليا برمزp","Verdünnungsbereich, m",dilution area,"zona de dilución, f","zone de dilution, f",zona di diluizione,希釈領域,fortynningsområdet,"strefa rozcieńczania, f",área de diluição,зона разбавления,稀释区域
426-09-09,"enclosure volume, <pressurized enclosure ""p"">",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-09,حجم الحاوية,"Gehäusevolumen, <überdruckgekapseltes Gehäuse ""p""> n","enclosure volume, <pressurized enclosure ""p"">","volumen de la envolvente, m","volume de l'enveloppe, <enveloppe à surpression interne ""p""> m","volume della custodia, <custodia pressurizzata ""p"">","容器内容積, <加圧容器""p"">",kapslingsvolum,"objętość osłony, <osłona gazowa z nadciśnieniem ""p""> f","volume do invólucro, <invólucro de pressurização interna ""p"">",объем оболочки,"外壳容积, <正压外壳“p”>"
426-09-10,flammable substance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-10,مادة قابلة للاشتعال,"brennbare Substanz, f",flammable substance,"sustancia inflamable, f","substance inflammable, f",sostanza infiammabile,可燃性物質,brenneleg substans,"substancja palna, f",substância inflamável,горючее веществовоспламеняемое вещество,"可燃性物质, <相关条目：IEV 426-03-16>"
426-09-11,hermetically sealed device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-11,جهاز مغلق باحكام,"hermetisch abgedichtete Einrichtung, f",hermetically sealed device,"dispositivo herméticamente sellado, m","dispositif hermétiquement étanche, m",dispositivo ermeticamente sigillato,密封デバイス,hermetisk forsegla eining,"urządzenie całkowicie szczelne, n",dispositivo hermeticamente estanque,герметично закрытое устройство,气密装置
426-09-12,ignition-capable equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-12,معدة قابلة اللاشتعال,"zündfähiges Gerät, n",ignition-capable equipmentICE,"material capaz de inflamar, mequipo con capacidad de inflamación, m","matériel susceptible de provoquer une inflammation, mICE, m",apparecchiatura in grado di innescareICE,着火のおそれがある機器,tenningsdyktig utstyr,"urządzenia mogące spowodować zapłon, n",equipamento capaz de ignição,пожароопасное оборудование,有点燃能力的设备
426-09-13,"indicator, <pressurization ""p"">",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-13,"مؤشر, الانضغاط الداخلى برمز P","Anzeigevorrichtung, <Überdruckkapselung ""p""> f","indicator, <pressurization ""p"">","indicador, m","indicateur, <surpression interne ""p""> m","indicatore, <pressurizzazione ""p"">","指示計, <加圧""p"">",indikator,"wskaźnik, <osłona gazowa z nadciśnieniem ""p""> m","indicador, <pressurização ""p"">",индикатор,"指示器, <正压型“p”>"
426-09-14,internal source of release,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-14,مصدر داخلى للتنفيس,"innere Freisetzungsquelle, f",internal source of release,"fuente interna de escape, f","source interne de dégagement, f",sorgente interna di emissione,内部放出源,intern utsleppskjelde,"wewnętrzne źródło uwalniania, n",fonte interna de libertação,внутренний источник утечки,内释放源
426-09-15,leakage compensation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-15,تعويض الفقد,"Ausgleich der Leckverluste, mKompensation der Leckverluste, f",leakage compensation,"compensación de fugas, f","compensation de fuite, f",compensazione di dispersione,漏えい補填,lekkasjekompensering,"kompensacja ubytku gazu ochronnego, f",compensação de fuga,компенсация утечки,泄漏补偿
426-09-16,overpressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-09-16,ضغط أعلى,"Überdruck, m",overpressure,"Sobrepresión, f","surpression, f",sovrapressione,過圧,overtrykk,"nadciśnienie, n",sobrepressão,избыточное давление,过压
