term_id,term,term_url,ar,de,en,es,fr,ja,ko,mn,pl,pt,zh
692-05-04,related multiple-outage occurrence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-05-04,حدث الخروج بسبب عناصرمتعددة,"abhängiger mehrfacher Übergang zur Nichtverfügbarkeit, m",related multiple-outage occurrence,paso a indisponibilidades múltiples relacionadas,"survenance d’indisponibilités multiples corrélées, f",関連多重停止,관련 다중 정지 발생,хамааралтай олон тасралтын тохиолдол,"wystąpienie wyłączeń wielokrotnych powiązanych, n",ocorrência de indisponibilidades múltiplas correlacionadas,相关多重停运事件
692-05-05,common-cause outage occurrence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-05-05,حدث الخروج بسبب عناصر مترابطة,"Übergang zur Nichtverfügbarkeit aufgrund einer gemeinsamen Ursache, m",common-cause outage occurrence,paso a indisponibilidades con causa común,"survenance d’indisponibilités multiples par cause commune, f",共通原因停止,공통 요인 정지 발생,нийтлэг шалтгаантай тасралтын тохиолдол,"wystąpienie wyłączeń wielokrotnych o jednej przyczynie, n",ocorrência de indisponibilidades múltiplas por causa comum,共因停运事件
692-05-06,"overlapping independent outage occurrences, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-05-06,حوادث خروج مستقلة متداخلة,"überschneidende unabhängige Übergänge zur Nichtverfügbarkeit, m pl","overlapping independent outage occurrences, pl",solapamiento de pasos a indisponibilidad independientes,"survenances d’indisponibilités indépendantes se recouvrant, f pl",独立多重停止,중복 독립 정지 발생,давхацсан бие даасан тасралтын тохиолдлууд,"nakładanie się wyłączeń występujących niezależnie, n",ocorrência de sobreposição de indisponibilidades independentes,重叠独立停运事件
692-06-01,standby time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-01,زمن الاستعدادزمن الانتظار,"Dauer des Bereitschaftszustands, f",standby timestandby duration,tiempo en esperaduración de espera,"durée d’attente, fdurée de disponibilité à l’arrêt, f",待機時間,대기 시간,зогсолтын хугацаазогсолт үргэлжлэх хугацаа,"czas czuwania, m",tempo de espera,备用时间备用持续时间
692-06-02,operating time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-02,زمن التشغيلفترة التشغيل,"Betriebsdauer, f",operating timeoperating duration,tiempo en funcionamiento,"durée de fonctionnement, f",動作時間運用時間,운전시간작동시간,ажлын хугацааажлын үргэлжлэх хугацаа,"czas działania, m",tempo de funcionamento,运行时间运行持续时间
692-06-03,up state duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-03,"فترة عدم الإتاحة, <لنظام كهربى>فترة التوقف","Klardauer, f","up state durationup durationup time, <of an electric power system>",duración del estado en condiciones operativas,"durée d’état de disponibilité, fdurée de disponibilité, f",使用可能状態アップ時間,운전상태 지속 시간작동 지속 시간,ажлын чадвартай төлөв байдлын үргэлжлэх хугацаа,"czas trwania stanu zdatności, m",duração de disponibilidade,可用状态持续时间可用持续时间可用时间
692-06-04,down time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-04,زمن التوقففترة توقف,"Unklardauer, f",down timedown duration,tiempo fuera de serviciotiempo de indisponibilidad operativa,"durée d’indisponibilité, f",ダウン時間,고장 시간,ажлын чадваргүй хугацааажлын чадваргүйгээр үргэлжлэх хугацаа,"czas niezdatności, m",tempo de indisponibilidade,不可用时间不可用持续时间
692-06-05,scheduled outage duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-05,فترة خروج مخطط لهافترة خروج مجدولة,"geplante Nichtverfügbarkeitsdauer, f",scheduled outage durationplanned outage duration,duración de la indisponibilidad programada,"durée d’indisponibilité programmée, f",計画停電時間,계획 정지 기간,төлөвлөгөөт тасралтын үргэлжлэх хугацаатөлөвлөсөн тасралтын үргэлжлэх хугацаа,"planowy czas wyłączenia, mplanowy czas odstawienia, m",duração da indisponibilidade programada,计划停运持续时间
692-06-06,maintenance outage duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-06,فترة خروج للصيانةفترة الصيانة,"wartungsbedingte Nichtverfügbarkeitsdauer, f",maintenance outage durationmaintenance duration,duración de la indisponibilidad para mantenimiento,"durée de maintenance, f",保全停止時間保守停電時間,유지보수 정지 지속시간,техникийн үйлчилгээтэй холбоотой тасралтын үргэлжлэх хугацаатехникийн үйлчилгээний үргэлжлэх хугацаа,"czas remontu, mczas odstawienia eksploatacyjnego, m",duração da indisponibilidade por manutenção,维修停运持续时间维修持续时间
692-06-07,forced outage duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-07,فترة خروج إضطراريةفترة خروج إجبارية,"erzwungene Nichtverfügbarkeitsdauer, f",forced outage duration,duración de la indisponibilidad forzada,"durée d’indisponibilité non différable, fdurée d’indisponibilité fortuite, fdurée d’indisponibilité sur avarie, f",事故停止時間,사고 정지 지속 시간,зайлшгүй тасралтын үргэлжлэх хугацаа,"czas trwania odstawienia eksploatacyjnego, m",duração da indisponibilidade forçada,强迫停运持续时间
692-06-08,repair duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-08,فترة إصلاح,"Reparaturdauer, f",repair duration,tiempo de reparación,"durée de réparation, f",修理時間,수리 기간,засварын үргэлжлэх хугацаа,"czas trwania naprawy, m",duração de reparação,修理持续时间
692-06-09,availability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-09,إتاحية,"Verfügbarkeit, f",availability,disponibilidad,"disponibilité, f",可用性,가용성,"хүртээмжтэй байдал, <системийн элементийн >","dyspozycyjność, f",disponibilidade,可用性
692-06-10,availability factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-10,عامل الإتاحية,"Verfügbarkeitsgrad, m",availability factor,factor de disponibilidad,"durée relative de disponibilité, f",稼働率,가용률,хүртээмжтэй байдлын коэффициент,"współczynnik dyspozycyjności, m",fator de disponibilidade,可用因数可用率
692-06-11,unavailability factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-06-11,عامل اللا إتاحية,"Nichtverfügbarkeitsgrad, m",unavailability factor,factor de indisponibilidad,"durée relative d’indisponibilité, f",不稼働率,불가용률,хүртээмжгүй байдлын коэффициент,"współczynnik niedyspozycyjności, m",fator de indisponibilidade,不可用因数不可用率
692-07-01,"supply interruption, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-07-01,"إنقطاع مصدر التغذية, < فى نظام كهربى>إنقطاع","Versorgungsunterbrechung, <in einem Elektrizitätsversorgungssystem> f","supply interruption, <in an electric power system>interruption, <in an electric power system>","interrupción del suministro, <en un sistema eléctrico de potencia>interrupción, <en un sistema eléctrico de potencia>","interruption de fourniture, <dans un réseau d’énergie électrique> finterruption, <dans un réseau d’énergie électrique> f","電力供給中断, ＜ある電力システムにおける＞","공급 차단, <전력 계통>","хангамжийн тасалдал, <цахилгаан эрчим хүчний системд гардаг>тасалдал, <цахилгаан эрчим хүчний системд гардаг>","przerwa w zasilaniu, <w systemie elektroenergetycznym> fprzerwa w dostawie energii, <w systemie elektroenergetycznym> f","interrupção da alimentação, <num sistema de energia elétrica>","供电中断, <电力系统>中断, <电力系统，相关条目：IEV 692-04-01>"
692-07-02,sustained interruption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-07-02,إنقطاع مستمر,"länger anhaltende Unterbrechung, f",sustained interruption,corte largointerrupción larga,"interruption longue, f",継続停電,지속 정전,үргэлжилсэн тасалдал,"przerwa w zasilaniu długotrwała, fprzerwa długotrwała, f",interrupção longa,持续停电
692-07-03,momentary interruption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-07-03,إنقطاع لحظى,"kurzzeitige Unterbrechung, f",momentary interruption,corte breveinterrupción breve,"interruption momentanée, f",非継続停電,순시 정전,түр тасалдал,"przerwa w zasilaniu krótkotrwała, fprzerwa krótkotrwała, f",interrupção breve,瞬时停电
692-07-04,interruption duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-07-04,فترة إنقطاع,"Unterbrechungsdauer, f",interruption duration,tiempo de interrupción,"durée d’interruption, f",停電時間,정전 기간,тасалдлын үргэлжлэх хугацаа,"czas trwania przerwy w zasilaniu, m",duração de interrupção,供电中断时间
692-08-01,interruption frequency per customer served,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-08-01,معدل الانقطاع لكل عميل مقدم له خدمةمؤشر متوسط معدل الانقطاع للنظام,"Unterbrechungshäufigkeit je beliefertem Abnehmer, f","interruption frequency per customer servedsystem average interruption frequency index, CA USSAIFI",frecuencia de corte por cliente servidofrecuencia de interrupción por cliente servido,"fréquence d’interruption par client desservi, ffréquence de coupure par client desservi, f",全需要家1軒当たりの平均停電回数,고객 공급당 차단주파수호별 공급당 차단주파수,үйлчилгээ үзүүлсэн хэрэглэгч бүрд ногдох тасалдлын давтамжсистемийн дундаж тасалдлын давтамжийн индекс,"częstość przerw przypadająca na obsługiwanego odbiorcę, fczęstość przerw na obsługiwanego odbiorcę, f",frequência de interrupção por cliente servido,用户平均停电频率
692-08-02,interruption frequency per customer interrupted,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-08-02,معدل الانقطاع لكل عميل قطعت عنه الخدمةمؤشر متوسط معدل الانقطاع للعميل,"Unterbrechungshäufigkeit je unterbrochenem Abnehmer, f","interruption frequency per customer interruptedcustomer average interruption frequency index, CA USCAIFI",frecuencia de corte por cliente cortadofrecuencia de interrupción por cliente cortado,"fréquence d'interruption par client coupé, ffréquence de coupure par client coupé, f",停電需要家1軒当たりの平均停電回数,고객 정전당 차단 주파수호별 정전당 차단 주파수,тасалдалд өртсөн хэрэглэгч бүрд ногдох тасалдлын давтамжхэрэглэгчийн дундаж тасалдлын давтамжийн индекс,"częstość przerw przypadająca na wyłączonego odbiorcę, fczęstość przerw na wyłączonego odbiorcę, f",frequência de interrupção por cliente interrompido,停电用户平均停电频率
692-08-03,service unavailability per customer served,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-08-03,لا إتاحية الخدمة لكل عميل مقدم له الخدمةمؤشر متوسط فترة الانقطاع للنظام,"mittlere Nichtverfügbarkeit je beliefertem Abnehmer, fmittlere Unterbrechungsdauer je beliefertem Abnehmer, f","service unavailability per customer servedsystem average interruption duration index, CA USSAIDI",indisponibilidad del servicio por cliente servido,"indisponibilité par client desservi, findice moyen d'interruption par client desservi, mindice moyen de coupure par client desservi, m",全需要家1軒当たりの平均停電時間,고객 공급당 서비스 불가용성호별 공급당 서비스 불가용성,үйлчилгээ үзүүлсэн хэрэглэгч бүрд ногдох үйлчилгээний хүртээмжгүй байдалсистемийн дундаж тасалдлын үргэлжлэх хугацааны индекс,"niedyspozycyjność zasilania przypadająca na obsługiwanego odbiorcę, fniedyspozycyjność zasilania na obsługiwanego odbiorcę, f",indisponibilidade do serviço por cliente servido,用户平均停电持续时间指数系统平均停电持续时间
692-08-04,service unavailability per customer interrupted,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-08-04,لا إتاحية الخدمة لكل عميل قطعت عنه الخدمة,"mittlere Nichtverfügbarkeit je unterbrochenem Abnehmer, f",service unavailability per customer interrupted,indisponibilidad del servicio por cliente interrumpido,"indisponibilité par client coupé, findice d’interruption par client coupé, m",停電需要家1軒当たりの平均停電時間,고객 정전당 서비스 불가용성호별 정전당 서비스 불가용성,тасалдалд өртсөн хэрэглэгч бүрд ногдох үйлчилгээний хүртээмжгүй байдал,"niedyspozycyjność zasilania przypadająca na wyłączonego odbiorcę, fniedyspozycyjność zasilania na wyłączonego odbiorcę, f",indisponibilidade do serviço por cliente interrompido,停电用户的供电不可用率
692-08-05,mean duration of a customer interruption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-08-05,متوسط فترة الانقطاع للعميلمؤشر متوسط فترة الانقطاع للعميل,"mittlere Dauer einer Versorgungsunterbrechung eines Abnehmers, f","mean duration of a customer interruptioncustomer average interruption duration index, CA USCAIDI",duración media de una interrupción de cliente,"durée moyenne d’une interruption, fdurée moyenne d’une coupure, f",停電需要家の一回当たりの平均停電時間,고객 정전 평균 지속시간,хэрэглэгчийн тасалдлын дундаж үргэлжлэх хугацаахэрэглэгчийн дундаж тасалдлын үргэлжлэх хугацааны индекс,"średni czas przerw w zasilaniu odbiorcy, m",duração média de interrupção a clientes,用户停电平均持续时间
692-09-01,load not served,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-09-01,حمل غير مغذى,"nicht gelieferte Leistung, f",load not servedload not supplied,carga no alimentadacarga no servida,"charge non alimentée, fcharge non desservie, f",供給不能負荷,공급지장 부하,нийлүүлээгүй ачаалалхангаж өгөөгүй ачаалал,"zapotrzebowanie niepokryte, nobciążenie niezasilone, n",carga não alimentada,缺供负荷
692-09-02,load interrupted,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-09-02,حمل مفصول,"unterbrochene Leistung, f",load interrupted,carga cortadacarga interrumpida,"charge coupée, f",供給遮断負荷,차단 부하,тасалдсан ачаалал,"obciążenie wyłączone, n",carga interrompida,停电负荷
692-09-03,load shed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-09-03,حمل مطروح,"abgeworfene Last, f",load shed,carga deslastrada,"charge délestée, f",供給制限負荷,부하 차단,салгасан ачаалал,"obciążenie ograniczone, <dobrowolnie> n",carga deslastrada,切负荷
692-09-04,interruptible load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-09-04,حمل قابل للفصل,"unterbrechbare Last, f",interruptible load,carga interrumpible,"charge interruptible, f",遮断可能負荷,차단 가능 부하,хязгаарлалт хийж салгах боломжтой ачаалал,"obciążenie buforowe sterowane przez dostawcę, n",carga interruptível,可停电负荷
692-09-05,load reduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-09-05,تخفيف الحمل,"Lastabsenkung, f",load reduction,reducción de carga,"réduction de charge, f",電圧調整による負荷抑制,부하 감소,ачаалал буурах явдал,"obniżenie zapotrzebowania, n",redução de carga,减负荷
692-09-06,energy not supplied,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-09-06,طاقة غير مستغلة,"nicht gelieferte Energie, f",energy not supplied,energía no suministrada,"énergie non fournie, f",供給支障電力量,공급 지장 에너지,нийлүүлээгүй энерги,"energia niedostarczona, f",energia não fornecida,缺供电量
692-10-01,probability of failure to operate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-10-01,احتمالية العطل عند التشغيل,"Wahrscheinlichkeit des Ausfalls bei Anforderung, f",probability of failure to operate,probabilidad de fallo a la demanda,"probabilité de défaillance à la sollicitation, f",誤・不動作率,작동 실패 확률,саатал үүсэх магадлал,"prawdopodobieństwo zawiedzenia, n",probabilidade de falha na solicitação,动作失败概率
692-10-02,"loss-of-load expectation, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-10-02,"توقع فقد الحمل, < فى نظام كهربى>","Unterbrechungserwartung aufgrund von Erzeugungsdefiziten, <eines Elektrizitätsversorgungssystems> f","loss-of-load expectation, <of an electric power system>LOLE","esperanza de pérdida de carga, <de un sistema eléctrico de potencia>","espérance de défaillance en puissance, <d’un réseau d’énergie électrique> f","見込不足時間, <電力系統の>見込不足日数",공급 지장 기대값,"чадлын дутагдлын ирээдүйн төлөв, <цахилгаан эрчим хүчний системийн>","oczekiwany czas trwania deficytu mocy, <w systemie elektroenergetycznym> m","esperança de falha em potência, <de um sistema de energia eléctrica>","缺电时间数学期望, <电力系统的>"
692-10-03,"loss-of-load probability, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-10-03,"إحتمالية فقدان الحمل, < فى نظام كهربى>","Unterbrechungswahrscheinlichkeit aufgrund von Erzeugungsdefiziten, <eines Elektrizitätsversorgungssystems> f","loss-of-load probability, <of an electric power system>LOLP",probabilidad de pérdida de carga,"probabilité de défaillance en puissance, <d’un réseau d’énergie électrique> f","電力不足確率, <電力系統の>","공급 지장 확률, <전력 계통>","чадлын дутагдлын магадлал, <цахилгаан эрчим хүчний системийн>","prawdopodobieństwo deficytu mocy, <w systemie elektroenergetycznym> n","probabilidade de falha em potência, <de um sistema de energia eléctrica>","缺电概率, <电力系统的>"
692-11-01,"expected energy not supplied, <by an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-11-01,طاقة متوقعة غير مستغلة,"Erwartungswert der nicht gelieferten Energie, <durch ein Elektrizitätsversorgungssystem> m","expected energy not supplied, <by an electric power system>EENSexpected unsupplied energy, <by an electric power system>EUE",esperanza de energía no suministrada,"espérance d’énergie non fournie, <par un réseau d’énergie électrique> f","供給支障見込電力量, <電力系統による>","공급 지장 기대 에너지, <전력 계통>공급 지장 기대 전력량, <전력 계통>공급 지장 전력량의 기대값, <전력 계통>","нийлүүлэхгүй гэж тооцоолж байгаа энерги, <цахилгаан эрчим хүчний системийн хувьд>","oczekiwana wartość energii niedostarczonej, <w systemie elektroenergetycznym> f","energia esperada não fornecida, <de um sistema de energia eléctrica>","缺供电量期望值, <电力系统>"
692-11-02,"equivalent mean interruption duration, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-11-02,متوسط فترة الانقطاع المكافئة,"äquivalente mittlere Unterbrechungsdauer, <eines Elektrizitätsversorgungssystems> f","equivalent mean interruption duration, <of an electric power system>",tiempo de desconexión medio equivalente,"durée de coupure moyenne équivalente, <d’un réseau d’énergie électrique> f","平均負荷等価停電時間, <電力系統の>","등가 평균 정전 기간, <전력 계통>","дундаж тасалдалтай эквивалент үргэлжлэх хугацаа, <цахилгаан эрчим хүчний системийн>","równoważny średni czas trwania przerwy, <w systemie elektroenergetycznym> m","duração de interrupção média equivalente, <de um sistema de energia eléctrica>","等效平均停电持续时间, <电力系统的>"
692-11-03,"equivalent peak interruption duration, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-11-03,أقصي فترة إنقطاع مكافئة,"äquivalente mittlere Unterbrechungsdauer bei Jahreshöchstlast, <eines Elektrizitätsversorgungssystems> f","equivalent peak interruption duration, <of an electric power system>",tiempo de desconexión equivalente en punta,"durée de coupure équivalente à la pointe, <d’un réseau d’énergie électrique> f","ピーク負荷等価停電時間, <電力系統の>","등가 마루 정전 기간, <전력 계통>등가 촤대 정전 기간, <전력 계통>","оргил тасалдалтай эквивалент үргэлжлэх хугацаа, <цахилгаан эрчим хүчний системийн>","równoważny szczytowy czas trwania przerwy, <w systemie elektroenergetycznym> m","duração de interrupção equivalente da ponta, <de um sistema de energia eléctrica>","等效峰荷停电持续时间, <电力系统的>"
692-11-04,"aggregate equivalent peak interruption duration, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-11-04,مجموع أعلى فترات الإنقطاع المكافئة,"kumulierte äquivalente mittlere Unterbrechungsdauer bei Jahreshöchstlast, <eines Elektrizitätsversorgungssystems> f","aggregate equivalent peak interruption duration, <of an electric power system>",tiempo de desconexión equivalente en punta acumulada,"durée de coupure équivalente à la pointe cumulée, <d’un réseau d’énergie électrique> f","ピーク負荷等価合計停電時間, <電力系統の>","모집 등가 마루 정전 기간, <전력 계통>모집 등가 최대 정전 기간, <전력 계통>","оргил тасалдалтай эквивалент нийт үргэлжлэх хугацаа, <цахилгаан эрчим хүчний системийн>","równoważny szczytowy sumaryczny czas trwania przerwy, <w systemie elektroenergetycznym> m","duração acumulada de interrupção equivalente da ponta, <de um sistema de energia eléctrica>","等效峰荷累计停电持续时间, <电力系统的>"
692-11-05,bulk power energy curtailment index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-11-05,مؤشر تخفيف الطاقة الكهربية الكلية,"Index der nicht gelieferten Energie des Erzeugungs- und Übertragungssystems, m",bulk power energy curtailment indexBPECI,índice anual de insuficiencia de energía,"indice annuel d’insuffisance en énergie, m",ピーク負荷等価年間停電時間,총괄 전력 삭감 지수,үндсэн цахилгаан системийн энергийн хязгаарлалтын индекс,"równoważny szczytowy roczny czas trwania przerw, mwspółczynnik roczny energii niedostarczonej, m",índice anual de insuficiência em energia,主干电力系统电量削减指标
