term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sr,sv,zh
411-37-35,duplex wave winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-35,ملف تموجي مزدوج,"zweigängige Wellenwicklung, f",duplex wave winding,devanado ondulado doble,kahdenkertainen aaltokäämitys,"enroulement ondulé série parallèle d'ordre deux, m",avvolgimento ondulato doppio,二重波巻,이중 파권,uzwojenie faliste dwukrotne,enrolamento ondulado duplo,dvohodno valovito navitje,двоструки таласасти намотај,dubbel våglindning,双波绕组
411-37-36,multiplex wave winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-36,ملف تموجي متعدد,"mehrgängige Wellenwicklung, f",multiplex wave winding,devanado ondulado múltiple,moninkertainen aaltokäämitys,"enroulement ondulé série parallèle, m",avvolgimento ondulato serie-parallelo,多重波巻,다중 파권,uzwojenie faliste wielokrotne,enrolamento ondulado múltiplo,večhodno valovito navitje,вишеструки таласасти намотај,multipelvåglindning,复波绕组
411-37-37,frog-leg winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-37,ملف متعرجملف على شكل رجل الضفدع,"Froschbeinwicklung, f",frog-leg winding,devanado en ancas de rana,sammakonsäärikäämitys,"enroulement en pattes de grenouille, m",avvolgimento a zampa di rana,かえる足巻,와족권,uzwojenie pętlicowo-faliste uzwojenie żłobkowe,enrolamento em patas de rã,navitje žabji krak,жабљи намотај,grodbenslindning,蛙绕组
411-37-38,pole changing winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-38,ملف تغيير الأقطاب,"polumschaltbare Wicklung, f",pole changing winding,devanado de número variable de polos,napavaihtokäämitys,"enroulement à nombre de pôles variable, m",avvolgimento a numero di poli variabile,極数切換巻線,극수 절환 권선,uzwojenie o przełączalnej liczbie biegunów,enrolamento com número de pólos variável,navitje s preklopljivim številom polov,полно преклопиви намотај,polomkopplingsbar lindning,变极绕组
411-37-39,pole amplitude modulated winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-39,ملف معدل سعة القطب,"polamplitudenmodulierte Wicklung, f",pole amplitude modulated winding,devanado de modulación de polos,PAM-käämitys,"enroulement à modulation de pôles, m",avvolgimento con ampiezza dei poli modulata,PAM巻線,팜 권선,uzwojenie z modulacją liczby biegunów,enrolamento com modulação de amplitude polar,navitje z amplitudno moduliranimi poliPAM-navitje,намотај са полно амплитудном модулацијомПАМ намотај,polmodulerbar lindning,极幅调制绕组
411-37-40,electric circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-40,دائرة كهربائية,"Stromkreis, melektrische Schaltung, fSchaltung, f",electric circuit,circuito (eléctrico),virtapiiri,"circuit électrique, m",circuito (elettrico),電気回路,전기 회로,"obwód elektryczny, m",circuito (eléctrico),tokokrog (električni),(електрично) колоелектрично,elektrisk krets,电路
411-37-41,primary circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-41,دارة أولية,"Primärkreis, m",primary circuit,circuito primario,ensiöpiiri,"circuit primaire, m",circuito primario,一次回路,일차 회로,obwód pierwotny,circuito primário,primarni tokokrog,примарно коло,primärkrets,初级电路
411-37-42,secondary circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-42,دارة ثانوية,"Sekundärkreis, m",secondary circuit,circuito secundario,toisiopiiri,"circuit secondaire, m",circuito secondario,二次回路,이차 회로,obwód wtórny,circuito secundário,sekundarni tokokrog,секундарно коло,sekundärkrets,次级电路
411-37-43,armature circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-37-43,دارة عضو الإنتاج,"Ankerkreis, m",armature circuit,circuito de inducido,ankkuripiiri,"circuit d'induit, m",circuito di indotto,電機子回路,전기자 회로,obwód twornika,circuito de induzido,induktov tokokrogkotvin tokokrog,коло индукта,ankarkrets,电枢电路
411-38-01,turn,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-01,لفة,"Windung, f",turn,espira,johdinkierros,"spire, f",spira,ターン,권턴,zwój,espira,ovoj,навојак,lindningsvarv,线匝
411-38-02,coil section,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-02,مقطع ملفمقطع الوشيعة,"Spulenabschnitt, m",coil section,sección de bobina,osavyyhti,"section de bobine, f",sezione di matassa,単位コイル,코일 단,zezwój elementarny zezwój sekcja uzwojenia,secção de bobina,sekcija tuljaveodsek tuljave,навојна секција,härvdel,线圈单元
411-38-03,coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-03,ملفوشيعة,"Spule, f",coil,bobina,vyyhti,"bobine, f",matassa (o bobina),コイル,코일,zezwój  (dotyczy uzwojenia rozłożonego)cewka  (dotyczy uzwojenia skupionego),bobina,tuljava,навој,härva,钱圈
411-38-04,multi-section coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-04,ملف متعدد المقاطعوشيعة متعددة المقاطع,"unterteilte Spule, f",multi-section coil,bobina de varias secciones,moniosavyyhti,"bobine à plusieurs sections, f",bobina a più sezioni,多層巻,다층 코일,wiązka zezwojów,bobina de várias secções,sekcionirana tuljavavečdelna tuljava,навој са више секција,flerdelad härva,多单元钱圈
411-38-05,half-coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-05,نصف ملفنصف وشيعة,"Halbspule, fStab, m",half-coilbar,barrasemibobina,puolivyyhtisauva,"demi-bobine, fbarre, f",bastone o barra,ハーフコイル,반장하 코일,"półzezwój, `pręt",meia bobinabarra,polovična tuljavapalica,полунавојштап,härvhalva,半线圈线棒
411-38-06,coil side,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-06,جانب ملفجهة الوشيعة,"Spulenseite, f",coil side,lado de bobina,vyyhdensivu,"côté de bobine, m",lato di matassa,コイル辺,코일변도체,bok zezwoju,lado de bobina,stranica tuljave,страна навоја,härvsida,线圈边
411-38-07,end winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-07,ملف طرفي,"Stirnverbindung, f",end winding,conexión frontal,vyyhdenpää,"développante, f",testata,コイル端,권선 종단,czoło zezwoju,extremo de bobina,čelna zveza,бочне везекрај намотаја,härvände,线圈端部
411-38-08,winding overhang,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-08,الأجزاء الطرفية للملفرأس الوشيعة,"Wickelkopf, m",winding overhang,cabeza de bobina,vyyhdenpäät,"tête de bobine, f",sporgenza dell'avvolgimento,巻線端部,권선 돌출부,połączenia czołowe  (uzwojenia)część czołowa  (uzwojenia),cabeça de bobina,glava tuljave,глава намотаја,lindningsöverhäng,绕组端部
411-38-09,embedded coil side,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-09,جانب الملف المطمور,"in der Nut eingebettete Spulenseite, feingebettete Spulenseite, f",embedded coil sideslot portioncore portion,lado de bobina en el hierroporción de núcleoporción de ranura,vyyhdensivun uraosuus,"côté de bobine logé dans le fer, mportion d'encoche, fportion de noyau, f",tratto di matassa in cava,スロット内コイル辺,슬롯 내 코일변,część żłobkowa  (zezwoju),lado de bobina na cavalado de bobina na ranhura,utorni del stranice tuljave,активни део стране навоја,spårdel av härvsida,线圈边槽部
411-38-10,regular winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-10,ملف منتظم,"reguläre Wicklung, f",regular winding,devanado regular,säännöllinen käämitys,"enroulement régulier, m",avvolgimento regolare,整列巻,규칙권,uzwojenie uporządkowane uzwojenie o uporządkowanym rozkładzie przewodów w żłobku,enrolamento regular,urejeno navitje,правилан намотај,,规则绕组
411-38-11,form-wound winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-11,,"Wicklung aus Formspulen, f",form-wound winding,devanado preformado,muotovyyhtikäämitys,"enroulement préformé, m",avvolgimento sagomato,型巻巻線,형권형 권선,uzwojenie z ukształtowanych zezwojów,enrolamento com bobinas pré-formadasenrolamento pré-formado,predoblikovano navitješablonsko navitje,правилно сложен намотајшаблонски намотајформирани намотај,,成型绕组
411-38-12,partly form-wound winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-12,,"Wicklung aus Teilformspulen, f",partly form-wound winding,devanado parcialmente preformado,osittaismuotovyyhtikäämitys,"enroulement partiellement préformé, m",avvolgimento parzialmente sagomato,部分型巻巻線,부분적 형권형 권선,uzwojenie z częściowo ukształtowanych zezwojów,enrolamento parcialmente pré-formadoenrolamento com bobinas parcialmente pré-formadas,delno predoblikovano navitje,делимично сложен намотај,,部分成型绕组
411-38-13,random wound winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-13,ملف ملفوف عشوائياً,"wild gewickelte Wicklung, f",random wound winding,devanado de hilos,vilskekäämitys,"enroulement à fils jetés, menroulement en vrac, m",avvolgimento a fili alla rinfusa,乱巻巻線,임의 권선,uzwojenie nieuporządkowaneuzwojenie o nieuporządkowanym rozkładzie przewodów w żłobku,enrolamento de fios colocados ao acaso,neurejeno navitje,случајно сложен намотај,ruslindning,散嵌绕组
411-38-14,fed-in winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-14,ملف تلقيمي التركيب,"Träufelwicklung, f",fed-in winding,devanado de hilos introducidos por la ranura,ahtokäämitys,"enroulement à fils semés par l'entaille, m",avvolgimento a fili inseriti,落し込み巻線,페드인 권선,uzwojenie wsypywane,enrolamento de fios introduzidos na cavaenrolamento de fios introduzidos na ranhura,vsipano navitje,усипни намотај,plocklindning,嵌入绕组
411-38-15,push-through winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-15,ملف دفعي التركيبملف ذو وشيعة بشكل U,"Wicklung mit eingeschobenen Halbformspulen, fWicklung mit Halbformspulen, f",push-through winding,devanado con bobinas en U,pistokäämitys,"enroulement à bobines en U, m",avvolgimento a bobine ad U,押込み巻線,통과 권선,uzwojenie wsuwaneuzwojenie z zezwojów w kształcie U,enrolamento de bobinas em U,navitje z U-tuljavami,утиснути намотај,instickslindning,插入绕组
411-38-16,pull-through winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-16,ملف سحبي التركيب,"Durchziehwicklung, f",pull-through winding,devanado de hilos enfilados,vetokäämitys,"enroulement à fils tirés, m",avvolgimento infilato,引抜き巻線,인발 권선,uzwojenie wciągane  (całymi zezwojami)uzwojenie szyte  (pojedynczym drutem),enrolamento enfiado,šivano navitje,увучени  намотајшивени намотај,sträcklindning,拉入绕组
411-38-17,open-ended coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-17,ملف  مفتوح الطرفوشيعة مفتوحة,"Halbformspule, f",open-ended coil,bobina abierta,avoin vyyhti,"bobine ouverte, f",bobina aperta,オープンエンドコイル,오픈엔디드 코일,zezwój otwarty,bobina aberta,odprta tuljava,отворени навој,öppen härva,开口线圈
411-38-18,hairpin coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-18,ملف دبوسي الشعروشيعة بشكل U,"U-Spule, f",hairpin coil,bobina en U,U-vyyhti,"bobine en U, fbobine en épingle à cheveux, f",bobina a forcella (ad U),ヘアピンコイル,헤어핀 코일,zezwój w kształcie U,bobina em U,U-tuljava,утични навој,instickshärva,发夹式线圈
411-38-19,field coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-19,ملف مجال,"Polspule, fFeldspule, f",field coil,bobina de campo,napavyyhti,"bobine de champ, f",bobina di campo,界磁コイル,계자 코일계자 권선,cewka wzbudzenia,bobina de campobobina polar,vzbujalna tuljava,полни навој,fältspole,磁场线圈
411-38-20,tier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-20,صفطبقة,"Ebene, fEtage, f",tier,plano,taso,"plan, m",strato,段,선륜군,piętro  (uzwojenia),plano,etaža,спрат,lindningsplan,端平面
411-38-21,cranked coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-21,ملف ملتوي,"gekröpfte Spule, f",cranked coil,bobina mixta,tasonvaihtovyyhti,"bobine mixte, f",matassa con testata a gradini,変形コイル,변형 코일,zezwój krzywy,bobina mista,zvinjena tuljava,пролазни навој,planuppdelad härva,跨越线圈
411-38-22,equalizer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-22,معادلالموازن,"Ausgleichsverbinder, m",equalizer,conexión equipotencial,tasoitusyhdistys,"connexion équipotentielle, f",connessione equipotenziale,均圧結線,균압선,połączenie wyrównawcze,conexão equipotencialligação equipotencial (desaconselhado neste sentido),izenačevalna zveza,еквипотенцијална веза,utjämningsförbindning,均压线
411-38-23,dummy coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-23,ملف وهمي,"Blindspule, f",dummy coil,bobina muerta,täytevyyhti,"bobine morte, f",sezione morta,遊びコイル,놀림 코일,zezwój bierny,bobina morta,mrtva tuljava,мртва секција,blindhärva,死线圈假线圈
411-38-24,tap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-24,مأخذ,"Anzapfung, f",tap,toma,väliotto,"prise, f",presa intermedia,タップ,탭,zaczep,tomada,odcep,извод,extra lindningsuttag,抽头分接
411-38-25,tooth pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-25,خطوة السنخطوة سنية,"Nutteilung, f",tooth pitch,paso de diente,urajako,"pas dentaire, m",passo di cava,スロットピッチ,치 피치,podziałka żłobkowa,passo de ranhurapasso de cava,utorska delitev,жлебни корак,tanddelning,齿距
411-38-26,coil span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-26,باع الملف خطوة اللفخطوة الوشيعة,"Wicklungsschritt, mSpulenweite, f",coil spancoil pitch  (US),paso de bobina,vyyhdenleveys urajakoina,"pas de bobinage, m",passo di avvolgimento,コイルピッチ,코일 경간코일절,rozpiętość zezwojuposkok zezwoju,passo de bobina,širina tuljave,навојни корак,härvsteg,线圈节距
411-38-27,front span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-27,تباعد أمامي,"Schaltschritt, m",front span,paso adelante,kytkentäaskel,"pas avant, m",passo frontale,前ピッチ,앞 경간,poskok przedni,passo em frente,prednji vezalni korak navitja,предњи корак,härvsteg på kopplingssida,前节距
411-38-28,back span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-28,تباعد خلفي,"Wicklungsschritt auf der Gegenschaltseite, m",back span,paso posterior,leveysaskel,"pas arrière, m",passo posteriore,後ピッチ,뒤 경간,poskok tylny,passo atrás,zadnji vezalni korak navitja,задњи корак,härvsteg på normalsida,后节距
411-38-29,pole pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-29,خطوة قطبية,"Polteilung, f",pole pitch,paso polar,napajako,"pas polaire, m",passo polare,磁極ピッチ,극절,podziałka biegunowa,passo polar,polova delitev,полни корак,poldelning,极距
411-38-30,winding pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-30,خطوة بين اللفات,"relativer Wicklungsschritt, m",winding pitch,paso de devanado,suhteellinen vyyhdenleveys,.....,rapporto tra passo di avvolgimento e passo polare,巻線ピッチ,권선 피치,rozpiętość zezwoju względnaposkok zezwoju względny,passo relativo de bobina,relativna širina tuljave,корак намотаја,lindningssteg,绕组节距
411-38-31,full pitch winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-31,لفيفة كاملة الخطوة,"Durchmesserwicklung, f",full pitch winding,devanado de paso diametral,halkaisijakäämitys,"enroulement à pas diamétral, m",avvolgimento a passo intero,全節巻,전 절권 권선,uzwojenie średnicowe,enrolamento diametral,premersko navitje,пречнички намотај,lindning med fullt härvsteg,整距绕组
411-38-32,short pitch winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-32,لفيفة قصيرة الخطوة,"Sehnenwicklung, fWicklung mit verkürzter Schrittweite, f",short pitch winding,devanado de paso acortado,lyhytjännekäämitys,"enroulement à pas raccourci, m",avvolgimento a passo accorciato,短節巻,단절권,uzwojenie cięciwowe skrócone,enrolamento encurtado,tetivljeno navitjenavitje s skrajšano širino tuljave,скраћени намотај,lindning med förkortat härvsteg,短距绕组
411-38-33,long pitch winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-33,لفيفة طويلة الخطوة,"Wicklung mit verlängerter Schrittweite, f",long pitch winding,devanado de paso alargado,pitkäjännekäämitys,"enroulement à pas allongé, m",avvolgimento a passo allungato,長節巻,장절권,uzwojenie cięciwowe wydłużone,enrolamento alongado,podaljšano tetivljeno navitjenavitje s podaljšano širino tuljave,продужени намотај,lindning med förlängt härvsteg,长距节距
411-38-34,commutator pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-34,خطوة المبدلخطوة التوحيد,"Kommutatorschritt, m",commutator pitch,paso de colector,kommutaattoriaskel,"pas au collecteur, m",passo al collettore,整流子ピッチ,정류자 피치,poskok komutatorowy,passo no colector,komutatorski korak,колекторски корак,lamellsteg,换向器节距
411-38-35,transposition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-35,تبادل المواضع,"Verdrillung, f",transposition,transposición,vuorotteluristeily,"transposition, f",trasposizione,転位,자리바꿈바꿔놓기전치,przeplecenie transpozycja,transposição,transpozicijaprepletanje,преплеттранспозиција,partförflyttning,换位
411-38-36,Roebel transposition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-36,تبادل مواضع روبيل,"Roebel-Stabverdrillung, f",Roebel transposition,transposición Roebel,Roebelin vuorottelu,"transposition Roebel, f",trasposizione Roebel,レーベル転位,뢰벨 전위,przeplecenie Roebla,transposição Roebel,Roebelova transpozicijaRoebelovo prepletanje,Ребелов преплет,roebeltransponering,罗贝尔换位
411-38-37,distribution factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-37,عامل التوزيع,"Zonenfaktor, m",distribution factor,factor de distribución,vyöhykekerroin,"facteur de distribution, m",fattore di distribuzione,分布係数,분포 계수디에프,współczynnik grupy,factor de distribuição,pasovni faktor,појасни навојни сачинилацзонски навојни сачинилац,utbredningsfaktor,分布因数
411-38-38,pitch factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-38,عامل الخطوة,"Sehnungsfaktor, m",pitch factor,factor de paso,jännekerroin,"facteur de raccourcissement ou d'allongement, m",fattore di accorciamento (di allungamento),短節係数,단절권 계수,współczynnik rozpiętości zezwoju,factor de passo,tetivni faktor,тетивни навојни сачинилац,stegfaktor,节距因数
411-38-39,winding factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-39,عامل اللفعامل الوشيعة,"Wicklungsfaktor, m",winding factor,factor de devanado,käämityskerroin,"facteur de bobinage, m",fattore di avvolgimento,巻線係数,권선 계수,współczynnik uzwojenia,factor de enrolamento,faktor navitja,навојни сачинилацукупни навојни сачинилац,lindningsfaktor,绕组因数
411-38-40,skewed slot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-40,مجرى مائل,"geschrägte Nut, f",skewed slot,ranura inclinada,vino ura,"encoche inclinée, f",cava inclinata,斜めスロット,경사 홈경사 슬롯,skos żłobków,cava inclinadaranhura inclinada,poševni utor,закошени жлеб,sneddat spår,斜槽
411-38-41,skew factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-41,عامل الميل,"Schrägungsfaktor, m",skew factor,factor de inclinación de ranura,uravinouskerroin,"facteur d'inclinaison d'encoche, m",fattore di inclinazione,斜めスロット係数,스큐 계수,współczynnik skosu,factor de inclinação de ranhurafactor de inclinação de cava,faktor poševnosti,сачинилац закошења (жлеба),sneddningsfaktor,斜槽因数
411-38-42,effective turns per phase,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-38-42,اللفات الفاعلة لكل طوراللفات الفاعلة لكل وجه,"effektive Windungszahl je Außenleiter, f",effective turns per phase,espiras efectivas por fase,vaihekäämin tehollinen johdinkierrosluku,"spires effectives par phase, f pl",spire effettive per fase,毎相実効巻数,매상 유효 권수,efektywna liczba zwojów w paśmie uzwojenia,espiras efectivas por fase,učinkoviti ovoji na fazoekvivalentni ovoji na fazo,ефективни број навојака по фази,effektiva lindningsvarv per fas,每相有效匝数
411-39-01,conductor insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-01,عازل الموصل,"Leiterisolierung, f",conductor insulation,aislamiento de conductor,johdineristys,"isolation de conducteur, f",isolamento del conduttore,導体絶縁,도체 절연,izolacja przewodu,isolação de condutor,izolacija vodnika,изолација проводника,ledarisolering,导体绝缘
411-39-02,strand or lamination insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-02,عزل ضفيرة أو صفيحة رقيقة,"Teilleiter- oder Schichtisolierung, f",strand or lamination insulation,aislamiento de hilo,osajohdineristys,"isolation de fil, f",isolamento del filo o della piattina,素線絶縁,적층 절연,izolacja drutuizolacja przewodu elementarnego,isolação de condutor elementar,izolacija vlakna,изолација струка проводникаизолација округле или профилисане жице,partisolering,股绝缘
411-39-03,turn insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-03,عازل لفة,"Windungsisolierung, f",turn insulation,aislamiento de espira,kierroseristys,"isolation de spire, f",isolamento di spira,ターン絶縁,권선 절연,izolacja zwoju,isolação de espira,ovojna izolacija,изолација навојка,varvisolering,线匝绝缘
411-39-04,interturn insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-04,عازل بين اللفات,"Isolierung zwischen Windungen, f",interturn insulation,aislamiento entre espiras,kierrosten välieristys,"isolation entre spires, f",isolamento tra spire,ターン間絶縁,턴간 절연,izolacja międzyzwojowa,isolação entre espiras,medovojna izolacija,изолација између навојака,varvmellanlägg,匝间绝缘
411-39-05,coil or bar insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-05,عازل الملف أو القضيب,"Spulenisolierung, fStabisolierung, f",coil or bar insulation,aislamiento de bobina o de barra,vyyhtieristyssauvaeristys,"isolation de bobine ou de barre, f",isolamento di bobina o di barra,コイル絶縁,코일 절연,izolacja zezwoju lub pręta,isolação de barraisolação de bobina,tuljavična ali palična izolacija,изолација навоја или штапа,härvisolering,线圈或线棒绝缘
411-39-06,encapsulated winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-06,لفيفة موضوعة فى كبسولة,"vergossene Wicklung, f",encapsulated winding,devanado encapsulado,valueristetty käämitys,"enroulement enrobé, m",avvolgimento incapsulato,モールド絶縁巻線,밀폐 권선,uzwojenie hermetyzowane,enrolamento encapsulado,zalito navitje,заптивен намотај,inkapslad lindning,囊封式绕组
411-39-07,vacuum-pressure impregnation (of a machine),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-07,تشريب بضغط مخلخل (لآلة)تشبع تحت التفريغ,"Vakuum-Druck-Imprägnierung (einer Maschine), f",vacuum-pressure impregnation (of a machine),aislamiento de impregnación global (de una máquina),tyhjiö-painekyllästys,isolation à imprégnation globale (d'une machine) f,impregnazione sotto vuoto e pressione,"真空加圧含浸　(全含浸）, <機械の>","진공 함침, <기계>",izolacja nasycana w próżni,isolação de impregnação sob vácuo (de uma máquina),vakuumska impregnacija (stroja),вакуумско-притисна импрегнација,vakuumtryckimpregnering,"真空压力浸渍, <电机的>"
411-39-08,corona shielding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-08,حجب هالى,"Potentialsteuerung, fGlimmschutz, m",corona shielding,dispositivo antiefluvios,hohtosuoja,"dispositif anti-effluves, m",dispositivo anti-effluvi,コロナ防止,코로나 차폐,ochrona przed ulotem,protecção anti-eflúvios,protikoronska zaščita,заштита од короне,glimskydd,电晕防护
411-39-09,resistance grading (of corona shielding),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-09,تدرج المقاومة (للحجب الهالي),"Widerstands-Potentialsteuerung, fGlimmschutz mit hohem Widerstand, m",resistance grading (of corona shielding),dispositivo antiefluvios de alta resistencia,resistiivinen hohtosuoja,"dispositif anti-effluves à haute résistance, m",dispositivo anti-effluvi ad alta resistenza,高抵抗コロナ防止,"단저항, <코로나 차폐>",ochrona rezystancyjna przed ulotem,protecção anti-eflúvios de alta resistência,protikoronska uporovna zaščita,отпорна заштита од короне,resistivt glimskydd,电阻防晕层
411-39-10,coil side separator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-10,فاصل جانب الملف,"Spulenseiten-Zwischenlage, f",coil side separator,aislamiento entre lados de bobina,vyyhdensivujen väliliuska,"isolation entre côtés de bobine, f",isolamento tra i lati di bobina,コイル辺セパレータ,코일변 분리기,przekładka  (między bokami zezwojów),intercalarisolação entre lados de bobina,medstranična izolacijavmesna izolacija,међуслојна изолација,spårmellanlägg,层间绝缘
411-39-11,slot packing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-11,حشوة الشقالمجرى,"Nutenfüllstück, n",slot packing,relleno de ranura,uratäyte,"calage latéral, mbourrage d'encoche, m",spessoramento di cava,スロット間隔片,슬롯 간 부편,wkładka uszczelniająca  (w żłobku),enchimento de ranhuraenchimento de cava,utorna zagozda,попуна жлеба,spårutfyllnad,槽衬
411-39-12,slot liner,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-12,بطانة الشقالمجرى,"Nutauskleidung, f",slot liner,aislamiento de ranura,uraeriste,"caniveau d'encoche, m",cartoccio,スロットライナー,슬롯 라이너,izolacja żłobkowa,isolação de ranhuraisolação de cava,utorna izolacija,изолација дна жлеба,sidpackning,槽绝缘
411-39-13,overhang packing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-13,حشوة الجزء البارز,"Wickelkopf-Distanzstück, n",overhang packing,separador de cabeza de bobina,vyyhdenpäiden välituki,"calage de tête de bobine, m",distanziatori di testata,巻線端部間隔片,권선 단부 간 부편,wkładka dystansowa  (w połączeniach czołowych),calço de cabeças de bobinaespaçador de cabeças de bobina,distančnik glave navitja,уметак у глави намотаја,härvändsmellanlägg,端部衬垫
411-39-14,comb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-14,عزل على شكل مشط,"Wickelkopf-Stützkamm, m",comb,peine soporte,vyyhdenpäiden tukikampa,"peigne-support, m",amarraggio a pettine,巻線端部くし形間隔片,권선 단부 빗형간 부편,grzebień dystansowy  (w połączeniach czołowych),pente espaçador,glavničasti distančnik (glave navitja),чешљаст уметак,stagkam,梳形衬垫
411-39-15,belt insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-15,عزل على شكل حزام,"Wickelkopf-Zwischenisolierung, f",belt insulation,aislamiento entre capas de cabezas de bobina,vyyhdenpäiden kerrosvälituki,"isolation entre couches de tête de bobine, f",isolamento degli strati di testata,巻線端部層間絶縁,권선 단부 층간 절연,izolacja międzywarstwowa czół,isolação entre camadas de cabeças de bobina,vmesna izolacija glave navitja,међуизолација главе,mellanlägg för lindningsplan,带形绝缘
411-39-16,phase coil insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-39-16,عزل ملف الطورعازل ملف الوجه,"Spulenisolierung am Phasensprung, f",phase coil insulation,aislamiento de bobinas entre fases,vaihevälieristys,"isolation de bobines entre phases, f",isolamento della matassa fra le fasi,相間絶遠,상간 절연,izolacja międzyfazowaizolacja międzypasmowa,isolação de bobinas entre fases,medfazna tuljavna izolacija,међуфазна изолација,extra fasisolering,相间线圈绝缘
