term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,zh
614-02-31,unsuccessful reclosing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-31,إعادة غلق آلى غيرناجح,"erfolglose Wiedereinschaltung, f",unsuccessful reclosing,reenganche falsoreenganche incorrectodisparo no deseado,epäonnistunut jälleenkytkentä,"réenclenchement non réussi, m",richiusura non riuscita,再閉路失敗,재폐로 실패,"SPZ nieskuteczne, n",religação mal sucedida,"неуспешно поновно укључење, с јд",重合失败
614-02-32,final tripping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-32,فصل نهائى,"endgültige Ausschaltung, f",final trippinglock-out,desconexión finaldisparo final,lopullinen laukaisu,"déclenchement définitif, m","apertura definitiva, <di interruttore>",最終遮断,최종 트리핑,"SPZ definitywne, n",disparo definitivo,"коначно искључењеконачно окидање, с јд",最终跳闸
614-02-33,insulation fault location,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-33,موقع عطل عزل,"Fehlerortung, f",insulation fault location,localización de una falta de aislamientolocalización de un defecto de aislamiento,eristysvian paikantaminen,"localisation d’un défaut d'isolement, f",localizzazione di un guasto di isolamento,絶縁破壊箇所,절연 고장 위치,"lokalizacja uszkodzenia, f",localização do defeito de isolamento,"локација квара изолације, ж јд",绝缘故障定位
614-02-34,fault locator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-34,جهاز كشف موقع العطل,"Fehlerortungsgerät, n",fault locator,localizador de faltaslocalizador de defectos,vianpaikannuslaite,"localisateur de défaut, m",localizzatore di guasto,故障点標定装置,고장 위치 탐색기,"lokalizator uszkodzeń, m",localizador de defeito,"локатор квара, м јд",故障定位器
614-02-35,disturbance recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-35,مسجل الأعطال,"Störungsaufzeichnungsgerät, nStörungsschreiber, m",disturbance recorderperturbograph,registrador de perturbaciones,häiriötallennin,"enregistreur de perturbation, mperturbographe, m",registratore di disturbioscilloperturbografo,外乱記録装置,외란 기록기,"rejestrator zakłóceń, moscyloperturbograf, <termin niezalecany> m",registador de perturbaçõesperturbógrafo,"регистратор поремећаја, м јд",故障记录仪故障录波器
614-03-01,highest voltage for equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-01,الجهد الأعلى للمعدة,"höchste Spannung für Betriebsmittel, f",highest voltage for equipment,tensión más elevada para equipos,laitteen suurin käyttöjännite,"tension la plus élevée pour le matériel, f",tensione più elevata per l'apparecchiatura,機器最高電圧,장치 최고 전압,"napięcie najwyższe urządzenia, n",tensão mais elevada para o equipamento,"највиши напон опреме, м јд",设备最高电压
614-03-02,external insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-02,عزل خارجى,"äußere Isolierung, f",external insulation,aislamiento externoaislamiento exterior,ulkoinen eristys,"isolation externe, f",isolamento esterno,外部絶縁,외부단열재외부 절연재,"izolacja zewnętrzna, f",isolação externa,"спољашња изолација, ж јд",外绝缘
614-03-03,internal insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-03,عزل داخلى,"innere Isolierung, f",internal insulation,aislamiento interno,sisäinen eristys,"isolation interne, f",isolamento interno,内部絶縁,내부 절연,"izolacja wewnętrzna, f",isolação interna,"унутрашња изолација, ж јд",内绝缘
614-03-04,self-restoring insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-04,عزل ذاتى الأستعادة,"selbstheilende Isolierung, f",self-restoring insulation,aislamieto autorestaurado,palautuva eristys,"isolation autorégénératrice, f",isolamento autoripristinante,自己回復性絶縁,자체 복구 절연,"izolacja samoregenerująca się, f",isolação autorregeneradora,"самообновљива изолација, ж јд",自恢复绝缘
614-03-05,non-self-restoring insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-05,عزل غير ذاتى الأستعادة,"nichtselbstheilende Isolierung, f",non-self-restoring insulation,aislamiento no autorestaurado,palautumaton eristys,"isolation non autorégénératrice, f",isolamento non autoripristinante,非自己回復性絶縁,비자체 복구 절연,"izolacja niesamoregenerująca się, f",isolação não autorregeneradora,"изолација која није самообновљива, ж јд",非自恢复绝缘
614-03-06,earth fault factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-06,معامل عطل الأرضى,"Erdschlussfaktor, m","earth fault factorground fault factor, US",factor de cortocircuito a tierra,maasulkukerroin,"facteur de court-circuit à la terre, m",fattore di guasto a terra,地絡要因,지락 고장률,"współczynnik zwarcia z ziemią, mwspółczynnik doziemienia, m",fator de defeito à terra,"фактор земљоспоја, м јд",接地故障因数
614-03-07,"insulation, <of equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-07,"عزل المعدة, <لمعدة>","Isolation, <eines Betriebsmittels> f","insulation, <of equipment>","aislamiento, <de un equipo>","eristys, <laitteen>","isolement, <d’un matériel> m","isolamento, <di un'apparecchiatura>","絶縁, <機器の>","기기 절연부, <장비>","izolacja urządzenia, f","isolação, <do equipamento>","изолација, <опреме> ж јд","绝缘, <设备的>"
614-03-08,insulation co-ordination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-08,تنسيق العزل,"Isolationskoordination, f",insulation co-ordination,coordinación de aislamiento,eristyskoordinaatio,"coordination de l’isolement, f",coordinamento dell'isolamento,絶縁協調,절연 협조,"koordynacja izolacji, f",coordenação da isolação,"координација изолације, ж јд",绝缘配合
614-03-09,"rated voltage, <of equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-09,"الجهد المقنن للمعدة, <لمعدة>","Bemessungsspannung, <eines Betriebsmittels> f","rated voltage, <of equipment>",tensión asignadatensión nominal,"mitoitusjännite, <laitteen>","tension assignée, <des matériels> f","tensione nominale, <di un'apparecchiatura>","定格電圧, <機器の>","정격 전압, <장비>","napięcie znamionowe, <urządzenia> n","tensão estipulada, <do equipamento>","назначени напон, м јд","额定电压, <设备的>"
614-03-10,"overvoltage, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-10,"الجهد الزائد, < فى النظام الكهربائى>ارتفاع الجهد","Überspannung, <in einem Elektrizitätsversorgungssystem> f","overvoltage, <in an electric power system>",sobretensión,"ylijännite, <sähköjärjestelmän>","surtension, <dans un système électrique> f","sovratensione, <in un sistema elettrico>","過電圧, <電力系統の>","과전압, <전력 계통>","przepięcie, <w systemie elektroenergetycznym> n","sobretensão, <numa rede de distribuição elétrica>","пренапон, <у електроенергетском систему> м јд","过电压, <电力系统中>"
614-03-11,line-to-earth overvoltage per unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-11,الجهد الزائد بين الخط و الأرضى بالوحدةارتفاع الجهد بين الخط و الأرضى بالوحدة,"relative Überspannung Außenleiter-Erde, f",line-to-earth overvoltage per unit,valor relativo de sobretensión fase-tierravalor por unidad de sobretensión fase-tierra,äärijohtimen ja maan välinen suhteellinen ylijännite,"valeur relative de surtension phase-terre, f",valore della sovratensione verso terra in per unità,単位法による対地間過電圧,상 과전압의 피유값,"wartość względna przepięcia doziemnego, f",sobretensão por unidade fase-terra,"пренапон фазе према земљи у релативним јединицама, м јд",线对地过电压标幺值
614-03-12,line-to-line overvoltage per unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-12,جهد الزائد بين خط وخط بالوحدةارتفاع الجهد بين خط وخط بالوحدة,"relative Überspannung Außenleiter-Außenleiter, f",line-to-line overvoltage per unit,valor relativo de sobretensión entre fasesvalor por unidad de sobretensión entre fases,äärijohtimien välinen suhteellinen ylijännite,"valeur relative de surtension entre phases, f",valore della sovratensione tra fasi in per unità,単位法による線間過電圧,선간 과전압의 피유값,"wartość względna przepięcia międzyfazowego, f",sobretensão por unidade fase-fase,"пренапон између фаза у релативним јединицама, м јд",线对线过电压标幺值
614-03-13,temporary overvoltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-13,جهد زائد مؤقتارتفاع جهد مؤقت,"zeitweilige Überspannung, f",temporary overvoltage,sobretensión temporal,tilapäinen ylijännite,"surtension temporaire, f",sovratensione temporanea,短時間過電圧,일시 과전압,"przepięcie dorywcze, nTOV",sobretensão temporária,"привремени пренапон, м јд",暂态过电压
614-03-14,transient overvoltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-14,جهد زائد عابرارتفاع جهد عابر,"transiente Überspannung, f",transient overvoltage,sobretensión transitoria,transienttiylijännite,"surtension transitoire, f",sovratensione transitoria,過渡過電圧,과도 과전압,"przepięcie przejściowe, n",sobretensão transitória,"прелазни пренапон, м јд",瞬态过电压
614-03-15,electric breakdown,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-15,انهياركهربى,"elektrischer Durchbruch, melektrischer Durchschlag, m",electric breakdown,descarga eléctrica,eristyksen pettäminen,"claquage électrique, m",cedimento dell'isolamento,絶縁破壊,전기 절연 파괴,"przebicie, <elektryczne> n",disrupção elétrica,"електрични пробој, м јд",电击穿
614-03-16,disruptive discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-16,تفريغ تمزيقى,"zerstörende Entladung, f",disruptive discharge,descarga disruptiva,vahinkoa aiheuttava purkaus,"décharge disruptive, f",scarica distruttiva,破裂放電,파열 방전,"wyładowanie zupełne, n",descarga disruptiva,"разорно пражњење, с јд",破坏性放电
614-03-17,puncture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-17,ثقب,"Feststoffdurchschlag, m",puncture,perforación,läpilyönti kiinteässä eristeessä,"perforation, f",perforazione,破壊放電,관통관통 파괴구멍,"przebicie, <izolacji stałej> n",perfuração,"пробој изолације, ж јд",击穿
614-03-18,flashover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-18,وميض سطحى,"Überschlag, m",flashover,contorneamiento,ylilyönti,"contournement, m",scarica superficiale,フラッシオーバ,섬락플래시오버,"wyładowanie powierzchniowe, nprzeskok, <na izolatorze> m",contornamento,"прескок, м јд",闪络
614-03-19,sparkover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-19,شررعرضى,"Funkenüberschlag, m",sparkover,arco eléctrico,kipinäläpilyönti,"amorçage, m",scarica distruttiva in un isolante gassoso o liquido,火花放電,불꽃 연락,"przeskok, <w gazie lub cieczy> m",escorvamento,"продор пражњења, м јд",火花放电
614-03-20,withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-20,جهد التحمل,"Stehspannung, f",withstand voltage,tensión soportada,kestojännite,"tension de tenue, f",tensione di tenuta,耐電圧,내전압,"napięcie wytrzymywane, <w trakcie próby napięciowej> n",tensão suportável,"подносиви напон, м јд",耐受电压
614-03-21,rated withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-21,جهد التحمل المقنن,"Bemessungs-Stehspannung, f",rated withstand voltage,tensión soportada asignada,mitoituskestojännite,"tension de tenue assignée, f",tensione di tenuta nominale,定格耐電圧,정격 내압,"napięcie znamionowe wytrzymywane, <w trakcie próby napięciowej> n",tensão suportável estipulada,"назначени подносиви напон, м јд",额定耐受电压
614-03-22,power frequency withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-22,جهد التحمل بتردد القدرة,"Netzfrequenz-Stehspannung, f",power frequency withstand voltage,tensión soportada a frecuencia industrial,käyttötaajuinen kestojännite,"tension de tenue à fréquence industrielle, f",tensione di tenuta a frequenza industriale,商用周波数耐電圧,상용주파 내전압,"napięcie przemienne wytrzymywane, <w trakcie próby napięciowej> n",tensão suportável à frequência industrial,"подносиви напон мрежне фреквенције, м јд",工频耐受电压
614-03-23,insulation level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-23,مستوى العزل,"Isolationspegel, m",insulation level,nivel de aislamiento,eristystaso,"niveau d’isolement, m",livello di isolamento,絶縁レベル,절연 수준절연 레벨,"poziom izolacji, m",nível de isolamento,"ниво изолације, м јд",绝缘水平
614-03-24,"voltage pulse, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-24,"موجة الجهد الدفعى, <فى النظام الكهربائى >الجهد الدفعى","Stoßspannung, <in einem Elektrizitätsversorgungssystem> f","voltage pulse, <in an electric power system>impulse voltage",impulso de tensióntensión de choque,impulssijännite,"tension de choc, <dans un système d'énergie électrique> fimpulsion, f",impulso di tensione,"パルス電圧, <電力系統の>","충격 전압, <전력 계통>","udar napięcia, <w systemie energetycznym> mnapięcie impulsowe, n",tensão de impulso,"импулсни напон, <у електроенергетском систему> м јд","冲击电压, <电力系统中>"
614-03-25,surge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-25,موجة الجهد الدفعى,"Stoßwelle, f",surge,sobretensión transitoria,syöksyjännite,"tension de choc, <dans le cas d’une onde progressive> f",onda di tensione di tipo impulsivo,サージ,서지,"fala udarowa napięcia, f",tensão de choque,"напонски удар, м јд",浪涌
614-03-26,front of a voltage pulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-26,مقدمة موجة الجهد الدفعى,"Stirn einer Stoßspannung, f",front of a voltage pulse,frente de un impulso de tensiónfrente de una tensión de choque,syöksyjännitteen rinta,"front d’une tension de choc, m",fronte di un impulso di tensione,立上りパルス電圧,충격 전압 파두,"czoło udaru napięcia, n",frente de uma tensão de impulso,"чело импулсног напона, с јд",冲击电压波前
614-03-27,tail of a voltage pulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-27,نهاية موجة الجهد الدفعى,"Rücken einer Stoßspannung, m",tail of a voltage pulse,cola de un impulso de tensióncola de una tensión de choque,syöksyjännitteen selkä,"queue d’une tension de choc, f",coda di un impulso di tensione,立下りパルス電圧,충격 전압 파미,"grzbiet udaru napięcia, m",cauda de uma tensão de impulso,"зачеље импулсног напона, с јд",冲击电压波尾
614-03-28,lightning impulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-28,موجة الصواعق,"Blitzstoßspannung, f",lightning impulse,impulso de tipo rayoonda de choque de tipo rayo,salamasyöksyjännite,"tension de choc de foudre, f",impulso atmosferico,雷インパルス,뇌충격,"udar piorunowy, <umowny> m",tensão de impulso atmosférico,"атмосферски пренапон, м јд",雷电冲击波
614-03-29,"virtual front duration, <of a lightning impulse>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-29,"زمن مقدمة موجة الصواعق, <فى موجة الصواعق>","vereinbarte Stirndauer, <einer Blitzstoßspannung> f","virtual front duration, <of a lightning impulse>","duración convencional del frente, <de un impulso tipo rayo>duración convencional del frente, <de una onda de choque tipo rayo>","rinnan kestoaika, <salamasyöksyjännitteen>","durée conventionnelle de front, <d’une tension de choc de foudre> f","durata convenzionale del fronte, <di un impulso atmosferico>","規約波頭長, <雷インパルスの>","규약 파두 시간, <뇌충격>파두장, <뇌충격>","czas umowny trwania czoła, <udaru piorunowego> m","duração convencional de frente, <de uma tensão de impulso atmosférico>","виртуелно трајање чела, <атмосферског пренапона> с јд",雷电冲击波视在波前时间
614-03-30,switching impulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-30,موجة الفصل والتوصيل,"Schaltstoßspannung, f",switching impulse,impulso de maniobraonda de choque de maniobra,kytkentäsyöksyjännite,"tension de choc de manœuvre, f",tensione a impulso di manovra,開閉インパルス,개폐 충격,"udar łączeniowy, m",tensão de impulso de comutação,"склопни пренапон, м јд",操作冲击波
614-03-31,"time to crest, <of a voltage pulse>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-31,"زمن الوصول الى اقصى قيمة, <لموجة الجهد الدفعى>","Dauer bis zum Scheitel, <einer Stoßspannung> f","time to crest, <of a voltage pulse>","duración hasta la cresta, <de un impulso>duración hasta la cresta, <de una onda de choque>","nousuaika, <kytkentäsyöksyjännitteen>","durée jusqu’à la crête, <d’une tension de choc > f","durata fino alla cresta, <di una tensione a impulso>","波頭長, <電圧パルス>","마루 시간, <충격 전압>","czas trwania czoła, <udaru łączeniowego> m","duração até ao pico, <de uma tensão de impulso de comutação>","време за постизање врха, <импулсног напона> с јд","波前时间, <冲击电压的>"
614-03-32,"time to half value, <of a voltage pulse>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-32,"زمن الوصول الى نصف القيمة, <لموجة الجهد الدفعى>","Rückenhalbwertdauer, <einer Stoßspannung> f","time to half value, <of a voltage pulse>","duración hasta el valor mitad, <de un impulso>duración hasta el valor mitad, <de una onda de choque>","puoliarvonaika, <syöksyjännitteen>","durée jusqu’à la mi-valeur, <d’une tension de choc> f","durata fino all'emivalore, <di una tensione a impluso>","波尾長, <電圧パルス>","파미 시간, <충격 전압>파미장, <충격 전압>","czas do półszczytu, <impulsu> m","duração de meia amplitude, <de uma tensão de impulso>","време до половине вредности, <импулсног напона> с јд","波尾时间, <冲击电压的>"
614-03-33,full-wave voltage pulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-33,جهد دفعى كامل الموجة,"Vollwellen-Stoßspannung, f",full-wave voltage pulse,impulso de onda completa,täysaallon impulssijännite,"tension de choc plein, f",impulso di tensione a onda piena,全波パルス電圧,전파 전압 펄스,"udar napięciowy pełny, m",impulso de tensão de onda completa,"импулсни напон пуног таласа, м јд",全波冲击电压
614-03-34,chopped voltage pulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-34,جهد دفعي مقطوع الموجة,"abgeschnittene Stoßspannung, f",chopped voltage pulse,impulso de tensión truncadoonda de choque cortada,katkaistun aallon impulssijännite,"tension de choc coupé, f",impulso di tensione a onda tronca,裁断波パルス電圧,재단 전압파,"udar napięciowy ucięty, m",choque da tensão de impulso,"одсечени импулсни напон, м јд",截波冲击电压
614-03-35,time to chopping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-35,زمن حتى قطع الموجة,"Dauer bis zum Abschneiden, f",time to chopping,"duración hasta el corte, <de un impulso>",katkaisuaika,"durée jusqu’à la coupure, f",durata fino alla troncatura,裁断までの時間,절단 시간,"czas do ucięcia udaru, m",duração até ao corte,"време до одсецања, с јд",截断时间
614-03-36,pulse generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-36,مولد نبضات دفعية,"Stoßspannungsgenerator, m",pulse generator,generador de impulsosgenerador de ondas de choque,syöksyjännitegeneraattori,"générateur de choc, m",generatore di impulsi,パルス発生器,펄스 발생기,"generator impulsów udarowych, m",gerador de impulso,"импулсни генератор, м јд",冲击电压发生器
614-03-37,internal overvoltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-37,"جهد زائد داخلى, ارتفاع جهد داخلى","innere Überspannung, f",internal overvoltage,sobretensión interna,sisäinen ylijännite,"surtension interne, f",sovratensione interna,内部過電圧,내부 과전압,"przepięcie wewnętrzne, n",sobretensão interna,"унутрашњи пренапон, м јд",内部过电压
614-03-38,external overvoltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-38,"جهد زائد خارجى, ارتفاع جهد خارجى","äußere Überspannung, f",external overvoltage,sobretensión externa,ulkoinen ylijännite,"surtension externe, f",sovratensione esterna,外部過電圧,외부 과전압,"przepięcie zewnętrzne, n",sobretensão externa,"спољашњи пренапон, м јд",外部过电压
614-03-39,direct lightning strike,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-39,صاعقة مباشرة,"direkter Blitzeinschlag, m",direct lightning strike,impacto directo del rayo,suora salamanisku,"coup de foudre direct, m",fulminazione diretta,直撃雷,직접뇌,"uderzenie pioruna bezpośrednie, n",descarga atmosférica direta,"директан удар грома, м јд",直接雷击
614-03-40,indirect lightning strike,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-40,صاعقة غير مباشرة,"indirekter Blitzeinschlag, m",indirect lightning strike,impacto indirecto del rayo,epäsuora salamanisku,"coup de foudre indirect, m",fulminazione indiretta,誘導雷,간접 뇌,"uderzenie pioruna pośrednie, n",descarga atmosférica indireta,"индиректни удар грома, м јд",非直接雷击
614-03-41,back flashover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-41,وميض سطحى مرتد,"rückwärtiger Blitzeinschlag, m",back flashover,cebado de retorno,salaman aiheuttama ylilyönti,"amorçage en retour, m",scarica superficiale di ritorno,逆フラッシオーバ,역 섬락역 플래시오버,"przeskok odwrotny, m",disrupção em retorno,"повратни прескок, м јд",反击
614-03-42,accidental voltage transfer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-42,انتقال جهد زائد,"fehlerbedingter Spannungsübertritt, m",accidental voltage transfer,transferencia accidental de tensión,jänniteportaasta toiseen päässyt jännite,"transfert accidentel de tension, m",trasferimento accidentale di tensione,偶発移行電圧,우발적 전압 전달,"przerzut awaryjny napięcia, m",transferência acidental de tensão,"случајни пренос напона, м јд",意外电压转移
614-03-43,resonant overvoltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-43,"جهد زائد رنينى, ارتفاع جهد رنينى","Resonanzüberspannung, f",resonant overvoltage,sobretensión de resonancia,resonanssiylijännite,"surtension de résonance, f",sovratensione di risonanza,共振過電圧,공진 과전압,"przepięcie rezonansowe, n",sobretensão de ressonância,"резонантни пренапон, м јд",谐振过电压
614-03-44,dielectric dry test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-44,اختبار جاف لتحمل العزل,"dielektrische Trockenprüfung, f",dielectric dry test,ensayo dieléctrico en seco,eristyksen kuivatesti,"essai diélectrique à sec, m",prova di isolamento a secco,乾燥フラッシオーバ試験,유전 건식 시험,"próba wytrzymałości elektrycznej na sucho, f",ensaio dielétrico a seco,"испитивање диелектричне чврстоће у сувом, с јд",介质干试验
614-03-45,dielectric wet test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-45,اختبار مبلل لتحمل العزل,"dielektrische Regenprüfung, f",dielectric wet test,ensayo dieléctrico húmedo,eristyksen sadetesti,"essai diélectrique sous pluie, m",prova di isolamento sotto pioggia,注水フラッシオーバ試験,유전 습식 시험,"próba wytrzymałości elektrycznej w deszczu, f",ensaio dielétrico sob chuva,"испитивање диелектричне чврстоће у влажном, с јд",介质湿试验
614-03-46,artificial pollution test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-46,اختبارتلوث اصطناعى,"Fremdschichtprüfung, f",artificial pollution test,ensayo de polución artificial,likatesti,"essai sous pollution artificielle, m",prova di contaminazione artificiale,人工汚損試験,인공 오손 시험,"próba wytrzymałości elektrycznej przy zabrudzeniu, <sztucznym> f",ensaio de poluição artificial,"испитивање у загађеној атмосфери, с јд",人工污秽试验
614-03-47,overvoltage limiting device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-47,"جهاز محد للجهد الزائد, جهاز محد لارتفاع الجهد","Überspannungsbegrenzer, m",overvoltage limiting device,dispositivo limitador de sobretensiones,ylijännitteitä rajoittava laite,"dispositif de limitation des surtensions, m",dispositivo di limitazione delle sovratensioni,過電圧制限装置,과전압 제한장치,"ogranicznik przepięć, m",dispositivo limitador de sobretensão,"уређај за ограничење пренапона, м јд",过电压限制装置
614-03-48,surge protective device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-48,جهاز للحماية من الموجات الدفعية,"Überspannungsschutzeinrichtung, f",surge protective device,dispositivo de protección contra sobretensiones transitorias,ylijännitesuoja,"dispositif de protection contre les surtensions, m",dispositivo di protezione contro le sovratensioni,サージ保護装置,서지 보호장치,"zabezpieczenie przeciwprzepięciowe, n",dispositivo de proteção de sobrecarga,"пренапонски заштитни уређај, м јд",浪涌保护装置
614-03-49,follow current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-49,تيار تابع لتيارالتفريغ,"Folgestrom, m",follow current,corriente de cola,jälkivirta,"courant de suite, m",corrente susseguente,続流,후속 전류,"prąd następczy, m",corrente de seguimento,"пропратна струја, ж јд",续流
614-03-50,protective spark gap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-50,ثغرة الحماية,"Schutzfunkenstrecke, f",protective spark gap,explosor,suojakipinäväli,"éclateur de protection, m",spinterometro di protezione,保護用スパークギャップ,보호 불꽃간극,"iskiernik, m",disruptor de proteção,"заштитно искриште, с јд",保护火花间隙
614-03-51,surge arrester,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-51,مانعة الجهود الزائدةمانعة الصواعقموجه الصواعق,"Überspannungsableiter, m",surge arresterlightning arrestersurge diverter,"pararrayosdescargador, <de sobretensiones>",virtaa rajoittava ylijännitesuoja,"parafoudre, m",scaricatore,サージ避雷器,서지 피뢰기,"odgromnik, m","descarregador de sobretensões, <atomosféricas>","одводник пренапона, м јд",避雷器过电压瞬态行波限制器
614-03-52,"discharge current, <of a surge arrester>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-52,"تيارالتفريغ, <لمانعة الجهود الزائدة>","Ableitstoßstrom, <eines Überspannungsableiters> m","discharge current, <of a surge arrester>",corriente de descarga,"purkausvirta, <ylijännitesuojan>","courant de décharge, <d’un parafoudre> m","corrente di scarica, <di uno scaricatore>","放電電流, <避雷器の>","방전 전류, <서지 피뢰기>","prąd wyładowczy, <odgromnika> m","corrente de descarga, <de um descarregador de sobretensões>","струја пражњења, <одводника пренапона> ж јд","放电电流, <避雷器的>"
614-03-53,"residual voltage, <of a surge arrester>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-53,"الجهد المتبقى, <لمانعة الجهود الزائدة>","Restspannung, <eines Überspannungsableiters> f","residual voltage, <of a surge arrester>",tensión residual,"jäännösjännite, <ylijännitesuojan>","tension résiduelle, <d’un parafoudre> f","tensione residua, <di uno scaricatore>","残留電圧, <避雷器の>","잔류 전압, <서지 피뢰기>","napięcie resztkowe, <odgromnika> n","tensão residual, <de um descarregador de sobretensões>","преостали напон, <одводника пренапона> м јд","残压, <避雷器的>"
614-03-54,non-linear resistor type surge arrester,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-54,مانعة الجهود الزائدة من النوع غير الخطى,"Ventilableiter, m",non-linear resistor type surge arrester,pararrayos de resistencia variablepararrayos de resistencia no lineal,venttiilisuoja,"parafoudre à résistance variable, m",scaricatore a resistenza non lineare,非線形型避雷器,비선형 저항형 피뢰기,"odgromnik zaworowy, m",descarregador de sobretensão de resistência variável,"одводник са нелинеарном отпорношћу, м јд",非线性电阻型避雷器
614-03-55,expulsion type surge arrester,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-55,مانعة الجهود الزائدة من النوع الطرد,"Rohrableiter, m",expulsion type surge arrester,paparrayo de expulsión,puhallusylijännitesuoja,"parafoudre à expulsion, m",scaricatore a espulsione,放出型避雷器,방충형 피뢰기,"odgromnik wydmuchowy, m",descarregador de sobretensões de expulsão,"издувни одводник пренапона, м јд",排气式避雷器管式避雷器
614-03-56,"lightning impulse protective level, <of a surge protective device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-56,"مستوى الحماية من موجات الصواعق, <لمانعة الجهود الزائدة>","Blitzstoßspannungs-Schutzpegel, <einer Überspannungsschutzeinrichtung> m","lightning impulse protective level, <of a surge protective device>",nivel de protección contra impulsos tipo rayo,salamasyöksyjännitteen suojaustaso,"niveau de protection aux chocs de foudre, <d’un dispositif de protection> m",livello di protezione contro le sovratensioni di tipo impulsivo,"雷インパルス保護レベル, <サージ保護装置の>","뇌충격 보호 수준, <서지 보호 장치>","piorunowy poziom ochrony, <urządzenia zabezpieczającego> m","nível de protecção às sobretensões atmosféricas, <de um dispositivo de protecção>","заштитни ниво атмосферског пренапона, <пренапонског заштитног уређаја> м јд","雷电冲击保护水平, <保护装置的>"
