term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
113-03-16,weight,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-16,وزن,tížeNEVHODNÝ TERMÍN: váha,"Gewichtskraft, fGewicht, n",weight,peso,paino,"poids, m",peso,重量,무게,ciężar,peso,tyngd,重量
113-03-17,gravitational constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-17,ثابت الجاذبية,gravitační konstanta,"Gravitationskonstante, f",gravitational constant,constante de gravitación,gravitaatiovakio,"constante de gravitation, f",costante gravitazionale,重力定数,중력 상수,stała grawitacjistała ciążenia,constante de gravitacional,gravitationskonstant,引力常量
113-03-18,force density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-18,كثافة القوةقوة حجمية,hustota sílyobjemová síla,"Kraftdichte, fvolumenbezogene Kraft, f",force densityvolumic force,fuerza por unidad de volumendensidad de fuerza,voimatiheys,"force volumique, f",densità di forzaforza volumica,力密度体積力,힘 밀도체적 힘,gęstość siłygęstość objętościowa siły,força volúmica,"krafttäthetvolumar kraft, kraft per volym",力密度
113-03-19,potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-19,فرق جهد,potenciál,"Potential, n",potential,potencial,potentiaali,"potentiel, m",potenziale,ポテンシャル,포텐셜,potencjał,potencial,potential,势
113-03-20,impulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-20,نبضة دفعية,impulzimpulz síly,"Kraftstoß, m",impulse,impulso,impulssi,"impulsion, f",impulso,力積,임펄스,popęd siłypopędimpuls,impulsão,impuls,冲量
113-03-21,moment of inertia,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-21,عزم القصور الذاتىكتلة عزم القصور الذاتى,moment setrvačnosti,"Massenträgheitsmoment, n",moment of inertiamass moment of inertia,momento de inercia,hitausmomentti,"moment d’inertie, m",momento d’inerzia,慣性モーメント質量慣性モーメント,관성 모멘트관성 질량 모멘트,moment bezwładności,momento de inércia,tröghetsmomentmasströghetsmoment,转动惯量
113-03-22,angular momentum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-22,كمية الحركة الزاويةعزم الحركة الزاوية,moment hybnosti,"Drehimpuls, m",angular momentummoment of momentum,momento cinéticomomento angular,liikemäärämomentti,"moment cinétique, m",momento angolaremomento della quantità di moto,角運動量運動量モーメント,각 운동량운동량 모멘트,krętmoment pędu,momento cinético,rörelsemängdsmoment,角动量动量矩
113-03-23,moment of force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-23,عزم القوة,moment síly,"Drehmoment, nKraftmoment, n",moment of force,momento de una fuerza,voiman momentti,"moment de force, m",momento della forza,力のモーメント,힘 모멘트,moment siły,momento de força,kraftmoment,力矩
113-03-24,couple of forces,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-24,ازدواج القوةازدواج,silová dvojicedvojice sil,"Kräftepaar, n",couple of forcescouple,par de fuerzaspar (1),voimapari,"couple de forces, mcouple (1), m",coppia di forzacoppia,偶力,짝 힘짝,para sił,binário de forçasbinário (1),kraftpar,力偶
113-03-25,moment of a couple,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-25,عزم الإزدواج,moment dvojice,"Kräftepaarmoment, nDrehmoment eines Kräftepaares, n",moment of a couple,momento de un par,voimaparin momentti,"moment d’un couple, m",momento di una coppia,偶力モーメント,짝 모멘트,moment pary sił,momento de um binário,moment av ett kraftpar,力偶矩
113-03-26,torque,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-26,عزم محورى,točivý moment,"Torsionsmoment, nDrillmoment, nDrehmoment (im Maschinenbau), n",torque,par (2)momento de torsión,vääntömomentti,"couple (2), mmoment de torsion, m",coppiamomento torcente,トルク,토크,moment obrotowy,momento de torçãobinário (2),vridmoment,转矩
113-03-27,bending moment (of force),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-27,عزم الانحناء,ohybový moment,"Biegemoment, n",bending moment (of force),momento de flexión,taivutusmomentti,"moment de flexion, m",momento flettente (di una forza),力の曲げモーメント曲げモーメント,"휨 모멘트, <힘>",moment gnącymoment zginający,momento de flexão,böjmoment av en kraft,弯矩
113-03-28,angular impulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-28,نبضة دفعية زاوية,impulz momentu,"Drehmomentstoß, m",angular impulse,impulso angular,kiertoimpulssi,"impulsion angulaire, f",impulso angolare,角力積,각 임펄스,popęd kątowy,impulsão angular,impulsmoment,角冲量冲量矩
113-03-29,second axial moment of area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-29,عزم محورى ثان للمساحة,kvadratický moment průřezuosový kvadratický moment průřezu,"axiales Flächenträgheitsmoment, naxiales Flächenmoment, n, (abgelehnt)",second axial moment of area,momento cuadrático axial de una superficie plana,aksiaalinen jäyhyysmomentti,"moment quadratique axial d'une aire plane, m",momento quadratico assiale di un’area,断面二次軸モーメント,단면 2차 축 모멘트,moment osiowy pola powierzchni (geometryczny),momento quadrático axial da superficie,axiellt yttröghetsmoment,截面二次轴矩
113-03-30,second polar moment of area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-30,عزم قطبى ثان للمساحة,polární moment průřezupolární kvadratický moment průřezu,"polares Flächenträgheitsmoment, npolares Flächenmoment, n, (abgelehnt)",second polar moment of area,momento cuadrático polar de una superficie plana,polaarinen jäyhyysmomentti,"moment quadratique polaire d'une aire plane, m",momento quadratico polare di un’area,断面二次極モーメント,단면 2차 극 모멘트,moment biegunowy pola powierzchni (geometryczny),momento quadrático polar da superficie,polärt yttröghetsmoment,截面二次极矩
113-03-31,section modulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-31,معامل مقطعى,průřezový modul,"Widerstandsmoment, n",section modulus,módulo de inerciamódulo de sección,taivutusvastus,"module d’inertie, mmodule de section, m",modulo di resistenza,断面係数,단면 계수,moment osiowy względny pola powierzchni (geometryczny),módulo de inércia,tvärsnittsmotstånd,截面模量
113-03-32,dynamic friction factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-32,عامل احتكاك ديناميكى,dynamický činitel tření,"dynamischer Reibungsfaktor, m",dynamic friction factor,coeficiente de rozamiento dinámico,liukukitkakerroinhankauskitkakerroin,"facteur de frottement dynamique, m",fattore d’attrito dinamico,運動摩擦係数,동적 마찰 계수,współczynnik tarcia dynamiczny,factor de atrito dinâmico,dynamisk friktionsfaktor,动摩擦因数
113-03-33,static friction factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-33,عامل احتكاك استاتيكى,statický činitel tření,"statischer Reibungsfaktor, m",static friction factor,coeficiente de rozamiento estático,lähtökitkakerroinlepokitkakerroin,"facteur de frottement statique, m",fattore d’attrito statico,静止摩擦係数,정지 마찰 계수,współczynnik tarcia statyczny,factor de atrito estático,statisk friktionsfaktor,静摩擦因数
113-03-34,dynamic viscosity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-34,لزوجة ديناميكيةلزوجة,dynamická viskozitaviskozita,"dynamische Viskosität, fViskosität, f",dynamic viscosityviscosity,viscosidad dinámicaviscosidad,dynaaminen viskositeetti,"viscosité dynamique, fviscosité, f",viscosità dinamicaviscosità,動的粘性粘性,동적 점도점도,lepkość dynamicznalepkość,viscosidade dinâmica,dynamisk viskositetviskositet,动力黏度黏度
113-03-35,kinematic viscosity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-35,لزوجة كامنة,kinematická viskozita,"kinematische Viskosität, f",kinematic viscosity,viscosidad cinemática,kinemaattinen viskositeetti,"viscosité cinématique, f",viscosità cinematica,運動学的粘性動粘性率,운동 점도,lepkość kinematyczna,viscosidade cinemática,kinematisk viskositet,运动黏度
113-03-36,Reynolds number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-36,عدد (كمية) رينولدز,Reynoldsovo číslo,"Reynolds-Zahl, f",Reynolds number,número de Reynolds,Reynoldsin luku,"nombre de Reynolds, m",numero di Reynolds,レイノルズ数,레이놀즈 수,liczba Reynoldsa,número de Reynolds,reynoldstal,雷诺数
113-03-37,Mach number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-37,عدد (كمية) ماخ,Machovo číslo,"Mach-Zahl, f",Mach number,número de Mach,Machin luku,"nombre de Mach, m",numero di Mach,マッハ数,마하수,liczba Macha,número de Mach,machtal,马赫数
113-03-38,Knudsen number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-38,عدد (كمية) كنيدسن,Knudsenovo číslo,"Knudsen-Zahl, f",Knudsen number,número de Knudsen,Knudsenin luku,"nombre de Knudsen, m",numero di Knudsen,クヌーセン数,크누센 수,liczba Knudsena,número de Knudsen,knudsental,克努森数
113-03-39,Strouhal number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-39,عدد (كمية) ستروهال,Strouhalovo číslo,"Strouhal-Zahl, f",Strouhal number,número de Strouhal,Strouhalin luku,"nombre de Strouhal, m",numero di Strouhal,ストローハル数,스트로우홀 수,liczba Strouhala,número de Strouhal,strouhaltal,施特鲁哈尔数
113-03-40,Euler number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-40,عدد (كمية) إيلر,Eulerovo číslo,"Euler-Zahl, f",Euler number,número de Euler,Eulerin luku,"nombre d’Euler, m",numero Eulero,オイラー数,오일러 수,liczba Eulera,número de Euler,eulertal,欧拉数
113-03-41,Froude number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-41,عدد (كمية) فرويد,Froudovo číslo,"Froude-Zahl, f",Froude number,número de Froude,Frouden luku,"nombre de Froude, m",numero di Froude,フルード数,프루드 수,liczba Froude’a,número de Froude,froudetal,弗劳德数
113-03-42,surface tension,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-42,توتر سطحى,povrchové napětí,"Oberflächenspannung, f",surface tension,tensión superficial,pintajännitys,"tension superficielle, f",tensione superficiale,表面張力,표면장력,napięcie powierzchniowe,tensão superficial,ytspänning,表面张力
113-03-43,Weber number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-43,عدد (كمية) ويبر,Weberovo číslo,Weber-Zahl,Weber number,número de Weber,Weberin luku,"nombre de Weber, m",numero di Weber,ウェーバー数,웨버 수,liczba Webera,número de Weber,webertal,韦伯数
113-03-44,work,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-44,شغل,práce,"Arbeit, f",work,trabajo,työ,"travail, m",lavoro,仕事,일,praca,trabalho,arbete,功
113-03-45,energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-45,طاقة,energie,"Energie, f",energy,energía,energia,"énergie, f",energia,エネルギー,에너지전력량,energia,energia,energi,能量能
113-03-46,joule,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-46,جول (وحدة طاقة),joule,"Joule, n",joule,joulejulio,joule,"joule, m",joule,ジュール,줄,dżul,joule,joule,焦耳焦
113-03-47,electronvolt,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-47,إليكترون فولت,elektronvolt,"Elektronvolt, n",electronvolt,electronvoltio,elektronivoltti,"électronvolt, m",elettronvolt,電子ボルト,전자볼트,elektronowolt,electrãovolt,elektronvolt,电子伏特电子伏
113-03-48,potential energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-48,طاقة وضع,potenciální energie,"potentielle Energie, f",potential energy,energía potencial,potentiaalienergia,"énergie potentielle, f",energia potenziale,位置エネルギー,위치에너지,energia potencjalna,energia potencial,potentiell energi,势能
113-03-49,kinetic energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-49,طاقة كامنة,kinetická energie,"kinetische Energie, f",kinetic energy,energia cinética,liike-energia,"énergie cinétique, f",energia cinetica,運動エネルギー,운동에너지,energia kinetyczna,energia cinética,kinetisk energi,动能
113-03-50,mechanical energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-50,طاقة ميكانيكية,mechanická energie,"mechanische Energie, f",mechanical energy,energía mecánica,mekaaninen energia,"énergie mécanique, f",energia meccanica,力学的エネルギー,역학적 에너지,energia mechaniczna,energia mecânica,mekanisk energi,机械能
113-03-51,action,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-51,عملية,akce,"Wirkung, f",action,acción,vaikutus,"action, f",azione,作用,작용,działanie,acção,verkan,作用量
113-03-52,power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-52,قدرة,výkon,"Leistung, f",power,potencia,teho,"puissance, f",potenza,力仕事率,힘,moc,potência,effekt,功率
113-03-53,input power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-53,قدرة دخل,příkonvstupní výkon,"Eingangsleistung, f",input power,potencia de entrada,syöttötehoottoteho,"puissance d'entrée, f",potenza di ingresso,入力電力,입력 전력,moc wejściowa,potência de entrada,"ineffekt, inkommande effekt",输入功率
113-03-54,output power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-54,قدرة خرج,výstupní výkonvýkon,"Ausgangsleistung, f",output power,potencia de salida,antoteho,"puissance de sortie, f",potenza di uscita,出力電力,출력 전력,moc wyjściowa,potência de saída,"uteffekt, utgående effekt",输出功率
113-03-55,watt,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-55,وات,watt,"Watt, n",watt,vatio,watti,"watt, m",watt,ワット,와트,wat,watt,watt,瓦特瓦
113-03-56,efficiency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-56,كفاءة,účinnost,"Wirkungsgrad, m",efficiency,rendimiento,hyötysuhde,"rendement, m",efficienza,効率,효율,sprawność,eficiência,verkningsgrad,效率
113-03-57,strain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-57,توتر (إجهاد)تشوه,deformace,"Verformung, f",straindeformation,deformación,muodonmuutos,"déformation, f",deformazione,歪み変形,변형변형,odkształceniedeformacja,deformação,töjningdeformation,形变
113-03-58,linear strain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-58,توتر خطى,poměrné prodloužení,"Dehnung, f",linear strainlineic strain,dilatación lineal,suhteellinen venymä,"allongement linéique relatif, mdilatation linéique relative, f",dilatazione lineicaelongazione lineica relativa,線的歪み線形歪み,선 변형선형 변형,dylatacja liniowa względnawydłużenie względne,dilatação linear relativa,längdtöjning,线应变
113-03-59,shear strain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-59,توتر قص,zkos,"Scherung, fScherverformung, f",shear strain,deslizamiento unitario,liukukulma,"glissement unitaire, m",spostamento relativo unitario,せん断歪み,전단 변형률,przesunięcie jednostkowe warstwowe (materiału),deslisamento unitário,skjuvning,剪切应变
113-03-60,volume strain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-60,توتر حجم,poměrná změna objemu,"relative Volumenvergrößerung, f",volume strain,dilatación volumétrica relativa,suhteellinen tilavuudenmuutos,"dilatation volumique relative, f",incremento volumico relativo,体積歪み,부피 변형,dylatacja objętościowa względna,dilatação volúmica relativa,volymtöjning,体应变
113-03-61,Poisson number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-61,عدد (كمية) بواسون,Poissonovo číslo,"Poisson-Zahl, f",Poisson number,número de Poisson,suppeumakerroinPoissonin luku,"nombre de Poisson, m",numero di Poisson,ポアソン数,푸아송 수,liczba Poissona,número de Poisson,poissontal,泊松数泊松比
113-03-62,stress,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-62,إجهاد,napětí,"mechanische Spannung, fSpannung, f",stress,esfuerzo,jännitys,"contrainte, f",sforzosollecitazione,応力,응력,tensor naprężeń stycznych,esforço,spänning,应力
113-03-63,normal stress,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-63,إجهاد عادى,normálové napětí,"mechanische Normalspannung, f",normal stress,esfuerzo normal,normaalijännitys,"contrainte normale, ftension normale, f",sforzo normale,法線応力垂直応力,수직 응력,naprężenie normalne,esforço normal,normalspänning,法向应力
113-03-64,shear stress,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-64,إجهاد قص,smykové napětí,"Scherspannung, f",shear stress,esfuerzo tangencial,leikkausjännitys,"contrainte tangentielle, f",sforzo di tagliosforzo tangenziale,せん断応力,전단 응력,naprężenie styczne,esforço tangencial,skjuvspänning,剪切应力
113-03-65,pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-65,ضغط,tlak,"Druck, m",pressure,presión,paine,"pression, f",pressione,圧力,압력,ciśnienie,pressão,tryck,压强
113-03-66,pascal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-66,باسكال ( وحدة قياس الضغط),pascal,"Pascal, n",pascal,pascal,pascal,"pascal, m",pascal,パスカル,파스칼,paskal,pascal,pascal,帕斯卡帕
113-03-67,modulus of elasticity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-67,معامل المرونةمعامل يانج,modul pružnosti v tahuYoungův modul pružnosti,"Elastizitätsmodul, m",modulus of elasticityYoung modulus,módulo de elasticidad longitudinalmódulo de Young,kimmokerroin,"module d'élasticité longitudinale, mmodule de Young, m",modulo di elasticitàmodulo di Young,縦弾性係数ヤング率,탄성 계수영 계수,moduł sprężystości wzdłużnejmoduł Younga,módulo de elasticidade longitudinalmódulo de Young,elasticitetsmodulYoungs modul,弹性模量杨氏模量
113-03-68,modulus of rigidity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-68,معامل الصلابةمعامل كولومب,modul pružnosti ve smykuCoulombův modul,"Schermodul, m",modulus of rigidityCoulomb modulus,módulo de elasticidad de deslizamientomódulo de rigidezmódulo de Coulomb,liukukerroin,"module d'élasticité de glissement, mmodule de Coulomb, m",modulo di rigiditàmodulo di Coulomb,剛性係数剛性率クーロン係数,강성 계수쿨롬 계수,moduł sprężystości poprzecznejmoduł sprężystości postaciowej,módulo de elasticidade de deslisamentomódulo de Coulomb,Coulombs modulstyvhetsmodul,刚性模量
113-03-69,modulus of compression,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-69,معامل انضغاطمعامل الجسم,modul objemové pružnosti,"Kompressionsmodul, m",modulus of compressionbulk modulus,módulo de compresibilidad,puristuskerroin,"module de compressibilité volumique, m",modulo di compressione,圧縮弾性係数圧縮弾性係数率体積弾性係数体積弾性係数率,압축 계수부피 탄성 계수,moduł ściśliwości objętościowej,módulo de compressibilidade volúmica,kompressibilitetsmodul,压缩模量体积弹性模量体弹模量
113-03-70,compressibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-70,قابلية الانضغاطقابلية انضغاط الجسم,stlačitelnostobjemová stlačitelnost,"Kompressibilität, fKompressibilitätskoeffizient, m",compressibilitybulk compressibility,coeficiente de compresibilidad,puristuvuus,"coefficient de compressibilité volumique, m",coefficiente di compressibilità volumica,圧縮率体積圧縮率,압축률부피 압축률,ściśliwość objętościowaściśliwość,coeficiente de compressibilidade volúmica,kompressibilitet,压缩率体积压缩率
113-03-71,mass flow rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-71,معدل تدفق المادة ( الكتلة),hmotnostní tok,"Massenstrom, mMassendurchsatz, m",mass flow rate,flujo másico,massavirta,"débit-masse, m",tasso di flusso della massa,質量流量率,질량 유량율,wydatek masy,débito-massa,massflöde,质量流率
113-03-72,volume flow rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-72,معدل تدفق الحجم,objemový tok,"Volumenstrom, mVolumendurchsatz, m",volume flow rate,flujo volumétrico,tilavuusvirta,"débit-volume, m",tasso di flusso del volume,体積流量率,부피 유량율,wydatek objętościowywydatek,débito-volume,volymflöde,体积流率
113-03-73,generalized coordinate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-73,إحداثيات عامة,zobecněná souřadnice,"generalisierte Koordinate, f",generalized coordinate,coordenada generalizada,yhdenmukaistettu koordinaatti,"coordonnée généralisée, f",coordinata generalizzata,一般化座標,일반화 좌표,współrzędna uogólniona,coordenada generalizada,generaliserad koordinat,广义坐标
113-03-74,generalized velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-74,سرعة عامة,zobecněná rychlost,"generalisierte Geschwindigkeit, f",generalized velocity,velocidad generalizada,yhdenmukaistettu nopeus,"vitesse généralisée, f",velocità generalizzata,一般化速度,일반화 속도,prędkość uogólniona,velocidade generalizada,generaliserad fart,广义速度
113-03-75,generalized force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-75,قوة عامة,zobecněná síla,"generalisierte Kraft, f",generalized force,fuerza generalizada,yleistetty voima,"force généralisée, f",forza generalizzata,一般化力,일반화 힘,siła uogólniona,força generalizada,generaliserad kraft,广义力
113-03-76,Lagrange function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-76,معادلة لاجرانج,lagrangiánLagrangeova funkce,"Lagrange-Funktion, f",Lagrange function,función de Lagrange,Lagrangen funktio,"fonction de Lagrange, f",funzione di Lagrange,ラグランジュ関数,라그랑주 함수,funkcja Lagrange’a,função de Lagrange,lagrangefunktion,拉格朗日函数
113-03-77,generalized momentum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-77,عزم عام,zobecněná hybnost,"generalisierter Impuls, m",generalized momentum,cantidad de movimiento generalizada,yleistetty liikemäärä,"quantité de mouvement généralisée, f",quantità di moto generalizzatamomento generalizzato,一般化運動量,일반화 운동량,pęd uogólniony,quantidade de movimento generalizada,generaliserad rörelsemängd,广义动量
113-03-78,Hamilton function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-78,معادلة هاميلتون,hamiltoniánHamiltonova funkce,"Hamilton-Funktion, f",Hamilton function,función de Hamilton,Hamiltonin funktio,"fonction de Hamilton, f",funzione di Hamilton,ハミルトン関数,해밀톤 함수,funkcja Hamiltona,função de Hamilton,hamiltonfunktion,哈密顿函数
113-04-01,isolated system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-01,نظام منعزل,izolovaná soustava,"abgeschlossenes System, n",isolated system,sistema aislado,eristetty järjestelmä,"système isolé, m",sistema isolato,孤立系,고립 계통,układ izolowany,sistema isolado,isolerat system,孤立系统孤立系
113-04-02,closed system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-02,نظام مغلق,uzavřená soustava,"geschlossenes System, n",closed system,sistema cerrado,suljettu järjestelmä,"système fermé, m",sistema chiuso,閉鎖系,닫힌 계,układ zamknięty,sistema fechado,slutet system,封闭系统封闭系
113-04-03,open system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-03,نظام مفتوح,otevřená soustava,"offenes System, n",open system,sistema abierto,avoin järjestelmä,"système ouvert, m",sistema aperto,開放系,열린 계,układ otwarty,sistema aberto,öppet system,开放系统开放系
113-04-04,microstate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-04,حالة مصغرة,mikrostav,"Mikrozustand, m",microstate,microestado,mikrotila,"micro-état, m",microstato,微視的状態,미시 상태,stan mikroskopowy,micro-estado,mikrotillstånd,微观态
113-04-05,macrostate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-05,حالة مكبرة,makrostav,"Makrozustand, m",macrostate,macroestado,makrotila,"macro-état, m",macrostato,巨視的状態,거시 상태,stan makroskopowy,macro-estado,makrotillstånd,宏观态
113-04-06,macroscopic property,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-06,خاصية ترى بالعين المجردة,makroskopická vlastnost,"makroskopische Eigenschaft, f",macroscopic property,propiedad macroscópica,makro-ominaisuus,"propriété macroscopique, f",proprietà macroscopica,巨視的性質,거시적 성질,cecha makroskopowawłasność makroskopowa,propriedade macroscópica,makroskopisk egenskap,宏观性质
113-04-07,equilibrium state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-07,حالة إتزان,rovnovážný stav,"Gleichgewichtszustand, m",equilibrium state,estado de equilibrio,tasapainotila,"état d’équilibre, m",stato di equilibrio,平衡状態,평형 상태,stan równowagi,estado de equilíbrio,jämviktstillstånd,平衡态
113-04-08,quasi-static process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-08,عملية شبه ساكنة,kvazistatický dějkvazistatický proces,"quasi-stationärer Prozess, m",quasi-static process,proceso cuasiestático,kvasistaattinen prosessi,"processus quasi-statique, m",processo quasi-statico,準静的過程,준정적 과정,proces kwazistatyczny,processo quase-estático,kvasistationär process,准静态过程
113-04-09,state quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-09,كمية الحالة,stavová veličina,"Zustandsgröße, f",state quantity,magnitud de estado,tilasuure,"grandeur d’état, f",grandezza di stato,状態量,상태량,wielkość stanu,grandeza de estado,tillståndsstorhet,状态量
113-04-10,process quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-10,كمية العملية,dějová veličina,"Prozessgröße, f",process quantity,magnitud de proceso,prosessisuure,"grandeur de processus, f",grandezza di processo,過程量,과정량,wielkość procesowa,grandeza de processo,processtorhet,过程量
113-04-11,amount of heat,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-11,كمية الحرارةالحرارة,množství teplateplo,"Wärmemenge, fWärme, f",amount of heatheat,cantidad de calorcalor,Lämpömäärälämpö,"quantité de chaleur, fchaleur, f",quantità di calorecalore,熱量熱,열량열,ilość ciepłaciepło (termin niezalecany w tym sensie),quantidade de calorcalor,värmemängdvärme,热量热
113-04-12,"diathermic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-12,منفذ ناقل للحرارة,diatermický,"diathermisch, Adjektiv","diathermic, adj",diatérmico,diaterminen,"diathermique, adj",diatermico,"透熱性の, 形容詞","투열성, 형용사",diatermiczny,"diatérmico, adj.",diatermisk,透热的
113-04-13,"adiabatic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-13,منفذ غير ناقل للحرارة,adiabatický,"adiabatisch, Adjektiv","adiabatic, adj",adiabático,adiabaattinen,"adiabatique, adj",adiabatico,"断熱の, 形容詞","단열, 형용사",adiabatyczny,"adiabático, adj.",adiabatisk,绝热的
113-04-14,thermodynamic temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-14,درجة الحرارة الديناميكية,termodynamická teplotaNEVHODNÝ TERMÍN: absolutní teplota,"thermodynamische Temperatur, fabsolute Temperatur, f, (abgelehnt)",thermodynamic temperatureabsolute temperature (deprecated),temperatura termodinámicatemperatura absoluta (desaconsejado),termodynaaminen lämpötila,"température thermodynamique, ftempérature absolue, f (déconseillé)",temperatura termodinamica,"熱力学的温度絶対温度, （非推奨）",열역학 온도,temperatura termodynamicznatemperatura bezwzględna (termin niezalecany),temperatura termodinâmica,termodynamisk temperaturabsolut temperatur (ej rekommenderad),热力学温度
113-04-15,thermodynamic temperature scale,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-15,مقياس درجة الحرارة الديناميكية,stupnice termodynamické teploty,"thermodynamische Temperaturskala, f",thermodynamic temperature scale,escala de temperatura termodinámica,termodynaaminen lämpötila-asteikko,"échelle de température thermodynamique, f",scala di temperatura termodinamica,熱力学的温度目盛,열역학 온도 눈금,skala temperatury termodynamicznej,escala de temperatura termodinâmica,termodynamisk temperaturskala,热力学温标
