term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sv,zh
444-04-13,effectively conducting output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-13,دارة خرج فعّالة التوصيل,"durchgeschalteter Ausgangskreis, m",effectively conducting output circuit,estado de conducción efectiva de un circuito de salida,lähtöpiirin päästötila,"état passant d'un circuit de sortie, m",stato di effettiva conduzione di un circuito di uscita,有効導電出力回路,유효 도전 출력 회로,leiande utgangskrins,stan przewodzenia obwodu wyjściowego (przekaźnika statycznego),estado condutor de um circuito de saída,ledande utgångskrets,有效导通输出电路
444-04-14,effectively non-conducting output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-14,دارة خرج غير  فعّالة التوصيل,"gesperrter Ausgangskreis, m",effectively non-conducting output circuit,estado de bloqueo efectivo de un circuito de salida,lähtöpiirin estotila,"état bloqué d'un circuit de sortie, m",stato di effettiva non conduzione di un circuito di uscita,有効絶縁出力回路,유효 비도전 출력 회로,sperrande utgangskrins,stan nieprzewodzenia obwodu wyjściowego (przekaźnika statycznego),estado bloqueado de um circuito de saída,oledande utgångskrets,有效不导通输出电路
444-04-15,output make circuit (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-15,دارة خرج موصولة (للمرحلات البسيطة),"Ausgangskreis mit Schließerfunktion (eines Elementarrelais), m",output make circuit (for elementary relays),circuito de salida de trabajo (para relés elementales),sulkeutuva lähtöpiiri,"circuit de sortie de travail (pour les relais élémentaires), m",circuito di uscita di lavoro,"メーク出力回路, <エレメンタリーリレーの>","출력 투입 회로, <요소 계전기>",utgangskrins med sluttefunksjon,wyjście zwierne (przekaźników pośredniczących),circuito de saída de trabalho (para os relés elementares),slutande utgångskrets (för elementarrelä),"动合输出电路, <用于基础继电器>"
444-04-16,output break circuit (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-16,دارة خرج مفصولة (للمرحلات البسيطة),"Ausgangskreis mit Öffnerfunktion (eines Elementarrelais), m",output break circuit (for elementary relays),circuito de salida de reposo (para relés elementales),avautuva lähtöpiiri,"circuit de sortie de repos (pour les relais élémentaires), m",circuito di uscita di riposo,"ブレーク出力回路, <エレメンタリーリレーの>","출력 차단 회로, <요소 계전기>",utgangskrins med brytefunksjon,wyjście rozwierne (przekaźników pośredniczących),circuito de saída de repouso (para os relés elementares),brytande utgångskrets (för elementarrelä),"动断输出电路, <用于基础继电器>"
444-04-17,make contact (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-17,تلامس وصل (للمرحّلات البسيطة ),"Schließer (eines Elementarrelais), mEinschaltkontakt (eines Elementarrelais), m",make contact (for elementary relays),contacto de apertura (para relés elementales) (desaconsejado),sulkukosketin,"contact de travail (pour les relais élémentaires), mcontact à fermeture  (pour les relais élémentaires)(déconseillé), m",contatto di lavoro,"メーク接点, <エレメンタリーリレーの>","투입 접점, <요소 계전기>",sluttekontakt,zestyk zwierny (przekaźników pośredniczących),contacto de trabalho (para os relés elementares)contacto de fecho (para os relés elementares) (desaconselhado),slutkontakt (för elementarrelä),"动合触点, <用于基础继电器>"
444-04-18,break contact (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-18,تلامس فصل (للمرحّلات البسيطة ),"Öffner (eines Elementarrelais), mAusschaltkontakt (eines Elementarrelais), m",break contact (for elementary relays),contacto de cierre (para relés elementales) (desaconsejado)contacto de reposo (para relés elementales),avauskosketin,"contact de repos (pour les relais élémentaires), mcontact à ouverture  (pour les relais élémentaires) (déconseillé), m",contatto di riposo,"ブレーク接点, <エレメンタリーリレーの>","개로 접점, <요소 계전기>",brytekontakt,zestyk rozwierny (przekaźników pośredniczących),contacto de repouso (para os relés elementares)contacto de abertura (para os relés elementares) (desaconselhado),brytkontakt (för elementarrelä),"动断触点, <用于基础继电器>"
444-04-19,change-over contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-19,تلامس تحويل,"Wechsler, mUmschaltkontakt, m",change-over contact,contacto inversor,vaihtokosketin,"contact à deux directions, mcontact inverseur  (déconseillé), m",contatto di scambio,切り替え接点,전환 접점,vekselkontakt,zestyk przełączny,contacto de duas direcçõescontacto inversor (desaconselhado),växelkontakt,转换触点
444-04-20,change-over make-before-break contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-20,تلامس تحويل وصل قبل الفصل,"Wechsler ohne Unterbrechung, mFolgewechsler, m",change-over make-before-break contact,contacto inversor con solape,juontokosketin,"contact à deux directions avec chevauchement, m",contatto di scambio senza interruzione (con sovrapposizione),メークビフォアブレーク接点,전환 차단 전 투입 접점,vekselkontakt utan brot,zestyk przełączny bezprzerwowy,contacto de duas direcções com sobreposição,avbrottsfri växelkontakt,先合后断转换触点
444-04-21,change-over break-before-make contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-21,تلامس تحويل فصل قبل الوصل,"Wechsler mit Unterbrechung, m",change-over break-before-make contact,contacto inversor sin solape,katkovaihtokosketin,"contact à deux directions sans chevauchement, mcontact sans effet de pont  (déconseillé), m",contatto di scambio con interruttore (senza sovrapposizione),トランスファ接点,전환 투입전 차단 접점,vekselkontakt med brot,zestyk przełączny przerwowy,contacto de duas direcções sem sobreposição,växelkontakt med avbrott,先断后合转换触点
444-04-22,reed contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-22,تلامس ناعم,"Reedkontakt, m",reed contact,contacto de láminas magnéticas,kielikosketin,"contact à lames souples, m","contatto a lamina magnetica (""reed"")",リード接点,리드 접점,tungekontakt (reedkontakt),zestyk kontaktronowy,contacto de lâminas flexíveis,tungkontakt,舌簧触点
444-04-23,forcibly guided contacts,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-23,تلامسات موجهة قسرياً,"zwangsgeführte Kontakte, m, pl",forcibly guided contacts,contactos guiados forzados,pakko-ohjattu kosketin,"contacts à guidage forcé, m pl",contatto a guida forzata,強制駆動接点,강제 구동 접점,tvangsførte kontaktar,zestyki przełączne o wymuszonym przełączaniu,contactos de guiamento forçado,tvångsstyrda kontakter,强制定位触点
444-04-24,switching power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-24,قدرة الفصل والوصل,"Schaltleistung, f",switching power,potencia de conmutación,kytkentäteho,"puissance de commutation, f",potenza di commutazione,開閉電力,개폐 전력,koplingslast,moc łączeniowa,potência de comutação,kopplad effekt,切换功率
444-04-25,contact voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-25,جهد تلامس,"Schaltspannung, f",contact voltage,,kosketinjännite,"tension de contact, f",tensione di contatto,接点間電力,접점 전압,kontaktspenning,napięcie międzystykowe,tensão de contacto,kontaktspänning,触点电压
444-04-26,contact current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-26,تيار تلامس,"Kontaktstrom, m",contact current,corriente de contacto,kosketinvirta,"courant de contact, m",corrente di contatto,接点電流,접점 전류,kontaktstraum,prąd zestyku,corrente de contacto,kontaktström,触点电流
444-04-27,switching current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-27,تيار وصل و فصل,"Schaltstrom, m",switching current,corriente de conmutación,kytkentävirta,"courant de commutation, m",corrente di commutazione,開閉電流,개폐 전류,koplingsstraum,prąd łączeniowy,corrente de comutação,kopplad ström,切换电流
444-04-28,limiting continuous current of an output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-28,أعلى تيار مستمرلدارة خرج,"Grenzdauerstrom eines Ausgangskreises, m",limiting continuous current of an output circuit,corriente límite de corta duración de un circuito de salida,lähtöpiirin jatkuva kestovirta,"courant limite de service continu d'un circuit de sortie, m",corrente limite in servizio continuo di un circuito di uscita,定格連続通電電流,출력 회로 한계 연속 전류,kontinuerleg straum for utgangskrins,prąd dopuszczalny ciągły obwodu wyjściowego,corrente limite de serviço contínuo de um circuito de saída,kontinuerlig ström för utgångskrets,输出电路极限连续电流
444-04-29,limiting short-time current of an output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-29,أعلى تيار  لفترة قصيرة لدارة خرج,"Grenzkurzzeitstrom eines Ausgangskreises, m",limiting short-time current of an output circuit,corriente límite de servicio continuo de un circuito de salida,lähtöpiirin lyhytaikainen kestovirta,"courant limite de courte durée d'un circuit de sortie, m",corrente limite di breve durata di un circuito di uscita,定格短時間通電電流,출력 회로 단시간 한계 전류,korttidsstraum for utgangskrins,prąd dopuszczalny krótkotrwały obwodu wyjściowego,corrente limite de curta duração de um circuito de saída,korttidsström för utgångskrets,输出电路极限短时电流
444-04-30,limiting making capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-30,أعلى سعة  للوصل,"Einschaltvermögen, n",limiting making capacity,poder límite de cierre,sulkemiskyky,"pouvoir limite de fermeture, m",potere limite di chiusura,接点投入容量,한계 투입 용량,koplingsevne,zdolność załączania,poder limite de fecho,slutförmåga,极限接通容量
444-04-31,limiting breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-31,أعلى سعة للفصل,"Ausschaltvermögen, n",limiting breaking capacity,poder límite de corte,katkaisukyky,"pouvoir limite de coupure, m",potere limite di apertura,接点遮断容量,한계 차단 용량,bryteevne,zdolność wyłączania,poder limite de corte,brytförmåga,极限断开容量
444-04-32,limiting cycling capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-32,أعلى سعة  للتدوير,"kombiniertes Ein- und Ausschaltvermögen, n",limiting cycling capacity,poder límite de maniobra,sulkemis-katkaisukyky,"pouvoir limite de manœuvre, m",potere limite di ciclo,接点開閉容量,한계 순환 용량,syklisk koplingsevne,zdolność łączeniowa cykliczna,poder limite de manobra,cyklisk kopplingsförmåga,极限循环容量
444-04-33,contact noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-33,ضجيج التلامس,"Geräuschspannung, f",contact noise,ruido de contacto,kosketinkohina,"bruit de contact, m",rumore di contatto,接点ノイズ,접점 잡음,kontaktstøy,szum napięciowy zestyku,ruído de contacto,kontaktbrus,触点噪声
444-04-34,contact bounce,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-34,إرتداد التلامس,"Kontaktprellen, n",contact bounce,rebote del contacto,kosketinvärähtely,"rebondissement du contact, m",rimbalzo di contatto,接点バウンス,접점 약동,kontaktprelling,odskoki styków,ressalto do contacto,kontaktstuds,触点回跳
444-04-35,contact chatter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-35,طقطقة التلامس,"Kontaktflattern, n",contact chatter,vibración de un contacto,kosketinvärinä,"frémissement d'un contact, m",vibrazione di contatto,接点チャッタ,접점 채터,kontaktklapring,zmiana chwilowa stanu zestyku,estremecimento de um contacto,kontaktklapper,触点抖动
444-04-36,categories of application of contacts,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-36,فئات التطبيق للتلامسات,"Anwendungsklassen für Kontakte, f, plCA, Abkürzung",categories of application of contactsCA (abbreviation),categorías de aplicación de los contactos,koskettimien käyttöluokat,"catégories d'application des contacts, f plCA (abréviation) f",categorie di applicazine dei contatti; CA (abbreviazione),"接点の適用分類ＣＡ, （略語）",접점 적용 분류시에이,kontaktklassar,kategoria zastosowania zestyków CA (akronim),categorias de aplicação dos contactosCA (abreviatura),kontaktklasser,触点应用类别CA
444-05-01,operate time (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-01,زمن التشغيل (للمرحلات البسيطة),"Ansprechzeit (eines Elementarrelais), f",operate time (for elementary relays),tiempo de funcionamiento (para relés elementales),vetoaika,"temps de fonctionnement (pour les relais élémentaires), mtemps d'action  (pour les relais élémentaires) (terme déconseillé), m",tempo di funzionamento,"動作時間, <エレメンタリーリレーの>","작동 시간, <요소 계전기>",operasjonstid,czas zadziałania (przekaźników pośredniczących),tempo de operação (para os relés elementares),tillslagstid (för elementarrelä),"动作时间, <用于基础继电器>"
444-05-02,release time (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-02,زمن تحرير (للمرحّلات البسيطة ),"Rückfallzeit (eines Elementarrelais), f",release time (for elementary relays),tiempo de desactivación (para relés elementales),päästöaika,"temps de relâchement (pour les relais élémentaires), m",tempo di rilascio,"復帰時間, <エレメンタリーリレーの>","복구 시간, <요소 계전기>",tilbakegangstid,czas powrotu (przekaźników pośredniczących),tempo de desarme (para os relés elementares),frånslagstid,"释放时间, <用于基础继电器>"
444-05-03,reset time (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-03,زمن اعادة الوضع,"Rückwerfzeit (eines Elementarrelais), f",reset time (for elementary relays),tiempo de reposición (para relés elementales),palautumisaika,"temps de retour (pour les relais élémentaires), m",tempo di ripristino,"リセット時間, <エレメンタリーリレーの>","복귀 시간, <요소 계전기>",tilbakestillingstid,czas kasowania (przekaźników pośredniczących),tempo de rearme (para os relés elementares),återställningstid,"复归时间, <用于基础继电器>"
444-05-04,bounce time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-04,زمن الإرتداد,"Prellzeit, f",bounce time,tiempo de rebote,värähtelyaika,"temps de rebondissement, m",tempo di rimbalzo,バウンス時間,약동 시간,prelletid,czas trwania odskoków,tempo de ressalto,studstid,回跳时间
444-05-05,bridging time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-05,زمن الربط,"Überlappungszeit, f",bridging time,tiempo de solape,juontoaika,"temps de chevauchement, m",tempo di sovrapposizione,橋絡時間,교락 시간,overlappingstid,czas współstyczności,tempo de sobreposição,överbryggningstid,桥接时间
444-05-06,transfer time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-06,زمن التحويل,"Umschlagzeit, f",transfer time,tiempo de transferencia,ylimenoaika,"temps de transfert, m",tempo di interruzione,トランスファ時間,전달 시간,omkoplingstid,czas przerwy przy przełączaniu,tempo de transferência,övergångstid,转接时间
444-05-07,stabilization time (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-07,زمن الاستقرار (للمرحّلات البسيطة ),"Stabilisierungszeit (eines Elementarrelais), f",stabilization time (for elementary relays),tiempo de estabilización (para relés elementales),stabiloitumisaika,"temps de stabilisation (pour les relais élémentaires), m",tempo di stabilizzazione,"安定化時間, <エレメンタリーリレーの>","안정화 시간, <요소 계전기>",etableringstid,czas do ustalonego stanu zamknięcia lub otwarcia (przekaźników pośredniczących),tempo de estabilização (para os relés elementares),total tillslagstid,"稳定时间, <用于基础继电器>"
444-05-08,minimum time of energization (for operation),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-05-08,زمن التغذية الأدنى (للتشغيل),"Mindesterregungszeit, f",minimum time of energization (for operation),tiempo mínimo de alimentación (para funcionamiento),lyhin syöttöaika,"temps minimal d'alimentation (pour le fonctionnement), m",tempo minimo di alimentazione,最小駆動時間,"여기 최소시간, <작동>",minimum energiseringstid,czas zasilania minimalny,tempo mínimo de alimentação (para a operação),kortast matningstid (för funktion),"最短激励时间, <用于动作>"
444-06-01,influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-06-01,كمية مؤثرة,"Einflussgröße, f",influence quantity,magnitud de influencia,vaikutussuure,"grandeur d'influence, f",grandezza di influenza,特性関連値,유도량,påverkande storleik,wielkość wpływająca,grandeza de influência,påverkande storhet,影响量
444-06-02,reference value of an influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-06-02,قيمة مرجعية لكمية مؤثرة,"Referenzwert einer Einflussgröße, m",reference value of an influence quantity,valor de referencia de una magnitud de influencia,vaikutussuureen vertailuarvo,"valeur de référence d'une grandeur d'influence, f",valore di riferimento di una grandezza di influenza,特性関連参考値,유도량 기준값,referanseverdi for påverkande storleik,wartość odniesienia wielkości wpływającej,valor de referência de uma grandeza de influência,referensvärde för påverkande storhet,影响量基准值
444-06-03,reference conditions of influence quantities,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-06-03,شروط مرجعية للكميات المؤثرة,"Referenzbedingungen der Einflussgrößen, f, pl",reference conditions of influence quantities,condiciones de referencia de las magnitudes de influencia,vaikutussuureiden vertailuolosuhteet,"conditions de référence des grandeurs d'influence, f pl",condizioni di riferimento delle grandezze di influenza,特性関連参考条件,유도량 기준 조건,referanseforhold for påverkande storleikar,warunki odniesienia ze względu na wielkości wpływające,condições de referência das grandezas de influência,referensvillkor för påverkande storhet,影响量基准条件
444-06-04,nominal range of an influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-06-04,المدى الأسمي لكمية مؤثرة,"Nennbereich einer Einflussgröße, m",nominal range of an influence quantity,campo nominal de una magnitud de influencia,vaikutussuureen nimellisalue,"domaine nominal d'une grandeur d'influence, m",campo nominale di una grandezza di influenza,特性関連値の公称範囲,유도량 공칭 범위,nominelt område for ein påerkande storleik,zakres nominalny wielkości wpływającej,gama nominal de uma grandeza de influência,nominellt område för påverkande storhet,影响量标称范围
444-06-05,extreme range of an influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-06-05,المدى المفرط لكمية مؤثرة,"Extrembereich einer Einflussgröße, m",extreme range of an influence quantity,campo extremo de una magnitud de influencia,vaikutussuureen äärivaihtelualue,"domaine extrême d'une grandeur d'influence, m",campo estremo di una grandezza di influenza,特性関連値の特別範囲,유도량 한계 범위,maksimalt område for ein påverkande storleik,zakres ekstremalny wielkości wpływającej,gama extrema de uma grandeza de influência,gränsområde för påverkande storhet,影响量极端范围
444-07-01,relay reliability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-01,إعتمادية مرحل,"Funktionsfähigkeit eines Relais, f",relay reliability,fiabilidad de un relé,releen toimintavarmuus,"fiabilité d'un relais, f",affidabilità di un relè,リレーの信頼性,계전기 신뢰도,pålitelegheita til releet,niezawodność przekaźnika,fiabilidade de um relé,tillförlitlighet för relä,继电器可靠度
444-07-02,relay failure (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-02,فشل مرحّل (للمرحلات البسيطة ),"dauernder Relaisfehlzustand (eines Elementarrelais), m",relay failure (for elementary relays),fallo de relé (para relés elementales),releen vikaantuminen,"défaillance de relais (pour les relais élémentaires), f",guasto del relè,"リレー故障, <エレメンタリーリレーの>","계전기 고장, <요소 계전기>",ståande relésvikt,uszkodzenie przekaźnika (dla przekaźników pośredniczących),falha de relé (para os relés elementares),bestående reläfel (för elementarrelä),"继电器失效, <用于基础继电器>"
444-07-03,(intermittent) relay fault (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-03,عطل (متقطع) لمرحل (للمرحلات البسيطة),"Relaisfehlfunktion (eines Elementarrelais), fzeitweilige Relaisfehlfunktion (eines Elementarrelais), f",(intermittent) relay fault (for elementary relays),avería temporal de relé (para relés elementales),releen tilapäinen virhetoiminto,"panne (temporaire) de relais (pour les relais élémentaires), f",avaria (temporanea) del relè,"リレー事故, <エレメンタリーリレーの>","간헐 계전기 고장, <요소 계전기>",forbigåande relésvikt,niezdatność chwilowa przekaźnika (dla przekaźników pośredniczących),avaria temporária de relé (para os relés elementares),övergående reläfel (för elementarrelä),"继电器暂时故障, <用于基础继电器>继电器故障, <用于基础继电器>"
444-07-04,relay defect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-04,عيب مرحل,"Relaisfehler, m",relay defect,defecto de relé,releen vika,"défaut de relais, m",difetto del relè,リレー欠陥,계전기 결함,relédefekt,zmiana parametrów przekaźnika defekt przekaźnika,defeito de relé,relädefekt,继电器缺陷
444-07-05,defective relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-05,مرحل معيب,"fehlerhaftes Relais, n",defective relay,relé defectuoso,viallinen rele,"relais défectueux, m",relè difettoso,欠陥リレー,결함 계전기,defekt relé,przekaźnik wadliwy,relé defeituoso,felbehäftat relä,不合格继电器
444-07-06,mean operating time between failures,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-06,متوسط الزمن التشغيلي بين الأعطال,"mittlere Betriebsdauer zwischen Ausfällen, fMTBF, Abkürzung",mean operating time between failuresMTBF (abbreviation),media de tiempos de funcionamiento entre fallosMTBF (abreviatura),keskimääräinen toiminta-aika vikaantumisten välillä,"moyenne de temps de bon fonctionnement, fMTBF  (abréviation) f",tempo medio di funzionamento fra i guasti; MTBF (abbreviazione),"平均故障時間間隔ＭＴＢＦ, （略語）",고장 간 평균 운전 시간,gjennomsnittleg funksjonstid mellom feil,czas średni pracy miedzy uszkodzeniami MTBF (akronim),tempo médio de boa operação entre falhasMTBF (abreviatura),medelfunktionstid mellan felMTBF,平均失效间隔工作时间MTBF
444-07-07,cycle-related mean operating time between failures,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-07,متوسط الزمن التشغيلي  بين الأعطال (منسوبا للدورات),"schaltspielabhängige mittlere Betriebsdauer zwischen Ausfällen, f",cycle-related mean operating time between failuresMTBFc (abbreviation),media de tiempos de funcionamiento entre fallos relativa a la maniobraMTBFc (abreviatura),toimintajaksoon suhteutettu keskimääräinen toiminta-aika vikaantumisten välillä,"moyenne des temps de bon fonctionnement relative aux manœuvres, fMTBFc (abréviation) f",tempo medio di funzionamento fra i guasti riferito ai cicli; MTBF (abbreviazione),"平均故障動作回数間隔ＭＴＢＦc, （略語）",고장 간 싸이클 연계 평균 작동시간,"syklisk gjennomsnittleg funksjonstid mellom feil, MTBF",czas średni pracy między uszkodzeniami odniesiony do cykluMTBFc (akronim),tempo médio de boa operação relativo ao cicloMTBFc (abreviatura),MTBFccyklisk medelfunktionstid mellan fel,平均失效间隔工作时间相应的循环次数MTBFC
444-07-08,relay failure rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-08,معدل عطل المرحل,"Relaisausfallrate, f",relay failure rate,tasa de fallo de un relé,releen vikaantumistaajuus,"taux de défaillance d'un relais, m",tasso di guasto di un relè,リレーの故障率λ,계전기 고장률,feilfrekvens for relé,intensywność uszkodzeń przekaźnika,taxa de falhas de um relé,felfrekvens för relä,继电器失效率
444-07-09,cycle-related failure rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-09,معدل عطل المرحل ( منسوباً للدورات),"schaltspielabhängige Ausfallquote, f",cycle-related failure rate,,toimintajaksoon suhteutettu vikaantumistaajuus,"taux de défaillance relatif aux manoeuvres, m",tasso di guasto riferito ai cicli,動作回数故障率,순환 고장률,syklisk feilfrekvens for relé,intensywność uszkodzeń przekaźnika odniesiona do cyklu intensywność uszkodzeń odniesiona do cyklu,taxa de falhas relativa ao ciclo,cyklisk felfrekvens för relä,周期相关的失效率
444-07-10,mechanical endurance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-10,التحمل الميكانيكي,"mechanische Lebensdauer (eines Relais), f",mechanical endurance,endurancia mecánica,mekaaninen kestoikä,"endurance mécanique, f",durata meccanica,機械的耐久性,기계 내구성,mekanisk levetid,trwałość mechaniczna,endurância mecânica,mekanisk uthållighet,机械耐久性
444-07-11,electrical endurance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-11,التحمل الكهربائي,"elektrische Lebensdauer, f",electrical endurance,endurancia eléctrica,sähköinen kestoikä,"endurance électrique, f",durata elettrica,電気的耐久性,전기 내구성,elektrisk levetid,trwałość elektryczna,endurância eléctrica,elektrisk uthållighet,电耐久性
444-07-12,relay endurance test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-12,إختبار تحمل المرحل,"Relaislebensdauerprüfung, f",relay endurance test,ensayo de endurancia de un relé,releen kestoikätesti,"essai d'endurance d'un relais, m",prova di durata di un relè,リレーの耐久性試験,계전기 내시험,langtidsprøving av relé,badanie trwałości przekaźnika,ensaio de endurância de um relé,uthållighetsprovning av relä,继电器耐久性试验
444-07-13,contact fault due to increased contact-circuit resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-13,عطل التلامس بسبب زيادة مقاومة دارة التلامس,"durch erhöhten Kontaktwiderstand verursachter Fehlzustand, m",contact fault due to increased contact-circuit resistance,avería de contacto debida a un aumento de la resistencia del circuito de contacto,suurentuneesta kosketinresistanssista johtuva kosketinvika,"panne de contact due à une augmentation de la résistance du circuit de contact, f",avaria di un contatto dovuta all'aumento della resistenza del circuito di contatto,接触抵抗増大による接点障害,접점회로 저항 증가에 의한 접점 고장,kontaktfeil på grunn av auka kontaktmotstand,niezdatność wywołana wzrostem rezystancji obwodu zestyku,avaria de contacto devida ao aumento da resistência do circuito de contacto,kontaktfel orsakat av ökad kontaktresistans,触点电路电阻增大的触点故障
444-07-14,contact fault due to non-opening of the contact circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-14,عطل تلامس بسبب عدم فتح دارة التلامس,"durch Öffnungsversagen verursachter Fehlzustand (eines Kontakts), m",contact fault due to non-opening of the contact circuit,avería de contacto debida a la no apertura del circuito de contacto,koskettimien puutteellisesta avautumisesta johtuva kosketinvika,"panne de contact due à la non-ouverture du circuit de contact, f",avaria di un contatto dovuta alla non apertura del circuito di contatto,接点開離不能障害,접점회로 비개로에 의한 접점 고장,kontaktfeil som kjem av at kontakten ikkje har opna seg,niezdatność zestyku z powodu niepełnego otwarcia,avaria de contacto devida à não-abertura do circuito de contacto,kontaktfel orsakat av oöppnad kontakt,触点电路不断开的触点故障
444-07-15,contact failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-15,فشل تلامس,"Kontaktausfall, m",contact failure,fallo de contacto,kosketinvika,"défaillance de contact, f",guasto di un contatto,接点故障,접점 고장,kontaktsvikt,uszkodzenie zestyku,falha de contacto,kontaktfel,触点失效
444-07-16,final endurance value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-07-16,قيمة التحمل النهائية,"Wert am Ende der Lebensdauer, f",final endurance value,valor final de endurancia,vaadittu elinikäinen arvo,"valeur finale d'endurance, f",valore finale dopo la prova di durata,寿命最終保証値,최종 내구성값,sluttverdi for langtidsprøving,wartość parametru w końcowym okresie trwałości,valor final de endurância,slutvärde för uthållighet,最终耐久性值
