term_id,term,term_url,ar,de,en,fr,ja,ko,pl,pt,zh
447-03-11,rated value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-11,قيمة مقننة,"Bemessungswert, m",rated value,"valeur assignée, f",定格値,정격값,"wartość znamionowa, f",valor estipulado,额定值
447-03-13,continuous thermal withstand value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-13,قيمة تيار التحمل الحرارى المستمر,"thermischer Dauerbelastbarkeitswert, m",continuous thermal withstand value,"valeur de tenue thermique permanente, f",熱耐量,연속 내열값연속 열내값,"wytrzymałość cieplna długotrwała, f",valor de tenacidade térmica permanente,连续耐热值
447-03-14,short-time thermal withstand value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-14,قيمة تيار التحمل الحرارى لفترة قصيرة,"thermischer Kurzzeitbelastbarkeitswert, m",short-time thermal withstand value,"valeur de tenue thermique de courte durée, f",短時間熱耐量,단속 내열값단속 열내값,"wytrzymałość cieplna krótkotrwała, f",valor de tenacidade térmica de curta duração,短时耐热值
447-03-15,dynamic withstand value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-15,قيمة تيار التحمل الديناميكى,"dynamischer Belastbarkeitswert, m",dynamic withstand value,"valeur de tenue dynamique, f",過渡耐量,동적내값,"wytrzymałość dynamiczna, fobciążalność dynamiczna, f",valor de tenacidade dinâmica,动稳定值
447-03-16,"operating range, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-16,"مدى التشغيل, لمُرَحِّل قياس او نظام وقاية","Arbeitsbereich, <eines Messrelais oder einer Schutzeinrichtung> m","operating range, <of a measuring relay or protection equipment>","domaine de fonctionnement, <d'un relais de mesure ou d'un dispositif de protection> m","動作範囲, <保護リレーの>","작동범위, <측정 계전기 또는 보호 장비>","zakres roboczy, m","gama de funcionamento, <de um relé de medição ou equipamento de proteção>domínio de funcionamento","工作范围, <量度继电器或保护设备的>"
447-03-17,rated power of an input circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-17,القدرة المقننة لدائرة دخلالحمل المقنن لدائرة دخل,"Bemessungsleistung eines Erregungskreises, f",rated power of an input circuitrated burden of an input circuit,"valeur assignée de la puissance absorbée pour un circuit d'entrée, fconsommation assignée d'un circuit d'entrée, f",付勢回路の定格負担,입력회로 정격출력,"moc znamionowa obwodu zasilającego, f",potência estipulada de um circuito de entrada,输入电路的额定功率输入电路的额定负担
447-03-18,rated impedance of an input circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-18,الممانعة المقننة لدائرة دخل,"Bemessungsimpedanz eines Erregungskreises, f",rated impedance of an input circuit,"impédance assignée d'un circuit d'entrée, f",付勢回路の定格インピーダンス,입력회로 정격임피던스,"impedancja znamionowa obwodu zasilającego, f",impedância estipulada de um circuito de entrada,输入电路额定阻抗
447-03-19,analogue input signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-19,اشارة دخل تناظرية,"analoges Eingangssignal, n","analogue input signalanalog input signal, US","signal d'entrée analogique, m",アナログ入力信号,아날로그 입력 신호,"sygnał wejściowy analogowy, m",sinal de entrada analógico,模拟输入信号
447-03-20,binary input signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-20,اشارة دخل ثنائبة,"binäres Eingangssignal, n",binary input signal,"signal d'entrée binaire, m",バイナリー入力信号,이진 입력 신호,"sygnał wejściowy binarny, m",sinal de entrada binário,开关输入信号
447-03-21,digital input signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-21,اشارة دخل رقمية,"digitales Eingangssignal, n",digital input signal,"signal d'entrée numérique, m",ディジタル入力信号,디지털 입력신호,"sygnał wejściowy cyfrowy, m",sinal de entrada digital,数字输入信号
447-03-22,communication input signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-22,اشارة دخل للاتصال,"Kommunikations-Eingangssignal, n",communication input signal,"signal d'entrée de communication, m",通信による入力信号,통신 입력신호,"sygnał wejściowy komunikacyjny, m",sinal de entrada de comunicação,通信输入信号
447-04-01,"output circuit, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-01,"دائرة خرج, لمُرَحِّل قياس او نظام وقاية","Ausgangsstromkreis, <eines Messrelais oder einer Schutzeinrichtung> mAusgangskreis, <eines Messrelais oder einer Schutzeinrichtung> m","output circuit, <of a measuring relay or protection equipment>","circuit de sortie, <d'un relais de mesure ou d'un équipement de protection> m","出力回路, <保護リレーの>","출력 회로, <측정 계전기 또는 보호 장비>","obwód wyjściowy, m","circuito de saída, <de um relé de medição ou equipamento de proteção>","输出电路, <量度继电器或保护设备的>"
447-04-02,electronic output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-02,دائرة خرج الكترونيةدائرة خرج ترانزستور,"elektronischer Ausgangsstromkreis, melektronischer Ausgangskreis, m",electronic output circuitsolid state output circuit,"circuit de sortie électronique, mcircuit de sortie à semiconducteurs, m",電気出力回路,전자출력회로,"obwód wyjściowy elektroniczny, mobwód wyjściowy bezstykowy, m",circuito de saída electrónico,电子输出电路固态输出电路
447-04-03,"output signal, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-03,"إشارة خرج, لمُرَحِّل قياس او نظام وقاية","Ausgangssignal, <eines Messrelais oder einer Schutzeinrichtung> n","output signal, <of a measuring relay or protection equipment>","signal de sortie, <d'un relais de mesure ou d'un dispositif de protection> m","出力信号, <保護リレーの>","출력신호, <측정 계전기 또는 보호 장비>","sygnał wyjściowy, m","sinal de saída, <de um relé de medição ou equipamento de proteção>","输出信号, <量度继电器或保护设备的>"
447-04-04,relay output,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-04,مُرَحِّل خرج,"Relaisausgabe, f",relay output,"sortie de relais, m",リレー出力,계전기 출력,"zmiana na wyjściu przekaźnika, f",saída de relé,继电器输出
447-04-05,"contact circuit, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-05,"دائرة تلامس, لمُرَحِّل قياس او نظام وقاية","Kontaktstromkreis, <eines Messrelais oder einer Schutzeinrichtung> mKontaktkreis, <eines Messrelais oder einer Schutzeinrichtung> m","contact circuit, <of a measuring relay or protection equipment>","circuit de contact, <d'un relais de mesure ou d'un dispositif de protection> m","接点回路, <保護リレーの>","접점회로, <측정 계전기 또는 보호 장비>접촉회로","obwód wyjściowy stykowy, mwyjście stykowe","circuito de contacto, <de um relé de medição ou equipamento de proteção>","触点电路, <量度继电器或保护设备的>"
447-04-06,effectively conducting output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-06,دائرة خرج فعّالة التوصيل,"durchgeschalteter Ausgangskreis, m",effectively conducting output circuit,"état passant d'un circuit de sortie, m",低抵抗出力回路,유효 도전 출력회로유효 도통 출력 회로,"obwód wyjściowy w stanie przewodzenia, m",circuito de saída em estado condutor,有效导通输出电路
447-04-07,effectively non-conducting output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-07,دائرة خرج غير فعّالة التوصيل,"gesperrter Ausgangskreis, m",effectively non-conducting output circuit,"état bloqué d'un circuit de sortie, m",高抵抗出力回路,유효 비도전 출력회로유효 비도통 출력 회로,"obwód wyjściowy w stanie nieprzewodzenia, m",circuito de saída em estado bloqueado,有效不导通输出电路
447-04-08,output make circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-08,دائرة خرج موصلة,"Ausgangskreis mit Schließerfunktion, mEinschaltkreis, m",output make circuit,"circuit de sortie de travail, m",メーク出力回路a接点回路,출력투입회로,"obwód wyjściowy zwierny, mobwód wyjściowy zamykany, m",circuito de saída de trabalho,动合输出电路
447-04-09,output break circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-09,دائرة خرج فاصلة,"Ausgangskreis mit Öffnerfunktion, mAusschaltkreis, m",output break circuit,"circuit de sortie de repos, m",ブレーク出力回路b接点回路,출력차단회로,"obwód wyjściowy rozwierny, mobwód wyjściowy otwierany, m",circuito de saída de repouso,动断输出电路
447-04-10,make contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-10,تلامس وصل,"Schließer, mEinschaltkontakt, m",make contact,"contact de travail, m",メーク接点a接点,투입접점,"zestyk zwierny, m",contacto de trabalhocontacto de fecho,动合触点
447-04-11,break contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-11,تلامس فصل,"Öffner, mAusschaltkontakt, m",break contact,"contact de repos, m",ブレーク接点b接点,차단접점,"zestyk rozwierny, m",contacto de repousocontacto de abertura,动断触点
447-04-12,change-over contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-12,تلامس تبديل,"Wechsler, mUmschaltkontakt, m",change-over contact,"contact à deux directions, m",切り替え接点c接点,전환접점절환접점,"zestyk przełączny, m",contacto de duas direções,转换触点
447-04-13,"start signal, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-13,"إشارة بدء, لمُرَحِّل قياس او نظام وقايةإشارة إلتقاط","Startsignal, <eines Messrelais oder einer Schutzeinrichtung> nAnregesignal, <eines Messrelais oder einer Schutzeinrichtung> n","start signal, <of a measuring relay or protection equipment>pick-up signal, <of a measuring relay or protection equipment>","signal de démarrage, <d'un relais de mesure ou d'un dispositif de protection> msignal de reprise, <d'un relais de mesure ou d'un dispositif de protection> m","起動信号, <保護リレーの>","기동신호, <측정 계전기 또는 보호 장비>시작신호","sygnał rozruchowy, msygnał startowy, m","sinal de arranque, <de um relé de medição ou equipamento de proteção>","启动信号, <量度继电器和保护设备的>"
447-04-14,operate signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-04-14,إشارة تشغيل,"Arbeitssignal, n",operate signal,"signal de fonctionnement, m",動作信号,작동신호,"sygnał zadziałania, m",sinal de funcionamento,动作信号
447-05-01,opening time of an output break circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-01,زمن الفتح لدائرة خرج فاصلة,"Ansprechzeit eines Öffnerkreises, fAnsprechzeit eines Ausschaltkreises, f",opening time of an output break circuit,"temps de rupture d'un circuit de sortie de repos, m",ブレーク出力回路の開路時間,출력 차단회로 개방시간,"czas otwierania obwodu wyjściowego rozwiernego, m",tempo de abertura de um circuito de saída de repouso,动断输出电路的断开时间
447-05-02,closing time of an output make circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-02,زمن الغلق لدائرة خرج موصلة,"Ansprechzeit eines Schließerkreises, fAnsprechzeit eines Einschaltkreises, f",closing time of an output make circuit,"temps d'établissement d'un circuit de sortie de travail, m",メーク出力回路の閉路時間,출력 투입회로 폐쇄시간,"czas zamykania obwodu wyjściowego zwiernego, m",tempo de fecho de um circuito de saída de trabalho,动合输出电路的闭合时间
447-05-03,opening time of an output make circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-03,زمن الفتح لدائرة خرج موصلة,"Rückfallzeit eines Schließerkreises, fRückfallzeit eines Einschaltkreises, f",opening time of an output make circuit,"temps de rupture d'un circuit de sortie de travail, m",メーク出力回路の開路時間,출력 투입회로 개방시간,"czas otwierania obwodu wyjściowego zwiernego, m",tempo de abertura de um circuito de saída de trabalho,动合输出电路的断开时间
447-05-04,closing time of an output break circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-04,زمن الغلق لدائرة خرج فاصلة,"Rückfallzeit eines Öffnerkreises, fRückfallzeit eines Ausschaltkreises, f",closing time of an output break circuit,"temps d'établissement d'un circuit de sortie de repos, m",ブレーク出力回路の閉路時間,출력 차단회로 폐쇄시간,"czas zamykania obwodu wyjściowego rozwiernego, m",tempo de fecho de um circuito de saída de repouso,动断输出电路的闭合时间
447-05-05,"operate time, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-05,"زمن التشغيل, لمُرَحِّل قياس او نظام وقاية","Ansprechzeit, <eines Messrelais oder einer Schutzeinrichtung> f","operate time, <of a measuring relay or protection equipment>","temps de fonctionnement, <d'un relais de mesure ou d'un dispositif de protection> m","動作時間, <保護リレーの>","작동시간, <측정 계전기 또는 보호 장비>","czas zadziałania, m","duração de funcionamento, <de um relé de medição ou equipamento de proteção>","动作时间, <量度继电器和保护设备的>"
447-05-06,"reset time, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-06,"زمن الرجوع, لمُرَحِّل قياس او نظام وقاية","Rücksetzzeit, <eines Messrelais oder einer Schutzeinrichtung> f","reset time, <of a measuring relay or protection equipment>","temps de mise au repos, <d'un relais de mesure ou d'un dispositif de protection> m","復帰時間, <保護リレーの>","재설정시간, <측정 계전기 또는 보호 장비>","czas powrotu, m","duração de reposição, <de um relé de medição ou equipamento de proteção>","复归时间, <量度继电器和保护设备的>"
447-05-07,bounce time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-07,زمن الارتداد,"Prellzeit, f",bounce time,"temps de rebondissement, m",バウンス時間,약동시간,"czas trwania odskoków, m","duração de ressalto, <de um relé de medição ou equipamento de proteção>",回跳时间
447-05-08,"recovery time, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-08,"زمن الاستعادة, لمُرَحِّل قياس او نظام وقاية","Wiederbereitschaftszeit, <eines Messrelais oder einer Schutzeinrichtung> fErholzeit, <eines Messrelais oder einer Schutzeinrichtung> f","recovery time, <of a measuring relay or protection equipment>","temps de récupération, <d'un relais de mesure ou d'un dispositif de protection> m","回復時間, <保護リレーの>","복구시간, <측정 계전기 또는 보호 장비>","czas regeneracji, m","duração de recuperação, <de um relé de medição ou equipamento de proteção>","恢复时间, <量度继电器和保护设备的>"
447-05-09,"critical impulse time, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-09,"الزمن الدفعى الحرج, لمُرَحِّل قياس او نظام وقاية","kritische Impulszeit, <eines Messrelais oder einer Schutzeinrichtung> f","critical impulse time, <of a measuring relay or protection equipment>","temps critique de commande, <d'un relais de mesure ou d'un dispositif de protection> m","最大不感応パルス時間, <保護リレーの>",임계충격 시간임계임펄스시간,"czas graniczny impulsu, m","duração crítica de comando, <de um relé de medição ou equipamento de proteção>","临界冲击时间, <量度继电器和保护设备的>"
447-05-10,disengage time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-10,زمن الإعتاق,"Rückfallzeit, f",disengage time,"temps de dégagement, m",釈放時間,이탈시간,"czas odpadu, m",duração de desprendimento,返回时间
447-05-11,start time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-11,زمن االبدءزمن الإلتقاط,"Startzeit, fAnregezeit, f",start timepick-up time,"temps de démarrage, mtemps de reprise, m",始動時間,기동시간시작시간,"czas rozruchu, mczas startu, m",duração de arranque,启动时间
447-05-12,"overshoot time, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-05-12,"زمن التخطّي, لمُرَحِّل قياس او نظام وقاية","Überschwingzeit, <eines Messrelais oder einer Schutzeinrichtung> f","overshoot time, <of a measuring relay or protection equipment>","temps de dépassement, <d'un relais de mesure ou d'un équipement de protection> m","オーバーシュート時間, <保護リレーの>","오버슈트 시간, <측정 계전기 또는 보호 장비>초과시간","czas przeregulowania, m","duração de ultrapassagem, <de um relé de medição ou equipamento de proteção>","过冲时间, <量度继电器和保护设备的>"
447-06-01,influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-06-01,كمية مؤثرة,"Einflussgröße, f",influence quantity,"grandeur d'influence, f",影響量,유도량,"wielkość wpływająca, f",grandeza de influência,影响量
447-06-02,reference value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-06-02,قيمة مرجعية,"Bezugswert, <eines Messrelais oder einer Schutzeinrichtung> m",reference value,"valeur de référence, f",基準値影響量の基準値,기준값,"wartość odniesienia wielkości wpływającej, f",valor de referência,影响量基准值
447-06-03,reference conditions of influence quantities,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-06-03,ظروف مرجعية لكميات مؤثرة,"Bezugsbedingungen der Einflussgrößen, f pl",reference conditions of influence quantities,"conditions de référence des grandeurs d'influence, f",影響量の基準条件,유도량 기준 조건,"warunki odniesienia dla wielkości wpływającej, m pl",condições de referência das grandezas de influência,影响量基准条件
447-06-04,nominal range of an influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-06-04,مدى إسمى لكمية مؤثرةمدى موصف لكمية مؤثرة,"Nennbereich einer Einflussgröße, mfestgelegter Bereich einer Einflussgröße, m",nominal range of an influence quantityspecified range of an influence quantity,"domaine nominal d'une grandeur d'influence, mdomaine spécifié d'une grandeur d'influence, m",影響量の公称範囲,유도량 공칭 범위,"zakres nominalny wielkości wpływającej, m",gama nominal de uma grandeza de influênciadomínio nominal de uma grandeza de influência,影响量标称范围影响量规定范围
447-06-05,extreme range of an influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-06-05,مدى أقصى لكمية مؤثرة,"Extrembereich einer Einflussgröße, m",extreme range of an influence quantity,"domaine extrême d'une grandeur d'influence, m",影響量の最大範囲,유도량 한계 범위,"zakres graniczny wielkości wpływającej, m",gama extrema de uma grandeza de influênciadomínio extremo de uma grandeza de influência,影响量极端范围
447-06-06,"variation due to an influence quantity, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-06-06,"التغيير تجاه كمية مؤثرة, لمُرَحِّل قياس او نظام وقاية","Einflusseffekt einer Einflussgröße, <eines Messrelais oder einer Schutzeinrichtung> m","variation due to an influence quantity, <of a measuring relay or protection equipment>","variation due à une grandeur d'influence, <d'un relais de mesure ou d'un dispositif de protection> f","変動値, <保護リレーの>変動値影響","유도량 변이, <측정 계전기 또는 보호 장비>","uchyb dodatkowy spowodowany wielkością wpływającą, muchyb dodatkowy, mbłąd dodatkowy spowodowany wielkością wpływającą, mbłąd dodatkowy, m","variação devida a uma grandeza de influência, <de um relé de medição ou equipamento de proteção>","由影响量引起的变差, <量度继电器和保护设备的>"
447-07-01,characteristic quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-01,كمية خصائصية,"charakteristische Größe, f",characteristic quantity,"grandeur caractéristique, f",特性量,특성량,"wielkość charakterystyczna, f",grandeza característica,特性量
447-07-02,setting value of the characteristic quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-02,قيمة الضبط لكمية خصائصية,"Einstellwert der charakteristischen Größe, m",setting value of the characteristic quantity,"valeur de réglage de la grandeur caractéristique, f",特性量の整定値,특성량 설정값,"wartość nastawiona wielkości charakterystycznej, f",valor de ajuste da configuração da grandeza característica,特性量的整定值
447-07-03,limiting value of the characteristic quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-03,قيمة حدية لكمية خصائصية,"Grenzwert der charakteristischen Größe, m",limiting value of the characteristic quantity,"valeur limite de la grandeur caractéristique, f",特性量の限界値,특성량 한계값,"wartość dopuszczalna wielkości charakterystycznej, f",valor limite da grandeza característica,特性量的极限值
447-07-04,setting range of the characteristic quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-04,مدى الضبط لكمية خصائصية,"Einstellbereich der charakteristischen Größe, m",setting range of the characteristic quantity,"plage de réglage de la grandeur caractéristique, f",整定範囲,특성량 설정 범위,"zakres nastawczy wielkości charakterystycznej, m",gama de ajuste da configuração da grandeza característicadomínio de ajuste da configuração da grandeza característica,特性量的整定范围
447-07-05,setting ratio of the characteristic quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-05,نسبة الضبط لكمية خصائصية,"Einstellverhältnis der charakteristischen Größe, n",setting ratio of the characteristic quantity,"rapport de réglage de la grandeur caractéristique, m",最大最小整定値比,특성량 설정비,"współczynnik nastawczy wielkości charakterystycznej, m",razão de ajuste da configuração da grandeza característicarelação de ajuste da configuração da grandeza característica,特性量的整定比
447-07-06,reset ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-06,نسبة الرجوع,"Rücksetzverhältnis, n",reset ratio,"rapport de mise au repos, m",復帰値比,재설정비,"współczynnik powrotu, m",razão de reposiçãorelação de reposição,复归系数
447-07-07,reset percentage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-07,مئوية الرجوع,"prozentuales Rücksetzverhältnis, n",reset percentage,"pourcentage de mise au repos, m",復帰値比復帰値比百分比,재설정 백분율,"wartość procentowa współczynnika powrotu, m",percentagem de reposição,复归百分比
447-07-08,effective range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-08,مدى فعال,"effektiver Messbereich, m",effective range,"domaine de précision, f",精度保証範囲,유효 범위,"zakres działania w klasie, m",gama efetivadomínio efetivo,有效范围
447-07-09,characteristic angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-09,زاوية خصائصية,"charakteristischer Winkel, m",characteristic angle,"angle caractéristique, m",特性角,특성각,"kąt charakterystyczny, m",ângulo característico,特性角
447-07-10,correcting quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-10,كمية تصحيحية,"Korrekturgröße, f",correcting quantity,"grandeur corrective, f",補正量,교정량,"wielkość korygująca, f",grandeza corretiva,校正值
447-07-11,polarizing quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-11,كمية الإستقطاب,"Polarisierungsgröße, f",polarizing quantity,"grandeur de polarisation, f",極性量,분극량,"wielkość polaryzująca, f",grandeza de polarização,极化量
447-07-12,disengage ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-12,زاوية الإنعتاق,"Rückfallverhältnis, n",disengage ratio,"rapport de dégagement, m",釈放値比,이탈비,"współczynnik odpadu, m",razão de desprendimentorelação de desprendimento,返回系数
447-07-13,reset hysteresis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-13,تخلفيةالرجوع,"Rücksetz-Hysterese, f",reset hysteresis,"hystérésis de mise au repos, f",復帰値ヒステリシス,자기 이력 현상 재설정,"histereza powrotu, f",histerese de reposição,复归回差
447-07-14,disengage hysteresis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-14,تخلفية الانعتاق,"Rückfall-Hysterese, f",disengage hysteresis,"hystérésis de dégagement, f",釈放値ヒステリシス,자기 이력 현상 이탈,"histereza odpadu, f",histerese de despredimento,返回回差
447-07-15,dynamic performance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-15,أداء ديناميكى,"dynamisches Betriebsverhalten, n",dynamic performance,"performance dynamique, f",動特性,동적 성능,"wydajność dynamiczna, f",desempenho dinâmico,动态性能
447-07-16,transient response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-07-16,استجابة عابرة,"Einschwingverhalten, n",transient response,"réponse transitoire, f",過渡応動,과도 응답,"odpowiedź przejściowa, f",resposta transitória,暂态响应
447-08-01,"absolute error, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-01,"خطأ مطلق, لمُرَحِّل قياس او نظام وقاية","absolute Messabweichung, <eines Messrelais oder einer Schutzeinrichtung> f","absolute error, <of a measuring relay or protection equipment>","erreur absolue, <d'un relais de mesure ou d'un dispositif de protection> f","絶対誤差, <保護リレーの>","절대 오차, <측정 계전기 또는 보호 장비>","uchyb bezwzględny, mbłąd bezwzględny, m","erro absoluto, <de um relé de medição ou equipamento de proteção>",绝对误差
447-08-02,conventional relative error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-02,خطأ نسبى تقليدى,"auf den Normwert bezogene relative Messabweichung, f",conventional relative error,"erreur relative conventionnelle, f",規定誤差,기존 상대오차,"uchyb umowny, mbłąd umowny, m",erro relativo convencional,常规相对误差
447-08-03,"relative error, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-03,"خطأ نسبى, لمُرَحِّل قياس او نظام وقاية","relative Messabweichung, <eines Messrelais oder einer Schutzeinrichtung> f","relative error, <of a measuring relay or protection equipment>","erreur relative, <d'un relais de mesure ou d'un dispositif de protection> f","相対誤差, <保護リレーの>","상대 오차, <측정 계전기 또는 보호 장비>","uchyb względny, mbłąd względny, m","erro relativo, <de um relé de medição ou equipamento de proteção>","相对误差, <量度继电器和保护设备的>"
447-08-04,mean error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-04,متوسط الخطأ,"mittlere Messabweichung, f",mean error,"erreur moyenne, f",平均誤差,평균 오차,"uchyb średni, mbłąd średni, m",erro médio,平均误差
447-08-05,reference mean error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-05,متوسط خطأ مرجعى,"mittlere Messabweichung unter Bezugsbedingungen, f",reference mean error,"erreur moyenne de référence, f",基準平均誤差,기준 평균 오차,"uchyb średni w warunkach odniesienia, mbłąd średni w warunkach odniesienia, m",erro médio de referência,基准平均误差
447-08-06,limiting error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-06,خطأ حدى,"maximale Messabweichung, f",limiting error,"erreur limite, f",限界誤差,제한 오차,"uchyb dopuszczalny, mbłąd dopuszczalny, m",erro limite,极限误差
447-08-07,reference limiting error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-07,خطأ حدى مرجعى,"maximale Messabweichung unter Bezugsbedingungen, f",reference limiting error,"erreur limite de référence, f",基準限界誤差,기준 제한 오차,"uchyb dopuszczalny w warunkach odniesienia, mbłąd dopuszczalny w warunkach odniesienia, m",erro limite de referência,基准极限误差
447-08-08,consistency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-08,المطابقة,"zulässige Streuung der Messabweichung, f",consistency,"fidélité, f",一致性,일치성,"zgodność, f",consistência,一致性
447-08-09,reference consistency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-09,المطابقة المرجعية,"zulässige Streuung der Messabweichung unter Bezugsbedingungen, f",reference consistency,"fidélité de référence, f",基準条件での一致性,기준 일치성,"zgodność w warunkach odniesienia, f",consistência de referência,基准一致性
447-08-10,variation of the mean error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-10,تغيير متوسط الخطأ,"Streuung der mittleren Messabweichung, f",variation of the mean error,"variation de l'erreur moyenne, f",平均誤差の変動量,평균 오차 변이,"uchyb średni dodatkowy, muchyb średni dodatkowy, mwariacja błędu średniego, f",variação do erro médio,平均误差的变差
447-08-11,"accuracy class, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-11,"درجة الدقة, لمُرَحِّل قياس او نظام وقاية","Genauigkeitsklasse, <eines Messrelais oder einer Schutzeinrichtung> f","accuracy class, <of a measuring relay or protection equipment>","classe de précision, <d'un relais de mesure ou d'un équipement de protection> f","精度等級, <保護リレーの>","정확도 등급, <측정 계전기 또는 보호 장비>","klasa dokładności, f","classe de exatidão, <de um relé de medição ou equipamento de proteção>","准确度等级, <量度继电器和保护设备的>"
447-08-12,class index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-08-12,دليل الدقة,"Klassenzeichen, n",class index,"indice de classe, m",等級指標,등급 색인,"wskaźnik klasy dokładności, m",índice de classe,等级指数
