term_id,term,term_url,ar,cs,de,en,es,fr,ja,no,pl,sv,zh
826-13-03,"earth, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-03,"يؤرض, فعل",uzemňování,"erden, Verb","earth, verbground, verb US","poner a tierra, verbo","mettre à la terre, verbe",接地する,jorde (verb),"uziemić, verb",jorda,"接地, <相关条目：IEV 826-13-36>"
826-13-04,earthing arrangement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-04,ترتيب التأريض,uzemňovací soustava,"Erdungsanlage, f","earthing arrangementgrounding arrangement, USDEPRECATED: earthing system","instalación de puesta a tierra, f","installation de mise à la terre, f",接地設備,jordingssystem,"układ uziemiający, m",jordningssystem,接地配置
826-13-05,earth electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-05,قطب أرضىإلكترود أرضى,zemnič,"Erder, m","earth electrodeground electrode, US","electrodo de tierra, m","prise de terre, félectrode de terre, f",接地極,jordelektrode,"uziom, m",jordelektrod,接地极
826-13-06,earth-electrode network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-06,شبكة أقطاب أرضيةشبكة إلكترودات أرضية,soustava zemničů,"Erdernetz, n","earth-electrode networkground-electrode network, US","red de electrodos de tierra, f","réseau de prises de terre, f",接地極網,jordelektrodesystem,"sieć uziomów, f",sammanhängande jordelektrodsnät,接地网
826-13-07,independent earth electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-07,قطب أرضى مستقلإلكترود أرضى مستقل,nezávislý zemničNEVHODNÝ TERMÍN: vzdálená zem,"unabhängiger Erder, m","independent earth electrodeindependent ground electrode, USDEPRECATED: remote earth","electrodo de tierra independiente, m","prise de terre indépendante, félectrode de terre indépendante, f",独立接地極,uavhengig jordelektrode,"uziom niezależny, m",oberoende jordelektrod,独立接地极
826-13-08,foundation earth electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-08,قطب أرضى لأساسات المنشأة الكهربيةالكترود أرضى لأساسات المنشأة الكهربية,základový zemnič,"Fundamenterder, m",foundation earth electrode,"electrodo de tierra de cimentación, m","prise de terre à fond de fouille, f",基礎接地極,fundamentjordelektrode,"uziom fundamentowy, m",fundamentjordelektrod,基础接地极
826-13-09,protective earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-09,تأريض وقائيتأريض حماية,ochranné uzemnění,"Schutzerdung, f","protective earthingprotective grounding, US","puesta a tierra de protección, f","mise à la terre de protection, f",保護接地,beskyttelsesjording,"uziemienie ochronne, n",skyddsjordning,保护接地
826-13-10,functional earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-10,تأريض وظيفى,pracovní uzemnění,"Funktionserdung, f","functional earthingfunctional grounding, US","puesta a tierra funcional, f","mise à la terre fonctionnelle, f",機能接地,funksjonsjording,"uziemienie funkcjonalne, n",funktionsjordning,功能接地
826-13-11,"system earthing, <power>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-11,"تأريض النظام, <النظام الكهربى>","uzemnění sítě, <elektrické>","Netzbetriebserdung, fBetriebserdung eines Netzes, f","system earthing, <power>system grounding, <power> US","puesta a tierra de la red, f","mise à la terre du réseau, f","系統接地, <電源>",systemjording,"uziemienie sieci, <elektroenergetycznej> n","systemjordning, <elkraft>","电力系统接地, <电源>"
826-13-12,earthing conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-12,موصل تأريض,uzemňovací přívod,"Erdungsleiter, m","earthing conductorgrounding conductor, US","conductor de puesta a tierra, m","conducteur de mise à la terre, mconducteur de terre, m",接地線,jordingsleder,"przewód uziemiający, m",jordningsledare,接地导体
826-13-13,parallel-earthing-conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-13,موصل تأريض على التوازى,paralelně uložený zemnicí vodič,"Parallelerdungsleiter, m","parallel-earthing-conductorparallel-grounding-conductor, USDEPRECATED: parallel earth continuity conductor","conductor de tierra en paralelo, m","conducteur de terre en parallèle, m",並行した接地線,parallelljordleder,"przewód uziemiający równoległy, m",parallelljordad följeledare,平行接地导体
826-13-14,earth-return path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-14,مسار رجوع تيارالارضي,zpětná vodivá cesta zemí,"Erdrückleitung, f","earth-return pathground-return path, US","retorno por tierra, m","retour par la terre, m",接地経路,(retur)strømbane i jord,"droga powrotna w ziemi, f",markåterledning,地回路径
826-13-15,main earthing terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-15,طرف تأريض رئيسى,hlavní uzemňovací svorkahlavní uzemňovací přípojnice,"Haupterdungsklemme, fHaupterdungsschiene, f","main earthing terminalmain earthing busbarmain grounding terminal, USmain grounding busbar, US","borne principal de tierra, m","borne principale de terre, f",主接地端子,hovedjordskinne,"zacisk uziemiający główny, m",huvudjordningsskena,总接地端子
826-13-16,impedance to earth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-16,معاوقة الأرضى,impedance uzemnění,"Impedanz gegen Bezugserde, f","impedance to earthimpedance to ground, US","impedancia de puesta a tierra, f","impédance de mise à la terre, f",接地インピーダンス,impedans til jord,"impedancja uziemienia, f",impedans till jord,对地阻抗
826-13-18,equipotentiality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-18,تساوى الجهد,ekvipotencialita,"Potentialgleichheit, f",equipotentiality,"equipotencialidad, f","équipotentialité, f",等電位,ekvipotensial,"ekwipotencjalność, f",ekvipotentialitet,等电位
826-13-19,equipotential bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-19,رباط متساوى الجهد,pospojovánívyrovnání potenciálu,"Potentialausgleich, m",equipotential bonding,"conexión equipotencial, f","liaison équipotentielle, f",等電位ボンディング,utjevningsforbindelse (ekvipotensialforbindelse),"połączenie wyrównawcze, n",potentialutjämning,等电位联结
826-13-20,protective-equipotential-bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-20,رباط وقائى متساوى الجهدرباط حماية متساوى الجهد,ochranné pospojování,"Schutzpotentialausgleich, m",protective-equipotential-bonding,"conexión equipotencial de protección, f","liaison équipotentielle de protection, f",保護等電位ボンディング,utjevningsforbindelse for beskyttelsesformål,"połączenie wyrównawcze ochronne, n",skyddsutjämning,保护等电位联结
826-13-21,functional-equipotential-bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-21,رباط وظيفى متساوى الجهد,pracovní pospojování,"Funktionspotentialausgleich, m",functional-equipotential-bonding,"conexión equipotencial funcional, f","liaison équipotentielle fonctionnelle, f",機能等電位ボンディング,utjevningsforbindelse for funksjonsformål,"połączenie wyrównawcze funkcjonalne, n",funktionsutjämning,功能等电位联结
826-13-22,protective conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-22,موصل وقائىموصل الحماية,ochranný vodič,"Schutzleiter, mPE",protective conductor,"conductor de protección, m","conducteur de protection, m",保護導体,beskyttelsesleder,"przewód ochronny, m",skyddsledare,保护导体
826-13-23,protective earthing conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-23,موصل أرضى ووقائىموصل أرضى و حماية,vodič ochranného uzemněnívodič PE,"Schutzerdungsleiter, m","protective earthing conductorPE conductorprotective grounding conductor, US","conductor de puesta a tierra de protección, m","conducteur de mise à la terre de protection, m",保護接地導体,beskyttelsesjordleder (PE-leder),"przewód PE, m",skyddsjordsledarePE-ledare,保护接地导体
826-13-24,protective bonding conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-24,موصل رباط وقائىموصل رباط وحماية,vodič ochranného pospojování,"Schutzpotentialausgleichsleiter, m",protective bonding conductor,"conductor de conexión de protección, mconductor de equipotencialidad, m","conducteur de liaison de protection, mconducteur d'équipotentialité, m",保護ボンディング導体,utjevningsleder for beskyttelsesformål,"przewód ochronny wyrównawczy, m",skyddsutjämningsledare,保护联结导体
826-13-25,PEN conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-25,موصل تعادل مؤرض ووقائىموصل تعادل مؤرض وحماية,vodič PEN,"PEN-Leiter, m",PEN conductor,"conductor PEN, m","conducteur PEN, m",PEN導体,PEN-leder,"przewód PEN, m",PEN-ledare,保护接地中性导体
826-13-26,PEM conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-26,موصل تأريض نقطة وسط ووقائىموصل تأريض نقطة الوسط وحماية,vodič PEM,"PEM-Leiter, m",PEM conductor,"conductor PEM, m","conducteur PEM, m",PEM導体,PEM-leder,"przewód PEM, m",PEM-ledare,保护接地中间导体
826-13-27,PEL conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-27,موصل خط تأريض ووقائىموصل خط تأريض و حماية,vodič PEL,"PEL-Leiter, m",PEL conductor,"conductor PEL, m","conducteur PEL, m",PEL導体,PEL-leder,"przewód PEL, m",PEL-ledare,保护接地线导体
826-13-28,functional earthing conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-28,موصل تأريض وظيفى,vodič pracovního uzemnění,"Funktionserdungsleiter, m","functional earthing conductorfunctional grounding conductor, US","conductor de puesta a tierra funcional, m","conducteur de mise à la terre fonctionnelle, m",機能接地導体,funksjonsjordleder,"przewód uziemiający funkcjonalny, m",funktionsjordsledare,功能接地导体
826-13-29,functional bonding conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-29,موصل رباط وظيفى,vodič pracovního pospojování,"Funktionspotentialausgleichsleiter, m",functional bonding conductor,"conductor de conexión funcional, m","conducteur de liaison fonctionnelle, m",機能ボンディング導体,utjevningsleder for funksjonsformål,"przewód wyrównawczy funkcjonalny, m",funktionsutjämningsledare,功能联结导体
826-13-30,equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-30,نظام رباط متساوى الجهد,soustava pospojovánísoustava na vyrovnání potenciálůEBS,"Potentialausgleichsanlage, f",equipotential bonding systemEBS,"red equipotencial, f","réseau équipotentiel, m",等電位ボンディングシステム,ekvipotensialiseringssystem (EBS),"układ połączeń wyrównawczych, m",potentialutjämningssystem,等电位联结系统
826-13-31,protective equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-31,نظام رباط وقائى متساوى الجهدنظام رباط حماية متساوى الجهد,soustava ochranného pospojovánísoustava na ochranné vyrovnání potenciálůPEBS,"Schutzpotentialausgleichsanlage, f",protective equipotential bonding systemPEBS,"red equipotencial de protección, f","réseau équipotentiel de protection, m",保護等電位ボンディングシステム,ekvipotensialiseringssystem for beskyttelsesformål (PEBS),"układ ochronnych połączeń wyrównawczych, m",skyddsutjämningssystem,保护等电位联结系统
826-13-32,functional equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-32,نظام رباط وظيفى متساوى الجهد,soustava pracovního pospojovánísoustava pracovního vyrovnání potenciálůFEBS,"Funktionspotentialausgleichsanlage, f",functional equipotential bonding systemFEBS,"red equipotencial de seguridad, f","réseau équipotentiel fonctionnel, m",機能等電位ボンディングシステム,ekvipotensialiseringssystem for funksjonsformål (FEBS),"układ funkcjonalnych połączeń wyrównawczych, m",funktionsutjämningssystem,功能等电位联结系统
826-13-33,common equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-33,نظام رباط مشترك متساوى الجهد,společná soustava pospojováníspolečná soustava na vyrovnání potenciálůCBN,"kombinierte Potentialausgleichsanlage, f",common equipotential bonding systemcommon bonding networkCBN,"red común de conexión equipotencial, f","réseau commun de liaison équipotentielle, m",共用等電位ボンディングシステム,felles ekvipotensialiseringssystem (CBN),"układ wspólnych połączeń wyrównawczych, m",gemensamt potentialutjämningssystem,共用等电位联结系统
826-13-34,equipotential bonding terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-34,طرف رباط متساوى الجهد,svorka na pospojování,"Potentialausgleichsklemme, fPotentialausgleichsanschlusspunkt, m",equipotential bonding terminal,"borne de equipotencialidad, m","borne d'équipotentialité, f",等電位ボンディング端子,utjevningsforbindelsesklemme,"zacisk połączenia wyrównawczego, m",potentialutjämningsklämma,等电位联结端子
826-13-35,equipotential bonding busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-35,قضيب رباط متساوى الجهد,přípojnice pospojování,"Potentialausgleichsschiene, f",equipotential bonding busbar,"embarrado de equipotencialidad, m","barre d'équipotentialité, f",等電位ボンディング母線,utjevningsforbindelseskinne,"szyna zbiorcza połączeń wyrównawczych, f",potentialutjämningsskena,等电位联结母线
826-13-36,earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-36,تأريض,uzemnění,"Erdung, f","earthinggrounding, US","puesta a tierra, f","mise à la terre, f",接地,jording,"uziemienie, n",jordning,"接地, <相关条目：IEV 826-13-03>"
826-13-37,electrical safety,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-37,آمان كهربى,elektrická bezpečnost,"elektrische Sicherheit, f",electrical safety,"seguridad eléctrica, f","sécurité électrique, f",電気安全,elektrisk sikkerhet (elsikkerhet),"bezpieczeństwo elektryczne, n",elsäkerhet,电气安全
826-13-38,system-referencing-conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-38,موصل تأريض,referenční vodič,"System-Bezugsleiter, m",system-referencing-conductor,"system-referencing-conductor, m","conducteur de référencement du système , m",システム参照導体,systemreferanseleder,"przewód układu odniesienia, <o ptencjale ziemi> m",systemreferensledare,参考导体
826-14-01,"electric circuit, <of an electrical installation>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-01,"دائرة كهربية, <لمنشأة كهربية>","elektrický obvod, <elektrické instalace>","Stromkreis, <einer elektrischen Anlage> m","electric circuit, <of an electrical installation>","circuito eléctrico, <de una instalación eléctrica> m","circuit électrique, <d'une installation électrique> m","電気回路, <電気設備の>","kurs, <i en elektrisk installasjon>","obwód elektryczny, <instalacji elektrycznej> m","elkrets, <i en elinstallation>","电气回路, <电气装置的>"
826-14-02,distribution circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-02,دائرة توزيع,distribuční obvod,"Verteilungsstromkreis, m",distribution circuit,"circuito de distribución, m","circuit de distribution, m",配電回路,hovedkurs,"obwód rozdzielczy, m",huvudledning,配电回路
826-14-03,final circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-03,دائرة فرعية,koncový obvod,"Endstromkreis, m","final circuit branch circuit, US","circuito final, m","circuit terminal, m",建築物の分岐回路,forbrukerkurs,"obwód odbiorczy, m",gruppledning,终端回路
826-14-04,mid-point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-04,نقطة الوسط,střední bod,"Mittelpunkt, m",mid-point,"punto medio, m","point milieu, m",中間点,midtpunkt,"punkt środkowy, m",mittpunkt,中间点
826-14-05,neutral point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-05,موصل نقطة التعادل,nulový boduzel,"Neutralpunkt, m",neutral point,"punto neutro, m","point neutre, m",中性点,nøytralpunkt,"punkt neutralny, m",neutralpunkt,中性点
826-14-06,conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-06,موصل,vodič,"Leiter, m",conductor,"conductor, m","conducteur, m",導体,leder,"przewód, m",ledare,导体
826-14-07,neutral conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-07,موصل التعادل,nulový vodič,"Neutralleiter, m",neutral conductor,"conductor neutro, m","conducteur de neutre, mconducteur neutre, m",中性導体,nøytralleder (N‑leder),"przewód neutralny, m",neutralledare,中性导体
826-14-08,mid-point conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-08,موصل نقطة الوسط,vodič středního bodu,"Mittelpunktleiter, m",mid-point conductor,"conductor de punto neutro, m","conducteur de point milieu, m",中間線,midtpunktsleder,"przewód środkowy, m",mittpunktsledare,中间导体
826-14-09,line conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-09,موصل الخطموصل الوجه,vodič vedení,"Außenleiter, m",line conductor,"conductor de línea, m","conducteur de phase, m",線導体,faseleder,"przewód liniowy, m",linjeledare,线导体
826-14-10,short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-10,دائرة قصر,zkratstav nakrátko,"Kurzschluss, m",short-circuit,"cortocircuito, m","court-circuit, m",短絡,kortslutning,"zwarcie, n",kortslutning,短路
826-14-11,line-to-earth short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-11,دائرة قصر خط مع الأرضدائرة قصر ارضى,zemní zkrat,"Kurzschluss zwischen Außenleiter und Erde, m",line-to-earth short-circuit,"cortocircuito fase-tierra, mcortocircuito de fase a tierra, m","court-circuit phase-terre, m",一線地絡,jordslutning,"zwarcie fazy z ziemią, n",jordslutning,线对地短路
826-14-12,line-to-line short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-12,دائرة قصر خط مع خطدائرة قصر بين الوجهين,zkrat mezi vodiči vedení,"Kurzschluss zwischen Außenleitern, m",line-to-line short-circuit,"cortocircuito entre fases, mcortocircuito fase-fase, m","court-circuit entre phases, m",線間短絡,flerpolet kortslutning,"zwarcie międzyprzewodowe, n",linje-till-linje-kortslutningflerfasig kortslutning,线间短路
826-14-13,earth fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-13,خطأ أرضى,zemní spojení,"Erdschluss, m","earth faultground fault, US","defecto a tierra, m","défaut à la terre, m",地絡故障,jordfeil,"zwarcie doziemne, n",jordfel,接地故障
826-14-14,overcurrent protective device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-14,جهاز وقاية من التيار الزائدجهاز حماية ضد زيادة التيار,nadproudová ochrana,"Überstrom-Schutzeinrichtung, f",overcurrent protective device,"dispositivo de protección contra sobreintensidades, m","dispositif de protection contre les surintensités, m",過電流保護器,overstrømsvern,"zabezpieczenie przetężeniowe, n",överströmsskydd,过电流保护器
826-14-15,"inherently short-circuit and earth fault proof, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-14-15,"مقاوم ضد دائرة القصر والخطأ الأرضى, صفة",odolnost proti zkratu a zemnímu spojení,"kurzschluss- und erdschlusssicher, Adjektiv","inherently short-circuit and earth fault proof, adj","intrínsecamente protegido contra los cortocircuitos y los defectos a tierra, adj","intrinsèquement protégé contre les courts-circuits et les défauts à la terre, adj",本質的短絡及び地絡防止形,jord‑ og kortslutningssikker forlegning,"naturalna odporność na zwarcia i doziemienia, adj",egensäker inre säkerhet mot kortslutning och jordfel,固有耐短路和接地故障的
826-15-01,wiring system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-01,نظام توصيلات الأسلاك,systém (elektrického) vedení(elektrická) síťelektrické vedení,"Kabel- und Leitungsanlage, f",wiring system,"sistema de cableado, m","canalisation électrique, fcanalisation, f",配線設備,ledningssystem,"oprzewodowanie, n",ledningssystem,布线系统
826-15-02,building void,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-02,فراغات المبني,stavební dutina,"baulicher Hohlraum, m",building void,"hueco de la construcción, m","vide de construction, m",建築物空所,hulrom i bygg,"przestrzeń instalacyjna, f",ihålighet i byggnadsdel,建筑物孔道
826-15-03,conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-03,مواسير أسلاك,instalační trubka,"Elektroinstallationsrohr, n",conduit,"conducto, m","conduit, m",電線管,installasjonsrør,"rura instalacyjna, f",elrörinstallationsrör,导管
826-15-04,cable trunking system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-04,نظام ممر كابلات,úložný elektroinstalační kanál,"zu öffnender Elektroinstallationskanal, m",cable trunking system,"sistema de canalización de cableado, m","système de goulottes, f",ケーブルトランキング方式,ledningskanalsystem,"system listew instalacyjnych otwieranych, m",elkanalsystem,电缆槽盒系统
826-15-05,cable ducting system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-05,نظام مواسير الكابلات,protahovací elektroinstalační kanál,"geschlossener Elektroinstallationskanal, m",cable ducting system,"sistema de conductos de cableado, m","système de conduits profilés, m",ケーブルダクト方式,lukket ledningskanalsystem,"system listew instalacyjnych zamkniętych, m",kabelkanalsystem,电缆管槽系统
826-15-06,cable channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-06,مجارى الكابلات,kabelový kanál,"Kabelkanal, m",cable channel,"canal de cableado, m","caniveau, m",ケーブルチャネル,kabelkanal,"kanał kablowy, m",kabelkanal,电缆沟
826-15-07,cable tunnel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-07,نفق الكابلات,kabelový tunelprůchozí kabelový kanál,"begehbarer Kabelkanal, m",cable tunnel,"galería de cableado, f","galerie, f",ケーブルトンネル,kabeltunnel (kabelkulvert),"tunel kablowy, m",kabelkulvert,电缆隧道
826-15-08,cable tray,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-08,سرير الكابلات,kabelová lávka,"Kabelwanne, f",cable tray,"bandeja de cableado, f","chemin de câbles, mtablette, f",ケーブルトレイ,kabelbro,"korytko instalacyjne, n",kabelränna,电缆托盘
826-15-09,cable ladder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-09,حامل الكابلات,kabelový rošt,"Kabelpritsche, f",cable ladder,"escalera de cableado, f","échelle à câbles, f",ケーブルラダー,kabelstige,"drabinka instalacyjna, f",kabelstege,电缆梯架
826-15-10,cable brackets,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-10,كابولي حامل الكابلات,kabelové hákykabelové konzoly,"Ausleger, m",cable brackets,"repisa de cableado, f","corbeaux, m pl",ケーブルブラケット,kabelknekter,"wsporniki instalacyjne, pl",kabelkonsol,电缆支架
826-15-11,cleats,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-15-11,ماسك كابلات,příchytky,"Kabelschellen, f plRohrschellen, f pl",cleatsclamps,"bridas, f pl","serre-câbles, m plcolliers, m pl",クリート,klammer,"uchwyty instalacyjne, pl",klammer,线夹
826-16-01,electrical equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-01,معدة كهربية,elektrické zařízení,"elektrisches Betriebsmittel, n",electrical equipment,"equipo eléctrico, m","matériel électrique, m",電気機器,elektrisk utstyr,"urządzenie elektryczne, n",elmateriel,电气设备
826-16-02,current-using equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-02,معدة كهربية مستخدمة للطاقة,(elektrický) spotřebič,"elektrisches Verbrauchsmittel, n",current-using equipment,"equipo que utiliza la energía eléctrica, m","matériel d'utilisation, m",電気使用機器,forbruksapparat,"odbiornik energii elektrycznej, m",strömförbrukande elmateriel,用电设备
826-16-03,switchgear and controlgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-03,معدات فصل وتوصيل,spínací a řídicí zařízení,"Schaltgerät und Steuergerät, n pl",switchgear and controlgear,"aparamenta, f","appareillage, m",スイッチギヤ及びコントロールギヤ,koblings- og kontrollutstyr,"aparatura rozdzielcza i sterownicza, f",kopplingsutrustning,开关设备和控制设备
826-16-04,mobile equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-04,معدات متنقلة,mobilní zařízení,"ortsveränderliches Betriebsmittel, n",mobile equipment,"equipo móvil, m","matériel mobile, m",移動形機器,flyttbart utstyr,"urządzenie przenośne, n",flyttbar elmateriel,移动设备
826-16-05,hand-held equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-05,معدات محمولة يدويا,ruční zařízenízařízení držené v ruce,"elektrisches Handgerät, n",hand-held equipment,"equipo portátil, m","matériel portatif, m",手持形機器,håndholdt utstyr,"urządzenie ręczne, n",handhållen elmateriel,手持设备
826-16-06,stationary equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-06,معدات ثابتة,nepřenosné zařízení,"ortsfestes Betriebsmittel, n",stationary equipment,"equipo estacionario, mequipo semifijo, m","matériel semi-fixe, mmatériel stationnaire, m",据置形機器,stasjonært utstyr,"urządzenie stacjonarne, n",stationär elmateriel,不易移动设备
826-16-07,fixed equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-07,معدات مثبتة,upevněné zařízenípevné zařízení,"fest angebrachtes elektrisches Betriebsmittel, n",fixed equipment,"equipo fijo, m","matériel installé à poste fixe, m",固定形機器,fastmontert utstyr,"urządzenie stałe, n",fast monterad elmateriel,固定设备
826-16-08,distribution board,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-16-08,لوحة توزيع,distribuční rozváděčrozvodnice,"elektrischer Verteiler, mVerteiler, m",distribution board,"cuadro de distribución, m","tableau de répartition, m",分電盤,fordelingstavle,"rozdzielnica, f",elcentral,配电盘
826-17-01,isolation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-17-01,عزل كهربى,izolování,"Isolation, f",isolation,"aislamiento, m","isolement, m",断路,frakobling,"separacja, f",frånskiljning,隔离
826-17-02,switching-off for mechanical maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-17-02,فصل كهربى للصيانة الميكانيكية,vypnutí pro mechanickou údržbu,"Ausschalten für nicht elektrische Instandhaltung, n",switching-off for mechanical maintenance,"desconexión para mantenimiento mecánico, f","coupure pour entretien mécanique, f",機械的保守のための開放,utkobling for mekanisk vedlikehold,"wyłączenie w celu konserwacji mechanicznej, n",frånkoppling för mekaniskt underhållsarbete,机械维修分闸
826-17-03,emergency switching-off,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-17-03,فصل كهربى طارئفصل كهربى اضطرارى,nouzové vypnutí,"Not-Ausschaltung, f",emergency switching-off,"desconexión de emergencia, f","coupure d'urgence, f",非常開放,nødutkobling,"wyłączenie awaryjne, n",nödbrytning,紧急分闸
826-17-04,emergency stopping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-17-04,توقف طارئ,nouzové zastavení,"Not-Halt, m",emergency stopping,"parada de emergencia, f","arrêt d'urgence, m",非常停止,nødstopp,"zatrzymanie awaryjne, n",nödstopp,急停
826-17-05,functional switching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-17-05,فصل وتوصيل وظيفي,provozní spínání,"betriebsmäßiges Schalten, n",functional switching,"maniobra funcional, finterrupción funcional, f","commande fonctionnelle, f",機能的開閉,funksjonsbrytning,"łączenie operacyjne, n",funktionsmanövrering,功能切换
826-18-01,"skilled person, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-18-01,"شخص ماهر, <كهربيا>","znalá osoba, <v elektrotechnice>","Elektrofachkraft, f","skilled person, <electrically>","persona cualificada, <eléctricamente> f","personne qualifiée, <en électricité> f","熟練者, <電気の>",sakkyndig person (mht. elektrisitet),"osoba wykwalifikowana, <w zakresie elektryki> n",fackkunnig person,"技术人员, <电气>"
826-18-02,"instructed person, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-18-02,"شخص تحت التوجيه, <كهربيا>","poučená osoba, <v elektrotechnice>","elektrotechnisch unterwiesene Person, f","instructed person, <electrically>","persona instruida, <eléctricamente> f","personne avertie, <en électricité> f","技能者, <電気の>",instruert person (mht. elektrisitet),"osoba poinstruowana, <w zakresie elektryki> n",instruerad person,"受过培训的人员, <电气>"
826-18-03,ordinary person,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-18-03,شخص عادى,laik,"Laie, m",ordinary person,"persona común, f","personne ordinaire, f",一般人,ikke-sakkyndig person (ukyndig person),"osoba postronna, n",ordinär person,一般人员
