term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sl,sr,sv,zh
161-02-29,damped oscillatory wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-29,موجة متذبذبة مخمدة,"gedämpfte harmonische Schwingung, f",damped oscillatory wave,onda oscilatoria amortiguada,vaimeneva värähtely,"onde oscillatoire amortie, f",onda oscillatoria smorzata ripetitiva,減衰振動波,감쇠 진동파,dempa svinging,przebieg oscylacyjny tłumiony,onda oscilatória amortecida,dušeni nihajni val,"пригушени осцилаторни талас, м јдпригушена осцилација, ж јд",dämpad svängning,阻尼振荡波
161-02-30,ring wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-30,موجة حلقية (موجة جيبيّة مخمدة بقوّة),"Ringwave, f",ring wave,onda en anilloonda sinusoidal fuertemente amortiguada,…..,"onde sinusoïdale fortement amortie, fonde en anneau  (déconseillé) f",onda oscillatoria sinusoidale smorzata non ripetitiva,リング波,링 파형,ringbølgje,. . . . .,onda em anel,zadušeni nihajni val,"јако пригушен синусни талас, м јд",ringvåg,振铃波
161-03-01,level (of a time varying quantity),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-01,مستوى (لكمية متغيرة مع الوقت),"Pegel, <einer zeitabhängigen Größe> m",level (of a time varying quantity),nivel (de una magnitud),taso,niveau (d'une grandeur variable) m,livello (di una grandezza variabile),"レベル, <時変量の>","레벨, <시간 변화량>",nivå,poziom,nível (de uma grandeza variável),raven časovno spreminjajoče se veličinenivo časovno spreminjajoče se veličine,"ниво, <неке величине> м јд",nivå,"电平, <时变量的>"
161-03-02,mains-borne disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-02,اضطراب  بالمدخل الرئيسي ( ناشئ من المصدر),"leitungsgeführte Netzstörgröße, f",mains-borne disturbance,perturbación electromagnéticaperturbación transmitida por alimentación,verkkohäiriö,"perturbation transmise par l'alimentation, f",disturbo condotto dall'alimentazione,電源線伝導妨害,주 전원을 통해 전달되는 방해,nettoverført forstyrring,zaburzenie sieciowe,perturbação transmitida pela alimentação,omrežna motnjamotnja iz omrežja,"сметња из мреже, ж јд",nätstörning,电源骚扰
161-03-03,mains immunity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-03,مناعة المدخل الرئيسي (مناعة بالنسبة للتغذية),"Netzstörfestigkeit, f",mains immunity,inmunidad de la alimentación,verkkohäiriön sieto,"immunité par rapport à l'alimentation, f",immunità ai disturbi condotti dall'alimentazione,電源線イミュニティ,주 전원 내성,immunitet mot nettoverført forstyrring,odporność na zaburzenia sieciowe,imunidade em relação à alimentação,odpornost proti omrežnim motnjam,"имуност према сметњама из мреже, ж јд",tålighet mot nätstörning,电源抗扰度
161-03-04,mains decoupling factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-04,عامل فك ارتباط المدخل الرئيسي (فك الارتباط بالتغذية),"Netzentkopplungsfaktor, m",mains decoupling factor,factor de desacoplamiento (de la alimentación),verkkohäiriön vaimennus,"facteur de découplage avec l'alimentation, m",fattore di disaccoppiamento con l'alimentazione,電源線減結合係数,주 전원 감결합 인자,nettavkoplingsfaktor,współczynnik odsprzężenia sieci,factor de desacoplamento com a alimentação,faktor omrežne razklopitve,"фактор распрезања од мреже, м јд",nätstörningsdämpning,电源去耦因数
161-03-05,cabinet radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-05,إشعاع الغرفة (المقصورة),"Gehäuseabstrahlung, f",cabinet radiation,radiación en un recinto,kotelon säteily,"rayonnement d'enceinte, m",radiazione di un contenitore,きょう体放射,캐비닛 복사,stråling frå apparatkapsling,promieniowanie obudowy,radiação num recintoradiação de um armário,sevanje ohišja,"зрачење кабинета, с јд",strålning från apparatskåp,壳体辐射
161-03-06,internal immunity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-06,مناعة داخلية - حصانة داخلية,"innere Störfestigkeit, f",internal immunity,inmunidad interna,sisäisen häiriön sieto,"immunité interne, f",immunità interna,内部イミュニティ,내부 내성,internimmunitet,odporność wewnętrzna,imunidade interna,notranja odpornost,"унутрашња имуност, ж јд",tålighet mot inre störning,内部抗扰度
161-03-07,external immunity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-07,مناعة خارجية - حصانة خارجية,"äußere Störfestigkeit, f",external immunity,inmunidad externa,ulkoisen häiriön sieto,"immunité externe, f",immunità esterna,外部イミュニティ,외부 내성,eksternimmunitet,odporność zewnętrzna,imunidade externa,zunanja odpornost,"спољашња имуност, ж јд",tålighet mot yttre störning,外部抗扰度
161-03-08,limit of disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-08,حد الاضطراب,"Grenzwert einer Störgröße, m",limit of disturbance,límite de perturbación,sallittu häiriötaso,"limite de perturbation, f",limite di disturbo,妨害の限度妨害の限度値,방해 한계값,maksimal tillaten forstyrring,poziom zaburzenia dopuszczalny,limite de perturbação,meja motnje,"граница сметње, ж јд",tillåten störningsnivå,骚扰限值
161-03-09,limit of interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-09,حد التداخل (التشويش),"Grenzwert der Störung, m",limit of interference,límite de interferencia,sallittu häiriintyminen,"limite de brouillage, f",limite di interferenza,障害の限度障害の限度値,간섭 한계값,maksimal tillaten interferens,poziom zakłócenia dopuszczalny,limite de interferência,meja motenjameja motenosti,"граница сметања, ж јд",,干扰限值
161-03-10,(electromagnetic) compatibility level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-10,مستوى التوافق (الكهرومغناطيسي),"elektromagnetischer Verträglichkeitspegel, mVerträglichkeitspegel, m",(electromagnetic) compatibility level,nivel de compatibilidad (electromagnética),yhteensopivuustasosähkömagneettinen yhteensopivuustaso,"niveau de compatibilité (électromagnétique), m",livello di compatibilità (elettromagnetica),電磁的両立性レベル両立性レベル,전자기 적합성 레벨,elektromagnetisk kompatibilitetsnivå,poziom kompatybilności elektromagnetycznejpoziom EMC,nível de compatibilidade (electromagnética),raven (elektromagnetne) združljivostinivo elektromagnetne združljivosti,"ниво електромагнетске компатибилности, м јдниво компатибилности, м јд",referensnivå för störning,电磁兼容电平
161-03-11,emission level (of a disturbing source),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-11,مستوى الإنبعاث (لمصدر إضطراب),"Aussendungspegel, <für eine Störquelle> m",emission level (of a disturbing source),nivel de emisión (de una fuente perturbadora),häiriönpäästötaso,niveau d'émission (d'une source perturbatrice) m,livello di emissione (di una sorgente di disturbo),"エミッションレベル, <妨害源の>","방출 레벨, <방해원>",emisjonsnivå,poziom emisji zaburzeń,nível de emissão (de uma fonte perturbadora),oddajna raven motečega viraoddajni nivo motečega vira,"ниво емисије, <извора сметњи> м јд",emissionsnivå,"发射电平, <骚扰源的>"
161-03-12,emission limit (from a disturbing source),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-12,حد الإنبعاث (من مصدر إضطراب),"Aussendungsgrenzwert, <für eine Störquelle> m",emission limit (from a disturbing source),límite de emisión,sallittu häiriönpäästötaso,limite d'émission (d'une source perturbatrice) f,limite di emissione (di una sorgente di disturbo),"エミッション限度値, <妨害源からの>","방출 한계값, <방해원>",maksimal tillaten emisjon,poziom emisji źródła zaburzenia dopuszczalny poziom emisji dopuszczalny,limite de emissão (de uma fonte perturbada),oddajna meja motečega vira,"граница емисије, <извора сметњи>ж јд",tillåten emissionsnivå,"发射限值, <骚扰源的>"
161-03-13,emission margin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-13,هامش الانبعاث,"Aussendungs-Verträglichkeits-Verhältnis, n",emission margin,margen de emisión,häiriönpäästövara,"marge d'émission, f",margine di emissione,妨害波マージン,방출 마진,emisjonsmargin,margines emisji,margem de emissão,oddajno obrobje,"маргина емисије, ж јдрезерва емисије, ж јд",emissionsmarginal,发射裕量
161-03-14,immunity level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-14,مستوى المناعة - مستوى الحصانة,"Störschwelle, f",immunity level,nivel de inmunidad,häiriönsietotaso,"niveau d'immunité, m",livello di immunità,イミュニティレベル,내성 레벨,immunitetsnivå,poziom odporności,nível de imunidade,raven odpornostiodpornostna ravenodpornostni nivonivo odpornosti,"ниво имуности, м јд",tålighetsnivå,抗扰度电平
161-03-15,immunity limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-15,حد المناعة - حد الحصانة,"Störfestigkeitsgrenzwert, m",immunity limit,límite de inmunidad,vaadittu häiriönsietotaso,"limite d'immunité, f",limite di immunità,イミュニティ限度値,내성 한계값,minimal tillaten immunitet,odporność graniczna,limite de imunidade,meja odpornostiodpornostna meja,"граница имуности, ж јд",gränsvärde för tålighet,抗扰度限值
161-03-16,immunity margin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-16,هامش المناعة - هامش الحصانة,"Störfestigkeits-Verträglichkeits-Verhältnis, n",immunity margin,margen de inmunidad,häiriönsietovara,"marge d'immunité, f",margine di immunità,イミュニティマージン,내성 마진,immunitetsmargin,margines odporności,margem de imunidade,odpornostno obrobje,"маргина имуности, ж јдрезерва имуности, ж јд",tålighetsmarginal,抗扰度裕量
161-03-17,(electromagnetic) compatibility margin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-17,هامش التوافق (الكهرومغناطيسي),"elektromagnetisches Verträglichkeitsverhältnis, nVerträglichkeitsverhältnis, n",(electromagnetic) compatibility margin,margen de compatibilidad (electromagnética),yhteensopivuusvarasähkömagneettinen yhteensopivuusvara,"marge de compatibilité (électromagnétique), f",margine di compatibilità (elettromagnetica),電磁的両立性マージン両立性マージン,전자기 적합성 마진,elektromagnetisk kompatibilitetsmargin,margines kompatybilności elektromagnetycznejmargines EMC,margem de compatibilidade (electromagnética),obrobje (elektromagnetne) združljivosti,"маргина електромагнетске компатибилности, ж јдмаргина компатибилности, ж јдрезерва електромагнетске компатибилности, ж јдрезерва компатибилности, ж јд",EMC-marginal,电磁兼容裕量
161-03-18,coupling factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-18,عامل الترابط (التقارن),"Kopplungsfaktor, m",coupling factor,factor de acoplamiento,kytkentäkerroin,"facteur de couplage, m",fattore di accoppiamento,結合係数,결합 인자,koplingsfaktor,współczynnik sprzężenia,factor de acoplamento,sklopni faktor,"фактор спреге, м јд",kopplingsfaktor,耦合系数
161-03-19,coupling path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-19,مسار الترابط (التقارن),"Kopplungspfad, m",coupling path,trayecto de acoplamiento,kytkentätie,"trajet de couplage, m",via o percorso di accoppiamento,結合路,결합 경로,koplingsveg,droga sprzężenia,trajecto de acoplamento,sklopna pot,"пут спрезања, м јд",kopplingsväg,耦合路径
161-03-20,earth-coupled interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-20,تداخل (تشويش) مقترن بالأرض,"erdgekoppelte Störung, f",earth-coupled interferenceground-coupled interference  (US),interferencia por acoplamiento por (medio de) la tierra,maadoituksen kautta kytkeytynyt häiriö,"brouillage par couplage par la terre, m",interferenza per accoppiamento attraverso la terra,アース結合障害,접지 결합 장해,jordingskopla interferens,zakłócenie poprzez uziemienie,interferência por acoplamento pela terra,ozemljitveno sklopljeno motenjeozemljitveno sklopljena motenost,"сметање преко заједничке масе, с јд",koppling över jord,地耦合干扰
161-03-21,earthing inductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-21,محاث تأريض,"Erdungsinduktor, mErdungsdrosselspule, f",earthing inductorgrounding inductor  (US),inductancia de tierra,maadoituskuristin,"inductance de (mise à la) terre, f",induttanza di (messa) terra,接地インダクタ,접지 인덕터,jordingsinduktor,cewka uziemiająca,indutância (de ligação) à terra,ozemljitvena dušilka,"индуктивни калем земљовода, м јд",jordledarespole,接地电感器
161-03-22,disturbance suppression,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-22,إخماد الاضطراب,"elektromagnetische Entstörung, f",disturbance suppression,antiparasitajesupresión de perturbación,häiriönvaimennushäiriötekijän vaimennus,"antiparasitage, m",soppressione di disturbo,妨害抑圧,방해 억제,støydemping,"tłumienie zakłócenia, <elektromagnetycznego> neliminacja zakłócenia, <elektromagnetycznego> f",antiparasitagemsupressão de perturbações,dušenje motenj,"сузбијање сметње, с јдпотискивање сметње, с јд",avstörning,骚扰抑制
161-03-23,interference suppression,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-23,إخماد التداخل,"Störungsunterdrückung, f",interference suppression,antiinterferenciasupresión de interferencia,häiriönvaimennus,"antibrouillage, m",soppressione di interferenza,障害抑圧,간섭 억제,interferensdemping,tłumienie zakłócenia,anti-interferênciasupressão de interferências,dušenje motenjadušenje motenosti,"сузбијање сметања, с јд",avstörning,干扰抑制
161-03-24,suppressor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-24,مخمد - جهاز لإزالة التشويش,"Entstörelement, n",suppressorsuppression component,dispositivo de antiparasitaje,häiriönvaimennin,"dispositif d'antiparasitage, m",disposivito soppressore di disturbo,抑圧素子,억제 소자억제 부품,dempar,tłumik   człon tłumiący,dispositivo de antiparasitagemsupressor,dušilnikdušilni člen,"компонента за потискивање сметњи, ж јд",avstörningsdon,抑制器
161-03-25,screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-25,حجاب - شاشة,"Schirm, m",screen,,häiriösuoja,"écran, m",schermo,遮へいスクリーン,스크린,skjerm,ekran,blindagemecrã (desaconselhado neste sentido),zaslon,"екран, м јд",skärm,屏蔽
161-03-26,electromagnetic screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-26,شاشة (حجاب) كهرومغناطيسي,"elektromagnetischer Schirm, m",electromagnetic screen,,sähkömagneettinen suoja,"écran électromagnétique, m",schermo elettromagnetico,電磁遮へい,전자기 차폐,elektromagnetisk skjerm,ekran elektromagnetyczny,blindagem electromagnéticaecrã electromagnético (desaconselhado neste sentido),elektromagnetni zaslon,"електромагнетски екран, м јд",elektromagnetisk skärm,电磁屏蔽
161-03-27,conducted disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-27,اضطراب موصّل,"leitungsgeführte Störgröße, f",conducted disturbance,perturbación conducidad,johtuva häiriö,"perturbation conduite, f",disturbo condotto,伝導妨害波伝導妨害,전도성 방해,leidningsbunden forstyrring,zaburzenie przewodzone,perturbação conduzida,prevajane motnje,"кондукциона сметња, ж јд",ledningsbunden störning,传导骚扰
161-03-28,radiated disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-28,اضطراب مُشع,"gestrahlte Störgröße, f",radiated disturbance,perturbación radiada,säteilevä häiriö,"perturbation rayonnée, f",disturbo radiato,放射妨害波放射妨害,복사성 방해,utstrålt forstyrring,zaburzenie promieniowane,perturbação radiada,sevana motnja,"зрачена сметња, ж јд",strålad störning,辐射骚扰
161-03-29,(electromagnetic) disturbance level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-03-29,مستوى إضطراب (كهرومغناطيسى),"elektromagnetischer Störpegel, mStörpegel, m",(electromagnetic) disturbance level,nivel de perturbación,häiriötasosähkömagneettinen häiriötaso,"niveau de perturbation (électromagnétique), m",livello di disturbo (eletttromagnetico),妨害レベル,전자기 방해 레벨,elektromagnetisk forstyrringsnivå,poziom zaburzenia elektromagnetycznegopoziom zaburzenia,nível de perturbação (electromagnética),raven (elektromagnetne) motnjenivo elektromagnetne motnje,"ниво сметње, м јдниво електромагнетске сметње, м јд",störningsnivå,电磁骚扰电平
161-04-01,disturbance voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-01,جهد الإضطراب,"Störspannung, f",disturbance voltageinterference voltage  (deprecated in this sense),tensión de perturbación,häiriöjännite,"tension perturbatrice, f",tensione di disturbo,妨害電圧,방해 전압,støyspenning,napięcie zaburzenia,tensão perturbadora,napetost motnje,"напон сметње, м јд",störningsspänning,骚扰电压
161-04-02,disturbance field strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-02,شدة مجال الإضطراب,"Störfeldstärke, f",disturbance field strengthinterference field strength  (deprecated in this sense),campo de interferencia,häiriökentänvoimakkuus,"champ perturbateur, m",campo di disturbo,妨害電磁界強度,교란 전자기장 세기,støyfeltstyrke,natężenie pola zaburzenia,campo perturbador,poljska jakost motnje,"јачина поља сметње, ж јд",störningsfältstyrka,骚扰场强
161-04-03,disturbance power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-03,قدرة الإضطراب,"Störleistung, f",disturbance powerinterference power  (deprecated in this sense),potencia de interferencia,häiriöteho,"puissance perturbatrice, f",potenza di disturbo,妨害電力,방해 전력,støyeffekt,moc zaburzenia,potência perturbadora,moč motnje,"снага сметње, ж јд",störningseffekt,骚扰功率
161-04-04,reference impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-04,معاوقة مرجعية,"Bezugsimpedanz, f",reference impedance,impedancia de referencia,vertailuimpedanssi,"impédance de référence, f",impedenza di riferimento,基準インピーダンス,기준 임피던스,referanseimpedans,impedancja odniesienia,impedância de referência,referenčna impedanca,"референтна импеданса, ж јд",referensimpedans,参考阻抗
161-04-05,artificial mains network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-05,شبكة مدخل رئيسي اصطناعية,"Netznachbildung, fNetzimpedanz-Stabilisierungsnetzwerk, nLISN, Abkürzung, (USA)",artificial mains networkline impedance stabilization networkLISN  (US),red artificial,keinoverkko,"réseau fictif, mréseau de stabilisation d'impédance de ligne, mRISL (abréviation) m","rete fittizia, rete di stabilizzazione d'impedenza di linea","擬似電源回路網擬電源回路LISN, （略語）",의사 전원 회로망전원 임피던스 안정화 회로망LISN,straumnettekvivalent,sieć sztuczna,rede artificialrede de estabilização de impedância de linha,umetno omrežje,"еквивалентна мрежа, ж јдLISN",nätekvivalent,人工电源网络
161-04-06,delta network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-06,شبكة دلتا,"Delta-Netznachbildung, f",delta network,red en delta,deltaverkko,"réseau (fictif) en delta, m",rete (fittizia) a delta,デルタ回路網デルタ回路,델타형 회로망,deltanettverk,sieć sztuczna typu delta,rede (artificial) em delta,delta-omrežje,"делта мрежа, ж јдеквивалентна делта мрежа, ж јд",deltanät,△形网络
161-04-07,V-network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-07,شبكة V,"V-Netznachbildung, f",V-network,red en V,V-verkko,"réseau (fictif) en V, m",rete (fittizia) a V,V型回路網V型回路,V형 회로망,V-nettverk,sieć sztuczna typu V,rede (artificial) em V,V-omrežje,"V-мрежа, ж јдеквивалентна V-мрежа, ж јд",V-nät,V形网络
161-04-08,differential mode voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-08,جهد نمطى تفاضلي,"symmetrische Spannung, fGegentaktspannung, f",differential mode voltagesymmetrical voltage,tensión diferencialtensión en modo diferencialtensión simétrica,erojännitesymmetrinen jännite,"tension en mode différentiel, ftension différentielle, f",tensione di modo differenzialetensione simmetrica,ディファレンシャルモード電圧,차동 모드 전압대칭 전압,symmetrisk spenning,napięcie międzyprzewodowenapięcie symetryczne,tensão (em modo) diferencial,simetrična napetostdiferenčna napetost,"симетрични напон, м јд",symmetrisk spänning,差模电压
161-04-09,common mode voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-09,جهد نمطى مشترك,"asymmetrische Spannung, fGleichtaktspannung, f",common mode voltageasymmetrical voltage,tensión asimétricatensión de señales en fase,yhteisjänniteepäsymmetrinen jännite,"tension en mode commun, ftension asymétrique  (terme déconseillé dans ce sens) f",tensione di modo comunetensione asimmetrica,コモンモード電圧,공통 모드 전압비대칭 전압,asymmetrisk spenning,napięcie fazowe  napięcie niesymetryczne,tensão em modo comum,asimetrična napetost,"асиметрични напон, м јд",asymmetrisk spänning,共模电压
161-04-10,common mode conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-10,تحويل نمطى مشترك,"asymmetrische Umwandlung, f",common mode conversion,conversión de modo común,maaepäsymmetriakytkentä,"conversion du mode commun, f",conversione di modo comune,コモンモード変換,공통 모드 변환,·····,przemiana napięcia fazowego,conversão de modo comum,asimetrična pretvorba,"конверзија асиметричног у симетрични напон, ж јд",saknas,共模转换
161-04-11,symmetrical terminal voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-11,جهد طرفي متماثل ( جهد تفاضلي على الأطراف ),"symmetrische Klemmenspannung, f",symmetrical terminal voltage,tensión simétrica de terminales,symmetrinen napajännite,"tension différentielle aux bornes, f",tensione differenziale ai morsetti,ディファレンシャルモード端子電圧,대칭 단자 전압,symmetrisk klemmespenning,napięcie międzyprzewodowe na zaciskach,tensão diferencial aos terminais,simetrična napetost na sponkah,"симетрични напон на прикључцима, м јд",symmetrisk klämspänning,对称端子电压
161-04-12,asymmetrical terminal voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-12,جهد طرفي غير متماثل (جهد نمط مشترك على الأطراف),"asymmetrische Klemmenspannung, f",asymmetrical terminal voltage,tensión de modo común en los bornes,epäsymmetrinen napajännite,"tension en mode commun aux bornes, f",tensione di modo comune ai morsetti,コモンモード端子電圧,비대칭 단자 전압,asymmetrisk klemmespenning,napięcie fazowe na zaciskach,tensão em modo comum aos terminais,asimetrična napetost na sponkah,"асиметрични напон на прикључцима, м јд",asymmetrisk klämspänning,不对称端子电压
161-04-13,V-terminal voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-13,جهد طرفي V,"unsymmetrische Klemmenspannung, f",V-terminal voltage,tensión en los bornes de una red en V,V-verkon napajännite,"tension aux bornes d'un réseau en V, f",tensione ai morsetti di una rete a V,V端子電圧,V형 단자 전압,V-klemmespenning,napięcie w układzie sieci typu V,tensão aos terminais de uma rede em V,napetost na sponkah V-omrežja,"напон на прикључку V-мреже, м јд",V-uttagsspänning,V端子电压
161-04-14,transfer impedance (of a screened circuit),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-14,معاوقة تحويل (لدارة محجبة),"Kopplungsimpedanz, <eines abgeschirmten Stromkreises> f",transfer impedance (of a screened circuit),impedancia de transferencia (de un circuito apantallado),kytkentäimpedanssi,impédance de transfert (d'un circuit sous écran) f,impendenza di trasferimento (di un circuito schermato),"伝達インピーダンス, <遮へい回路の>","전달 임피던스, <스크린된 회로>",overføringsimpedans,impedancja przeniesiona (obwodu ekranowanego),impedância de transferência (de um circuito sob blindagem),prenosna impedanca,"преносна импеданса, <екранизованог кола> ж јд",överkopplingsimpedans,"转移阻抗, <屏蔽电路的>"
161-04-15,surface transfer impedance (of a coaxial line),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-15,معاوقة تحويل سطحية ( لخط متحد المحور),"Kopplungswiderstand, <eines Koaxialkabels> m",surface transfer impedance (of a coaxial line),impedancia de transferencia (de una línea coaxial),koaksiaalikaapelin kytkentäimpedanssi,impédance linéique de transfert (d'une ligne coaxiale) f,"impendenza di trasferimento per unità di larghezza
(di una linea coassiale)","表面伝達インピーダンス, <同軸線路の>","표면 전달 임피던스, <동축 선로>",overkoplingsimpedans i koaksiallinje,impedancja powierzchniowa przeniesiona (linii współosiowej),impedância de transferência (de uma linha coaxial),površinska prenosna impedanca,"површинска преносна импеданса, <коаксијалног вода> ж јд",överkopplingsimpedans i koaxialledning,"表面转移阻抗, <同轴线的>"
161-04-16,effective radiated power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-16,قدرة مشعة فعالة,"effektive Strahlungsleistung, fERP",effective radiated powerERP,potencia efectiva radiada (de cualquier dispositivo en una dirección dada),tehollinen säteilyteho,"puissance apparente rayonnée, fPAR, f","potenza apparente irradiata (da un dispositivo di una 
data direzione)",実効放射電力,유효 복사 전력,effektiv utstrålt effekt,"efektywna moc promieniowana, f",potência aparente radiada (por um dispositivo numa dada direcção),dejanska sevana moč,"ефективна снага зрачења, <неког уређаја у датом правцу> ж јд",effektiv utstrålad effekt,有效辐射功率
161-04-17,electrical charge time constant (of a detector),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-17,ثابت زمني للشحن الكهربائي (لكاشف ),"elektrische Ladezeitkonstante, <eines Bewertungskreises> f",electrical charge time constant (of a detector),constante de tiempo (eléctrico) a la carga (de un detector),sähköinen varausaikavakioilmaisimen sähköinen varausaikavakio,constante de temps (électrique) à la charge (d'un détecteur) f,costante di tempo (elettrica) di carica (di un rivelatore),"充電時定数, <検波器の>","전기 충전 시정수, <검파기>",tidskonstant for opplading,stała czasowa ładowania (detektora),constante de tempo (eléctrica) na carga (de um detector),naelektritvena časovna konstanta detektorja,"временска константа пуњења, <детектора> ж јд",uppladdningstidkonstant,"充电时间常数, <检波器的>"
161-04-18,electrical discharge time constant (of a detector),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-18,ثابت زمني للتفريغ الكهربائي (لكاشف ),"elektrische Entladezeitkonstante, <eines Bewertungskreises> f",electrical discharge time constant (of a detector),constante de tiempo (eléctrico) a la descarga (de un detector),sähköinen purkausaikavakioilmaisimen sähköinen purkausaikavakio,constante de temps (électrique) à la décharge (d'un détecteur) f,costante di tempo (elettrica) di scarica (di un rivelatore),"放電時定数, <検波器の>","전기 방전 시정수, <검파기>",tidskonstant for utlading,stała czasowa rozładowania (detektora),constante de tempo (eléctrica) na descarga (de um detector),razelektritvena časovna konstanta detektorja,"временска константа пражњења, <детектора> ж јд",urladdningstidkonstant,"放电时间常数, <检波器的>"
161-04-19,mechanical time constant (of an indicating instrument),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-19,ثابت زمني ميكانيكي (لجهاز تبيين),"mechanische Zeitkonstante, <eines anzeigenden Messgeräts> f",mechanical time constant (of an indicating instrument),constante de tiempo mecánico (de un aparato indicador),mekaaninen aikavakionäyttölaitteen mekaaninen aikavakio,constante de temps mécanique (d'un appareil indicateur) f,"costante di tempo meccanica (di un apparecchio
indicatore)","機械的時定数, <指示計器の>","기계적 시정수, <지시 계기>",mekanisk tidskonstant,stała czasowa mechaniczna (instrumentu wskazującego),constante de tempo mecânica (de um aparelho indicador),mehanska časovna konstanta kazalnega instrumenta,"механичка временска константа, <показног инструмента> ж јд",mekanisk tidkonstant,"机械时间常数, <指示仪表的>"
161-04-20,overload factor (of a receiver),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-20,عامل الحمل الزائدِ (للمستقبل),"Übersteuerungsreserve, <eines Messempfängers> f",overload factor (of a receiver),factor de sobrecarga (de un receptor),lineaarisuusvaravastaanottimen lineaarisuusvara,marge de linéarité (d'un récepteur de mesure) f,"margine di linearità (di un ricevitore di misura)
fattore di sovraccarico","過負荷係数, <受信機の>","과부하 인자, <수신기>",overlastfaktor,współczynnik przeciążenia (odbiornika pomiarowego) margines linearności (odbiornika pomiarowego),margem de linearidade (de um receptor de medição),preobremenitveni faktor merilnega sprejemnikafaktor preobremenitve merilnega sprejemnika,"фактор преоптерећења, <пријемника> м јд",överbelastningsfaktor,"过载系数, <接收机的>"
