term_id,term,term_url,ar,cs,de,en,fi,fr,ja,pl,pt,sr,zh
171-03-11,complementary operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-11,عملية مكملة,komplementární operace,"Komplementäroperation, fkomplementäre Operation, f",complementary operation,komplementtioperaatio,"opération complémentaire, f",相補演算,"operacja dopełniająca , f",operação complementar,"операција комплементирања, ж јд",补运算
171-03-12,dual operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-12,عملية ثنائية,duální operace,"duale Operation, f",dual operation,duaalinen operaatioduaalioperaatio,"opération duale, f",2項演算,"dualna operacja logiczna, f",operação dual,"дуална операција, ж јд",对偶运算
171-03-13,identity operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-13,عملية تحديد بالهوية,operace identity,"Identitätsoperation, f",identity operation,yhtäsuuruusoperaatiosamanarvoisuusoperaatioidentiteettioperaatio,"opération d'identité, fidentité, f",一致演算,"operacja identyczności, f",operação identidade,"операција идентичности, ж јд",全同运算
171-03-14,non-identity operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-14,عملية تحديد بدون هوية,operace neidentity,"Antivalenzoperation, f",non-identity operation,ei-yhtäsuuruusoperaatioeriarvoisuusoperaatioei-identiteettioperaatio,"opération de non-identité, f",非一致演算,"operacja nieidentyczności, f",operação de não identidade,"операција неидентичности, ж јд",非全同运算
171-03-15,equivalence operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-15,عملية تكافؤ,operace ekvivalenceoperace TEHDY A JEN TEHDYoperace PRÁVĚ TEHDYIFF,"Äquivalenzoperation, fÄquijunktion, f",equivalence operationIF-AND-ONLY-IF operationIFF,ekvivalenssioperaatio,"équivalence logique, f",等価演算IF-AND-ONLY-IF演算,"operacja logiczna równoważności, f",operação equivalência,"операција еквивалентности, ж јдеквиваленција, ж јдоперација АКО И САМО АКО, ж јдАККО",等价运算IFF
171-03-16,exclusive-or operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-16,عملية الاقتصارعملية حصرية,operace exklusive-orexkluzivní disjunkceXOR,"Kontravalenzoperation, fXOR-Operation, f",exclusive-or operationXORnon-equivalence operation,poissulkeva TAI –operaatioehdoton TAI -operaatioei-ekvivalenssioperaatio,"disjonction exclusive, fOU exclusif, mdilemme, m",排他的論理和演算EXCLUSIVE-OR演算,"operacja alternatywy wykluczającej, ffunktor LUB wykluczające, m",operação ou exclusivo,"операција ексклузивно ИЛИ, ж јдексклузивна дисјункција, ж јдЕКСИЛИнегативна еквиваленција, ж јд",异或运算非等价运算XOR
171-03-17,conjunction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-17,اقتران متزامن,konjunkceoperace ANDlogický součin,"Konjunktion, fAND-Operation, f",conjunctionAND operationintersection,konjunktioJA-operaatioleikkaus,"conjonction, fET, mmultiplication booléenne, fintersection, f",論理積NAND演算,"koniunkcja, filoczyn logiczny, m",conjunção,"конјункција, ж јдоперација И, ж јдлогичко множење, с јд",合取与运算交
171-03-18,non-conjunction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-18,اقتران غير متزامن,negace konjunkceoperace NANDoperace NOT-BOTHalternativní zamítnutí,"NICHT-Konjunktion, fNAND-Operation, f",non-conjunctionNAND operationNOT-BOTH operationalternative denial,ei-konjunktioEI JA -operaatio,"NON-ET, mbarre de Sheffer, f",否定論理積NAND演算,"jednoczesne zaprzeczenie, filoczyn logiczny zanegowany, m",não conjunção,"операција НИ, ж јднегативна конјункција, ж јд",非合取与非运算
171-03-19,disjunction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-19,الانفصالالتباين,disjunkceoperace ORoperace INKLUSIVE-ORlogický součet,"Disjunktion, fAdjunktion, fODER-Operation, f",disjunctionOR operationINCLUSIVE-OR operationlogical add,disjunktioTAI-operaatiolooginen yhteenlasku,"disjonction, fOU, mOU inclusif, mréunion, f",論理和OR演算,"dysjunkcja, falternatywa wyłączająca, f",disjunção,"дисјункција, ж јдоперација ИЛИ, ж јдлогичко сабирање, с јд",析取或运算逻辑加
171-03-20,non-disjunction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-20,عدم الإنفصالعدم التباين,negace disjunkceoperace NORoperace NEITHER-NORoperace NOT-OR,"NOR-Operation, f",non-disjunctionNOR operationNEITHER-NOR operationNOT-OR operation,ei-disjunktioEI TAI –operaatioEI EIKÄ -operaatio,"NON-OU, mNI, m",否定論理和NOR演算,"jednoczesne zaprzeczenie, noperacja typu NIE-LUB, f",não disjunção,"операција НИЛИ, ж јднегативна дисјункција, ж јд",非析取或非运算
171-03-21,exclusion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-21,اقتصار,exkluzeoperace NOT-IF-THEN,"Inhibition, fExklusion, f",exclusionNOT-IF-THEN operation,ekskluusioEI JOS-NIIN -operaatio,"inhibition, fexclusion, fsauf",排他演算NOT-IF-OR演算,"wyłączenie, n",exclusão,"ексклузија, ж јд",排除禁止运算
171-03-22,implication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-22,تضمين,implikaceoperace IF-THEN,"Implikation, fSubjunktion, f",implicationIF-THEN operation,implikaatioJOS-NIIN-operaatio,"implication, f",含意IF-THEN演算,"implikacja, f",implicação,"импликација, ж јд",蕴涵蕴涵运算
171-04-01,processor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-01,معالج,procesor,"Prozessor, m",processor,prosessorisuoritin,"processeur, m",プロセッサ処理機構,"procesor, m",processador,"процесор, м јд",处理器
171-04-02,instruction control unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-02,وحدة التحكم في التعليمات,řídicí jednotka instrukcíovládací jednotka,"Steuerwerk, nLeitwerk, n",instruction control unit,käskyohjausyksikkö,"unité de commande, f",命令制御機構命令制御装置,"jednostka sterująca , f",unidade de controlo de instrução,"управљачка јединица, ж јд",指令控制单元
171-04-03,arithmetic and logic unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-03,وحدة رياضية ومنطقية,aritmetická a logická jednotka,"Rechenwerk, nALU, f",arithmetic and logic unit,aritmetiikka- ja logiikkayksikkö,"unité arithmétique et logique, f",算術論理演算機構算術論理演算装置,"jednostka arytmetyczno-logiczna, f",unidade lógica e aritmética,"аритметичко-логичка јединица, ж јд",算术和逻辑单元
171-04-04,processing unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-04,وحدة المعالجة,procesorová jednotka,"Verarbeitungswerk, n",processing unit,prosessoriyksikkösuoritinyksikkö,"unité de traitement, f",処理装置,"jednostka przetwarzania, f",unidade de processamento,"процесорска јединица, ж јд",处理单元
171-04-05,central processing unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-05,وحدة المعالجة المركزية,centrální procesorová jednotkacentrální řídicí jednotkaCPUhlavní jednotka,"Zentralprozessor, mCPU, f",central processing unitCPUmain unit,keskusyksikkö,"unité centrale de traitement, fUCT, funité centrale, f",中央処理装置処理装置,"centralna jednostka przetwarzania, fjednostka główna , <komputera> f",unidade central de processamentoCPU,"централна процесорска јединица, ж јд",中央处理单元CPU主单元
171-04-06,microprocessor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-06,المعالج الدقيق,mikroprocesor,"Mikroprozessor, m",microprocessor,mikroprosessorimikrosuoritin,"microprocesseur, m",マイクロプロセッサ,"mikroprocesor, m",microprocessador,"микропроцесор, м јд",微处理器
171-04-07,peripheral equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-07,معدة محيطيةوحدة محيطية,periferní zařízeníperiferní jednotka,"Peripheriegerät, n",peripheral equipmentperipheral unit,oheislaite,"périphérique, m",周辺装置,"sprzęt zewnętrzny, msprzęt peryferyjny, m",equipamento periférico,"периферна опрема, ж јдпериферна јединица, ж јд",外设外部单元
171-04-08,supercomputer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-08,حاسب آلي فائق,superpočítač,"Supercomputer, m",supercomputer,supertietokone,"superordinateur, m",スーパコンピュータ,"superkomputer, m",supercomputador,"суперрачунар, м јд",超级计算机
171-04-09,personal computer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-09,حاسب آلي شخصي,osobní počítačPC,"Personal-Computer, mPC, m",personal computerPC,henkilökohtainen tietokonePC,"ordinateur individuel, m",パーソナルコンピュータパーソナル計算機,"komputer osobisty, m",computador pessoalPC,"лични рачунар, м јдперсонални рачунар, м јд",个人计算机PC
171-04-10,portable computer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-10,حاسب آلي محمول,přenosný počítač,"tragbarer Computer, m",portable computer,kannettava tietokone,"ordinateur portable, m",ポータブルコンピュータ携帯用計算機,"komputer przenośny, m",computador portátilportátil,"преносиви рачунар, м јд",便携式计算机
171-04-11,tablet computer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-11,حاسب آلي لوحي,tablet,"Tabletcomputer, mTablet, n",tablet computer,tablettitaulutietokone,"tablette tactile, ftablette, f",タブレットコンピュータ,"tablet PC, m",computador tablettablet,"таблет рачунар, м јдтаблет, м јд",平板计算机平板电脑
171-04-12,calculator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-12,آلة حاسبة,kalkulátor,"Rechner, m",calculator,laskin,"calculatrice, f",計算器,"kalkulator, m",calculador,"калкулатор, м јд",计算器
171-04-13,array processor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-13,معالج المصفوفة,maticový procesorvektorový procesor,"Array-Prozessor, mVektor-Rechner, m",array processorvector processor,taulukkoprosessoritaulukkosuoritinvektoriprosessorivektorisuoritin,"processeur vectoriel, m",アレイ処理装置ベクトル処理装置,"procesor tablicowy, mprocesor wektorowy, m",processador de matriz,"векторски процесор, м јд",数组处理器
171-04-14,storage device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-14,وحدة تخزين,paměťové zařízeníúložiště,"Speicher, mSpeichergerät, n",storage devicestorage,tallennuslaitetallennusvälinetallennustila,"mémoire, <dispositif> f",記憶装置記憶機構,"urządzenie pamięciowe, npamięć, f",dispositivo de armazenamento,"меморијски уређај, м јдмеморија, <сродни термин: IEV 171-04-15> ж јд","存储设备存储器, <相关条目：171-04-15>"
171-04-15,memory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-15,ذاكرة,paměť,"Speicher, <adressierbar> m",memory,muisti,"mémoire, <espace adressable> f",メモリ,"pamięć, f",memória,"меморија, <сродни термин, синоним: IEV 171-04-14> ж јд","存储器, <相关条目：171-04-14>"
171-04-16,storage capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-16,سعة التخزين,kapacita úložištěvelikost úložiště,"Speicherkapazität, f",storage capacitystorage size,tallennuskapasiteettitallennustilan koko,"capacité de mémoire, ftaille de mémoire, f",記憶容量,"pojemność magazynowa, fpojemność pamięci , f",capacidade de armazenamento,"капацитет меморије, м јдвеличина меморије, ж јд",存储容量存储大小
171-04-17,equivalent binary storage capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-17,سعة التخزين الثنائية المكافئة,ekvivalentní binární kapacita úložiště,"äquivalente binäre Speicherkapazität, f",equivalent binary storage capacity,ekvivalentti binäärinen tallennuskapasiteetti,"capacité binaire équivalente, f",二進相当記憶容量,"równoważna binarna pojemność pamięci, f",capacidade de armazenamento binário equivalente,"еквивалентни бинарни капацитет меморије, м јд",等效二进制存储容量
171-04-18,internal storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-18,ذاكرة داخلية,vnitřní úložištěvnitřní paměť,"Arbeitsspeicher, minterner Speicher, m",internal storageinternal memory,sisäinen tallennustilasisäinen muisti,"mémoire interne, f",内部記憶装置内部メモリ,"pamięć wewnętrzna, f",armazenamento interno,"унутрашњи меморијски уређај, м јдунутрашња меморија, ж јд",内部存储器
171-04-19,register,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-19,سجل,registr,"Register, n",register,rekisteri,"registre, m",レジスタ,"rejestr, m",registo,"регистар, м јд",寄存器
171-04-20,buffer storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-20,مخزن مؤقت,vyrovnávací paměťbuffer,"Pufferspeicher, mPuffer, m",buffer storagebuffer,puskurimuistipuskuri,"mémoire tampon, ftampon, m",緩衝記憶装置バッファ記憶装置,"pamięć buforowa, f",armazenamento intermediário,"баферски меморијски уређај, м јдбафер, м јд",缓存存储器缓存
171-04-21,main storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-21,مخزن رئيسيذاكرة رئيسية,hlavní úložištěhlavní paměť,"Hauptspeicher, m",main storagemain memory,päätallennustilapäämuisti,"mémoire centrale, fmémoire principale, f",主記憶装置主メモリ,"pamięć główna, f",armazenamento principal,"главни меморијски уређај, м јдглавна меморија, ж јд",主存储器
171-04-22,input-output channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-22,قناة دخول وخروج البياناتمسار دخول وخروج البيانات,vstupní-výstupní kanál,"Eingabe-Ausgabe-Kanal, m",input-output channel,tulo-lähtökanava,"canal d'entrée-sortie, m",入出力チャネル,"kanał wejść/wyjść, m",canal entrada-saída,"улазно-излазни канал, м јд",输入输出信道
171-04-23,external storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-23,مخزن خارجىمخزن إضافي,vnější úložištěpřídavná paměť,"Externspeicher, mHilfsspeicher, m",external storageauxiliary storage,ulkoinen tallennusvälineulkoinen tallennustila,"mémoire externe, fmémoire auxiliaire, f",外部記憶装置補助記憶装置,"pamięć zewnętrzna, f",armazenamento externo,"спољашња меморија, ж јдпомоћна меморија, ж јд",外部存储器辅助存储器
171-04-24,direct access,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-24,وصول مباشر,přímý přístupNEVHODNÝ TERMÍN: náhodný přístup,"Direktzugriff, m",direct accessDEPRECATED: random access,suorasaanti,"accès direct, maccès sélectif, mDÉCONSEILLÉ: accès aléatoire, m",直接アクセス,"dostęp bezpośredni, m",acesso direto,"директан приступ, м јдНАПУШТЕН: случајни приступ, м јд",直接存取
171-04-25,direct access storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-25,وحدة تخزين الوصول المباشر,paměť s přímým přístupemNEVHODNÝ TERMÍN: paměť s náhodným přístupem,"Direktzugriffsspeicher, m",direct access storageDEPRECATED: random access storage,suorasaantimuisti,"mémoire à accès direct, fmémoire à accès sélectif, f",直接アクセス記憶装置,"pamięć o dostępie bezpośrednim, f",armazenamento de acesso direto,"меморија са директним приступом, ж јд",直接存取存储器
171-04-26,read-only memory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-26,ذاكرة للقراءة فقط,paměť pouze pro čteníROM,"Nur-Lese-Speicher, mROM, n",read-only memoryROM,lukumuistiROM,"mémoire morte, f",ROM読み取り専用メモリ,"pamięć tylko do odczytu, fpamięć ROM, f",memória exclusivamente de leituraROM,"меморија само за читање, ж јдROM",只读存储器ROM
171-04-27,RAM,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-27,ذاكرة عشوائية,RAMpaměť pro zápis i pro čtení,"Schreib-Lese-Speicher, mRAM, n",RAMread/write memory,luku-kirjoitusmuistiRAM,"mémoire vive, f",RAM読取り書込みメモリ,RAM,memória de acesso diretoRAM,"RAMмеморија за читање/писање, ж јд",读/写存储器RAM
171-04-28,permanent storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-28,تخزين دائم,permanentní paměť,"Festwertspeicher, m",permanent storage,pysyväismuisti,"mémoire permanente, f",永久記憶装置,"pamięć trwała, f",armazenamento permanente,"стална меморија, ж јд",固定存储器
171-04-29,erasable storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-29,تخزين قابل للمسحتخزين مؤقت,vymazatelná paměť,"löschbarer Speicher, m",erasable storage,pyyhittävä muisti,"mémoire effaçable, f",消去可能記憶装置,"pamięć wymazywalna, fpamięć kasowalna, f",armazenamento apagável,"избрисива меморија, ж јд",可擦写存储器
171-04-30,electrically alterable storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-30,تخزين قابل للتعديل كهربيا,elektricky měnitelná paměť,"elektrisch veränderbarer Speicher, m",electrically alterable storage,sähköisesti muokattava muisti,"mémoire électriquement modifiable, f",可変記憶装置,"pamięć modyfikowalna elektrycznie, f",armazenamento eletricamente alterável,"електрично променљива меморија, ж јд",电子可擦写存储器
171-04-31,volatile storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-31,تخزين غير ثابت,volatilní paměť,"flüchtiger Speicher, m",volatile storage,haihtuva muisti,"mémoire volatile, fmémoire non rémanente, f",揮発性記憶装置,"pamięć nietrwała , <zależna od zasilania> f",armazenamento volátil,"непостојана меморија, ж јд",易失性存储器
171-04-32,non-volatile storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-32,تخزين ثابت,nevolatilní paměť,"nichtflüchtiger Speicher, mFestspeicher, m",non-volatile storage,haihtumaton muisti,"mémoire rémanente, fmémoire non volatile, f",不揮発性記憶装置,"pamięć trwała , <niezależna od zasilania> f",armazenamento não volátil,"постојана меморија, ж јд",非易失性存储器
171-04-33,direct memory access,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-33,الوصول المباشر للذاكرة,přímý přístup do pamětiDMA,"Speicherdirektzugriff, mDMA, m",direct memory accessDMA,oikosiirto,"accès direct en mémoire, m",直接メモリアクセスDMA,"bezpośredni dostęp do pamięci, m",acesso direto à memória,"директни меморијски приступ, м јд",直接存储器访问DMA
171-04-34,sequential access,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-34,وصول تعاقبىوصول متسلسل,sekvenční přístupsériový přístup,"sequentieller Zugriff, m",sequential accessserial access,peräkkäissaanti,"accès séquentiel, m",順次アクセス,"dostęp sekwencyjny, mdostęp szeregowy, m",acesso sequencial,"секвенцијални приступ, м јдсеријски приступ, м јд",顺序存取串行存取
171-04-35,cache memory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-35,ذاكرة فورية,mezipaměťcache,"Zwischenspeicher, mCache, m",cache memorycache,välimuisti,"mémoire cache, fantémémoire, fcache, m",キャッシュメモリ,"pamięć podręczna, f",memória cache,"кеш-меморија, ж јдкеш, м јд",高速缓存缓存
171-04-36,"input device, <in data processing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-36,"وحدة إدخال, <في معالجة البيانات>","vstupní zařízení, <ve zpracování dat>vstupní jednotka, <ve zpracování dat>","Eingabegerät, <in der Datenverarbeitung> n","input device, <in data processing>input unit, <in data processing>",syöttölaitesyöttöyksikkö,"dispositif d’entrée, <en informatique> munité d’entrée, <en informatique> f","入力装置, <データ処理>入力機構","urządzenie wejściowe, <w przetwarzaniu danych> n","dispositivo de entrada, <em tratamento de dados>","улазни уређај, <у обради података> м јдулазна јединица, <у обради података> ж јд","输入设备, <数据处理中>输入单元, <数据处理中>"
171-04-37,"output device, <in data processing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-37,"وحدة إخراج, <في معالجة البيانات>","výstupní zařízení, <ve zpracování dat>výstupní jednotka, <ve zpracování dat>","Ausgabegerät, <in der Datenverarbeitung> n","output device, <in data processing>output unit, <in data processing>",tulostuslaitetulostusyksikkö,"dispositif de sortie, <en informatique> munité de sortie, <en informatique> f","出力装置, <データ処理>出力機構","urządzenie wyjściowe, <w przetwarzaniu danych> n","dispositivo de saída, <em tratamento de dados>","излазни уређај, <у обради података> м јдизлазна јединица, <у обради података> ж јд","输出设备, <数据处理中>输出单元, <数据处理中>"
171-04-38,keyboard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-38,لوحة المفاتيح,klávesnice,"Tastatur, f",keyboard,näppäimistö,"clavier, m",キーボード,"klawiatura, f",teclado,"тастатура, ж јд",键盘
171-04-39,computer screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-39,شاشة الحاسب الآلى,"obrazovka počítačeobrazovka, <počítače>displej počítačedisplej, <počítače>monitor, <počítače>","Computerbildschirm, m","computer screenscreen, <of a computer>computer displaydisplay, <of a computer>monitor, <of a computer>",tietokoneen näyttönäyttö,"écran d’ordinateur, mécran, <d’ordinateur> m",コンピュータスクリーン,"monitor ekranowy , <komputera> m",ecrã de computador,"рачунарски екран, м јдекран, <рачунара> м јдрачунарски дисплеј, м јддисплеј; монитор, <рачунара> м јд; <рачунара> м јд",计算机屏幕计算机显示器
171-04-40,pointing device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-40,جهاز تأشير,ukazovací zařízení,"Zeigegerät, n",pointing device,osoitinlaite,"dispositif de pointage, m",ポインティングデバイス,"urządzenie wskazujące, n",dispositivo apontador,"показивачки уређај, м јд",点击设备
171-04-41,mouse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-41,الفأرة,myš,"Maus, f",mouse,hiiri,"souris, f",マウス,"mysz, f",rato,"миш, м јд",鼠标
171-04-42,touchpad,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-42,لوحة اللمس,touchpad,"Tastfeld, nTouchpad, n",touchpad,tasohiirikosketuslevy,"pavé tactile, m",タッチパネル,"urządzenie wskazujące dotykowe, n",touchpadrato integrado,"табла осетљива на додир, ж јдтачпед, м јд",触摸板
171-04-43,joystick,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-43,عصا التحكم,joystickpákový ovladač,"Joystick, m",joystick,ohjaussauva,"manche à balai, m",ジョイスティック,"dżojstik , mmanipulator drążkowy, m",joystick,"командна палица, ж јдџојстик, м јд",操纵杆
171-04-44,thumbwheel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-44,بكرة التحكم,prstové kolečko,"Daumenrad, n",thumbwheel,peukalopyörä,"molette, froulette, f",サムホイール指動輪,"manipulator tarczowy, <do przesuwania elementu obrazu> m",thumbwheelmanípulo giratório,"точкић, м јд",指轮
171-04-45,trackball,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-45,الكرة الموجودة فى الفأرةكرة تحكم,trackballovládací kulička,"Rollkugel, fTrackball, f",trackballcontrol ball,ohjainpallo,"boule de commande, fboule roulante, f",トラックボールコントロールボール,"manipulator kulkowy, mkula sterująca kursorem, f",trackball,"командна лоптица, ж јдуправљачка лоптица, ж јд",跟踪球
171-04-46,printer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-46,طابعة,tiskárna,"Drucker, m",printer,tulostin,"imprimante, f",プリンタ印字装置,"drukarka, f",impressora,"штампач, м јд",打印机
171-04-47,scanner,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-47,ماسح ضوئي,skener,"Scanner, m",scanner,kuvanlukijaskanneri,"numériseur, mscanneur, m",スキャナ走査器,"skaner, m",digitalizadorscanner,"скенер, м јд",扫描仪
171-04-48,universal serial bus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-04-48,ناقل تسلسلي عالمى,univerzální sériová sběrniceUSB,"universeller serieller Bus, mUSB, m",universal serial busUSB,USB-liitäntäUSB,"bus série universel, mUSB, m",ユニバーサル・シリアル・バスUSB,"uniwersalna magistrala szeregowa, f",barramento de série universalUSB,"универзална серијска магистрала, ж јдUSB",统一串行总线USB
171-05-01,operating system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-01,نظام تشغيل,operační systémOS,"Betriebssystem, nBS, n",operating systemOS,käyttöjärjestelmä,"système d'exploitation, m",オペレーティングシステムOS,"system operacyjny, m",sistema operativo,"оперативни систем, м јд",操作系统OS
171-05-02,"kernel, <of an operating system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-02,"نواة, <فى نظام التشغيل>جوهر","jádro, <operačního systému>řídicí programsupervizor","Kern, <eines Betriebssystems> mSupervisor, m","kernel, <of an operating system>supervisory programsupervisory programmesupervisor","ydin, <käyttöjärjestelmän>","noyau, <d’un système d’exploitation> mprogramme superviseur, msuperviseur, m","カーネル, <オペレーティングシステム>中核プログラム","jądro, <systemu operacyjnego> mprogram nadzorczy, m","núcleo, <de um sistema operativo>","језгро, <оперативног система>кернел, м јднадзорни програм, м јдсупервизор, м јд","核, <操作系统的>监管程序管理者"
171-05-03,firmware,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-03,البرامج الثابتة,firmware,"Firmware, f",firmware,kiinteä ohjelmistolaiteohjelmisto,"micrologiciel, m",ファームウェア,"oprogramowanie sprzętowe, n",firmwaresoftware de fábrica,"фирмвер, м јд",固件
171-05-04,application software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-04,برمجيات تطبيقية,aplikační software,"Anwendungssoftware, f",application software,sovellusohjelmisto,"logiciel d'application, m",アプリケーションソフトウェア応用ソフトウェア,"oprogramowanie użytkowe, noprogramowanie aplikacyjne, n",software de aplicaçãoprograma informático de aplicação,"апликативни софтвер, м јд",应用软件
171-05-05,computer program,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-05,برنامج حاسب آلى,"počítačový programprogram, <v digitální technologii>","Computerprogramm, nRechnerprogramm, nProgramm, <in der Digitaltechnik> n","computer programprogram, <in digital technology>computer programmeprogramme, <in digital technology>","tietokoneohjelmaohjelma, <digitaalitekniikassa>","programme d’ordinateur, mprogramme, <en informatique> m",コンピュータプログラム,"program komputerowy, m",programa de computador,"рачунарски програм, м јдпрограм, <у дигиталној технологији> м јд","计算机程序程序, <数字技术中>"
171-05-06,application program,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-06,برنامج تطبيقى,aplikační program,"Anwendungsprogramm, n",application programapplication programme,sovellusohjelmasovellus,"programme d'application, m",応用プログラム,"program użytkowy, m",programa de aplicação,"апликативни програм, м јд",应用程序
171-05-07,algorithm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-07,خوارزمية,algoritmus,"Algorithmus, m",algorithm,algoritmi,"algorithme, m",アルゴリズム,"algorytm, m",algoritmo,"алгоритам, м јд",算法
171-05-08,"instruction, <in computer programs>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-08,"تعليمات, <في برامج الحاسب الآلى>","instrukce, <v počítačových programech>NEVHODNÝ TERMÍN: povel","Instruktion, <in Computerprogrammen> f","instruction, <in computer programs>DEPRECATED: statement","käsky, <tietokoneohjelmissa>","instruction, <dans les programmes d’ordinateur> f","命令, <コンピュータプログラム>","instrukcja, <w programach komputerowych>","instrução, <em programas de computador>","инструкција, <у рачунарским програмима> ж јд","指令, <计算机程序中>"
171-05-09,machine instruction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-09,تعليمات الألة,strojová instrukce,"Maschineninstruktion, f",machine instruction,konekäsky,"instruction machine, f",機械命令,"instrukcja kodu maszynowego, f",instrução de máquina,"машинска инструкција, ж јд",机器指令
171-05-10,programming language,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-10,لغة برمجة,programovací jazyk,"Programmiersprache, f",programming language,ohjelmointikieli,"langage de programmation, m",プログラム言語プログラミング言語,"język programowania, m",linguagem de programação,"програмски језик, м јд",编程语言
171-05-11,high-level language,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-05-11,لغة برمجة عالية المستوى,programovací jazyk vyšší úrovněHLL,"Programmierhochsprache, fhöhere Programmiersprache, f",high-level languageHLL,korkean tason kieli,"langage évolué, mlangage de haut niveau, m",高水準言語,"język wysokiego poziomu, m",linguagem de alto nível,"језик високог нивоа, м јд",高级语言HLL
