term_id,term,term_url,ar,cs,de,en,es,fi,fr,ja,ko,pl,pt,sr,sv,zh
732-03-18,frequently asked questions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-18,إختصار (FAQ)الاسئلة الشائعة,často kladené otázkyFAQ,"häufig gestellte Fragen, f, plFAQ, Abkürzung",frequently asked questionsFAQ (abbreviation),"preguntas más frecuentes, FAQ (abreviatura)",usein kysytyt kysymyksetUKKFAQ,"foire aux questions, fFAQ (abréviation) f","よくある質問と回答FAQ, （略語）",빈출 질문에프에이큐,pytania wielokrotneFAQ (akronim),questões frequentes,"најчешће постављана питања, с мнFAQ",ofta ställda frågorFAQ (förkortning),常见问题FAQ
732-03-19,chat,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-19,دردشة,chat,"Plausch, mChat, m",chat,conversación en línea,verkkojuttelu,"dialogue en ligne, mclavardage CA, m",チャット,채팅하다,rozmowa na żywo (przez Internet)czat,diálogo em linhachat,"ћаскање, с јд",chat,聊天
732-03-20,chat group,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-20,حجرة الدردشةمجموعة دردشة,"chatovací skupinachatovací místnostkanál, <v počítačových konferencích>","Plauschgruppe, fChatroom, m",chat groupchat roomchannel (in computer conferences),"foro de conversación en línea, sala de conversación en línea, canal (en teleconferencias)",verkkokeskusteluryhmä,"groupe de dialogue en ligne, mforum de clavardage CA, m","チャットグループチャットルームチャンネル, <コンピュータ会議の>","채트 그룹채트 방채널, <컴퓨터 회의>대화 그룹",grupa rozmówców (na forum),grupo de diálogo em linhagrupo de chat,"група за ћаскање, ж јдпросторија за ћаскање, ж јдканал, <на рачунарској конференцији> м јд",kanal (i datorkonferenser)chatgruppchatplattform,聊天组聊天室
732-03-21,instant message,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-21,إختصار (IM)رسالة فورية,okamžitá zprávaIM,"Sofortnachricht, f",instant messageIM (abbreviation),"mensaje instantáneo, IM (abreviatura)",pikaviesti,"message instantané, m","インスタントメッセージIM, （略語）",인스턴트 메시지순간 메시지,komunikat natychmiastowyIM (akronim),mensagem instantânea,"тренутна порука, ж јдIM",realtidsmeddelandeIM (förkortning),即时消息IM
732-03-22,white pages (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-22,صفحات بيضاء (فى ربط الشبكات),"bílé stránky, <v počítačových sítích>","weiße Seiten (in Rechnernetzen), f, pl",white pages (in computer networks),páginas blancas (en redes de ordenadores),osoitteistoosoitteet,"pages blanches, f pl","ホワイトページ, <コンピュータネットワークの>","화이트페이지, <컴퓨터 망>",strony białe (w sieciach komputerowych)książka adresowa (w sieci),páginas brancas (em conferências por computador),"беле странице, <у рачунарским мрежама> ж мн",blanka sidor (i datornätverk),"白页, <在计算机网络中>"
732-03-23,file transfer (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-23,إرسال الملفات (فى ربط الشبكات),"přenos souborů, <v počítačových sítích>","Dateitransfer (in Rechnernetzen), m",file transfer (in computer networks),transferencia de ficheros (en redes de ordenadores),tiedostonsiirto,"transfert de fichiers (dans les réseaux d’ordinateurs), m","ファイル転送, <コンピュータネットワークの>","파일 전송, <컴퓨터 망>",przesyłanie plików (sieciami komputerowymi),transferência de ficheiros (em redes de computadores),"пренос датотеке, <у рачунарским мрежама> м јд",filöverföring,"文件传送, <在计算机网络中>"
732-03-24,download,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-24,تنزيل برنامج,staženídownload,"Herunterladen, n",download,descarga,ladatanoutaa,"téléchargement descendant, m",ダウンロード,파일받기다운로드,pobieranie (plików klienta),descarregamento,"преузимање, с јд",ladda ner,下载
732-03-25,upload,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-25,تحميل برنامج,nahráníupload,"Hinaufladen, n",upload,carga,ladata verkkoonviedä verkkoon,"téléchargement montant, m",アップロード,업로드올려싣기,wysyłanie (plików klientowi),carregamento,"отпремање, с јд",ladda upp,上传
732-03-26,mirroring (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-26,نسخ (فى ربط الشبكات),"zrcadlení, <v počítačových sítích>","Spiegeln (in Rechnernetzen), n",mirroring (in computer networks),duplicación (en redes de ordenadores),kahdennuspeilaus,"écriture miroir (dans les réseaux d’ordinateurs), f","ミラーリング, <コンピュータネットワークの>","미러링, <컴퓨터 망>예비용 파일 복사",kopiowanie zwierciadlane (plików w sieciach komputerowych),espelhamento (em redes de computadores),"пресликавање, <у рачунарским мрежама> с јд",spegling (I datornätverk),"镜像, <在计算机网络中>"
732-03-27,network file system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-27,نظام ملفات الشبكة,síťový systém souborů,"Netz-Dateisystem, n",network file system,sistema de ficheros en red,verkkotiedostojärjestelmä,"système de fichiers de réseau, m",ネットワークファイルシステム,망 파일 시스템,system plików sieciowych,sistema de ficheiros de rede,"мрежни систем датотека, м јд",filsystem för nätverk,网络文件系统
732-03-28,time server,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-28,خادم وقت,časový server,"Zeitserver, m",time server,servidor de datos temporales,aikapalvelin,"serveur de temps, m",タイムサーバ,시간 서버,serwer obsługi czasu,servidor de tempo,"временски сервер, м јд",tidsserver,时间服务器
732-03-29,video server,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-29,خادم الفيديو,videoserver,"Videoserver, m",video server,servidor de vídeo,videopalvelin,"serveur vidéo, mvidéoserveur, m",ビデオサーバ,비디오 서버,serwer wideo,servidor vídeo,"видео-сервер, м јд",videoserver,视频服务器
732-03-30,remote procedure call,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-30,إختصار (RPC)استدعاء الإجراء عن بعد,vzdálené volání proceduryRPC,"Programmfernaufruf, mRPC, Abkürzung, m",remote procedure callRPC (abbreviation),"llamada a procedimiento remoto, RPC (abreviatura)",etäkäsittelykutsuRPC,"appel de procédure distante, m","リモートプロシージャコールRPC, （略語）",원격 절차 호출아르피시,wywoływanie zdalne procedur,chamada de procedimento remoto,"позивање процедуре са даљине, с јдRPC","fjärrstyrt proceduranrop, RPC (förkortning)",远程过程调用RPC
732-03-31,electronic cash,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-31,النقدية الإلكترونية,elektronická hotovoste-hotovostdigitální hotovost,"elektronisches Geld, nelektronische Bezahlung, f",electronic cashE-cashdigital cash,"dinero electrónico, dinero digital",verkkorahae-raha,"monnaie électronique, f",電子キャッシュEキャッシュデジタルキャッシュ,전자 화폐이캐시디지털 현금,pieniądz wirtualnygotówka elektroniczna,dinheiro electrónico,"електронски новац, м јдЕ-новац, м јддигитални новац, м јд",digitala kontanterelektroniska kontanterE-kontanter,电子货币数字货币
732-03-32,electronic commerce,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-32,تجارة إلكترونية,elektronické obchodováníe-obchodování,"elektronischer Handel, mE-Kommerz, m",electronic commercee-commerce,comercio electrónico,verkkokauppa,"commerce électronique, m",電子商取引eコマース,전자 상거래,handel elektroniczny,comércio electrónico,"електронска трговина, ж јде-трговина, ж јд",elektronisk handelE-handel,电子商务
732-03-33,electronic magazine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-33,المجلة الإلكترونية,elektronický časopise-časopis,"elektronisches Journal, n",electronic magazinee-zinezine,"revista electrónica, e-revista",verkkolehti,"magazine électronique, mcybermagazine, m",電子雑誌,전자 잡지,czasopismo elektroniczne,armazém electrónico,"електронски часопис, м јде-часопис, м јдмагазин",elektroniskt magasinmagasin,电子杂志
732-04-01,navigation (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-04-01,التصفح (فى ر بط الشبكات),"navigace, <v počítačových sítích>","Navigation (in Rechnernetzen), f",navigation (in computer networks),navegación (en redes de ordenadores),navigointi,"navigation (dans les réseaux d’ordinateurs), f","ナビゲーション, <コンピュータネットワークの>","내비게이션, <컴퓨터 망>항해",nawigacja (w sieciach komputerowych),navegação (em redes de computadores),"навигација, <у рачунарским мрежама> ж јд",navigation (i ett datornätverk),"漫游, <在计算机网络中>"
732-04-02,network browser,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-04-02,مستعرض الشبكة,síťový prohlížeč,"Navigator, mBrowser, m",network browsernet browser,navegador de red,verkkoselainselain,"logiciel de navigation, mnavigateur, m",ネットワークブラウザネットブラウザ,망 브라우저넷 브라우저망 일괄탐색기,program nawigacyjnyprzeglądarka sieciowa,explorador de rede,"мрежни претраживач, м јд",webläsare,网络浏览器
732-04-03,browsing (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-04-03,إستعراض (فى الشبكات),"prohlížení, <v počítačových sítích>","Überfliegen (in Rechnernetzen), n",browsing (in computer networks),ojear (en redes de ordenadores),selailu,"exploration (dans les réseaux d’ordinateurs), f","ブラウジング, <コンピュータネットワークの>","브라우징, <컴퓨터망>일괄탐색",przeglądanie (w sieciach komputerowych),exploração (em redes de computadores),"претраживање, <у рачунарским мрежама> с јд",bläddring (I datornärverk),"浏览, <在计算机网络中>"
732-04-04,surf (in computer networks) verb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-04-04,يبحث (فى الشبكات),"surfovat, <v počítačových sítích>","surfen (in Rechnernetzen), Verb",surf (in computer networks) verb,navegar (en redes de ordenadores),surffata,surfer (dans les réseaux d’ordinateurs) verbe,"ネットサーフィンをする, <コンピュータネットワークの>，動詞","서핑하다, <컴퓨터 망>",surfować (w sieciach komputerowych),surfar(em redes de computadores),"крстарити, <у рачунарским мрежама> глаголсурфовати, глагол","surfa (I datornätverk), verb","冲浪, <在计算机网络中>，动词"
732-04-05,navigation agent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-04-05,برنامج المتصفح,navigační agent,"Navigationsagent, m",navigation agent,agente de navegación,navigointiohjelma,"agent de navigation, m",ナビゲーションエージェント,항행 에이전트,program samoczynnej nawigacji (w Internecie),agente de navegação,"агент навигације, м јд",navigationsagent,漫游代理
732-04-06,home page,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-04-06,الصفحة الرئيسية,domovská stránka,"Startseite, f",home page,página de inicio,etusivupääsivu,"page d’accueil, f",ホームページ,홈 페이지,strona głównastrona tytułowa,página de acolhimento,"насловна страна, ж јд",hemsida,主页
732-05-01,registration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-05-01,التسجيل,registrace,"Registrierung, f",registration,registro,rekisteröinti,"enregistrement, m",登録,등록,rejestracja,registo,"регистрација, ж јд",registrering,注册
732-05-02,registration authority,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-05-02,سلطة التسجيل,registrační autorita,"Registrierungsstelle, f",registration authority,autoridad de registro,rekisteröintielin,"autorité d’enregistrement, f",登録機関,등록 기관,organ rejestracyjny,autoridade de registo,"регистрациони центар, м јд",registreringsorgan,注册机构
732-05-03,registration procedure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-05-03,إجراءات التسجيل,registrační postup,"Registrierungsvorgang, m",registration procedure,procedimiento de registro,rekisteröintiprosessi,"procédure d’enregistrement, f",登録手続き,등록절차,procedura rejestracyjna,procedimento de registo,"процедура регистрације, ж јд",registrering,注册规程
732-05-04,naming authority,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-05-04,هيئة تحديد الأسماءالهيئة المعنية بالتسمية,pojmenovávací autorita,"Namensvergabestelle, f",naming authority,autoridad denominadora,nimeämiselin,"autorité de nommage, f",命名機関,명명 권한,organ nazewnictwa,autoridade de nomeação,"именовање овлашћеног тела, с јд",namngivande organ,命名机构
732-05-05,ISO country code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-05-05,اسم البلد طبقا للأيزو,ISO kód země,"ISO-Ländercode, m",ISO country code,código ISO del país,ISO-maakoodi,"code de pays ISO, m",ISO国名コード,아이에스오 국가 부호국제표준화기구 국가 부호,kod ISO kraju,código de país ISO,"ISO кôд земље, м јд",landskod enligt ISO,ISO国家代码
732-05-06,network number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-05-06,رقم الشبكة,číslo sítě,"Netznummer, f",network number,número de red,verkkonumero,"numéro de réseau, m",ネットワーク番号,통신망 번호,numer sieciadres sieciowy,número de rede,"број мреже, м јд",nätverksnummer,网络号
732-06-01,firewall,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-01,الجدار النارى,firewall,"Schutzwall, mFirewall, mBrandschutzmauer, f, (abgelehnt)",firewall,cortafuegos,palomuuri,"pare-feu, mbarrière de sécurité, fcoupe-feu CA, m",ファイアウォール,방화벽,zapora sieciowazapora ochronna,pára-fogo,"заштитни зид, м јд",brandvägg,防火墙
732-06-02,dual-homed host,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-02,الإستضافة المزدوجة,"hostitelský počítač typu ""dual-homed""brána typu ""dual-homed""","Zweinetze-Gateway, n",dual-homed hostdual-homed gateway,"anfitrión de dos bases, pasarela de dos bases",kaksoisisäntäkonekaksoisyhdyskäytävä,"passerelle à double anneau, f",デュアルホームホストデュアルホームゲートウェイ,이중 네트워크 호스트이중 홈 게이트웨이,architektura dwuwarstwowa komputera centralnegoarchitektura dwuwarstwowa bramy sieciowej,passarela de duplo anel,"међусистемски хост, м јдмеђусистемски мрежни пролаз, м јд","klient med två nätverksinterface, server med två nätverksinterface",双宿主机双穴网关
732-06-03,screened subnetwork,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-03,فحص الشبكة الفرعية,filtrovaná podsíťmonitorovaná podsíť,"abschirmendes Teilnetz, n",screened subnetwork,subred filtrada,suodatettu aliverkko,"sous-réseau filtré, m",スクリーンサブネットワーク,차폐된 부분망,podsieć ekranowana,subrede filtrada,"заштитна подмрежа, ж јд",filtrerat undernätverk,被屏蔽子网
732-06-04,screening router,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-04,مراقبة الموجة,filtrovací směrovačfiltrovací router,"abschirmender Router, m",screening router,enrutador de filtrado,suodattava reititin,"routeur de filtrage, mrouteur filtrant, m",スクリーニングルーター,차폐 경로지정기방어 경로지정기,ruter ekranujący,encaminhador de filtragemrouter de filtragem,"заштитни рутер, м јд","filtrerande router, brandvägg",屏蔽路由器
732-06-05,bastion host,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-05,مراقبة بوابة المضيف,vysoce filtrovaný hostitelský počítačopevněný hostitelský počítačbrána filtrovaného hostitelského počítače,"Bastion (in Rechnernetzen), f",bastion hostscreened-host gateway,"anfitrión bastión, pasarela anfitriona filtrada",verkkolinnake,"passerelle hôte filtrée, f",要塞ホストスクリーンホストゲートウェイ,요새 호스트방어 호스트 게이트웨이,komputer centralny ekranującyhost ekranujący,passarela hospedeira filtrada,"бастион хост, м јдзаклоњени мрежни пролаз, м јд","filtrerande gateway, brandvägg",堡垒主机被屏蔽主机网关
732-06-06,stub network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-06,نواة الشبكة,"síť typu ""stub""","Endnetz, n",stub network,red aislada,tynkäverkko,"réseau tronqué, m",スタブネットワーク,스터브 망정합 망,sieć szczątkowa,rede truncada,"мрежа са једном везивном тачком, ж јд",ändnätverk,末端网络
732-06-07,bombing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-07,قصف,"útok typu ""bombing""","Bombardierung (in Rechnernetzen), f",bombing,bombardeo,hyökkäys,"bombardement, m",攻撃,메시지 폭탄,bombardowanie (w Internecie),bombardeamento,"бомбардовање, с јд",bombardering,轰炸
732-06-08,spam,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-06-08,البريد المزعج,nevyžádaná zprávaspam,"Spam, mMüllpost, f",spamjunk mail,"correo electrónico no deseado, correo basura",roskaposti,"spam, mmessage non sollicité, mpourriel CA, m",スパムジャンクメール,스팸정크 메일,poczta niepożądanaspam,mensagem intrusaspam,"нежељена пошта, ж јдбезвредна пошта, ж јд",skräppostspam,垃圾邮件
732-07-01,Internet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-01,الإنترنت,internet,"Internet, n",Internet,internet,internet,"Internet, m",インターネット,인터넷,Internet,internet,"интернет, м јд",internet,国际互联网互联网因特网
732-07-02,Internet resource,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-02,مصدر خدمة الإنترنت,internetový zdroj,"Internet-Ressource, f",Internet resource,recurso Internet,internetresurssi,"ressource Internet, f",インターネットリソース,인터넷 자원,zasób Internetu,recurso de internet,"ресурс на интернету, м јд",internetresurs,国际互联网资源互联网资源
732-07-03,Request for Comments,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-03,إختصار (RFC)طلب تعليقات,žádost o komentářeRFC,"RFC-Dokument, nRFC, Abkürzung, m",Request for CommentsRFC (abbreviation),"petición de comentarios, RFC (abreviatura)",RFC-asiakirja,"RFC, m","RFC, （略語）コメント募集",설명 요청아르에프시,żądanie odpowiedziRFC (akronim),pedido de comentários,"захтев за коментаре, м јдRFC",förfrågan om kommentarerRFC (förkortning),请求评论文档请求评论RFC
732-07-04,Internet Protocol,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-04,إختصار (IP)برتوكول الإنترنت,internetový protokolIP,"Internet-Protokoll, nIP, Abkürzung, n",Internet ProtocolIP (abbreviation),"protocolo de Internet, IP (abreviatura)",IP-protokollaIP-yhteyskäytäntö,"protocole IP, m","インターネットプロトコルIP, （略語）",인터넷 통신 규약아이피,protokół internetowy IP (wg modelu OSI)IP (akronim),protocolo de internet,"интернет протокол, м јдIP",internetprotokollIP (förkortning),网际协议IP
732-07-05,Transmission Control Protocol,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-05,(TCP)  برتوكولإختصار (TCP)بروتوكول التحكم فى نقل البيانات,přenosový řídící protokolTCP protokol,"TCP-Protokoll, n",Transmission Control ProtocolTCP (abbreviation),"protocolo de control de la transmisión, TCP (abreviatura)",TCP-protokollaTCP-yhteyskäytäntö,"protocole TCP, m","伝送制御プロトコルTCP, （略語）",전송 제어 통신 규약티시피,protokół sterowania transmisjąTCP (akronim),protocolo de controlo de transmissão,"протокол за управљање преносом, м јдTCP",transmissionskontrollprotokollTCP (förkortning),传输控制协议TCP
732-07-06,IP address,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-06,عنوان بروتوكول انترنت,IP adresa,"Internet-Adresse, fIP-Adresse, f",IP addressdot addressdotted decimal notationIP number,"dirección IP, dirección de punto, dirección en notación decimal, número IP",IP-osoiteIP-numero,"adresse IP, fnuméro IP, m",IPアドレスドットアドレスドット付き10進記法IP番号,인터넷 통신 규약 주소점 주소점 십진 표기법인터넷 통신 규약 숫자,adres IP (komputera w Internecie)numer IP,endereço IPnúmero IP,"IP адреса, ж јдадреса са тачком, ж јддецимални запис са тачком, м јдIP броj, м јд",punktadressIP-adressdecimal beteckning med punkterIP-nummer,网际协议地址IP地址
732-07-07,uniform resource locator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-07,إختصار (URL)عنوان موقع URL,jednotný lokátor zdrojeURL,"einheitlicher Quellenweiser, mURL, Abkürzung, m",uniform resource locatorURL (abbreviation),"localizador uniforme de recursos, URL (abreviatura)",URL-osoiteURL,"adresse universelle, fadresse URL, fURL (abréviation)","URL, （略語）ユニフォームリソースロケータ",고유 자원 지시자유아르엘,lokalizator jednolity zasobówURL (akronim),localizador uniforme de recurso,"јединствена адреса ресурса, ж јдвеб-адреса, ж јдURL","URL, webbadress, länk",统一资源定位符URL
732-07-08,fully qualified domain name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-08,إختصار (FQDN)نطاق كامل مميز,přesně stanovené jméno doményFQDN,"vollständiger Domänenname, mFQDN, Abkürzung, m",fully qualified domain nameFQDN (abbreviation),"nombre de dominio completo, FQDN (abreviatura)",täysin määritelty verkkotunnus,"nom de domaine complet, m","FQDN, （略語）完全修飾ドメイン名",전체 주소 도메인 이름에프큐디엔,nazwa domeny pełnaFQDN (akronim),nome de domínio completamente qualificado,"пуно квалификовано име домена, с јдFQDN",komplett domännamnFQDN (förkortning),全称域名FQDN
732-07-09,top-level domain name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-09,المستوى الأعلى فى اسم النطاق,jméno domény nejvyšší úrovně,"oberster Domänenname, m",top-level domain name,nombre de dominio de nivel superior,ylätason verkkotunnus,"nom de domaine de premier niveau, mnom de domaine de tête, m",トップレベルドメイン名,최고수준영역이름,nazwa domeny najwyższego poziomu,nome de domínio do nível de topo,"име домена највишег нивоа, с јд",domännamn på toppnivå,顶级域名
732-07-10,host name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-10,اسم المضيف,jméno hostitelského počítače,"Hostname, m",host name,nombre del anfitrión,isäntänimiverkkoaseman tunnus,"nom d’hôte, m",ホスト名,호스트 이름,nazwa komputera centralnegonazwa hosta,nome de hospedeiro,"име хоста, с јд",värdnamn,主机名
732-07-11,canonical name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-11,الاسم القانونى,kanonické jméno,"kanonischer Name, m",canonical name,nombre canónico,kanoninen tunnus,"nom canonique, m",正規名,표준 이름,nazwa kanoniczna (domeny),nome canónico,"каноничко име, с јд","enhetligt namn, föreskrivet namn, kanoniskt namn",规范名
732-07-12,alias (in the Internet),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-12,اسم مستعار (فى الانترنت),"alias, <v internetu>","Aliasname (im Internet), m",alias (in the Internet),alias (en Internet),peitenimialias,"alias (dans l'Internet), m","アライアス, <インターネットの>","에일리어스, <인터넷>별명",aliasnazwa umownapseudonazwa,alias (na internet),"алијас, <на интернету> прилогалтернативно име, с јд",alias (i internet),"别名, <在国际互联网中>"
732-07-13,domain name system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-13,إختصار (DNS)نظام اسم النطاق,systém doménových jmenDNS,"Domänennamensystem, nDNS, Abkürzung, n",domain name systemDNS (abbreviation),"sistema de nombres de dominio, DNS (abreviatura)",verkkotunnusjärjestelmäDNS,"système de noms de domaine, msystème d'adressage par domaines, m","DNS, （略語）ドメイン名システム",영역 이름 시스템디엔에스도메인 이름 시스템,system nazewniczy domenDNS (akronim),sistema de nomes de domínio,"систем за имена домена, м јдDNS",DNS (förkortning)system för domännamn,"域名系统DNS, <相关条目：732-07-14，732-07-15>"
732-07-14,domain name service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-14,إختصار (DNS)خدمة اسم النطاق,služba doménových jmenDNS,"Domänennamendienst, mDNS-Dienst, m",domain name serviceDNS (abbreviation),"servicio de nombres de dominio, DNS (abreviatura)",verkkotunnuspalvelu,"service de noms de domaine, mservice DNS, m",ドメイン名サービス,도메인 이름 서비스디엔에스,usługa nazewnicza domenusługa DNS,serviço de nomes de domínio,"сервис за именовање домена, м јдDNS","DNS tjänst, DNS server","域名服务DNS, <相关条目：732-07-13，732-07-15>"
732-07-15,domain name server,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-15,إختصار (DNS)خادم اسم النطاق,server doménových jmenDNS,"Domänennamenserver, mDNS-Server, m",domain name serverDNS (abbreviation),"servidor de nombres de dominio, DNS (abreviatura)",verkkotunnuspalvelin,"serveur de noms de domaine, mserveur DNS, m",ドメイン名サーバ,도메인 이름 서버디엔에스,serwer nazewniczy domenserwer DNS,servidor de nomes de domínio,"сервер имена домена, м јдDNS",DNS server,"域名服务器DNS, <相关条目：732-07-13，732-07-14>"
732-07-16,resolver (in the Internet),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-16,المصرف (فى الإنترنت)الرابط (فى الإنترنت),"překladač, <v internetu>","DNS-Auflöser, m",resolver (in the Internet),traductor (en Internet),verkkotunnuksen selvittäjä,"résolveur (dans l'Internet), m","リゾルバ, <インターネットの>","리졸버, <인터넷>",program równoważności nazw (w Internecie),resolvedor (na internet),"преводилац имена у адресу, <на интернету> м јд",uppslagningstjänst,"解析器, <在国际互联网中>"
732-07-17,resource record (in the Internet),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-17,سجل المصدر (فى الإنترنت),"záznam o zdrojích, <v internetu>","DNS-Ressourcenbeschreibung, f",resource record (in the Internet),registro de recurso (en Internet),resurssitietue,"enregistrement de ressource (dans l'Internet), m","リソースレコード, <インターネットの>","자원 기록, <인터넷>",rekord zasobów (w Internecie),registo de recurso (na internet),"запис о ресурсима, <на интернету> м јд","resurspost, -er","资源记录, <在国际互联网中>"
732-07-18,search engine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-18,محرك البحث,vyhledávač,"Suchmaschine, f",search engine,motor de búsqueda,hakuohjelmahakukone,"moteur de recherche, m",サーチエンジン,검색 엔진,aparat wyszukiwaniamotor wyszukiwania,motor de pesquisa,"претраживач, м јд",sökmotor,搜索引擎
732-07-19,search robot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-19,روبوت البحث,vyhledávací robotznalostní robot,"Suchroboter (in Rechnernetzen), m",search robotknowledge robotknowbot,"robot de búsqueda, robot de conocimiento",hakurobotti,"robot de recherche, mlogiciel de référence, mmoteur de balayage, m",サーチロボット知識ロボットノウボット,검색 로봇지식 로봇노봇,szperacz (nazw),robô de pesquisarobô de conhecimento,"робот за претраживање, м јдинтелигентни робот, м јдинтелигентни агент, м јд",sök robotkunskapsrobot,搜索机器人知识机器人
732-07-20,Internet service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-20,إختصار (ISP)مزود خدمات الإنترنت,poskytovatel internetových služebISP,"Internet-Dienstanbieter, mISP, Abkürzung, m",Internet service providerISP (abbreviation),"proveedor de servicios de Internet, ISP (abreviatura)",internetpalvelun tarjoaja,"fournisseur d'accès à l'Internet, mFAI (abréviation) m","インターネットサービスプロバイダISP, （略語）",인터넷 서비스 제공자,dostawca usług internetowychISP (akronim),fornecedor de serviço à internet,"провајдер интернет услуге, м јдISP","internetleverantör, ISP (förkortning)",国际互联网服务提供方互联网服务提供方ISP
732-07-21,IP dialup access,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-21,الربط باستخدام خط التليفون,vytáčený přístup k IP,"IP-Einwahl, f",IP dialup access,acceso conmutado a Internet,IP-valintayhteys,"accès commuté à l'Internet, m",IPダイアルアップアクセス,인터넷 통신규약 다이얼업 접근,dostęp do Internetu komutowany,acesso comutado à internet,"IP приступ преко телефонске линије, м јд",uppringd internetaccess,IP拨号接入
732-07-22,intranet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-22,الإنترانت,intranet,"Intranet, n",intranet,intranet,intranet,"intranet, m",イントラネット,인트라넷,sieć wewnętrzna (jednej organizacji),intranet,"интранет, м јд","intranät, intranet",内联网
732-07-23,extranet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-07-23,الإكسترانت,extranet,"Extranet, n",extranet,extranet,ekstranet,"extranet, m",エクストラネット,엑스트라넷,sieć zewnętrzna (wielu organizacji),extranet,"екстранет, м јд",extranet,外联网
