term_id,term,term_url,ar,de,en,es,fr,it,ja,pl,pt,zh
871-05-03,system of systems,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-03,مجموعة أنظمة,"System der Systeme, nSOS",system of systemsSOS,sistema de sistemas,"système de systèmes, mSOS",sistema dei sistemiSOS,システム・オブ・システムズ,"system systemów, m",sistema de sistemas,系统的系统SoS
871-05-04,gateway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-04,بوابة,"Gateway, nNetzkoppler, m",gateway,pasarela,"passerelle, f",gateway,ゲートウェイ,"brama, fprzejście, n",porta de entrada,网关
871-05-05,internet of things and services,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-05,وصلة انترنت الأشياء والخدمات,"Internet der Dinge und Dienste, n",internet of things and services,internet de las cosas y de los servicios,"internet des objets et services, m",internet delle cose e servizi,モノ及びサービスのインターネット,"internet rzeczy i usług, m",internet das coisas e dos serviços,物和服务的互联网
871-05-06,interoperability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-06,قابلية للتشغيل مع اجهزة متنوعة,"Interoperabilität, f",interoperability,interoperabilidad,"interopérabilité, f",interoperabilità,インターオペラビリティ相互運用性,"interoperacyjność, f",interoperabilidade,互操作性
871-05-07,IT platform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-07,برنامج تكنولوجيا المعلومات,"IT-Plattform, f",IT platform,plataforma de tecnología de la información,"plateforme de technologie de l'information, f",piattaforma IT,ITプラットフォーム,"platforma informatyczna, f",plataforma de TI,IT平台
871-05-08,IT service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-08,خدمة تكنولوجيا المعلومات,"IT-Service, m",IT service,servicio de tecnología de la información,"service de technologie de l'information, m",servizio IT,ITサービス,"usługa informatyczna, f",serviço de TI,IT服务
871-05-09,middleware,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-09,قواعد نقل معلومات,"Middleware, f",middleware,middleware,"intergiciel, m",middleware,ミドルウェア,"middleware, moprogramowanie pośredniczące, n",middleware,中间件
871-05-10,connected home environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-10,بيئة منزلية متصلة,"vernetztes Wohnumfeld, nvernetzte Heimumgebung, f",connected home environment,"entorno doméstico conectado, m","environnement domestique connecté, m",Ambiente domestico connesso,コネクテッドホーム環境家庭接続環境,"połączone środowisko domowe, n",ambiente doméstico conectado,互连的家居环境
871-05-11,fault reporting time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-11,زمن الإبلاغ عن الخطأ,"Dauer für die Störungsweitergabe, f",fault reporting time,"tiempo de informe de fallo, m","temps de prise en compte du dérangement, m",Tempo di segnalazione dei guasti,障害報告時間,"czas zgłaszania usterek, m",duração de comunicação de avaria,故障报告时间
871-05-12,"other-information system, <in AAL>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-12,"نظم المعلومات الأخري, <فى مجال المساعدة >المعيشية النشطة","System für andere Informationen, <in AAL> f","other-information system, <in AAL>","sistema de otras informaciones, <en SAD> m","système d'autres informations, <en AAD> m","Sistema di informazioni di altro genere, <in AAL>","その他の情報システム, ＜AALにおける＞","inny system informacyjny, m",sistema de outras informações,其他信息系统
871-05-13,portable trigger device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-13,جهاز إتصالات نقال,"tragbares Auslösegerät, n",portable trigger device,"dispositivo de disparo portátil, m","déclencheur portatif, m",Dispositivo di attivazione portatile,携帯型トリガー装置,"przenośne urządzenie wyzwalające, n",disparador portátil,便携式触发装置
871-05-14,transmission time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-14,زمن الإرسال,"Übertragungsdauer, f",transmission time,"tiempo de transmisión, m","temps de transmission, m",Tempo di trasmissione,伝送時間,"czas transmisji, m",duração de transmissão,传输时间
871-06-01,electronic health record,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-01,تسجيل الكترونى للحالة الصحية,"elektronische Gesundheitsakte, f",electronic health record,registro electrónico de salud,"dossier de santé informatisé, m",dossier sanitario elettronico,電子健康記録EHR,"elektroniczna dokumentacja zdrowotna, f",registo eletrónico de saúde,电子健康档案
871-06-02,emergency call,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-02,إنذار للطوارىء,"Notruf, m",emergency call,llamada de emergencia,"appel d’urgence, m",chiamata di emergenza,緊急通報,"wezwanie ratunkowe, n",chamada de emergência,紧急呼叫
871-06-03,escalation level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-03,مستوى التصعيد,"Eskalationsstufe, f",escalation level,nivel de escalamiento,"niveau d’escalade, m",livello di aggravamento,エスカレーションレベル上位通報のレベル外部通報のレベル,"poziom eskalacji, m",nível de escalonamento,提升级别
871-06-04,medical service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-04,خدمة طبية,"medizinischer Dienst, m",medical service,servicio médico,"service médical, m",servizio medico,医療サービス,"świadczenie medyczne, n",serviço médico,医疗服务
871-06-05,health service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-05,خدمة صحية,"Gesundheitsleistung, f",health service,servicio de salud,"service de santé, m",servizio sanitario,保健サービス,"usługa w ochronie zdrowia, f",serviço de saúde,健康服务
871-06-06,medical device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-06,جهاز طبى,"Medizinprodukt, n",medical device,dispositivo médico,"dispositif médical, m",dispositivo medico,医療機器,"przyrząd medyczny, mśrodek medyczny, m",dispositivo médico,医疗器械
871-06-07,"prevention, <of an impairment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-07,"تقليل, <تأخر الحالة الصحية>","Prävention, <einer Schädigung> f","prevention, <of an impairment>","prevención, <de una deficiencia>","prévention, <d’une déficience> f","prevenzione, <di un deficit>","予防, <機能障害の>","zapobieganie, nprewencja, f","prevenção, <de uma deficiência>","预防, <病损的>"
871-06-08,telehealthcare,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-08,رعاية صحية عن بعد,"Tele-Gesundheitsversorgung, fTele-Healthcare, f",telehealthcare,teleasistencia sanitaria,"soins de télésanté, m pl",teleassistenza medica,遠隔ヘルスケア,"teleopieka zdrowotna, f",telessaúde,远程健康护理
871-06-09,telemedical care centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-09,مركز رعاية طبية عن بعد,"telemedizinisches Zentrum, nTMZ",telemedical care centre,telecentro médico,"centre de soins télémédicaux, m",centro di assistenza telemedico,遠隔医療センター,"centrum zdalnej opieki zdrowotnej, f",centro de atendimento telemédico,远程医疗护理中心
871-06-10,telemedicine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-10,تشخيص طبى عن بعد,"Telemedizin, f",telemedicine,telemedicina,"télémédecine, f",telemedicina,遠隔医療,"telemedycyna, f",telemedicina,远程医疗
871-06-11,telemonitoring system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-11,نظام مراقبة عن بعد,"Telemonitoring-System, n",telemonitoring system,sistema de telemonitorización,"système de télésurveillance, m",sistema di telesorveglianza,遠隔監視システム遠隔モニタリングシステム,"system zdalnego monitorowania, m",sistema de televigilância,远程监测系统
871-06-12,vital signs and metabolic data,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-12,بيانات مقاسة من أجهزة متصلة بالمريض,"Vitaldaten und Stoffwechseldaten, pl",vital signs and metabolic data,signos vitales y datos metabólicos,"signes vitaux et données métaboliques, m pl",segni vitali e dati metabolici,バイタルサイン及び代謝データ,"dane o parametrach życiowych i metabolicznych, f pl",sinais vitais e dados metabólicos,生命体征和代谢数据
871-06-13,wellness service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-13,خدمة لياقة بدنية,"Wellnessleistung, f",wellness service,servicios de bienestar,"service de bien-être, m",servizio di benessere,ウェルネスサービス,"usługi wellness, f plusługi poprawiające dobrostan, f pl",serviço de bem-estar,保健服务
871-06-14,eHealth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-14,إستخدام تكنولوجيا المعلومات والإتصالات في دعم الرعاية الصحية,E-Health,eHealthe-health,"eSalud, f","santé électronique, f",eHealthSanità elettronica,e-ヘルスイーヘルス,"e-Zdrowie, n",e-saúde,电子医疗
871-06-15,life-critical call,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-15,نداء حالة حرجة,"Notruf, m",life-critical call,"llamada crítica, f","appel critique, m",Chiamata critica per la vita,生命に関わる電話,"wezwanie w sytuacji krytycznej dla życia, n",chamada crítica,生命危急呼叫
871-06-16,social alarm service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-06-16,خدمة إنذار جماعي,"Personen-Hilferufdienst, m",social alarm service,"servicio de alarma social, m","service d'alarme sociale, m",Servizio sociale di allarme,社会的警報サービス,"usługa alarmu społecznego, f",serviço de alarme social,社会报警服务
871-07-01,AAL device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-01,جهاز في منظومة المساعدة المعيشية النشطة,"AAL-Gerät, n",AAL device,"dispositivo SAD, m","dispositif AAD, m",Dispositivo AAL,AALデバイスAAL機器,"urządzenie AAL, n",dispositivo AALdispositivo VAA,AAL装置
871-07-02,AAL information system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-02,نظام معلومات في منظومة المساعدة المعيشية النشطة,"AAL-Informationssystem, n",AAL information system,"sistema de información SAD, m","système d'information AAD, m",Sistema di informazioni AAL,AAL情報システム,"system informacyjny AAL, m",sistema de informações AAL,AAL信息系统
871-07-03,AAL level of assistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-03,مستوي المساعدة فى منظومة المساعدة المعيشية النشطة,"AAL-Unterstützungsstufe, f",AAL level of assistance,"nivel de asistencia SAD, m","niveau d’assistance AAD, m",Livello di assistenza AAL,AAL支援レベル,"poziom pomocy AAL, m",nível de assitência AALnível de assistência VAA,AAL辅助水平
871-07-04,AAL platform backend system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-04,نظام (منصة) خلفى فى منظومة المساعدة المعيشية النشطة,"AAL-Backend-System Plattform, fAAL-Backend System, n",AAL platform backend systemAAL backend system,"sistema de apoyo SAD, m","système dorsal plateforme AAD, msystème dorsal AAD, m",Piattaforma di sistema back-end AALSistema back-end AAL,AALプラットフォームバックエンドシステムAALバックエンドシステム,"system wspomagania platformy AAL, m",sistema dorsal de plataforma AALsistema dorsal de plataforma VAA,AAL平台后台系统
871-07-05,AAL architecture model,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-05,نموذج بنائي هندسي فى منظومة المساعدة المعيشية النشطة,"AAL-Architekturmodell, n",AAL architecture model,"modelo de arquitectura SAD, m","modèle d’architecture AAD, m",Modello di architettura AAL,AALアーキテクチャモデル,"model architektury AAL, m",modelo de arquitetura AALmodelo de arquitetura VAA,AAL体系架构模型
871-07-06,AAL user domain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-06,مجال المستخدم فى منظومة المساعدة المعيشية النشطة,"AAL-Nutzerdomäne, n",AAL user domain,"dominio de usuario SAD, m","domaine utilisateur AAD, m",Ambito dell'utilizzatore AAL,AALユーザー領域,"domena użytkownika AAL, f",domínio de utilizador AALdomínio de utilizador VAA,AAL用户域
871-07-07,information layer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-07,مستوي المعلومات,"Informationsschicht, f",information layer,"capa de información, f","couche d’informations, f",Contesto informativo,情報層,"warstwa informacyjna, f",camada de informações,信息层
871-07-08,organizational layer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-08,مستوي الهيكل التنظيمي,"Organisationsschicht, f",organizational layer,"capa de organización, f","couche organisationnelle, f",Contesto organizzativo,組織層,"warstwa organizacyjna, f",camada organizacional,组织层
871-07-09,AAL reference architecture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-07-09,بناء هندسي مرجعى فى منظومة المساعدة المعيشية النشطة,"AAL-Referenzarchitektur, f",AAL reference architecture,"arquitectura de referencia SAD, f","architecture de référence AAD, f",Architettura di riferimento AAL,AALリファレンスアーキテクチャAAL参照アーキテクチャ,"architektura referencyjna AAL, f",arquitetura de referência AALarquitetura de referência VAA,AAL参考体系架构
