term_id,term,term_url,ar,cs,de,en,es,fr,ja,ko,pl,pt,zh
192-03-01,"failure, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-01,"فشل, <لأى بند>","porucha, <objektu>selhání, <objektu>","Ausfall, <einer Einheit> m","failure, <of an item>","fallo, <de un elemento>","défaillance, <d’une entité> f","故障, <アイテムの>","고장, <품목>","uszkodzenie, <obiektu> nawaria, <obiektu> f","falha, <de um item>","失效, <产品的>"
192-03-02,error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-02,خطأ,chyba,"Fehlaussage, fIrrtum, m",error,error,"erreur, f",エラー誤り,오류에러,"błąd, m",erro,误差
192-03-03,failure criterion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-03,معيار الفشل,kritérium poruchy,"Ausfallkriterium, n",failure criterion,criterio de fallo,"critère de défaillance, m",故障判定基準,고장 판정기준,"kryterium uszkodzenia, n",critério de falha,失效判据
192-03-04,complete failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-04,الفشل الكامل,úplná porucha,"Vollausfall, mTotalausfall, m",complete failure,fallo total,"défaillance complète, f",全機能喪失故障,완전 고장,"uszkodzenie zupełne, n",falha completa,完全失效
192-03-05,partial failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-05,الفشل الجزئى,částečná porucha,"Teilausfall, m",partial failure,fallo parcial,"défaillance partielle, f",一部機能喪失故障部分的故障,부분 고장,"uszkodzenie częściowe, n",falha parcial,部分失效
192-03-06,primary failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-06,الفشل الأولىالفشل الإبتدائى,primární porucha,"Primärausfall, m",primary failure,fallo primario,"défaillance primaire, f",一次故障,1차 고장,"uszkodzenie pierwotne, n",falha primária,原发性失效
192-03-07,secondary failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-07,الفشل الثانوى,sekundární porucha,"Sekundärausfall, mFolgeausfall, m",secondary failure,fallo secundario,"défaillance secondaire, f",二次故障,2차 고장,"uszkodzenie wtórne, n",falha secundária,继发性失效
192-03-08,failure effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-08,تأثير الفشل,účinek poruchydůsledek poruchy,"Ausfallauswirkung, f",failure effect,efecto de un fallo,"effet d’une défaillance, m",故障の影響,고장 영향,"skutek uszkodzenia, m",efeito de uma falha,失效影响
192-03-09,"criticality, <of a fault or failure>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-09,"الحرجية, <للخطأ أو الفشل>","kritičnost, <poruchového stavu nebo poruchy>","Kritikalität, fKritizität, f","criticality, <of a fault or failure>","criticidad, <de un fallo o una avería>","criticité, <d’une panne ou d’une défaillance> f","致命度, <フォールト又は故障の>","임계성, <결함 또는 고장>","krytyczność, <niezdatności lub uszkodzenia> f","criticidade, <de uma avaria ou falha>","危害性, <故障或失效的>"
192-03-10,systematic failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-10,فشل نظامىفشل منهجى,systematická porucha,"systematischer Ausfall, m",systematic failure,fallo sistemático,"défaillance systématique, f",系統的故障決定論的原因故障,계통적 고장,"uszkodzenie systematyczne, n",falha sistemáticafalha reprodutível,系统性失效
192-03-11,failure cause,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-11,سبب الفشل,příčina poruchy,"Ausfallursache, f",failure cause,causa de fallo,"cause de défaillance, f",故障原因,고장 원인,"przyczyna uszkodzenia, f",causa de falha,失效原因
192-03-12,failure mechanism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-12,آلية الفشل,mechanismus poruchy,"Ausfallmechanismus, m",failure mechanism,mecanismo de fallo,"mécanisme de défaillance, m",故障メカニズム,고장 메커니즘,"mechanizm uszkodzenia, m",mecanismo de falha,失效机理
192-03-13,failure sequence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-13,تتابع الفشل,poruchová sekvence,"Ausfallabfolge, f",failure sequence,secuencia de fallo,"séquence de défaillance, f",故障の連鎖,고장 연쇄,"sekwencja zdarzeń prowadzących do uszkodzenia, f",sequência de falha,失效序列
192-03-14,human error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-14,خطأ بشرى,lidská chyba,"menschliches Fehlverhalten, n",human error,error humano,"erreur humaine, f",ヒューマンエラー,사람 오류인적 오류,"błąd ludzki, mpomyłka, f",erro humano,人为误差
192-03-15,wear-out failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-15,فشل إهلاكى,porucha opotřebením,"Verschleißausfall, mAbnutzungsausfall, m",wear-out failure,fallo por desgaste,"défaillance par usure, f",摩耗故障劣化故障,마모 고장,"uszkodzenie wskutek zużycia, n",falha por desgaste,耗损失效
192-03-16,ageing failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-16,فشل تقادمى,porucha stárnutím,"Alterungsausfall, mErmüdungsausfall, m",ageing failure,fallo por envejecimiento,"défaillance par vieillissement, f",経時故障経年故障,노화 고장,"uszkodzenie starzeniowe, n",falha por envelhecimento,老化失效
192-03-17,failure mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-17,نموذج الفشلسابقاً : نموذج العطل,způsob poruchymód poruchyNEVHODNÝ TERMÍN: způsob poruchového stavuNEVHODNÝ TERMÍN: mód poruchového stavu,"Ausfallart, f",failure modeDEPRECATED: fault mode,modo de fallo,"mode de défaillance, mDÉCONSEILLÉ: mode de panne, m",故障モード,고장 유형,"rodzaj uszkodzenia, m",modo de falha,失效模式
192-03-18,"common cause failures, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-18,فشل لأسباب عموميةفشل لأسباب مشتركة,poruchy se společnou příčinou,"Ausfälle aufgrund gemeinsamer Ursache, m pl","common cause failures, pl",fallos de causa común,"défaillances de cause commune, f pl",共通原因故障,공통 원인 고장,"uszkodzenia o wspólnej przyczynie, n pl",falhas de causa comum,共因失效
192-03-19,"common mode failures, <within a system> pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-19,"فشل ذو نمط عام،, <خلال النظام>",poruchy se společným způsobemporuchy se společným módem,"gleichartige Ausfälle, <innerhalb eines Systems> m pl","common mode failures, <within a system> pl","fallos de modo común, <en un sistema>","défaillances de mode commun, <dans un système> f pl","共通モード故障, <システム内の>","공통 유형 고장, <계통내>","uszkodzenia jednakowego rodzaju, n pl","falhas de modo comum, <num sistema>","共模失效, <系统内的>"
192-03-20,"manifestation, <of a latent fault>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-20,"إيضاح وإظهار،, <لفشل كامن>","projev, <latentního poruchového stavu>","Manifestation, <eines latenten Fehlzustandes> f","manifestation, <of a latent fault>","manifestación, <de una avería latente>","manifestation, <d’une panne latente> f","兆候, <潜在フォールトの>","징후, <잠재적 고장>","ujawnienie się, <uszkodzenia ukrytego> n","manifestação, <de uma avaria latente>","显现, <潜在故障的>"
192-03-21,"activation, <of a dormant fault>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-21,"تنشيط،،, <لفشل خامد>","aktivace, <neaktivovaného poruchového stavu>","Aktivierung, <eines schlafenden Fehlzustandes> f","activation, <of a dormant fault>","activación, <de una avería durmiente>","activation, <d’une panne dormante> f","活性化事象, <休眠フォールトの>","활성화, <휴면기 고장>","aktywacja, <niezdatności uśpionej> f","ativação, <de uma avaria inativa>","激活, <休眠故障的>"
192-03-22,software failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-22,فشل البرمجيات,selhání softwaru,"Softwareausfall, m",software failure,fallo software,"défaillance logicielle, f",ソフトウェア故障,소프트웨어 장애,"uszkodzenie oprogramowania, nuszkodzenie wskutek błędu oprogramowania, n",falha do softwarefalha do logicial,软件失效
192-03-23,"trigger, <for a dormant fault>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-03-23,"إطلاق،, <لفشل خامد>إثارة،, <لفشل خامد>","spouštěč, <pro neaktivovaný poruchový stav>trigger, <pro neaktivovanou softwarovou vadu>","Trigger, <eines schlafenden Fehlzustandes> mAuslöser, <eines schlafenden Fehlzustandes> m","trigger, <for a dormant fault>","disparo, <de una avería durmiente>","déclencheur, <pour une panne dormante> m","トリガー, <休眠フォールトの>","트리거, <휴면기 고장>","okoliczność wyzwalająca, <niezdatność uśpioną> f",disparo,"触发, <休眠故障的>"
192-04-01,"fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-01,"خطأ،, <لأى بند>","poruchový stav, <objektu>NEVHODNÝ TERMÍN: vada","Fehlzustand, <einer Einheit> m","fault, <of an item>","avería, <de un elemento>","panne, <d’une entité> f","フォールト, <アイテムの>故障状態, <アイテムの>","고장, <품목>결함, <품목>","niezdatność, <obiektu> f","avaria, <de um item>","故障, <产品的>"
192-04-02,software fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-02,خطأ برماجياتعلة فى البرنامج,softwarová vada,"Software-Fehlzustand, mBug, m",software faultbug,averia software,"panne logicielle, fbogue, m",ソフトウェアフォールトバグ,소프트웨어 고장소프트웨어 결함,"defekt oprogramowania, mbłąd oprogramowania, m",avaria do softwareavaria do logicial,软件故障
192-04-03,"flaw, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-03,"خلل،, <لأى بند>عطب،, <لأى بند>","závada, <objektu>","Schwachstelle, <einer Einheit> f","flaw, <of an item>","defecto, <de un elemento>","défectuosité, <d’une entité> f","欠点, <アイテムの>","결점, <품목>고장, <품목>","usterka, <mogąca inicjować uszkodzenie obiektu> f","defeito, <de um item>","缺陷, <产品的>"
192-04-04,"permanent fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-04,"خطأ دائم،, <لبند>خطأ مستمر،, <لبند>","trvalý poruchový stav, <objektu>NEVHODNÝ TERMÍN: trvalá vada","permanenter Fehlzustand, <einer Einheit> m","permanent fault, <of an item>persistent fault, <of an item>","avería permanente, <de un elemento>","panne permanente, <d’une entité> f","永続フォールト, <アイテムの>","영구 고장, <품목>지속 고장, <품목>","niezdatność trwała, <obiektu> f","defeito permanente, <de um item>","持久性故障, <产品的>持续性故障, <产品的>"
192-04-05,"transient fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-05,"خطأ لحظى،, <لبند>سابقاً: عطل عابر","přechodný poruchový stav, <objektu>NEVHODNÝ TERMÍN: přechodná vada","vorübergehender Fehlzustand, <einer Einheit> m","transient fault, <of an item>DEPRECATED: volatile fault","avería transitoria, <de un elemento>","panne temporaire, <d’une entité> f","一時的フォールト, <アイテムの>","과도 고장, <품목>과도 결함, <품목>","niezdatność przejściowa, <obiektu> f","defeito fugitivo, <de um item>defeito fugaz, <de um item>",瞬间故障
192-04-06,"intermittent fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-06,"خطأ متقطع،, <لبند>","občasný poruchový stav, <objektu>NEVHODNÝ TERMÍN: občasná vada","intermittierender Fehlzustand, <einer Einheit> m","intermittent fault, <of an item>","avería intermitente, <de un elemento>","panne intermittente, <d’une entité> f","断続的フォールト, <アイテムの>","간헐 고장, <품목>간헐 결함, <품목>","niezdatność przejściowa powtarzalna, <obiektu> f","defeito intermitente, <de um item>avaria intermitente, <de um item>avaria transitória, <de um item>","间歇故障, <产品的>"
192-04-07,"dormant fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-07,"خطأ خامد،, <لبند>","neaktivovaný poruchový stav, <objektu>NEVHODNÝ TERMÍN: neaktivovaná vada","schlafender Fehlzustand, <einer Einheit> m","dormant fault, <of an item>","avería durmiente, <de un elemento>","panne dormante, <d’une entité> f","休眠フォールト, <アイテムの>","휴면 고장, <품목>휴면 결함, <품목>","niezdatność uśpiona, <obiektu> f","avaria dormente, <de um item>","休眠故障, <产品的>"
192-04-08,"latent fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-08,"خطأ كامن،, <لبند>خطأ غير مكتشف،, <لبند>","latentní poruchový stav, <objektu>nedetekovaný poruchový stav, <objektu>NEVHODNÝ TERMÍN: latentní vadaNEVHODNÝ TERMÍN: nedetekovaná vada","latenter Fehlzustand, <einer Einheit> m","latent fault, <of an item>undetected fault, <of an item>","avería latente, <de un elemento>","panne latente, <d’une entité> fpanne non détectée, <d’une entité> f","潜在フォールト, <アイテムの>","잠재 고장, <품목>미감지 고장, <품목>","niezdatność utajona, <obiektu> fniezdatność niewykryta, <obiektu> f","defeito, <de um item>avaria latente, <de um item>","潜在故障, <产品的>未检测到的故障, <产品的>"
192-04-09,"systematic fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-09,"خطأ منهجي،, <لبند>","systematický poruchový stav, <objektu>NEVHODNÝ TERMÍN: systematická vada","systematischer Fehlzustand, <einer Einheit> m","systematic fault, <of an item>","avería sistemática, <de un elemento>","panne systématique, <d’une entité> f","系統的フォールト, <アイテムの>決定論的原因フォールト, <アイテムの>","계통적 고장, <품목>계통적 결함, <품목>","niezdatność systematyczna, <obiektu> f","avaria sistemática, <de um item>","系统性故障, <产品的>"
192-04-10,"specification fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-10,"خطأ مواصفات،, <لبند>","poruchový stav způsobený specifikací, <objektu>NEVHODNÝ TERMÍN: vada specifikace","spezifizierungsbedingter Fehlzustand, <einer Einheit> m","specification fault, <of an item>","avería debida a la especificación, <de un elemento>","panne due à la spécification, <d’une entité> f","仕様フォールト, <アイテムの>","규격 고장, <품목>규격 결함, <품목>","niezdatność specyfikacyjna, <obiektu> fniezdatność wynikająca z niedostatecznej specyfikacji, <obiektu> f","avaria devida à especificação, <de um item>","规格说明故障, <产品的>"
192-04-11,"design fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-11,"خطأ تصميم،, <لبند>","poruchový stav způsobený návrhem, <objektu>NEVHODNÝ TERMÍN: konstrukční vada","entwurfsbedingter Fehlzustand, <einer Einheit> m","design fault, <of an item>","avería debida al diseño, <de un elemento>","panne due à la conception, <d’une entité> f","設計フォールト, <アイテムの>","설계 고장, <품목>설계 결함, <품목>","niezdatność wynikająca z błędów projektowych, <obiektu> f","avaria por mau projeto, <de um item>avaria por má conceção, <de um item>","设计故障, <产品的>"
192-04-12,"manufacturing fault, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-12,"خطأ تصنيعى،, <لبند>","poruchový stav způsobený výrobou, <objektu>NEVHODNÝ TERMÍN: výrobní vada","fertigungsbedingter Fehlzustand, <einer Einheit> m","manufacturing fault, <of an item>","avería debida a la fabricación, <de un elemento>","panne due à la fabrication, <d’une entité> f","製造フォールト, <アイテムの>","제조 고장, <품목>제조 결함, <품목>","niezdatność wynikająca z błędów produkcyjnych, <obiektu> f","avaria por má fabricação, <de um item>","制造故障, <产品的>"
192-04-13,"data-sensitive fault, <of a software item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-13,"خطأ فى بيانات حساسة،, <لبند برمجيات>",softwarová vada způsobená daty,"datenbedingter Fehlzustand, <einer Softwareeinheit> mdatensensitiver Fehlzustand, <einer Softwareeinheit> m","data-sensitive fault, <of a software item>","avería sensible a los datos, <de un elemento software>","panne mise en évidence par les données, <d’une entité logicielle> f","データ依存性のフォールト, <ソフトウェアアイテムの>","자료 민감형 고장, <소프트웨어 품목>자료 민감형 결함, <소프트웨어 품목>","defekt informacyjny, <przy niektórych danych programu> m","avaria dependente dos dados, <de um item de software>","数据敏感故障, <软件产品的>"
192-04-14,"program-sensitive fault, <of a software item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-04-14,"خطأ حساس فى البرنامج،, <لبند برمجيات>",softwarová vada způsobená programem,"programmbedingter Fehlzustand, <einer Softwareeinheit> m","program-sensitive fault, <of a software item>","avería sensible al programa, <de un elemento software>","panne mise en évidence par le programme, <d’une entité logicielle> f","プログラム依存性のフォールト, <ソフトウェアアイテムの>","프로그램 민감형 고장, <소프트웨어 품목>프로그램 민감형 결함, <소프트웨어 품목>","defekt programowy, <przy niektórych sekwencjach programu> m","avaria evidenciada pelo programa, <de um item de software>","程序敏感故障, <软件产品的>"
192-05-01,"operating time to failure, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-01,"الزمن التشغيلي حتى الانهيار, <لبند>","doba provozu do poruchy, <objektu>","Betriebszeit bis zum Ausfall, <einer Einheit> fDauer bis zum Ausfall, <einer Einheit> f","operating time to failure, <of an item>","tiempo operativo hasta el fallo, <de un elemento>","temps de fonctionnement avant défaillance, <d’une entité> mtemps avant défaillance, <d’une entité> m","故障までの動作時間, <アイテムの>故障までの運用時間, <アイテムの>故障までの時間, <アイテムの>故障時間, <アイテムの>","고장전 작동 시간, <품목>","czas działania do uszkodzenia, <obiektu> m","tempo de funcionamento antes de falha, <de um item>","失效前工作时间, <产品的>"
192-05-02,"operating time to first failure, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-02,"الزمن التشغيلي حتى الانهيار الأول, <لبند>المدة الزمنية حتى الانهيار الاول, <لبند>","doba provozu do první poruchy, <objektu>","Betriebszeit bis zum ersten Ausfall, <einer Einheit> fDauer bis zum ersten Ausfall, <einer Einheit> f","operating time to first failure, <of an item>time to first failure, <of an item>","tiempo operativo hasta el primer fallo, <de un elemento>","temps de fonctionnement avant la première défaillance, <d’une entité> mtemps avant la première défaillance, <d’une entité> m","最初の故障までの動作時間, <アイテムの>最初の故障までの運用時間, <アイテムの>最初の故障までの時間, <アイテムの>","첫 고장전 작동 시간, <품목>","czas działania do pierwszego uszkodzenia, <obiektu> m","tempo de funcionamento antes da primeira falha, <de um item>","首次失效前工作时间, <产品的>首次失效前时间, <产品的>"
192-05-03,"time between failures, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-03,"الزمن بين الانهيارات, <لبند>","doba mezi poruchami, <objektu>","Ausfallabstand, <einer Einheit> m","time between failures, <of an item>","tiempo entre fallos, <de un elemento>","temps entre défaillances, <d’une entité> m","故障間隔, <アイテムの>","고장 간격 시간, <품목>","czas między uszkodzeniami, <obiektu> m","tempo entre falhas, <de um item>","失效间隔时间, <产品的>"
192-05-04,"operating time between failures, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-04,"الزمن التشغيلي بين الانهيارات, <لبند>","doba provozu mezi poruchami, <objektu>","Betriebszeit zwischen Ausfällen, <einer Einheit> f","operating time between failures, <of an item>","tiempo operativo entre fallos, <de un elemento>","temps de bon fonctionnement, <d’une entité> m","故障間動作時間, <アイテムの>故障間運用時間, <アイテムの>","고장간 작동 시간, <품목>","czas działania między uszkodzeniami, <obiektu> m","tempo de bom funcionamento, <de um item>tempo de funcionamento entre falhas, <de um item>","失效间隔工作时间, <产品的>"
192-05-05,"reliability, <measure>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-05,موثوقيةعول,"pravděpodobnost bezporuchového provozu, <ukazatel>","Überlebenswahrscheinlichkeit, <Messgröße> f","reliability, <measure>","fiabilidad, <medida>","fiabilité, <mesure> f",信頼度,"신뢰도, <측정>","prawdopodobieństwo działania, <wskaźnik> n","fiabilidade, <medida>confiabilidade, <medida>","可靠度, <量度>"
192-05-06,instantaneous failure rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-06,معدّل الانهيار اللحظىمعدل الانهيار,okamžitá intenzita poruchintenzita poruch,"momentane Ausfallrate, fAusfallrate, f",instantaneous failure ratefailure rate,tasa ínstantánea de fallo instantánea,"taux instantané de défaillance, mtaux de défaillance, m",瞬間故障率故障率,순시 고장율,"intensywność chwilowa uszkodzeń, fintensywność uszkodzeń, f",taxa instantânea de falhas,瞬时失效率失效率
192-05-07,mean failure rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-07,معدل الانهيارمعدل متوسط الانهيار,střední intenzita poruch,"mittlere Ausfallrate, f",mean failure rateaverage failure rate,tasa media de fallo,"taux moyen de défaillance, m",平均故障率,평균 고장율평균 고장율,"intensywność uszkodzeń średnia, f",taxa média de falhas,平均失效率
192-05-08,instantaneous failure intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-08,شدة الانهيار اللحظىشدة الانهيار,okamžitý parametr proudu poruchparametr proudu poruch,"momentane Ausfalldichte, fAusfalldichte, f",instantaneous failure intensityfailure intensity,intensidad instantánea de fallo,"intensité instantanée de défaillance, fintensité de défaillance, f",瞬間故障強度故障強度,순시 고장 강도고장 강도,"intensywność chwilowa strumienia uszkodzeń, fintensywność strumienia uszkodzeń, f",intensidade instantânea de falhas,瞬时失效强度失效强度
192-05-09,mean failure intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-09,شدة الانهيار المتوسط,střední parametr proudu poruch,"mittlere Ausfalldichte, f",mean failure intensity,intensidad media de fallo,"intensité moyenne de défaillance, f",平均故障強度,평균 고장 강도,"intensywność średnia strumienia uszkodzeń, f",intensidade média de falhas,平均失效强度
192-05-10,asymptotic failure intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-10,شدة الانهيار المقارب,asymptotický parametr proudu poruch,"asymptotische Ausfalldichte, f",asymptotic failure intensity,intensidad asintótica de fallo,"intensité asymptotique de défaillance, f",漸近故障強度,점근 고장 강도,"intensywność asymptotyczna strumienia uszkodzeń, f",intensidade assintótica de falhas,渐近失效强度
192-05-11,mean operating time to failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-11,الزمن التشغيلي المتوسط حتى الانهيار,střední doba provozu do poruchyMTTF,"mittlere Betriebszeit bis zum Ausfall, fMTTF, f",mean operating time to failureMTTF,tiempo medio operativo hasta el fallo,"durée moyenne de fonctionnement avant défaillance, ftemps moyen avant défaillance, m",故障までの平均動作時間故障までの平均運用時間MTTF,고장 전 평균 작동시간MTTF,"oczekiwany czas działania do uszkodzenia, mMTTF",tempo médio de funcionamento antes de falha,平均失效前工作时间MTTF
192-05-12,mean operating time to first failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-12,الزمن التشغيلي المتوسط حتى الانهيار الأول,střední doba provozu do první poruchyMTTFF,"mittlere Betriebszeit bis zum ersten Ausfall, fMTTFF, f",mean operating time to first failureMTTFF,tiempo medio operativo hasta el primer fallo,"durée moyenne de fonctionnement avant la première défaillance, fdurée moyenne avant la première défaillance, f",最初の故障までの平均動作時間最初の故障までの平均運用時間MTTFF,첫 고장 전 평균 작동 시간MTTFF,"oczekiwany czas działania do pierwszego uszkodzenia, mMTTFF",tempo médio de funcionamento antes da primeira falha,平均首次失效前工作时间MTTFF
192-05-13,mean operating time between failures,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-05-13,الزمن التشغيلي المتوسط بين الانهيارات,střední doba provozu mezi poruchamiMTBFMOTBF,"mittlere Betriebszeit zwischen Ausfällen, fMTBF, f",mean operating time between failuresMTBFMOTBF,tiempo medio operativoentre fallos,"moyenne des temps de bon fonctionnement, fMTBF, f",平均故障間動作時間平均故障間運用時間MTBFMOTBF,고장 간 평균 작동 시간MTBFMOTBF,"oczekiwany czas działania między uszkodzeniami, mMTBFMOTBF",tempo médio de bom funcionamentomédia de tempos de bom funcionamentoMTBF (abreviatura),平均失效间隔工作时间MTBFMOTBF
192-06-01,maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-01,الصيانة,údržba,"Instandhaltung, f",maintenance,mantenimiento,"maintenance, f",保全保守,유지보수,"obsługiwanie, nutrzymanie, nobsługa, <niezalecane> f",manutenção,维修
192-06-02,maintenance policy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-02,السياسة العامة للصيانةمفهوم الصيانة,politika údržbykoncepce údržby,"Instandhaltungsgrundsätze, m pl",maintenance policymaintenance concept,política de mantenimiento,"politique de maintenance,  f",保全方針,유지보수 정책유지보수 개념,"polityka obsługiwania, f",politica de manutenção,维修策略维修概念
192-06-03,line of maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-03,نسق الصيانةتناسق الصيانة,místo údržbyúdržbářská linka,"Instandhaltungsstufe, fInstandhaltungsbereich, m",line of maintenancemaintenance echelon,línea de mantenimiento,"échelon de maintenance, m",保全場所,유지보수 부서유지보수 계층,"szczebel obsługiwania, m",escalão de manutenção,维修作业线维修场所等级
192-06-04,level of maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-04,مستوى الصيانة,úroveň údržbystupeň údržby,"Instandhaltungsebene, f",level of maintenancemaintenance level,nivel de mantenimiento,"niveau de maintenance, m",保全水準,유지보수 수준유지보수 계층,"zakres obsługiwania, <wg poziomu podziału obiektu> m",nível de manutenção,维修等级维修活动等级
192-06-05,preventive maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-05,الصيانة الوقائية,preventivní údržba,"Wartung, fvorbeugende Instandhaltung, f",preventive maintenancepreventative maintenance,mantenimiento preventivo,"maintenance préventive, fentretien, m",予防保全,예방 유지보수,"obsługiwanie profilaktyczne, nobsługiwanie zapobiegawcze, n",manutenção preventivaconservação,预防性维修
192-06-06,corrective maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-06,الصيانة التصحيحية,údržba po porušeNEVHODNÝ TERMÍN: korektivní údržba,"korrektive Instandhaltung, fInstandsetzung, f",corrective maintenance,mantenimiento correctivo,"maintenance corrective, f",事後保全,교정 유지보수사후 유지보수,"obsługiwanie korekcyjne, n",manutenção corretiva,修复性维修
192-06-07,condition-based maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-07,الصيانة المعتمدة على الحالة,údržba podle stavu,"zustandsorientierte Instandhaltung, f",condition-based maintenance,mantenimiento basado en la condición,"maintenance conditionnelle, f",状態監視保全,조건기반 유지보수,"obsługiwanie na podstawie stanu obiektu, n",manutenção condicional,视情维修
192-06-08,reliability-centred maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-08,صيانه ترتكز على العول,údržba zaměřená na bezporuchovostRCM,"zuverlässigkeitsorientierte Instandhaltung, fRCM, f",reliability-centred maintenanceRCM,mantenimiento centrado en la fiabilidad,"maintenance fondée sur la fiabilité, f",信頼性中心保全信頼性重視保全RCM,신뢰성 중심 유지보수RCM,"obsługiwanie ukierunkowana na nieuszkadzalność, nRCM",manutenção centrada na fiabilidade,以可靠性为中心的维修基于可靠性的维修方法RCM
192-06-09,automatic maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-09,صيانه اوتوماتيكيةصيانة آلية,automatická údržba,"automatische Instandhaltung, f",automatic maintenance,mantenimiento automático,"maintenance automatique, f",自動保全,자동 유지보수,"obsługiwanie automatyczne, n",manutenção automática,自动维修
192-06-10,deferred maintenance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-10,صيانه مؤجلة,odložená údržba,"aufgeschobene Instandhaltung, f",deferred maintenance,mantenimiento diferido,"maintenance différée, f",繰延べ保全,지연된 유지보수,"obsługiwanie odroczone, n",manutenção diferida,延期维修
192-06-11,maintenance action,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-06-11,عمليه الصيانهمهمة الصيانة,údržbářský zásahúdržbářský úkol,"Instandhaltungsvorgang, mInstandhaltungsaufgabe, f",maintenance actionmaintenance task,acción de mantenimiento,"tâche de maintenance, f",保全作業,유지보수 조치유지보수 과업,"czynność obsługiwania, fdziałanie obsługowe, n",operação de manutenção,维修活动
