term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,ru,sl,sr,sv,zh
461-05-08,bedding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-08,فرشة,"Polster, n",bedding,asiento,armeerausalusta,"matelas, m",imbottitura,座床,층,зөөлөвч давхарга,underlag,"wypełnienie, npoduszka, f",cama,подушка,blazina,"унутрашња заштита , ж јд",armeringsbädd,垫层
461-05-09,serving,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-09,غلاف خارجي للكابل,"äußere Schutzhülle, fäußere Umhüllung, f",serving,revestimiento exterior de un cable,ulkoinen suojakerros,"matelas extérieur, m",fasciatura esterna,非押出しタイプサービングサービング,서빙,өнгөн бүрээс,ytre vern,"osłona ochronna niewytłaczana, f",revestimento exteriorcamada exterior,наружный покров,zunanji zaščitni plašč,"спољашња заштита, ж јд",mantelskydd,外被层
461-05-10,braid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-10,ضفيرة,"Umflechtung, f",braid,trenza,palmikko,"tresse, f",treccia,編組,편조,сүлжмэл бүрээс,omfletting,"oplot, m",trança,оплетка,oplet,"оплет , м јд",fläta,编织层
461-05-11,skid wire,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-11,سلك أنزلاقى,"Gleitdraht, m",skid wire,alambre de deslizamiento,liukulanka,"fil de glissement, m",filo di scorrimento,スキッドワイヤ,활주 전선,гулсуулагч утас,glidetråd,"drut ślizgowy, m",fio de deslizamento,проволока скольжения,drsna žica,"жица за провлачење , ж јд",glidtråd,滑线
461-05-12,corrugated metallic sheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-12,غلاف معدنى مموج,"Wellmantel, mgewellter Metallmantel, m",corrugated metallic sheath,cubierta metálica corrugada,poimutettu metallivaippa,"gaine métallique ondulée, f",guaina metallica corrugata,コルゲート金属シース波付き金属シース,주름 금속 시스,долгиотой металл бүрээс,korrugert metallkappe,"powłoka metalowa falowana, fpowłoka korugowana, f",bainha metálica ondulada,гофрированная металлическая оболочка,valoviti kovinski plašč,"таласасти плашт од метала, м јд",korrugerad metallmantel,皱纹金属护套
461-05-13,inner sheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-13,جاكيت داخلى (أمريكا الشمالية )غلاف داخلى,"Innenmantel, m",inner sheathinner jacket (North America),cubierta interna,välivaippa,"gaine interne, f",guaina interna,非金属内部シース,내부 시스,дотор бүрээс,indre kappe,"powłoka wewnętrzna, fpłaszcz wewnętrzny, m",bainha interior,поясная оболочка,,"унутрашњи плашт , м јд",innermantel,内护套
461-05-14,barrier sheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-14,غلاف حاجز (أمريكا الشمالية)غلاف حاجز,"Sperrmantel, m",barrier sheathbarrier jacket  (North America),cubierta de estanquidad,erotusvaippa,"gaine d'étanchéité, fgaine de cloison, f",guaina di tenuta,保護シース,장벽 시스,хаалт бүрээс,vernekappe,"bariera ochronna, fpowłoka barierowa, f",bainha de estanquidade,защитная оболочка,,"запречни плашт , м јд",skyddsmantel,防护套
461-05-15,water blocking powder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-15,بودرة منتفخة لمنع المياةبودرة حاجزة للمياة,"Quellpulver, n",water blocking powderswelling powder,polvos de estanquidad,kosteussulkujauhepaisuva jauhe,"poudre d'étanchéité, fpoudre gonflante, f",polvere di tenuta,走水防止パウダ,수방 가루,усны хамгаалалтын нунтагтэлэгч нунтаг,svellepulver,"proszek pęczniejący, m",pó de estanquidadepó hidroexpansivo,гигроскопичная пудраводонабухающая пудра,,"прах за спречавање продора воде , м јдпрах који бубри, м јд",svällpulver,阻水粉末
461-05-16,water blocking tape,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-16,شريط منتفخ لحجز المياةشريط حاجز للمياة,"Quellband, n",water blocking tapeswelling tape,cinta de estanquidad,kosteussulkunauhapaisuva nauha,"ruban d'étanchéité, mruban gonflant, m",nastro di tenuta,走水防止テープ,수방 테이프,усны хамгаалалтын туузтэлэгч тууз,svelleband,"taśma pęczniejąca, f",fita de estanquidadefita hidroexpansiva,гигроскопичная лентаводонабухающая лента,,"трака за спречавање продора воде, ж јдтрака која бубри , ж јд",svällband,阻水带
461-05-17,water blocking glue,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-17,غراء منتفخ لمنع المياةغراء حاجز للمياة,"Quellmasse, f",water blocking glueswelling glue,material de estanquidad,kosteussulkuliima,"matière d'étanchéité, f",colla di tenuta,走水防止コンパウンド,수방 접착제,усны хамгаалалтын цавуутэлэгч цавуу,vassblokkerande lim,"klej pęczniejący, m",material de estanquidade,гигроскопичный клей водонабухающий клей,,"лепак за спречавање продора воде, м јдлепак који бубри, м јд",vattenblockerande lim,阻水胶
461-05-18,multilayered sheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-18,غلاف متعدد الطبقات(أمريكاالشمالية)غلاف متعدد الطبقات,"mehrschichtiger Mantel, m",multilayered sheathmultilayered jacket (North America),cubierta multicapas,monikerrosvaippa,"gaine multicouche, f",guaina multistrato,多層シース,다층 시스,олон давхаргат бүрээс,fleirlagskappe,"powłoka wielowarstwowa, f",bainha multicamada,многослойная оболочка,,"вишеслојни плашт, м јд",flerskiktsmantel,多层护套
461-05-19,separation sheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-19,غلاف فاصل,"Trennmantel, m",separation sheath,cubierta de separación,erotusvaippa,"gaine de séparation, f",guaina di separazione,セパレーションシース,격리 시스,зааглагч бүрээс,separerande kappe,"powłoka rozdzielająca, f",bainha de separação,разделительная оболочка,,"сепарациони плашт, м јд",separerande skikt,隔离套
461-06-01,insulated cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-01,كابل معزول,"Kabel, nisolierte Leitung, f",insulated cable,cable (aislado),kaapeli,"câble (isolé), m",cavo (isolato),絶縁電線,졀연 케이블졀연 전선,тусгаарлагдсан кабель,kabel,"przewód izolowany, mkabel, m",cabo (isolado),изолированные кабели,kabel,"изоловани кабл , м јд",kabel,绝缘电缆
461-06-02,single-conductor cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-02,كابل أحادي الوجهكابل أحادي الموصل,"Einleiterkabel, neinadriges Kabel, n",single-conductor cablesingle-core cable,cable unipolar,yksijohdinkaapeli,"câble à un conducteur, mcâble unipolaire, m",cavo unipolare,単心ケーブル,단도체 케이블,дан дамжуулагчтай кабельдан судалтай кабель,einleiarkabel,"przewód izolowany jednożyłowy, mkabel jednożyłowy, m",cabo monocondutorcabo unipolar,одножильный кабель,enovodniški kabelenožilni kabel,"једножилни кабл, м јд",enledarkabel,单芯电缆
461-06-03,multiconductor cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-03,كابل متعدد الموصلات,"Mehrleiterkabel, n",multiconductor cable,cable multiconductor,monijohdinkaapeli,"câble multiconducteur, mcâble multipolaire, m",cavo a più conduttori,多心ケーブル,다도체 케이블다도체 전선,олон дамжуулагчтай кабель,fleirleiarkabel,"przewód izolowany wielożyłowy, mkabel wielożyłowy (1), m",cabo multicondutor,многожильный кабель,večvodniški kabel,"кабл са више проводника , м јд",flerledarkabel,多导体电缆
461-06-04,multicore cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-04,كابل متعدد القلوب,"mehradriges Kabel, n",multicore cable,cable multipolar,monijohdinkaapeli,"câble multiconducteur, mcâble multipolaire, m",cavo multipolare,多心ケーブル,다심 전선다심 케이블,олон судалтай кабель,fleirleiarkabel,"kabel wielożyłowy (2), mprzewód wielożyłowy, m",cabo multipolar,кабель с несколькими изолированными жилами,večžilni kabel,"вишежилни кабл, м јд",flerledarkabel,多芯电缆
461-06-05,flat (multicore) cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-05,كابل مسطح ( متعدد القلوب ),"Flachkabel, nFlachleitung, f",flat (multicore) cable,cable plano,litteä kaapeli,"câble méplat, m",cavo piatto (multipolare),平形多心ケーブル平形ケーブル,평 다심 케이블평 다심 전선,хавтгай олон судалтай кабель,flatkabel,"przewód (wielożyłowy) płaski, m",cabo achatado,плоский (многожильный) кабель,ploščati (večžilni) kabel,"пљоснати вишежилни кабл , м јд",flatkabel,扁多芯电缆扁电缆
461-06-06,collectively shielded cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-06,كابل بدرع مجمع,"Kabel mit gemeinsamem Schirm, n",collectively shielded cable,cable con pantalla colectiva,yhteisellä sähköisellä suojalla varustettu kaapeli,"câble à écran collectif, m",cavo multipolare a schermo unico,一括遮へいケーブル,집단 차폐 케이블집단 차폐 전선,битүү хуягласан кабель,fleirleiarkabel med felles skjerm,"kabel o wspólnym ekranie, m",cabo com blindagem comum,кабель с общим экраном,kabel s skupnim oklepom,"кабл са заједничким плаштом , м јд",skärmad kabel,统包屏蔽电缆
461-06-07,concentric neutral cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-07,كابل ذو موصل تعادل متحد المركز,"Kabel mit konzentrischem Neutralleiter, n",concentric neutral cable,cable con neutro concéntrico,konsentrisella nollajohtimella varustettu kaapeli,"câble à neutre périphérique, mcâble à neutre concentrique, m",cavo con neutro concentrico,中性線付きケーブル,동심 중성 케이블동심 중성 전선,ерөнхий төвтэй саармагийн кабель,kable med konsentrisk nøytralleiar,"kabel o żyle neutralnej współosiowej, m",cabo com neutro concêntrico,кабель с концентрической нейтралью,kabel s koncentričnim nevtralnim vodnikom,"концентрични неутрални кабл , м јд",kabel med koncentrisk ledare,同心中性线电缆
461-06-08,single-phase concentric neutral cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-08,كابل احادى الطور ذو موصل محايد مركزى,"einphasiges Kabel mit konzentrischem Neutralleiter, n",single-phase concentric neutral cable,cable monofásico con neutro concéntrico,konsentrisella nollajohtimella varustettu yksivaihekaapeli,"câble monophasé à neutre périphérique, m",cavo monofase con neutro concentrico,中性線付き単心ケーブル,단상 동심 중성 케이블단상 동심 중성 전선,нэг фазын ерөнхий төвтэй саармагийн кабель,einfasekabel med konsentrisk nøytralleiar,"kabel jednofazowy o żyle neutralnej współosiowej, m",cabo monofásico com neutro concêntrico,одножильный кабель с концентрической нейтральной жилой,enofazni kabel s koncentričnim nevtralnim vodnikom,"једнофазни концентрични неутрални кабл , м јд",enledarkabel med koncentrisk ledare,单相同心中性线电缆
461-06-09,three-phase concentric neutral cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-09,كابل ثلاثى الوجه ذو موصل تعادل مركزى,"dreiphasiges Kabel mit konzentrischem Neutralleiter, n",three-phase concentric neutral cable,cable trifásico con neutro concéntrico,konsentrisella nollajohtimella varustettu kolmivaihekaapeli,"câble triphasé à neutre périphérique, m",cavo trifase con neutro concentrico,中性線付き３心ケーブル,삼상 동심 중성 케이블삼상 동심 중성 전선,гурван фазын ерөнхий төвтэй саармагийн кабель,trefasekable med konsentrisk nøytralleiar,"kabel trójfazowy o żyle neutralnej współosiowej, m",cabo trifásico com neutro concêntrico,трехжильный кабель с концентрической нейтральной жилой,trifazni kabel s koncentričnim nevtralnim vodnikom,"трофазни концентрични неутрални кабл, м јд",treledarkabel med koncentrisk ledare,三相同心中性线电缆
461-06-10,split concentric cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-10,كابل متحد المركز مشقوق,"Kabel mit aufgeteiltem konzentrischen Leiter, n",split concentric cable,cable con conductor concéntrico segmentado,jaetulla konsentrisella johtimella varustettu kaapeli,"câble à conducteur périphérique segmenté, m",cavo con concentrico condiviso,同軸絶縁ケーブル,분할 동심 케이블분할 동심 전선,"ерөнхий төвтэй, хоёр утастай кабель",,"kabel o podzielonej żyle współosiowej, m",cabo com condutor concêntrico segmentado,расщепленный концентрический кабель,kabel z deljenim koncentričnim vodnikom,"кабл са раздвојеним неутралним концентричним проводником, м јд",delad koncentrisk kabel,分隔同心式电缆
461-06-11,belted cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-11,كابل محزم,"Gürtelkabel, n",belted cable,cable con cintura,vyöeristeinen kaapeli,"câble à ceinture, m",cavo con cintura isolante,ベルトケーブル,벨트 케이블벨트 전선,бүслүүрийн тусгаарлагчтай кабель,beltekable,"kabel o izolacji paskowej, m",cabo cintado,кабель с поясной изоляцией,pasasti kabel,"појасни кабл, м јд",mantelisolerad kabel,带绝缘电缆
461-06-12,individually screened cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-12,كابل ذو مجال شعاعيكابل ذو قلوب مغطاة بسواتر منفصلة,"Kabel mit einzeln geschirmten Adern, nKabel mit radialem Feld, n",individually screened cableradial field cable,cable de campo radial,yksittäissuojattu kaapeli,"câble à champ radial, m",cavo con anime singolarmente schermate / cavo a campo radiale,各心遮へいケーブル,개별 차폐 케이블방사상 현장 케이블개별 차폐 전선,бие даасан экрантай кабельцахилгаан орны хамгаалалттай кабель,individuelt skjerma kabel,"kabel indywidualnie ekranowany, m",cabo de campo radial,кабель с отдельно экранированными жиламикабель с радиальным электрическим полем,kabel z radialnim poljem,"кабл са појединачним екранима, м јдкабл са радијалним пољем, м јд",partskärmad kabel,分相屏蔽电缆径向电场电缆
461-06-13,separately lead-sheathed cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-13,كابل ذو غلاف رصاص منفصل لكل وجه,"Dreibleimantelkabel, n",separately lead-sheathed cableS.L. cable,cable tres plomos,yksittäisvaippakaapeli,"câble triplomb, m",cavo tribolare a tre guaine di piombo,ＳＬケーブル,분리납 시스 케이블분리납 시스 전선,хар тугалган бүрээстэй кабельS.L кабель,kabel med separate blykapper,"kabel z oddzielnie obołowionymi żyłami, m",cabo tri-chumbo,кабель с отдельно освинцованными жилами,kabel s tremi svinčenimi plašči,"кабл са засебним оловним плаштом , м јдSL кабл, м јд",partskärmad kabel med skärmar av bly,分相铅套电缆
461-06-14,flexible cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-14,كابل مرن,"flexibles Kabel, nflexible Leitung, f",flexible cable,cable flexible,taipuisa kaapeli,"câble souple, m",cavo flessibile,可とうケーブル,유연 케이블유연 전선,уян кабель,fleksibel kabel,"przewód giętki, mkabel giętki, m",cabo flexível,гибкий кабель,zvijavi kabelgibki kabel,"савитљиви кабл, м јд",flexibel kabel,软电缆
461-06-15,cord,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-15,كورد (كابل مرن صغير),"Schnur, f",cord,cordón,kevyt taipuisa kaapeli,"cordon, m",corda (cavo flessibile),コード,코드,залгуурын утас,apparatleidning,"przewód bardzo giętki, msznur, m",cordão,шнур,vrvica,"гајтански савитљиви кабл, м јд",sladd,软线
461-06-16,cord set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-16,مجموعة الكورد,"Geräteanschlussleitung, fkonfektionierte Leitung, f",cord set,cordón conector,kojeliitosjohto,"cordon-connecteur, m",cordone di collegamento,プラグまたはコネクター付きコード,코드 집합,залгуур,apparatleidning med påstøypt plugg,"przewód przyłączeniowy, msznur przyłączeniowy, m",cordão conector,шнур-соединитель,priključna vrvica,"прикључни савитљиви кабл, м јд",apparatsladdställ,成套软线成套线电线组件
461-06-17,cord extension set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-17,مجموعة أطالة الكورد,"Verlängerungsschnur, f",cord extension set,cordón prolongador,jatkojohto,"cordon prolongateur, m",cordone prolungatore,プラグまたはコネクター付き延長コード,코드 연장 집합,уртгасгагч залгуур,skøyteleidning,"przedłużacz, m",extensãocordão prolongadorcordão adaptador,шнур-удлинитель,(kabelski) podaljšek,"продужни савитљиви кабл , м јд",skarvsladdställ,延伸成套软线延伸成套线
461-06-18,earth electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-18,قطب أرضى(إلكترود)إلكترود أرضى (الولايات المتحدة الامريكية),"Erder, m",earth electrodeground electrode (USA),"electrodo de tierra, toma de tierra",maadoituselektrodi,"électrode de terre, fprise de terre, f",dispersore,接地電極接地極,접지 극,газардуулгын электрод,jordingselektrode,"uziom, melektroda uziemiająca, f",eléctrodo de terratomada de terra,заземляющий электрод (заземлитель),ozemljilo,"уземљивач , м јд",jordtag,接地电极恒电压充电恒压充电
461-06-19,earth conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-19,موصل أرضى (الولايات المتحدة الامريكية)موصل أرضى,"Erdungsleiter, m",earth conductorground conductor (USA),conductor de tierra,maadoitusjohdin,"conducteur de terre, m",conduttore di terra,接地線,접지 도체접지선,газардуулгын дамжуулагч,jordleiar,"przewód uziemiający, m",condutor de terra,заземляющий проводник,ozemljitveni vodnik,"проводник за уземљење , м јд",jordtagsledare,接地导体
461-06-20,uninsulated earth conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-06-20,موصل ارضى غير معزول (الولايات المتحدةالامريكية)موصل ارضى غير معزول,"Kabellängserder, mnicht isolierter Erdleiter, m",uninsulated earth conductoruninsulated ground conductor (USA),conducto de tierra no aislado,eristämätön maadoitusjohdin,"conducteur de terre non isolé, m",conduttore di terra non isolato,裸導体接地線,전극 비절연 접지 도체지중 케이블 배선 접지,газардуулгын тусгаарлагчгүй дамжуулагч,langsgåande nedgraven jordleiar,"przewód uziemiający nieizolowany, m",condutor de terra nucondutor de terra não isolado,"заземляющий проводник кабельной трассы, проложенной в земле",neizolirani ozemljitveni vodnik,"неизоловани проводник за уземљење, м јд",oisolerad jordtagsledaremarklina,裸接地导体
461-07-01,pressure cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-07-01,كابل ذو عزل مضغوط,"Druckkabel, n",pressure cable,cable presurizado,painekaapeli,"câble à pression, m",cavo a pressione,加圧ケーブル,압력 케이블압력 전선,даралтаар хөндийрүүлсэн кабель,trykksett kabel,"kabel ciśnieniowy, m",cabo com pressão,кабель давления,tlačni kabel,"кабл под притиском, м јд",tryckkabel,压力电缆
461-07-02,self-contained pressure cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-07-02,كابل ذو عزل مضغوط ذاتيا,"Manteldruckkabel, n",self-contained pressure cable,cable presurizado bajo cubierta metálica,omapaineinen painekaapelipaineistettu kaapeli,"câble à pression sous gaine métallique, m",cavo a pressione sotto guaina metallica,密封タイプ加圧ケーブル,내장 가압 케이블내장 가압 전선,даралтат кабель,oljetrykkskabel,"kabel ciśnieniowy w powłoce metalowej, m",cabo com pressão sob bainha metálica,кабель с центральным маслопроводящим каналом (кабель в собственной оболочке),plaščni tlačni kabel,"кабл са централним каналом за уље , м јд",tryckkabel,自容式压力电缆
461-07-03,pipe-type cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-07-03,كابل أنبوبي النوع,"Rohrdruckkabel, n",pipe-type cable,cable en tubo,putkipainekaapeli,"câble en tuyau, m",cavo tipo pipe (in tubazione di acciaio),パイプ形ケーブル,파이프형 케이블파이프형 전선,хоолой хэлбэрийн кабель,røyrkabel - papirisolert kabel for inntrekking i røyr,"kabel ciśnieniowy rurowy, m",cabo em tubo,кабель в трубопроводе,cevni (tlačni) kabel,"кабл у цеви , м јд",rörkabel,管式电缆
461-07-04,fluid-filled cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-07-04,كابل مملوء بالسائل (أمريكا الشمالية)كابل مملوء بالسائلكابل زيتي,"Ölkabel, n",fluid-filled cableliquid filled cable (North America)oil-filled cable,cable de aceite fluido,öljykaapeli,"câble à huile fluide, mcâble O.F., m",cavo ad olio,ＯＦケーブル,액체 충진 케이블액체 충진 전선,шингэн дүүргэгчтэй кабельуусмал дүүргэгчтэй кабельтосон дүүргэгчтэй кабель,oljekabel,"kabel ciśnieniowy olejowy w powłoce metalowej, m",cabo (de pressão) de fluidocabo (de pressão) de óleo fluido,маслонаполненный кабель,oljni tlačni kabel,"кабл пуњен флуидом, м јдкабл пуњен уљем , м јд",vätskefylld kabeloljekabel,充油电缆
461-07-05,fluid-filled pipe-type cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-07-05,كابل أنبوبى النوع مملوء بالسائلكابل زيتي من النوع الأنبوبيكابل من النوع الانبوبى المملوء بالسائل (امريكا الشمالية),"Öl-Rohrdruckkabel, nOilostatic-Kabel, n",fluid-filled pipe-type cableliquid-filled pipe-type cable  (deprecated) (North America)oil-filled pipe-type cable  (deprecated),cable de aceite fluido en tubo,öljytäytteinen putkipainekaapeli,"câble à huile fluide en tuyau, mcâble oléostatique, m",cavo ad olio tipo pipe (in tubazione di acciaio),ＰＯＦケーブル,액체 가스압 케이블액체 가스압 전선,шингэн дүүргэгчтэй хоолой хэлбэрийн кабель,oljefylt røyrkabel,"kabel ciśnieniowy olejowy rurowy, m",cabo (de pressão) de fluido em tubocabo (de pressão) de óleo fluido em tubo,маслонаполненный кабель в трубопроводе,oljni cevni (tlačni) kabel,"кабл пуњен флуидом у цеви, м јдкабл пуњен уљем у цеви , м јд",vätskefylld rörkabeloljefylld rörkabel,管式充油电缆
461-07-06,internal gas pressure cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-07-06,كابل مضغوط بغاز داخلي,"Gasinnendruckkabel, n",internal gas pressure cable,cable con presión interna de gas,sisäisen paineen kaasupainekaapeli,"câble à pression interne de gaz, m",cavo a pressione interna di gas,内部ガス圧ケーブル,내부 가스 압력 케이블내부 가스 압력 전선,дотоод хийн даралттай кабель,kabel med indre gasstrykk,"kabel gazowy o ciśnieniu wewnętrznym, m",cabo com pressão interna de gás,газонаполненный кабель внутреннего давления,plinski kabel z notranjim tlakom,"кабл са унутрашњим гасом под притиском, м јд",gaskabel,充气电缆
461-07-07,external gas pressure cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-07-07,كابل غازى مضغوط من الخارجكابل غازى مضغوط,"Gasaußendruckkabel, n",external gas pressure cablegas compression cable,cable con presión externa de gas,ulkoisen paineen kaasupainekaapeli,"câble à pression externe de gaz, m",cavo a pressione esterna di gas,外部ガス圧ケーブルガス圧ケーブル,외부 가스압 케이블외부 가스압 전선,гадаад хийн даралттай кабельхийн компенсацтай кабель,kabel med ytre gasstrykk,"kabel gazowy o ciśnieniu zewnętrznym, m",cabo com pressão externa de gás,газонаполненный кабель внешнего давления,plinski kabel z zunanjim tlakom,"кабл са спољашњим гасом под притиском, м јд",gaskabel,压气电缆
461-08-01,aerial (insulated) cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-08-01,كابل هوائي معزول,"isoliertes Luftkabel, nLuftkabel, n",aerial (insulated) cable,cable aéreo,riippukaapeli,"câble aérien (isolé), m",cavo aereo (isolato),架空絶縁ケーブル架空ケーブル,공중 절연 케이블공중 절연 전선,агаарын тусгаарлагатай кабель,hengjekabel,"przewód napowietrzny izolowany, m",cabo aéreo (isolado),кабель воздушной прокладки,nadzemni kabel,"надземни изоловани кабл  , м јд",hängkabel,架空绝缘电缆架空电缆
461-08-02,bundle assembled aerial cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-08-02,كابل هوائي مجمع كحزمة,"isolierte Freileitung, f",bundle assembled aerial cable,conductores aislados cableados en haz,riippukierrekaapeli,"conducteurs isolés assemblés en faisceau, m pl",cavo aereo riunito a fascio,集合一体型架空ケーブル,다발형 공중 케이블다발형 공중선,багцалсан агаарын кабель,tvinna hengjeleidning,"przewody napowietrzne skręcone w wiązkę, mprzewód samonośny, m",cabos aéreos em torçadacondutores isolados agrupados em feixe,воздушный кабель пучковой скрутки,snopasti nadzemni kabelkabelski snop,"надземни сноп кабл, м јд",hängspiralkabel,集束架空电缆
461-08-03,messenger,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-08-03,دعامة(شداد) حامل,"Tragorgan, n",messenger,fiador,kannatusköysikannatuslanka,"(câble) porteur, m",corda (o cavo) portante,メッセンジャ,지지선,кабелийн хэц,bereline,"element nośny, m",(cabo) tensor,несущий трос,nosilna vrvkabelski nosilec,"носач, м јд",bärlina,承力索
461-09-01,heating cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-01,كابل تسخين,"Heizleitung, f",heating cable,cable calefactor,lämmityskaapeli,"câble chauffant, m",cavo riscaldante,ヒーティングケーブル,전열 케이블가열 케이블전열 전선,халаалтын кабель,varmekabel,"przewód grzejny, m",cabo de aquecimento,нагревательный кабель,grelni kabel,"кабл за грејање, м јд",värmekabel,加热电缆
461-09-02,cold lead,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-02,كابل أو موصل معزول للتوصيل على الباردكابل / موصل غير ساخن,"kaltes Ende, n",cold leadcold tailnon-heating lead,conexión fría,kylmäjohto,"liaison froide, fconnexion froide, f",connessione fredda,ヒーティングケーブル用リード線,냉 도선,халдаггүй кабель,"kald tilkopling, kald ende","przewód przyłączeniowy zimny, m",ligação friaconexão fria,холодный конец кабеля,hladni priključek,"хладни довод , м јдхладни део , м јднезагревани довод , м јд",kall anslutning,不发热引线
461-09-03,control cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-03,كابل تحكم,"Steuerkabel, n",control cable,cable de control,ohjauskaapeli,"câble de commande, m",cavo di segnalamento e comando,制御ケーブル,제어 케이블제어 전선,"хяналт, удирдлагын кабель",signalkabel,"kabel sterowniczy, mprzewód sterowniczy, m",cabo de comando,контрольный кабель,krmilni kabel,"управљачки кабл , м јд",styrkabel,控制电缆
461-09-04,pilot cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-04,كابل اشارة,"Überwachungskabel, n",pilot cable,cable piloto,pilottikaapelivalvontakaapeli,"câble pilote, m",cavo pilota,パイロットケーブル,파일럿 케이블파일럿 전선,чиглүүлэгч кабель,styrekabel,"przewód pilotowy, m",cabo piloto,сигнальный кабель,signalni kabel,"пилот-кабл , м јд",signalkabel,导引电缆
461-09-05,measuring cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-05,كابل قياس,"Messkabel, n",measuring cableinstrument cable,"cable de medida, cable de instrumentación",mittauskaapeliinstrumentointikaapeli,"câble de mesure, mcâble d'instrumentation, m",cavo di misura / cavo di strumentazione,計装ケーブル,측정 케이블측정 전선,хэмжүүрийн кабель,målekabel,"kabel pomiarowy, mprzewód pomiarowy, m",cabo de mediçãocabo de instrumentação,измерительный кабель,merilni kabel,"мерни кабл , м јдкабл за инструменте, м јд",instrumentledning,仪表电缆
461-09-06,thermocouple extension cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-06,امتداد لمزدوجة حرارية,"thermisches Ausdehnungskabel, nThermoelementanschlusskabel, n",thermocouple extension cable,cable de extensión del termopar,termoelementin jatkokaapeli,"câble d'extension de couple thermoélectrique, m",cavo di estensione per coppie termoelettriche,補償導線,열전 연장 케이블열전 연장 전선,термопарын уртасгагч кабель,forlengingskabel for termoelement,"przewód łączeniowy termoelementu, m",cabo de extensão de par termoeléctrico,термопарный кабель,podaljševalni kabel termočlena,"продужни кабл термопара, м јд",termoelementförlängningskabel,热电偶延伸电缆
