term_id,term,term_url,ar,cs,de,en,fr,ja,ko,nl,pl,pt,zh
523-06-10,adhesive shear strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-10,,adhezní pevnost při střihu,"Scher-Haftfestigkeit, f",adhesive shear strength,"résistance d'adhérence au cisaillement, f",接合せん断強度,,"afschuifsterkte van de verlijming, f","wytrzymałość połączeń adheyjnych na ścinanie, f",resistência de aderência ao cisalhamento,粘接剪切强度
523-07-01,scanning probe microscope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-07-01,,rastrovací sondový mikroskopSPM,"Rastersondenmikroskop, nRSMSPM",scanning probe microscopeSPM,"microscope sonde à balayage, mSPM, m",走査プローブ顕微鏡SPM,,"scansonde microscoop, mSPM, m","mikroskop z sondą skanującą, mSPM",microscópio de sonda de varrimentoSPM,扫描探针显微镜SPM
523-07-02,atomic force microscope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-07-02,,mikroskop atomární sílyAFM,"Atomkraftmikroskop, nRasterkraftmikroskop, nAFM",atomic force microscopeAFM,"microscope à force atomique, mAFM, m",原子間力顕微鏡,,"atoomkrachtmicroscoop, mAFM, m","mikroskop wykorzystujący siły atomowe, mAFM",microscópio de força atómicaAFM,原子力显微镜AFM
523-07-03,spectroscopic ellipsometry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-07-03,,spektrální elipsometrie,"spektroskopische Ellipsometrie, f",spectroscopic ellipsometry,"ellipsométrie spectroscopique, f",分光エリプソメトリー,,"spectroscopische ellipsometrie, f","elipsometria spektroskopowa, f",elipsometria espectroscópica,椭圆偏振光检测法
523-07-04,"aspect ratio, <MEMS>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-07-04,"نسبة الأبعاد, <نظام كهرو ميكانيكى متناهى الصغر>","poměr výška/šířka, <MEMS>","Aspektverhältnis, <MEMS> n","aspect ratio, <MEMS>","rapport hauteur/largeur, <MEMS> m","アスペクト比, ＜MEMS＞","가로세로비, <멤스>종횡비","beeldverhouding, f","współczynnik kształtu, <MEMS> m","razão comprimento vertical-comprimento horizontal, <MEMS>","深宽比, <微机电装置>高宽比, <微机电装置>"
523-08-01,bio-MEMS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-01,,bioMEMSbiomedicínské MEMS,"Bio-MEMS, fBio-MST, fbiomedizinische MST, f",bio-MEMSbiomedical MEMS,"MEMS bio, mMEMS biomédical, m",バイオMEMS,,"bio-MEMS, n","bio-MEMS, m",MEMS bioMEMS biomedical,生物微机电系统
523-08-02,MOEMS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-02,,MOEMSmikrooptické elektromechanické systémy,"mikro-opto-elektromechanisches System, nMOEMS",MOEMSmicro-optical-electromechanical systems,"MOEMS, msystème microélectromécanique optique, m",光MEMS,,"MOEMS, nmicro-optisch elektromechanisch systeem, n","MOEMSmikroukład opto-elektromechaniczny, m",MOEMSsistema microeletromecânico óptico,微光机电系统MOEMS
523-08-03,power MEMS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-03,,výkonové MEMS,"Power-MEMS, f",power MEMS,"MEMS de puissance, m",パワーMEMS,,"vermogen-MEMS, n","zastosowanie techniki MEMS w dziedzinie wytwarzania i przetwarzania energii, n",MEMS de potência,微机电动力系统
523-08-04,energy harvesting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-04,,získávání energiezískávání výkonuodsávání energie,"Energie-Harvesting, nPower-Harvesting, nEnergie-Scavenging, n",energy harvestingpower harvestingenergy scavenging,"captage d'énergie, mcaptage de puissance, mrécupération d'énergie, f",エネルギーハーベスティングパワーハーベスティングエネルギースキャベンジング,,"energieopwekking, f","pozyskiwanie energii z otoczenia, n",captura de energiacaptura de potênciarecuperação de energia,能源采集
523-08-05,lab-on-a-chip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-05,,laboratoř na čipu,"Lab-on-Chip, nLab-on-a-Chip, nLOC",lab-on-a-chip,"dispositif de laboratoire sur puce, m",ラブオンチップ,,"lab-on-a-chip, m","laboratorium na chipie, n",laboratório num chip,片上实验室
523-08-06,micro TAS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-06,,mikroTAS,"Mikro-TAS, nm-TAS, n",micro TAS,"micro TAS, f",マイクロTAS,,"micro-TAS, n",mikro-TAS,microTAS,微全分析系统
523-08-07,microreactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-07,,mikroreaktor,"Mikroreaktor, m",microreactor,"microréacteur, m",マイクロリアクタ,,"microreactor, m","mikroreaktor, m",microrreator,微反应器
523-08-08,fibre endoscope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-08,,vláknový endoskop,"Glasfaser-Endoskop, nFiberendoskop, n",fibre endoscope,"endoscope fibre, m",ファイバー内視鏡,,"vezelendoscoop, m","endoskop światłowodowy, m",endoscópio de fibras ópticas,光纤内窥镜
523-08-09,bio-chip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-09,,biočip,"Bio-Chip, m",bio-chip,"biopuce, f",バイオチップ,,"bio-chip, m","biochip, mbio mikroukład, m",biochip,生物芯片
523-08-10,DNA chip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-10,,čip DNA,"DNA-Chip, m",DNA chip,"puce ADN, f",DNAチップ,,"DNA-chip, m","chip DNA, m",chip ADN,脱氧核糖核酸芯片
523-08-11,protein chip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-11,,proteinový čip,"Protein-Chip, m",protein chip,"puce à protéine, f",プロテインチップ,,"eiwitchip, m","mikroukład proteinowy, m",chip a proteinas,蛋白质芯片
523-08-12,polymerase chain reaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-08-12,,řetězová reakce polymerázyPCR,"Polymerase-Kettenreaktion, fPCR",polymerase chain reactionPCR,"réaction en chaîne par polymérase, fPCR, f","ポリメラーゼ連鎖反応, <微小電気機械デバイス>",,"polymerase kettingreactie, fPCR, f","reakcja łańcuchowa polimerazy, fPCR",reação em cadeia pela polimerasePCR,聚合酶链式反应PCR
