term_id,term,term_url,ar,cs,de,en,es,fr,ja,ko,mn,nl,no,pl,pt,sv,zh
195-02-38,conductive screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-38,شبكة موصلة,elektrické stínění,"leitfähiger Schirm, m","conductive screenconductive shield, US","pantalla conductora, f","écran conducteur, m",導電遮へい体,도전 차폐기,дамжуулах экран,"geleidend scherm, n",ledende skjerm,"ekran przewodzący, m",ecrã condutor,ledande skärm,可导电屏蔽体
195-02-39,magnetic screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-39,شبكة مغناطيسية,magnetické stínění,"magnetischer Schirm, m",magnetic screen,"pantalla magnética, f","écran magnétique, m",磁気遮へい体,자기 차폐기,соронзон экран,"magnetisch scherm, n",magnetisk skjerm,"ekran magnetyczny, m",ecrã magnético,magnetisk skärm,磁屏蔽体
195-02-40,electromagnetic screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-40,شبكة كهرومغناطيسية,elektromagnetické stínění,"elektromagnetischer Schirm, m",electromagnetic screen,"pantalla electromagnética, f","écran électromagnétique, m",電磁遮へい体,전자기 차폐기,цахилгаан соронзон экран,"elektromagnetisch scherm, n",elektromagnetisk skjerm,"ekran elektromagnetyczny, m",ecrã eletromagnético,elektromagnetisk skärm,电磁屏蔽体
195-02-41,functional insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-41,عزل وظيفى,pracovní izolace,"Funktionsisolierung, f",functional insulation,"aislamiento funcional, m","isolation fonctionnelle, f",機能絶縁,기능 절연,тусгай зориулалтын тусгаарлага,"functionele isolatie, f",funksjonsisolasjon,"izolacja funkcjonalna, f",isolação funcional,funktionsisolering,功能性绝缘
195-02-42,protective bonding terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-42,طرف رباط وقائى متساوى الجهدطرف نظام رباط حماية متساوى الجهد,svorka ochranného pospojování,"Schutzpotentialanschlussklemme, f",protective bonding terminal,"borne de conexión de protección, m","borne d’équipotentialité de protection, f",保護等電位ボンディング端子,보호 본딩 단자,хамгаалалтын холболтын гаргалга,"beschermingspotentiaalvereffeningsklem, f",utjevningsforbindelsesklemme for beskyttelsesformål,"zacisk połączenia ochronnego, m",terminal de equipotencialidade de proteção,skyddsutjämningsklämma,保护联结端子
195-02-43,protective terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-43,طرف وقائى لمعدةطرف حماية لمعدة,ochranná svorka,"Schutzleiterklemme, f",protective terminal,"borne de protección, m","borne de protection, f",保護用端子,보호 단자,хамгаалалтын гаргалга,"beschermingsgeleiderklem, f",klemme for beskyttelsesformål,"zacisk ochronny, m",terminal de proteção,skyddsledarklämma,保护端子
195-03-01,electric burn,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-01,حرق كهربي,popálení elektrickým proudem,"elektrische Verbrennung, f",electric burn,"quemadura eléctrica, f","brûlure électrique, f",電気熱傷,전기 화상,цахилгаан гүйдэлд түлэгдэх,"elektrische brandwonde, f",elektrisk forbrenning,"oparzenie elektryczne, n",queimadura elétrica,elektrisk brännskada,电灼伤
195-03-02,electrical tetanization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-02,تشنج نتيجة تحفيز كهربي,strnutí těla způsobené elektrickým proudem,"elektrische Tetanisierung, f",electrical tetanization,"tetanización eléctrica, f","tétanisation électrique, f",電気による筋収縮,전기 강직 유발,"булчингийн агшилт, <цахилгааны>","elektrische tetanisatie, felektrische spierverkramping, f",elektrisk tetanisering (muskelkrampe),"tetanizacja elektryczna, fskurcz elektryczny, m",tetanização elétrica,muskelkramptetanisering,电击痉挛
195-03-03,fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-03,إختلاج عضليإنقباض عضلى,fibrilace,"Fibrillation, fFlimmern, n",fibrillation,"fibrilación, f","fibrillation, f",細動,세동,чичиргээ,"fibrillatie, f",fibrillasjon (flimmer),"migotanie, nfibrylacja, f",fibrilhação,fibrillation,纤维性颤动
195-03-04,cardiac fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-04,إختلاج قلبىإنقباض قلبى,fibrilace srdečního svalu,"Herzflimmern, n",cardiac fibrillation,"fibrilación cardiaca, f","fibrillation cardiaque, f",心臓細動,심장 세동,зүрхний чичиргээ,"hartfibrillatie, f",hjerteflimmer,"migotanie serca, nfibrylacja serca, f",fibrilhação cardíaca,hjärtflimmer,心脏纤维性颤动
195-03-05,"ventricular fibrillation, <protection against electric shock>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-05,إختلاج بطينىإنقباض بطينى,"ventrikulární fibrilace, <ochrana před úrazem elektrickým proudem>","Herzkammerflimmern, <Schutz gegen elektrischen Schlag> n","ventricular fibrillation, <protection against electric shock>","fibrilación ventricular, f","fibrillation ventriculaire, <protection contre les chocs électriques> f",心室細動,심실 세동,зүрхний ховдлын чичиргээ,"hartkamerfibrillatie, fventrikelfibrillatie, f","ventrikkelflimmer (hjertekammerflimmer), <beskyttelse mot elektrisk sjokk>","migotanie komór, nfibrylacja komór, f","fibrilhação ventricular, <proteção contra os choques elétricos>",ventrikelflimmer,心室纤维性颤动
195-03-06,electrocution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-06,صعق بالتيار الكهربىصعق كهربى,smrt elektrickým proudem,"tödlicher elektrischer Schlag, m",electrocution,"electrocución, f","électrocution, f",感電死,감전사,цахилгаан гүйдэлд нэрвэгдсэнээс амь нас хохирох,"elektrocutie, f",dødelig elektrisk sjokk,"porażenie elektryczne, n",eletrocussão,dödande elchock,电击致死
195-03-07,perception-threshold-current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-07,حد تيار بدء الادراك,práh vnímání proudu,"Wahrnehmungs-Schwellenstrom, m",perception-threshold-current,"umbral de percepción de corriente, f","seuil de perception du courant, m",感知電流知覚閾値電流,감지 임계 전류,мэдрэх гүйдлийн босго,"stroomwaarnemingsdrempel, mwaarnemingsstroomgrens, f",følbar terskelstrøm,"prąd progu percepcji, m",limiar de perceção da corrente,minsta förnimbara ström,感知电流阈值
195-03-08,tetanization threshold current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-08,حد تيار بدء التشنج,práh proudu pro strnutí těla,"Tetanisierungs-Schwellenstrom, m",tetanization threshold current,"umbral de tetanización, f","seuil de tétanisation, m",筋肉硬直電流,강직 유발 임계 전류,зуурах гүйдлийн босго,"tetanisatiedrempel (stroom), mspierverkrampingsstroomgrens, f",terskelstrøm for tetanisering,"prąd progu tetanizacji, m",limiar de tetanização,tetaniseringströskel,痉挛电流阈值
195-03-09,let-go threshold current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-09,حد تيار الاعتاق,mez uvolněnípráh odpoutání,"Loslass-Schwellenstrom, m",let-go threshold current,"umbral de corriente de separación, mumbral de no liberación, mlímite de liberación, m","limite de lâcher, fseuil de non-lâcher, m",離脱限界電流,이탈 임계 전류,чөлөөлөх гүйдлийн босго,"loslaatdrempel (stroom), mloslaatstroomgrens, f",slippeterskelsstrøm,"prąd progu samouwolnienia, m",limite de largarlimiar de não largar,släppström,摆脱电流阈值
195-03-10,threshold of ventricular fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-03-10,حد تيار بدءالانقباض البطيني,práh ventrikulární fibrilacepráh proudu pro ventrikulární fibrilaci,"Herzkammerflimmern-Schwellenstrom, m",threshold of ventricular fibrillationventricular fibrillation threshold current,"umbral de fibrilación ventricular, m","seuil de fibrillation ventriculaire, m",心室細動限界電流,심실 세동 임계값,зүрхний ховдлын чичиргээний босго,"hartkamerfibrillatiedrempel (stroom), mhartkamerfibrillatiestroomgrens, f",terskel for ventrikkelflimmer,"próg migotania komór, mpróg fibrylacji komór, m",limiar de fibrilhação ventricular,ventrikelflimmertröskel,心室纤维性颤动电流阈值
195-04-01,skilled person,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-01,شخص ماهر,znalá osobaznalá osoba v elektrotechnice,"Elektrofachkraft, f",skilled personelectrically skilled person,"operario cualificado, mpersona cualificada, f","personne qualifiée, fpersonne qualifiée en électricité, f",熟練者,전기 숙련자,цахилгааны мэргэжилтэй хүн,"elektrisch vakbekwaam persoon, m",sakkyndig person,"osoba wykwalifikowana, f",pessoa qualificadapessoa qualificada em eletricidade,fackkunnig person,熟练电气技术人员
195-04-02,instructed person,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-02,شخص تحت التوجيه,poučená osobapoučená osoba v elektrotechnice,"elektrotechnisch unterwiesene Person, finstruierte Person, f CH",instructed personelectrically instructed person,"operario formado, mpersona instruida, f","personne avertie, fpersonne avertie en électricité, f",技能者,전기 기능자,цахилгааны зааварчилгаа авсан хүн,"elektrisch gewaarschuwd persoon, m",instruert person,"osoba poinstruowana, f",pessoa avisadapessoa avisada em eletricidade,instruerad person,受过培训的电气人员
195-04-03,ordinary person,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-03,شخص عادى,laik,"Laie, m",ordinary person,"persona común, f","personne ordinaire, f",一般人,일반인,мэргэжлийн бус хүн,"gewoon persoon, mleek, m",ikke-sakkyndig person (ukyndig person),"osoba postronna, f",pessoa comum,ordinär person,一般人员
195-04-04,restricted access area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-04,منطقة مقيدة الوصول,prostor s omezeným přístupem,"Bereich mit eingeschränkter Zugangsberechtigung, m",restricted access area,"zona de acceso limitado, f","zone d’accès limité, f",立入禁止区域,접근 제한 구역,хязгаарлагдмал нэвтрэх боломжтой бүс,"ruimte met beperkte toegang, f",adgangsbegrenset område,"strefa ograniczonego dostępu, f",zona de acesso restrito,driftrum,限制进入区域
195-04-05,neutral point treatment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-05,طريقة توصيل نقطة التعادل بالأرض,připojení nulového bodu,"Neutralpunktbehandlung, f",neutral point treatment,"conexión del neutro, frégimen del neutro, m","régime de neutre, m",中性点接続,중성점 접속,саармаг цэгийн горим,"nulpuntsregime, n",nøytralpunktsbehandling,"stan punktu neutralnego, m",regime de neutro,neutralpunktsjordning,中性点接地方式
195-04-06,solidly earthed system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-06,نظام تأريض مباشر,účinně uzemněná síť,"starr geerdetes Netz, n","solidly earthed systemsolidly grounded system, US","red puesta rígidamente a tierra, f","réseau directement à la terre, m",直接接地系統,중성점 직접 접지 계통,гүн газардуулсан саармаг цэгтэй систем,"net met directe nulpuntsaarding, n",direktejordet system,"układ skutecznie uziemiony, m",rede de neutro à terra,direktjordat system,中性点直接接地系统
195-04-07,isolated system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-07,نظام معزول,izolovaná síť,"isoliertes Netz, n",isolated system,"red aislada, f","réseau isolé, m",非接地系統,비접지 계통,тусгаарлагдсан саармаг цэгтэй систем,"net met geïsoleerd nulpunt, n",isolert system,"układ izolowany, m",rede isolada,isolerat system,中性点不接地系统
195-04-08,impedance earthed system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-08,نظام تأريض بمعاوقة,síť uzemněná přes impedanci,"über eine Impedanz geerdetes Netz, n","impedance earthed systemimpedance grounded system, US","red con puesta a tierra por impedancia, fred con puesta a tierra impedante, f","réseau de terre impédant, m",抵抗接地系統,임피던스 접지 계통,бүрэн эсэргүүцлээр газардуулсан саармаг цэгтэй систем,"net met impedante nulpuntsaarding, n",impedansjordet system,"układ impedancyjnie uziemiony, m",rede à terra impedante,impedansjordat system,中性点阻抗接地系统
195-04-09,resonant earthed system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-09,نظام تأريض رنان,kompenzovaná síť,"Netz mit Erdschlusskompensation, ngelöschtes Netz, n","resonant earthed systemresonant grounded system, US","red con puesta a tierra resonante, f","réseau de terre compensé par bobine d’extinction, m",共振接地系統,공진 접지 계통,"тэгшитгэсэн саармаг цэгтэй систем, цахилгаан нум унтраах ороомгоор газардуулсан саармаг цэгтэй систем","net met aardfoutcompensatie, n",resonansjordet system (spolejordet system),"układ skompensowany, m",rede à terra compensada por bobina de extinção,spoljordat system,中性点消弧线圈接地系统
195-04-10,automatic disconnection of supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-10,فصل آلى للمصدر,automatické odpojení od zdrojesamočinné odpojení od zdroje,"automatische Abschaltung der Stromversorgung, fautomatische Ausschaltung der Stromversorgung, f AT",automatic disconnection of supply,"corte automático de la alimentación, m","coupure automatique de l’alimentation, f",自動電源遮断,전원 자동 차단,цахилгаан хангамжийг автоматаар таслах,"automatische onderbreking van de voeding, f",automatisk utkobling av strømtilførsel,"samoczynne wyłączenie zasilania, n",corte automático da alimentação,automatisk frånkoppling av matning,自动切断电源
195-04-11,short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-11,دائرة قصر,zkratstav nakrátko,"Kurzschluss, m",short-circuit,"cortocircuito, m","court-circuit, m",短絡,단락 회로,богино залгаа,"kortsluiting, f",kortslutning,"zwarcie, n",curto-circuito,kortslutning,短路
195-04-12,line-to-earth short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-12,قصر خط مع الارض,zemní zkrat,"Kurzschluss zwischen Außenleiter und Erde, m",line-to-earth short-circuit,"cortocircuito fase-tierra, m","court-circuit phase-terre, m",一線地絡,지락 회로,нэг фазын богино залгаа,"kortsluiting tussen lijngeleider en aarde, fkortsluiting tussen de fasegeleider en aarde (in AC), f",jordslutning,"zwarcie fazy z ziemią, n",curto-circuito fase-terra,jordslutning,线对地短路
195-04-14,earth fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-14,خطأ أرضىعطل أرضى,zemní spojení,"Erdschluss, m","earth faultground fault, US","fallo a tierra, mdefecto a tierra, m","défaut à la terre, m",地絡故障,접지 고장지락 사고접지 결함,газардлага гарах,"aardfout, f",jordfeil,"zwarcie doziemne, n",defeito à terra,jordfel,接地故障
195-04-15,conductor continuity fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-15,خطأ فتح الدائرةخطأ استمرارية للموصل,porušení spojitosti vodiče,"Leiterunterbrechung, f",conductor continuity faultopen circuit fault,"fallo de continuidad de un conductor, mdefecto de continuidad de un conductor, m","défaut série, mdéfaut de continuité d’un conducteur, m",導通故障,도체 연속 결함,"хэлхээ тасрах гэмтэл, <дамжуулагчийн>","geleideronderbreking, f",lederbrudd,"utrata ciągłości galwanicznej przewodu, f",defeito de continuidade de um condutordefeito série,ledaravbrott,开路故障
195-04-16,line-to-line short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-04-16,قصر خط مع خط,zkrat mezi vodiči vedení,"Kurzschluss zwischen Außenleitern, m",line-to-line short-circuit,"cortocircuito entre fases, m","court-circuit entre phases, m",線間短絡,선간 단락 회로,хоёр фазын богино залгаа,"kortsluiting tussen lijngeleiders, fkortsluiting tussen fasegeleiders (in AC), f",flerpolet kortslutning,"zwarcie międzyprzewodowe, n",curto-circuito entre fases,flerfasig kortslutning,线间短路
195-05-01,line-to-line voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-01,الجهد بين خط وخطجهد الخط,sdružené napětínapětí mezi vodiči vedení,"Spannung Außenleiter - Außenleiter, fAußenleiterspannung, f",line-to-line voltage,"tensión entre fases, f","tension entre phases, f",線間電圧,선 전압선간 전압,шугамын хүчдэл,"spanning tussen lijngeleiders, flijnspanning, f",linjespenning,"napięcie międzyprzewodowe, n",tensão entre fasestensão composta,huvudspänning,线间电压
195-05-02,line-to-neutral voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-02,الجهد بين الخط و نقطة التعادلجهد الوجه,napětí mezi vodičem vedení a nulovým vodičem,"Spannung Außenleiter - Neutralleiter, f",line-to-neutral voltage,"tensión fase-neutro, ftensión simple, f","tension phase-neutre, f",相電圧,상 전압,саармаг цэгийн хүчдэл,"spanning tussen lijngeleider en nulgeleider, ffasespanning, f",fasespenning,"napięcie fazowe, n",tensão fase-neutrotensão simples,fasspänning,相电压
195-05-03,line-to-earth voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-03,الجهد بين الخط و الارض,napětí vodiče vedení proti zemi,"Spannung Außenleiter - Erde, f","line-to-earth voltageline-to-ground voltage, US","tensión fase-tierra, f","tension phase-terre, f",対地電圧,절대 상 전압,фазын хүчдэл,"spanning tussen lijngeleider en aarde, f",spenning mellom fase og jord,"napięcie względem ziemi, n",tensão fase-terra,spänning till jord,线对地电压
195-05-04,neutral-point displacement voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-04,جهد نقطة التعادل,napětí nulového bodu,"Neutralpunkt-Verlagerungsspannung, f",neutral-point displacement voltage,"tensión de desplazamiento del punto neutro, f","tension de déplacement du point neutre, f",中性点移動電圧,중성점 변위 전압,саармаг цэгийн шилжилтийн хүчдэл,"nulpuntsverschuiving, f",nøytralpunktsspenning mot jord,"napięcie przesunięcia punktu neutralnego, n",tensão de deslocamento do ponto neutro,neutralpunktsspänning,中性点位移电压
195-05-05,voltage to earth during a short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-05,الجهد بين نقطة و الأرض أثناء قصرالدائرة,napětí proti zemi při zkratu,"Spannung gegen Erde bei Kurzschluss, f","voltage to earth during a short-circuitvoltage to ground during a short-circuit, US","tensión de cortocircuito a tierra, f","tension de court-circuit à la terre, f",短絡時対地電圧,단락 시 전압,богино залгааны үеийн газартай харьцуулсан хүчдэл,"spanning ten opzichte van de aarde bij een kortsluiting, f",spenning til jord ved en kortslutning,"napięcie względem ziemi podczas zwarcia, n",tensão de curto-circuito à terra,kortslutningsspänning till jord,短路时对地电压
195-05-06,voltage to earth during an earth fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-06,الجهد بين نقطة و الأرض أثناء خطأ أرضى,napětí proti zemi při zemním spojení,"Spannung gegen Erde bei Erdschluss, f","voltage to earth during an earth faultvoltage to ground during a ground fault, US","tensión de fallo a tierra, <puesta a tierra> ftensión de defecto a tierra, f","tension de défaut à la terre, f",地絡時対地電圧,지락 고장 시 전압,газардлагын үеийн газартай харьцуулсан хүчдэл,"spanning ten opzichte van de aarde bij een aardfout, f",spenning til jord ved en jordfeil,"napięcie względem ziemi odniesienia podczas zwarcia, n",tensão de defeito à terra,jordfelsspänning,接地故障时对地电压
195-05-07,"earthing-conductor voltage, <to earth>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-07,"جهد موصل التأريض, <للارض>جهد موصل الأرضى","napětí uzemňovacího přívodu, <proti zemi>","Erdungsleiterspannung, <zur Erde> n","earthing-conductor voltage, <to earth>grounding-conductor voltage, <to ground> US","tensión del conductor a tierra, <puesta a tierra> m","potentiel du conducteur de terre, <mettre à la terre> mpotentiel du conducteur de mise à la terre, m","接地導体電圧, <接地>","접지 도체 전압, <접지>","газардуулгын дамжуулагчийн хүчдэл, <газарт харьцуулсан>","spanning van de aardgeleider ten opzichte van de referentie-aarde, faardgeleiderspanning, f",jordingslederspenning (mot jord),"napięcie przewodu uziemiającego, <względem ziemi odniesienia> n","potencial do condutor à terra, <em relação à terra>","jordningsledarspänning, <till jord>",接地导体对地电压
195-05-08,"earth-surface voltage, <to earth>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-08,"الجهد بين نقطة على سطح الأرض والارض, <للارض>","napětí zemského povrchu, <proti zemi>","Erdoberflächenspannung, <zur Erde> n","earth-surface voltage, <to earth>ground-surface voltage, <to ground> US","tensión del suelo respecto a tierra, <puesta a tierra> m","potentiel du sol, <par rapport à la terre> m","接地面電圧, <接地>","지표면 전압, <접지>","газрын гадаргын хүчдэл, <газарт харьцуулсан>","spanning van het aardoppervlak ten opzichte van de referentie-aarde, f",jordoverflatespenning (mot jord),"napięcie powierzchni ziemi, <względem ziemi odniesienia> n","potencial do solo, <em relação à terra>",markpotential till jord,地面对地电压
195-05-09,prospective touch voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-09,جهد اللمس المتوقع,předpokládané dotykové napětí,"unbeeinflusste Berührungsspannung, f",prospective touch voltage,"tensión de contacto prevista, f","tension de contact présumée, ftension de toucher présumée, f",推定接触電圧,예상 접촉 전압예측 접촉 전압,болзошгүй хүрэх хүчдэл,"te verwachten contactspanning, f",forventet berøringsspenning,"napięcie dotykowe spodziewane, n",tensão de contacto presumida,förväntad beröringsspänning,预期接触电压
195-05-10,conventional touch voltage limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-10,الحد الاعتيادى لجهد اللمس,dovolená mez dotykového napětí,"vereinbarter Grenzwert der unbeeinflussten Berührungsspannung, m",conventional touch voltage limit,"tensión límite convencional de contacto, f","tension limite conventionnelle de contact, ftension limite conventionnelle de toucher, f",接触電圧限界,규약 접촉 전압 한계,хүрэх хүчдэлийн зөвшөөрөгдөх утга,"conventionele contactspanningsgrens, f",tillatt varig forventet berøringsspenning,"napięcie dotykowe graniczne umowne, n",tensão limite convencional de contacto,villkorad beröringsspänning,约定接触电压限值
195-05-11,"touch voltage, <effective>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-11,"جهد اللمس, <فعال>","dotykové napětí, <skutečné>","Berührungsspannung, f","touch voltage, <effective>","tensión de contacto, <tensión efectiva> f","tension de contact, <effective> f","接触電圧, <実効>","접촉 전압, <유효>",нөлөө үзүүлдэг хүрэх хүчдэл,"contactspanning, f","berøringsspenning, <effektiv>","napięcie dotykowe, <rzeczywiste> n","tensão de contacto, <efetiva>",beröringsspänning,"接触电压, <有效的>"
195-05-12,step voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-12,جهد الخطوة,krokové napětí,"Schrittspannung, f",step voltage,"tensión de paso, f","tension de pas, f",歩幅電圧,보폭 전압,алхмын хүчдэл,"stapspanning, fschredespanning, f",skrittspenning,"napięcie krokowe, n",tensão de passo,stegspänning,跨步电压
195-05-13,signal-touch-potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-13,جهد اللمس بالإشارة,signalizační dotykové napětí,"Signal-Berührungspotential, n",signal-touch-potential,"potencial de contacto de señalización, m","potentiel de contact, m",信号用接触部電位,의도적 접촉 전위,зөвшөөрөгдөх хүрэх хүчдэлийн потенциал,"aanraakpotentiaal, mcontactpotentiaal, m",berøringspotensial for utløsning av signal,"potencjał dotykowy urządzeń sygnałowych, m",potencial de contacto de sinal,signalberöringsspänning,信号接触电位
195-05-14,earth fault factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-14,معامل الخطأ الأرضىمعامل العطل الأرضى,koeficient zemního spojení,"Erdschlussfaktor, m","earth fault factorground fault factor, US","coeficiente de fallo a tierra, mcoeficiente de defecto a tierra, m","facteur de court-circuit à la terre, m",接地係数,접지 고장율,газардлагын гэмтлийн коэффициент,"aardfoutfactor, m",jordfeilfaktor,"współczynnik zwarcia doziemnego, m",fator de curto-circuito à terra,jordfelsfaktor,接地故障因数
195-05-15,leakage current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-15,تيار التسرب,unikající proud,"Ableitstrom, m",leakage current,"corriente de fuga, f","courant de fuite, m",漏えい電流,누설 전류,нэвчих гүйдэл,"lekstroom, m",lekkstrøm,"prąd upływowy, m",corrente de fuga,läckström,泄漏电流
195-05-16,"stray current, <in electrical installations and equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-16,تيارشارد,"bludný proud, <v elektrických instalacích a zařízeních>","Streustrom, <in elektrischen Anlagen und Betriebsmitteln> m","stray current, <in electrical installations and equipment>","corriente vagabunda, f","courant vagabond, <en installations et matériels électriques> m",迷走電流,표유 전류,тэнэмэл гүйдэл,"zwerfstroom, m","vagabonderende strøm, <i elektriske installasjoner og utstyr>","prąd błądzący, m","corrente vagabunda, <em instalações e equipamentos elétricos>",vagabonderande ström,杂散电流
195-05-17,partial short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-17,تيار قصرالدائرة الجزئى,dílčí zkratový proud,"Teilkurzschlussstrom, m",partial short-circuit current,"corriente parcial de cortocircuito, f","courant partiel de court-circuit, m",部分的短絡電流,부분 단락 전류,хэсэгчилсэн богино залгааны гүйдэл,"partiële kortsluitstroom, m",delvis kortslutningsstrøm,"prąd zwarciowy częściowy, m",corrente parcial de curto-circuito,partiell kortslutningsström,部分短路电流
195-05-18,short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-18,تيار قصرالدائرة,zkratový proud,"Kurzschlussstrom, m",short-circuit current,"corriente de cortocircuito, f","courant de court-circuit, m",短絡電流,단락 전류,богино залгааны гүйдэл,"kortsluitstroom, m",kortslutningsstrøm,"prąd zwarciowy, m",corrente de curto-circuito,kortslutningsström,短路电流
195-05-19,partial conductor continuity fault current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-19,تيار جزئي خطأ فتح الدائرة,dílčí poruchový proud při přerušení vodiče,"Teilstrom bei Leiterunterbrechung, m",partial conductor continuity fault current,"corriente parcial de fallo de continuidad, f","courant partiel de défaut série, m",部分的導体連続故障電流,부분 도체 연속 고장 전류,дамжуулагчийн хэлхээ тасрах гэмтлийн үеийн гүйдлийн хэсэг,"partiële stroom bij geleideronderbreking, m",delvis lederbruddstrøm,"prąd zwarcia przy częściowej ciągłości przewodu, m",corrente parcial de defeito de continuidade,partiell felström,部分导体持续故障电流
195-05-20,conductor continuity fault current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-20,تيار خطأ فتح الدائرة,poruchový proud při přerušení vodiče,"Strom bei Leiterunterbrechung, m",conductor continuity fault current,"corriente de fallo de continuidad, fcorriente de defecto de continuidad, f","courant de défaut série, m",導体連続故障電流,도체 연속 고장 전류,дамжуулагчийн хэлхээ тасрах гэмтлийн үеийн гүйдэл,"stroom bij geleideronderbreking, m",lederbruddstrøm,"prąd zwarcia przy ciągłości przewodu, m",corrente de defeito de continuidade,ström i felställe,导体持续故障电流
195-05-21,touch current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-21,تيار اللمس,dotykový proud,"Berührungsstrom, m",touch current,"corriente de contacto, f","courant de contact, m",接触電流,접촉 전류,хүрэх гүйдэл,"contactstroom, m",berøringsstrøm,"prąd dotykowy, mprąd rażeniowy, m",corrente de contacto,beröringsström,接触电流
195-05-22,protective conductor current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-22,تيار موصل وقائى,proud ochranného vodiče,"Schutzleiterstrom, m",protective conductor current,"corriente del conductor de protección, f","courant dans le conducteur de protection, m",保護導体電流,보호 도체 전류,хамгаалалтын дамжуулагчийн гүйдэл,"beschermingsgeleiderstroom, m",strøm i beskyttelsesleder,"prąd przewodu ochronnego, m",corrente no condutor de proteção,skyddsledarström,保护导体电流
195-05-23,earth fault current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-23,تيار خطأ أرضى,zemní poruchový proud,"Erdfehlerstrom, m","earth fault currentground fault current, US","corriente de fallo a tierra, fcorriente de defecto a tierra, f","courant de défaut à la terre, m",地絡電流,지락 고장 전류,газардлагын гүйдэл,"aardfoutstrooom, m",jordfeilstrøm,"prąd zwarcia doziemnego, m",corrente de defeito à terra,jordfelsström,接地故障电流
