term_id,term,term_url,cs,de,en,fi,fr,ja,ko,pl,pt,zh
581-23-40,reusable insulation displacement termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-40,samořezná svorka pro opakované použití,"wiederverwendbare Schneidklemme, f",reusable insulation displacement termination,uudelleen käytettävä eristyksen syrjäyttävä kosketin,"contact pour connexion autodénudante réutilisable, m",再使用可能IDターミネーション,재사용 절연 변위 마감,zakończenie do połączenia zakleszczanego wielokrotnego użycia,terminação de conexão autodesnudante reutilizável,可重复使用的绝缘位移接端
581-23-41,non-reusable insulation displacement termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-41,samořezná svorka pro jedno použití,"nicht wiederverwendbare Schneidklemme, f",non-reusable insulation displacement termination,kertakäyttöinen eristyksen syrjäyttävä kosketin,"contact pour connexion autodénudante non-réutilisable, m",再使用不可能IDターミネーション,비재사용 절연 변위 마감,zakończenie do połączenia zakleszczanego jednokrotnego użycia,terminação de conexão autodesnudante não-reutilizável,不可重复使用的绝缘位移接端
581-23-42,hoop stress,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-42,obvodové napětí,"Wickelspannung, f",hoop stress,kiertojännitys,"contrainte de frettage, f",フープストレス,원주 응력,naprężenie obwodowe,aperto por aro,环应力
581-23-43,press-in zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-43,zóna pro zalisování,"Einpressbereich, m",press-in zone,ahtoalue,"zone d'insertion à force, f",プレスイン領域,압입 구역,strefa wtłaczania,zona de inserção forçada,压入区域
581-23-44,insulation piercing zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-44,zóna propichování izolace,"Durchdringbereich, m",insulation piercing zone,eristyksen lävistysalue,"zone de percement d'isolant, f",インシュレーションピアシング領域,절연 관통 구역,strefa nakłuwania izolacji,zona de perfuração da isolação,绝缘刺破区域
581-23-45,end tail,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-45,koncový ocásek,"Endstück, n",end tail,häntälanka,"extrémité de l'enroulement, f",エンドテール,종단 끝엔드테일,zakończenie owinięcia,extremidade do enrolamento,尾端
581-23-46,stripping force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-46,stahovací síla,"Abzugskraft, f",stripping force,kuorintavoima,"force d'arrachement, f",ストリッピングフォース,박리력,siła ściągania,força de desguarnecimento,拆卸力
581-23-47,crimp barrel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-47,zamačkávací dutinka,"Crimphülse, f",crimp barrel,puristusholkki,"fût à sertir, m",クリンプバレル,권축 유지기권축 배럴,uchwyt do zaciskania,fuste de engastar,压接筒
581-23-48,open crimp barrel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-48,otevřená zamačkávací dutinka,"offene Crimphülse, f",open crimp barrel,avoin puristusholkki,"fût (à sertir) ouvert, m",オープンクリンプバレル,개방 권축 유지기개방 권축 배럴,uchwyt do zaciskania otwarty,fuste de engastar aberto,开式压接筒
581-23-49,closed crimp barrel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-49,uzavřená zamačkávací dutinka,"geschlossene Crimphülse, f",closed crimp barrel,suljettu puristusholkki,"fût (à sertir) fermé, m",クローズドクリンプバレル,폐쇄 권축 유지기패쇄 권축 배럴,uchwyt do zaciskania zamknięty,fuste de engastar fechado,闭式压接筒
581-23-50,pre-insulated crimp barrel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-50,předizolovaná zamačkávací dutinka,"vorisolierte Crimphülse, f",pre-insulated crimp barrel,eristetty puristusholkki,"fût (à sertir) pré-isolé, m",絶縁被覆付クリンプバレル,선 절연 권축 유지기선 절연 권축 배럴,uchwyt do zaciskania z izolacją wstępną,fuste de engastar pré-isolado,预绝缘压接筒
581-23-51,effective wrapping length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-51,efektivní délka ovíjení,"effektive Wickellänge, f",effective wrapping length,kiertoliitosalue,"longueur d'enroulement réelle, f",有効ラッピング長さ,실효 포장 길이,skuteczna długość owinięcia,comprimento efectivo do enrolamento,有效绕接长度
581-23-52,total post length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-52,celková délka kolíku,"gesamte Stiftlänge, f",total post length,liitintapin kokonaispituus,"longueur totale de la borne, f",ポストの全長,총 포스트 길이,całkowita długość końcówki,comprimento total do terminal de conexão,绕接接线柱全长
581-23-53,effective press-in length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-53,efektivní délka zalisování,"effektive Einpresslänge, f",effective press-in length,ahtoliitosalue,"longueur utile d'insertion à force, f",有効プレスイン長さ,유효 압입 길이,skuteczna długość wtłaczania,comprimento efectivo de inserção forçada,有效压入长度
581-23-54,insulation piercing termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-54,svorka pro propíchnutí izolace,"Durchdringanschluss, m",insulation piercing termination,eristyksen lävistävä kosketin,"contact à percement d'isolant, m",インシュレーションピアシングターミネーション,절연 관통 종단,zakończenie do połączenia nakłuwanego,terminação de perfuraçao da isolação,绝缘刺破接端
581-23-55,turn of wire,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-55,závit drátu,"Drahtwindung, f",turn of wire,johdinkierros,"tour de conducteur, m",電線の巻き,권선,zwój przewodu,espira de fio condutor,导线匝
581-23-56,crimping zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-56,zamačkávací zóna,"Crimpbereich, m",crimping zone,puristusalue,"zone de sertissage, f",圧着部分,권축 영역,strefa zaciskania,zona de engaste,压接区域
581-24-01,"back-mounted, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-01,pro montáž zezadu (zdola),"rückseitenmontierbar, Adjektiv","back-mounted, adj",takaa asennettava,"monté par l’arrière, adj","後面取付け, 形容詞","뒤에 장착된, 형용사",montowany od tyłu,"montado por trás, adj",后安装的
581-24-02,"front mounted, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-02,pro montáž zpředu (shora),"frontmontierbar, Adjektiv","front mounted, adj",edestä asennettava,"monté par l’avant, adj","前面取付け, 形容詞","앞에 장착된, 형용사",montowany od czoła,"montado pela frente, adj",前安装的
581-24-03,"interchangeable, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-03,zaměnitelná (součástka),"austauschbar, Adjektiv","interchangeable, adj",vaihtokelpoinen,"interchangeable, adj","性能の互換, 形容詞","교환 가능한, 형용사",wymienny,"intermutável, adj",可互换的
581-24-04,"intermountable, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-04,montážně zaměnitelné (součástky),"einbaukompatibel, Adjektiv","intermountable, adj",asennusvaihtokelpoinen,"montable, adj","取付けの互換, 形容詞","상호 장착 가능한, 형용사",zamienny montażowo,"intermontável, adj",可互换安装的
581-24-05,single hole mounting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-05,montáž do jednoho otvoru,"Einloch-Montage, f",single hole mounting,yksireikäasennus,"méthode de montage par écrou, f",単一孔取付け,단공형 설치,montaż jednootworowy,montagem num único buraco,单孔安装
581-24-06,float mounting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-06,plovoucí montáž,"schwimmende Montage, f",float mounting,hakeutuva asennus,"montage flottant, m",フロートマウンティング,부동 설치,montaż pływający,montagem flutuante,浮动安装
581-24-07,"intermateable, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-07,vzájemně zasunutelný,"zusammensteckbar, Adjektiv","intermateable, adj",liitäntäkelpoinen,"accouplable, adj","結合の互換, 形容詞","상호 연결 가능한, 형용사",wzajemnie sprzęgalny,acoplável,可互配的
581-24-08,backward compatibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-08,zpětná kompatibilita,"Rückwärtskompatibilität, f",backward compatibility,taaksepäinyhteensopivuus,"compatibilité ascendante, f",下位互換性,하위 호환성,kompatybilność wsteczna,compatibilidade ascendente,逆向兼容性
581-24-09,compatible connectors,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-09,kompatibilní konektory,"kompatible Steckverbinder, m",compatible connectors,täysin yhteensopivat liittimet,"connecteurs interconnectables, m plconnecteurs compatibles, m pl",コンパチブルコネクタ,호환성 접속기,złącza kompatybilne,conectores compatíveis,兼容连接器
581-24-10,accessory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-10,příslušenství,"Zubehör, n",accessory,tarvike,"accessoire, m",アクセサリ,부속품부속물부대품,akcesoriawyposażenie dodatkoweosprzęt,acessório,附件
581-24-11,adaptor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-11,adaptér,"Adapter, m",adaptor,sovitin,"adaptateur, m",アダプタ,적응기어댑터,adapter,adaptador,转接件
581-24-12,boot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-12,ochranný návlek,"Tülle, f",boot,sukka,"tétine, f",ブーツ,부트,nasuwka ochronna,teta,护套
581-24-13,dust cover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-13,protiprachový kryt,"Staubschutzkappe, f",dust cover,pölysuojus,"protecteur, mcouvre-poussière, m",ダストカバー,먼지 덮개,pokrywa przeciwpyłowa,coberta,防尘盖
581-24-14,crimp anvil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-14,zamačkávací kovadlinka,"Crimp-Amboss, m",crimp anvil,puristusvastin,"berceau de sertissage, mmatrice de sertissage, f",クリンプアンビル,권축 모루,kowadełko do zaciskania,berço de engastar,压砧
581-24-15,crimp indentor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-15,zamačkávací tělísko,"Crimp-Stempel, m",crimp indentor,puristuspistin,"poinçon de sertissage, mmors de sertissage, m",クリンプインデンタ,권축 압입기,tłocznik do zaciskania,freio de engastar,压齿
581-24-16,crimping tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-16,zamačkávací nástroj,"Crimpwerkzeug, n",crimping tool,puristustyökalu,"outil de sertissage, mpince à sertir, fmachine à sertir, f",圧着工具,크림핑 툴,narzędzie do zaciskania,ferramenta de engastar,压接工具
581-24-17,(crimping tool) locator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-17,polohovací prvek (zamačkávacího nástroje),"Aufnahme des Crimpwerkzeugs, f",(crimping tool) locator,ohjainpuristustyökalun ohjain,"positionneur d’un outil de sertissage, mtourelle d’un outil de sertissage, f",圧着工具ロケータロケータ,권축도구 위치 표시기권축도구 검출기,ustawiak (narzędzia do zaciskania),colocador (da ferramenta de engastar),压接工具定位器
581-24-18,(crimping tool) positioner,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-18,polohovací prvek (zamačkávacího nástroje),"Positionierstück des Crimpwerkzeugs, n",(crimping tool) positioner,rajoitinpuristustyökalun rajoitin,"positionneur d’un outil de sertissage, m",圧着工具ポジショナポジショナ,권축도구 고정기,ogranicznik (narzędzia do zaciskania),posicionador (da ferramenta de engastar),压接工具调节器
581-24-19,splice,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-19,kabelová spojka,"Spleiß, m",splice,jatkoholkki,"jonction de fil, f",スプライス,융착,złączka przewodowa,ensamblagem,拼接件
581-24-20,potting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-20,zalévání,"Vergießen, n",potting,valu,"compoundage, mpost-isolation, fisolation réalisée après assemblage, f",ポッティング,밀봉 작업,zalewanie,compostagem,灌封
581-24-21,extraction tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-21,vytahovací nástroj (na kontakty),"Löse-Werkzeug, n",extraction tool,irrotustyökalu,"outil d’extraction, m",引抜工具,추출 도구,narzędzie do wyjmowania styków,ferramenta de extracção,卸出工具
581-24-22,insertion tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-22,vkládací nástroj (na kontakty),"Einsetz-Werkzeug, n",insertion tool,kiinnitystyökalu,"outil d’insertion, moutil de montage, m",挿入工具,삽입 도구,narzędzie do wkładania styków,ferramenta de inserção,嵌入工具
581-24-23,sizing tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-23,zkušební měrka,"Aufweit-Werkzeug, n",sizing tool,kokotulkki,"calibre individuel, m",サイジングツール,치수 결정 도구사이징 도구,szablon,calibre individual,稳定尺寸工具
581-24-24,unwrapping tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-24,odvíjecí nástroj,"Abwickel-Werkzeug, n",unwrapping tool,kiertoliitoksen purkutyökalu,"outil de démontage d’une connexion enroulée, m",ラッピング取外し工具,풀이 도구언래핑 도구,narzędzie do odwijania,ferramenta de desenrolar,退绕工具
581-24-25,wrapping tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-25,ovíjecí nástroj,"Wickel-Werkzeug, n",wrapping tool,kiertoliitostyökalu,"outil pour connexion enroulée, m",ラッピング工具,랩핑 도구,narzędzie do owijania,ferramenta de enrolar,绕接工具
581-24-26,crimping die,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-26,zamačkávací čelist,"Crimpbacken, n",crimping die,puristusleuka,"matrice de sertissage, f",圧着ダイ,압착 다이,matryca zaciskająca,matriz de engastar,压接模
581-24-27,wire insertion tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-27,nástroj pro zasunutí drátu,"Drahteindrück-Werkzeug, n",wire insertion tool,johtimenkiinnitystyökalu,"outil d'insertion du fil, m",電線挿入工具,전선 삽입 도구,narzędzie do wprowadzania przewodu,ferramenta de inserção do fio,导线嵌入工具
581-24-28,wire extraction tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-28,nástroj pro vytahování drátu,"Drahtauszieh-Werkzeug, n",wire extraction tool,johtimenirrotustyökalu,"outil d'extraction des fils, m",電線引抜工具,전선 추출 도구,narzędzie do wyciągania przewodu,ferramenta de extracção do fio,导线卸出工具
581-24-29,termination insertion tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-29,nástroj pro zalisování zakončení,"Einpress-Werkzeug, n",termination insertion tool,koskettimenkiinnitystyökalu,"outil d'insertion de borne, m",ターミネーション挿入工具,마감 삽입 도구,narzędzie do wprowadzania zakończenia,ferramenta de inserção da terminação,接端嵌入工具
581-24-30,termination removal tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-24-30,nástroj pro vyjmutí zakončení,"Auszieh-Werkzeug, n",termination removal tool,koskettimenirrotustyökalu,"outil d'extraction de borne, m",ターミネーション引抜工具,마감 제거 도구,narzędzie do wyciągania zakończenia,ferramenta de remoção da terminação,接端卸除工具
581-25-01,subrack,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-01,kostra,"Baugruppenträger, m",subrack,asennuskehikko,"bac à cartes, m",サブラック,서브랙,kaseta,sub-bastidor,插箱
581-25-02,cabinet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-02,skříň,"Schrank, m",cabinet,kaappi,"baie, f",キャビネット,캐비닛,szafa,armário,机柜
581-25-03,rack,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-03,stojan,"Gestell, n",rack,teline,"bâti, m",ラック,랙,stojak,bastidor,机架
581-25-04,plug-in unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-04,zásuvná jednotka,"steckbare Baugruppe, f",plug-in unit,pistoyksikkö,"bloc enfichable, m",プラグインユニット,플러그인 장치,pakiet wtykany,bloco enfiável,插件
581-25-05,mounting frame,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-05,montážní rám,"Einbaurahmen, m",mounting frame,kiinnityskehys,"cadre de montage, m",取付けフレーム,설치용 프레임장착용 프레임,rama montażowa,estrutura de montagem,安装架
581-25-06,swing frame,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-06,otočný rám,"Schwenkrahmen, m",swing frame,kääntökehys,"cadre oscillant, m",スイングフレーム,동요 틀,rama obrotowa,estrutura oscilante,回转架
581-25-07,chassis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-07,nosná konstrukcešasi,"Chassis, nEinschub, m",chassis,runko,"châssis, m",シャシ,샤시차대,podstawa montażowa,chassi,机箱
581-25-08,case,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-08,skříňka,"Gehäuse, n",case,kotelo,"coffret, m",ケース,경우사례,skrzynka,caixa,箱体
581-25-09,console,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-09,konzolaovládací pult,"Pult, m",console,ohjauspaneeli,"console, f",コンソール,조작반콘솔,konsola,consola,控制台
581-25-10,stacking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-10,patrové umístění,"Stapelung, f",stacking,pinoaminen,"empilage, m",スタッキング,스택에 넣기,ustawienie piętrowe,empilhamento,堆叠
581-25-11,slides,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-11,vodicí lišty,"Führungsschienen, f, pl",slides,liukukiskot,"glissières, f pl",スライド,습동슬라이드,prowadniki,deslizadores,滑道
581-25-12,telescopic slides,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-12,výsuvné vodicí lišty,"Teleskopschienen, f, pl",telescopic slides,teleskooppiset liukukiskot,"glissières téléscopiques, f pl",伸縮自在のスライド,조절 습동조절 슬라이드,prowadniki teleskopowe,deslizadores telescópicos,伸缩式滑道
581-25-13,plug-in unit guide,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-13,vodicí lišta zásuvné jednotky,"Führungshalter, m",plug-in unit guide,pistoyksikön ohjain,"guide du bloc enfichable, m",プラグインユニットガイド,플러그인 장치 유도,prowadnica pakietu wtykanego,guia do bloco enfichável,插件导轨
581-25-14,module,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-14,modul,"Modul, n",module,moduuli,"module, m",モジュール,모듈,moduł,módulo,模块
581-25-15,front panel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-15,přední panel,"Frontplatte, f",front panel,etulevy,"panneau avant, m",フロントパネル,전면판,panel czołowy,painel frontal,前面板
581-25-16,cabinet panel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-16,skříňová výplň,"Schrankverkleidung, f",cabinet panel,kaapinseinä,"panneau de baie, m",キャビネットパネル,분전판,panel szafy,painel de armário,机柜面板
581-25-17,mounting plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-17,montážní deska,"Einbauplatte, fMontageplatte, f",mounting plate,asennuslevy,"plaque de montage, f",取付けプレート,설치 판,płyta montażowa,placa de montagem,安装板
581-25-18,cabinet door,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-18,dveře skříně,"Schranktür, f",cabinet door,kaapinovi,"porte de baie, f",キャビネットドア,분전문,drzwi szafy,porta de armário,机柜门
581-25-19,mounting section,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-19,montážní část,"Einbaufeld, n",mounting section,asennusalue,"section de montage, f",取付け部,설치 부분,sekcja montażowa,secção de montagem,安装区域
581-25-20,suite of racks and cabinets,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-20,řada stojanů nebo skříní,"Gestell- oder Schrankreihe, f",suite of racks and cabinets,teline- ja kaappirivi,"travée de baies et bâtis, f",ラック及びキャビネットの列,래크와 분전 세트,rząd stojaków i szaf,grupo de bastidores e armários,机架和机柜组
581-25-21,pitch dimension,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-21,velikost rozteče,"Teilungsmaße, n, pl",pitch dimension,jakomitta,"dimension du pas, f",ピッチ寸法,절 치수,wymiar podziałki,dimensão do passo,格距尺寸
581-25-22,aperture dimension,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-22,velikost mezery,"Öffnungsmaß, n",aperture dimension,aukon mitoitusyksikkö,"dimension de l’ouverture, f",開口部寸法,개구 치수,wymiar apertury,dimensão da abertura,开口尺寸
581-25-23,grid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-23,síť,"Raster, n",grid,rasteri,"grille, f",格子,전력 계통망그리드,siatka,grelha,网格
581-25-24,modular order,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-24,modulový řád,"Modulordnung, f",modular order,moduulijärjestelmä,"ordre modulaire, m",モジュラオーダ,모듈형 주문,porządek modularny,ordem modular,模序
581-25-25,pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-25,roztečdělení,"Teilung, f",pitch,jako,"pas, m",ピッチ,피치절,podziałka,passo,格距
581-25-26,base pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-26,základní rozteč,"Grundmodul, n",base pitch,perusjako,"pas de base, m",基本ピッチ,기본 피치,podziałka podstawowa,passo de base,基本格距
581-25-27,mounting pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-27,montážní rozteč,"Einbauteilung, f",mounting pitch,asennusjako,"pas de montage, m",実装ピッチ,설치 절,podziałka montażowa,passo de montagem,安装格距
581-25-28,multiple pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-28,vícenásobná rozteč,"Multimodul, n",multiple pitch,perusjaon monikerta,"pas multiple, m",倍ピッチ,다수 절,podziałka wielokrotna,passo múltiplo,倍数格距
581-25-29,equipment practice,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-29,praxe při konstrukci zařízení,"Bauweise, f",equipment practice,asennusjärjestelmä,"infrastructure, f",機器の実装構造,장비 절차,infrastruktura montażowa (układów elektronicznych),infraestrutura,设备适配性
581-25-30,reference plane,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-25-30,referenční rovina,"Bezugsebene, f",reference plane,referenssitasoperustaso,"plan de référence, m",基準面,기준 면,płaszczyzna odniesienia,plano de referência,基准面
581-26-01,connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-01,konektor,"Steckverbinder, m",connector,liitin,"connecteur, m",コネクタ,연결기,złącze,conector,连接器
581-26-02,butting connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-02,konektor s čelním přítlakem,"Stirnkontakt-Steckverbinder, m",butting connector,puskuliitin,"connecteur abouté, m",バッティングコネクタ,맞댐 연결기,złącze czołowe,conector confinado,对接连接器
581-26-03,circular connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-03,kruhový konektor,"Rundsteckverbinder, m",circular connector,pyöreä liitin,"connecteur circulaire, m",丸形コネクタ,원형 연결기,złącze okrągłe,conector circular,圆形连接器
581-26-04,earthing connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-04,uzemňovací konektor,"Erdungssteckverbinder, m",earthing connector,maadoitusliitin,"connecteur à masse connectée, m",接地用コネクタ,접지 연결기,złącze uziemiające,conector à terra,接地连接器
581-26-05,edge-socket connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-05,přímý konektor,"Steckverbinder für direktes Stecken, m",edge-socket connector,yksiosainen levyliitin,"connecteur encartable, m",エッジソケットコネクタ,가장자리 소켓 연결기,złącze krawędziowe,conector encartável,边缘插座连接器
581-26-06,fireproof connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-06,konektor odolný proti ohni,"feuerfester Steckverbinder, m",fireproof connector,tulenkestävä liitin,"connecteur résistant au feu, m",耐火形コネクタ,내화 연결기,złącze ognioodporne,conector resistente ao fogo,耐火连接器
581-26-07,fixed connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-07,pevný konektor,"fester Steckverbinder, m",fixed connector,runkoliitin,"embase, f",固定形コネクタ,고정 연결기,złącze stałe,conector fixo,固定连接器
581-26-08,float-mounting connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-08,konektor pro plovoucí montáž,"schwimmend befestigter Steckverbinder, m",float-mounting connector,hakeutuva liitin,"connecteur flottant, m",フロートマウント形コネクタ,부동 설치 연결기,złącze o montażu pływającym,conector flutuante,浮动安装连接器
581-26-09,free cable connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-09,volný kabelový konektor,"freier Kabelsteckverbinder, m",free cable connector,kaapeliliitin,"fiche pour câble, f",可動形ケーブルコネクタ,자유 케이블 연결기,złącze swobodne kablowe,ficha de cabo,自由电缆连接器
581-26-10,free connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-10,volný konektor,"freier Steckverbinder, m",free connector,kaapeliliitin,"fiche, f",可動形コネクタ,자유 케이블 연결기,złącze swobodne,ficha,自由连接器
581-26-11,hermaphroditic connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-11,hermafroditický konektor,"Zwitter-Steckverbinder, m",hermaphroditic connector,kaksineuvoinen liitin,"connecteur hermaphrodite, m",雌雄同形コネクタ,암수 동체형 연결기,złącze obojnacze,conector hermafrodita,无极性连接器
581-26-12,hermetic connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-12,hermetický konektor,"hermetischer Steckverbinder, m",hermetic connector,hermeettinen liitin,"connecteur hermétique, m",ハーメチックコネクタ,밀봉 연결기,złącze hermetyczne,conector hermético,气密封连接器
581-26-13,printed-board connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-13,konektor pro desky s plošnými spoji,"Leiterplatten-Steckverbinder, m",printed-board connector,levyliitin,"connecteur pour cartes imprimées, m",プリント配線板用コネクタ,인쇄기판 연결기,złącze do płytki drukowanej,conector para cartas impressas,印制板连接器
581-26-14,quick disconnect connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-14,konektor pro rychlé rozpojení,"Steckverbinder mit Schnellentriegelung, m",quick disconnect connector,pikaliitin,"connecteur à désaccouplement rapide, m",クイックディスコネクト・コネクタ,고속 분리 연결기,złącze szybkorozłączalne,conector de desconexão rápida,快速分离连接器
581-26-15,rack-and-panel connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-15,konektor pro rám a panel,"Einschub-Steckverbinder, m",rack-and-panel connector,pistoyksikköliitin,"connecteur de baie et tiroir, m",ラックアンドパネル・コネクタ,랙과 판넬 연결기,złącze stojakowo-panelowe,conector de bastidor e gaveta,机架和面板连接器
581-26-16,rectangular connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-16,obdélníkový konektor,"rechteckiger Steckverbinder, m",rectangular connector,suorakulmainen liitin,"connecteur rectangulaire, m",角形コネクタ,장방형 연결기,złącze prostokątne,conector rectangular,矩形连接器
581-26-17,scoop-proof connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-17,konektor s ochranou proti čelnímu dotyku,"kontaktgeschützter Steckverbinder, m",scoop-proof connector,kosketussuojainen liitin,"connecteur à contacts protégés, m",スクーププルーフコネクタ,내 스코프 연결기,złącze stykochronne,conector de contactos protegidos,防斜插连接器
581-26-18,sealed connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-18,hermetický konektor,"gasdichter Steckverbinder, m",sealed connector,tiivis liitin,"connecteur étanche, m",気密形コネクタ,밀봉형 연결기,złącze uszczelnione,conector estanque,密封连接器
581-26-19,shielded connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-26-19,stíněný konektor,"geschirmter Steckverbinder, m",shielded connector,suojattu liitin,"connecteur écranté, m",シールドコネクタ,차폐 연결기,złącze ekranowane,conector blindado,屏蔽连接器
