term_id,term,term_url,ar,de,en,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
442-02-16,non-flame propagating conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-16,ماسورة مضادة لإنتشار اللهب,"nicht flammverbreitendes Elektroinstallationsrohr, nnicht zur Flammenausbreitung beitragendes Elektroinstallationsrohr, n",non-flame propagating conduit,liekkiä ylläpitämätön putkiliekkiä ylläpitämätön asennusputki,"conduit non propagateur de la flamme, m",tubo non propagante la fiamma,不燃電線管,불연성 전선관,rura instalacyjna nie rozprzestrzeniająca płomienirura nie rozprzestrzeniająca płomieni,tubo não propagador de chama,"труба, не распространяющая горение","цев која не шири пламен, ж јд",icke-brandspridande rör,非火焰蔓延导管
442-02-17,threadable conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-17,ماسورة ملولبة,"schraubbares Elektroinstallationsrohr, n",threadable conduit,kierteitettävä putkikierteitettävä asennusputki,"conduit filetable, m",tubo filettabile,ねじ付き電線管,나사 전선관,rura instalacyjna gwintowanarura gwintowana,tubo roscável,нарезная труба,"цев са навојем, ж јд",gängbart rör,可形成螺纹的导管
442-02-18,non-threadable conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-18,ماسورة غير ملولبة,"nicht schraubbares Elektroinstallationsrohr, n",non-threadable conduit,kierteettömäksi tarkoitettu putkikierteettömäksi tarkoitettu asennusputki,"conduit non filetable, m",tubo non filettabile,ねじ無し電線管,무나사 전선관,rura instalacyjna niegwintowanarura niegwintowana,tubo não roscável,безрезьбовая труба,"цев без навоја, ж јд",icke-gängbart rör,不可形成螺纹的导管
442-02-19,wall thickness (of a conduit),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-19,سمك الجدار (للماسورة),"Wanddicke, <eines Elektroinstallationsrohrs> f",wall thickness (of a conduit),seinämänpaksuusasennusputken seinämänpaksuus,épaisseur de la paroi (d'un conduit) f,spessore della parete,"肉厚, <電線管の>","벽 두께, <전선관>",grubość ścianki (rury instalacyjnej),espessura da parede (de um tubo),толщина стенки (трубы),"дебљина зида, <цеви> ж јд",väggtjocklek,"壁厚, <导管的>"
442-02-20,material thickness of a plain conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-20,متوسط سمك الجدار (لماسورة عادية),"Materialdicke eines glatten Elektroinstallationsrohrs, n",material thickness of a plain conduit,sileän putken aineen paksuussileän asennusputken aineen paksuus,"épaisseur du matériau d'un conduit lisse, f",spessore del materiale del tubo liscio,平滑電線管の材料厚さ,평활 전선관 두께,grubość materiału rury instalacyjnej gładkiejgrubość materiału rury gładkiej,espessura do material de um tubo liso,толщина материала гладкой трубы,"дебљина материјала равне цеви, ж јд",materialtjocklek hos slätt rör,平导管的材料厚度
442-02-21,material thickness of a corrugated conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-21,متوسط سمك جدار ماسورة متعرجة,"Materialdicke eines gewellten Elektroinstallationsrohrs, n",material thickness of a corrugated conduit,aallotetun putken aineen paksuusaallotetun asennusputken aineen paksuus,"épaisseur du matériau d'un conduit annelé, f","spessore del materiale del tubo ondulato; spessore del
materiale del tubo corrugato",波形電線管の材料厚さ,주름 전선관 재료 두께,grubość materiału rury instalacyjnej karbowanejgrubość materiału rury karbowanej,espessura do material de um tubo canelado,толщина материала гофрированной трубы,"дебљина материјала ребрасте цеви, ж јд",materialtjocklek hos korrugerat rör,波纹导管的材料厚度
442-02-22,material thickness of a combined plain and corrugated conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-22,متوسط سمك جدار ماسورة مختلطة و مستقيمة و متعرجة,"Materialdicke eines Elektroinstallationsrohrs in Gemischtbauweise, f",material thickness of a combined plain and corrugated conduit,sileästä ja aallotetusta putkesta koostuvan putken aineen paksuussileästä ja aallotetusta asennusputkesta koostuvan asennusputken aineen paksuus,"épaisseur de matériau d'un conduit mixte lisse/annelé, f","spessore del materiale del tubo liscio combinato con tubo ondulato;
spessore del materiale del tubo liscio combinato con tubo corrugato",平滑と波形の組合せ電線管の材料厚さ,평면과 주름이 포함된 전선관의 재료 두께,grubość materiału rury instalacyjnej dwuściennej gładkiej i karbowanejgrubość materiału rury dwuściennej gładkiej i karbowanej,espessura do material de um tubo misto liso/canelado,толщина материала комбинированной гладкой и гофрированной трубы,"дебљина материјала комбиноване равне и ребрасте цеви, ж јд",,平导管与波纹导管组合导管的材料厚度
442-02-23,insulating conduit fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-23,تجهيزات عازلة لربط المواسير,"Isolierstoffrohrformstück, n",insulating conduit fitting,eristysputkitarvikeeristysasennusputkitarvike,"accessoire isolant de conduit, m",accessorio isolante (per tubo),絶縁電線管の付属品,절연 전선관 부속품,osprzęt izolacyjny do rur instalacyjnychosprzęt izolacyjny do rur,acessório isolante de tubo,изоляционная трубная арматура,"изолациони фитинг за цев, м јд",rörtillbehör av isolermaterial,绝缘导管配件
442-02-24,metal conduit fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-24,تجهيزات معدنية لربط المواسير,"metallisches Elektroinstallationsrohrformstück, n",metal conduit fitting,metalliputkitarvikemetalliasennusputkitarvike,"accessoire métallique de conduit, m",accessorio metallico (per tubo),金属製電線管の付属品,금속 전선관 부속품,osprzęt metalowy do rur instalacyjnychosprzęt metalowy do rur,acessório metálico de tubo,металлическая трубная арматура,"метални фитинг за цев, м јд",metalliskt rörtillbehör,金属导管配件
442-02-25,non-metallic conduit fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-25,تجهيزات غير معدنية لربط المواسير,"nichtmetallisches Elektroinstallationsrohrformstück, n",non-metallic conduit fitting,metalliton putkitarvikemetalliton asennusputkitarvike,"accessoire non métallique de conduit, m",accessorio non metallico (per tubo),非金属製電線管の付属品,비금속 전선관 부속품,osprzęt niemetalowy do rur instalacyjnychosprzęt niemetalowy do rur,acessório não metálico de tubo,неметаллическая трубная арматура,"неметални фитинг за цев, м јд",icke-metalliskt rörtillbehör,非金属导管配件
442-02-26,composite conduit fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-26,تجهيزات مركبة لربط المواسير,"Elektroinstallationsrohrformstück in Gemischtbauweise, n",composite conduit fitting,komposiittiputkitarvikeyhdistelmäputkitarvike,"accessoire composite de conduit, m",accessorio composto (per tubo),複合電線管の付属品,복합 전선관 부속품,osprzęt wieloskładnikowy do rur instalacyjnychosprzęt wieloskładnikowy do rur,acessório compósito de tubo,композитная трубная арматура,"композитни фитинг за цев, м јд",rörtillbehör av kompositmaterial,复合材料导管配件
442-02-27,non-flame propagating conduit fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-27,تجهيزات ذات إشتعال غير منتشر لربط  المواسير,"nicht flammverbreitendes Elektroinstallationsrohrformstück, nnicht zur Flammenausbreitung beitragendes Elektroinstallationsrohrformstück, n",non-flame propagating conduit fitting,liekkiä ylläpitämätön putkitarvikeliekkiä ylläpitämätön asennusputkitarvike,"accessoire de conduit non propagateur de la flamme, m",accessorio non propagante la fiamma (per tubo),不燃電線管の付属品,불연성 전선관 부속품,osprzęt do rur instalacyjnych nierozprzestrzeniający płomieniosprzęt do rur nierozprzestrzeniający płomieni,acessório de tubo não propagador de chama,"трубная арматура, не распространяющая горение","фитинг за цев који не шири пламен, м јд",icke-brandspridande rörtillbehör,非火焰蔓延导管配件
442-02-28,conduit joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-28,وصلة ماسورة,"Elektroinstallationsrohrverbindung, f",conduit joint,putkiliitosasennusputkiliitos,"jonction de conduit, f",giunzione (per tubo),電線管接続部,도체관 접합,złączka do rur instalacyjnychzłączka do rur,junção de tubo,трубная муфта,"цевни спој, м јд",rörskarv,导管联接处
442-02-29,threaded coupling (of a conduit),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-29,جلبة مسننة / قارنة مسننة,"Schraubkupplung, <eines Elektroinstallationsrohrs> f",threaded coupling (of a conduit),sisäkierteitetty jatkoholkkiasennusputken sisäkierteitetty jatkoholkki,manchon fileté (d'un conduit) m,giunto filettato,"ねじ付きカップリング, <電線管の>","연선 접속, <전선관>",złączka gwintowa (rury instalacyjnej),união de rosca interior (de um tubo),резьбовая муфта (для труб),"спојница са унутрашњим навојем, <цеви> ж јд",gängad skarvmuff,"螺纹藕合联接件, <导管的>"
442-02-30,elbow (of a conduit),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-30,كوع  ( للمواسير)- ثنـــيه (للمواسير),"Bogen, <eines Elektroinstallationsrohrs> m",elbow (of a conduit)bend (of a conduit),putkikaariasennusputkikaari,coude (d'un conduit) m,curva,"エルボ, <電線管の>ベンド","엘보, <전선관>",złączka kątowa (rury instalacyjnej)kolanko (rury instalacyjnej),curva (de um tubo),угол (трубы)угловой отрезок (трубы),"колено, <цеви> с јдкривина, <цеви> ж јд",rörböj,"弯管, <导管的>"
442-02-31,nipple (of a conduit),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-31,وصلة لمواسير  (شريط),"Nippel, <eines Elektroinstallationsrohrs> m",nipple (of a conduit),ulkokierteitetty jatkoholkki,raccord (d'un conduit) m,manicotto,"ニップル, <電線管の>","니플, <전선관>",złączka wkrętna (do rury instalacyjnej)nypel (do rury instalacyjnej),união de rosca exterior (de um tubo),ниппель (для труб),"спојница са спољашњим навојем, <цеви> ж јд",gängat skarvrör,"接头, <导管的>"
442-02-32,threadable entry for conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-32,طرف ماسورة قابل للتسنين (القلوظة),"Einführung mit Schraubengewinde für Elektroinstallationsrohre, f",threadable entry for conduit,putken kierteitetty liitäntäaukkoasennusputken kierteitetty liitäntäaukko,"entrée filetable pour conduit, f",ingresso filettabile per  tubo,ねじ付き接続部,전선관 나사 입구,wejście gwintowane do rury instalacyjnejwejście gwintowane do rury,entrada roscável para tubo,резьбовой ввод в трубу,"улаз на којем се може нарезати навој за цев, м јд",gängad rörinföring,导管螺纹联接件
442-02-33,non-threadable entry for conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-33,طرف ماسورة غير قابل للتسنين (القلوظة),"Einführung ohne Schraubengewinde für Elektroinstallationsrohre, f",non-threadable entry for conduit,pistopääasennusputken pistopää,"entrée non filetable pour conduit, f",ingresso non filettabile per tubo,ねじ無し接続部,전선관 무나사 입구,wejście niegwintowane do rury instalacyjnejwejście niegwintowane do rury,entrada não roscável para tubo,безрезьбовой ввод в трубу,"улаз на којем се не може нарезати навој за цев, м јд",slät rörinföring,导管无螺纹联接件
442-02-35,cable ducting system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-35,نظام مجارى أرضية غير مستديرة  للكابلات,"geschlossener Elektroinstallationskanal, m",cable ducting system,umpinainen johtokanavajärjestelmä,"système de conduits profilés, m",sistema di condotti,ケーブルダクト,케이블 관로 시스템,system listew instalacyjnych zamkniętych,sistema de condutas perfiladas,система специальных кабельных коробов,"систем кабловских канала, м јд",kabelkanalsystem,电缆管道系统
442-02-36,system components (of trunking or ducting systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-36,مكونات نظام (مواسير أو مجارى أرضية للكابلات),"Systembestandteile, <von Elektroinstallationskanälen> m pl",system components (of trunking or ducting systems),osatjohtokanavajärjestelmän osat,composants d'un système (de goulottes ou de conduits profilés) m pl,componenti del sistema,構成部品,"시스템 구성요소, <중계 또는 관로 시스템>",elementy systemu (listew instalacyjnych otwieranych lub zamkniętych),componentes de um sistema (de calhas ou de condutas perfiladas),компоненты системы (кабельных коробов или специальных кабельных коробов),"компоненте система, <система кабловских полица или канала> ж мн",systemkomponenter,"系统元件, <线槽系统或管道系统的>"
442-02-37,trunking length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-37,طول مواسير الكابلات الرئيسية,"zu öffnender Elektroinstallationskanalabschnitt, m",trunking length,kanavaosa,"(longueur de) goulotte, f",tratto rettilineo di canale,直線トランキング,중계 길이,odcinek listwy instalacyjnej otwieranej,(comprimento de) calha,прямая секция кабельного короба,"кабловска полица, ж јд",elkanallängd,线槽段
442-02-39,fitting (of trunking or ducting systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-39,تجهيزات ربط (لمواسير ومجارى الكابلات الرئيسة),"Formstück, <für Elektroinstallationskanäle> n",fitting (of trunking or ducting systems),tarvikejohtokanavatarvike,accessoire d'un système (de goulottes ou de conduits profilés) m,accessorio,付属品,"이음쇠, <중계 또는 관로 시스템>맞춤, <중계 또는 관로 시스템>고정장치, <중계 또는 관로 시스템>끼움재, <중계 또는 관로 시스템>",osprzęt (do listew instalacyjnych otwieranych lub zamkniętych),acessório de um sistema (de calhas ou de condutas perfiladas),фасонная секция (системы кабельных коробов или специальных кабельных коробов),"фитинг, <система кабловских полица или канала> м јд",kanaltillbehör,"配件, <线槽系统或管道系统的>"
442-02-40,fixing device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-40,أداة تثبيــت,"Befestigungsmittel, n",fixing device,kiinnitystarvike,"dispositif de fixation, m",dispositivo di fissaggio,固定具,고정 장치,osprzęt mocujący,dispositivo de fixação,крепежное устройство,"прибор за причвршћење, м јд",fästelement,固定器件
442-02-41,apparatus mounting device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-41,أداة تركيب المعدات,"Gerätemontagemittel, n",apparatus mounting device,kojeen asennustarvike,"dispositif de montage d'appareil, m",dispositivo di montaggio per un'apparecchiatura,周辺機器取付装置,장치 탑재 장치,osprzęt do mocowania urządzeń,dispositivo de montagem de aparelho,деталь для установки аппаратов,"прибор за монтажу уређаја, м јд",apparatfäste,设备安装器件
442-02-42,floor service unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-42,وحدة خدمة أرضية,"Bodeneinbaueinheit, f",floor service unit,lattiakotelo,"bloc de distribution au plancher, m",unità di servizio a pavimento,フロア取付ユニット,바닥 서비스 장치,zestaw podłogowy użytkowy,bloco de distribuição de pavimento,напольное устройство для подключения,"јединица подне инсталације, ж јд",apparatfäste i golvsystem,地板线槽安装器
442-02-43,floor access unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-43,وحدة تفتيش أرضية,"Bodenzugangseinheit, f",floor access unit,kaapelointirasia,"bloc d'accès au plancher, m",unità di derivazione a pavimento,フロアアクセスユニット,바닥 접속 장치,zestaw podłogowy rewizyjny,bloco de acesso ao pavimento,напольное вводное устройство,"јединица за приступ подној инсталацији, ж јд",golvbrunn,地板线槽通路器
442-02-03,conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-03,مــاسورة,"Elektroinstallationsrohr, n",conduit,asennusputki,"conduit, m",tubo protettivo,電線管,전선관,rura instalacyjnarura,tubo,труба,"цев, ж јд",elrörinstallationsrör,导管
442-02-34,cable trunking system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-34,نظام مواسير أرضية للكابلات,"zu öffnender Elektroinstallationskanal, m",cable trunking system,avattava johtokanavajärjestelmä,"système de goulottes, m",sistema di canali,ケーブルトランキング,케이블 중계 시스템,system listew instalacyjnych otwieranych,sistema de calhas,система кабельных коробов,"систем кабловских полица, м јд",elkanalsystem,电缆线槽系统
442-02-38,ducting length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-38,طول مجارى الكابلات الرئيسة,"geschlossener Elektroinstallationskanalabschnitt, m",ducting length,kanavaosa,"longueur de conduit profilé, f",tratto rettilineo di condotto,直線ダクト,관로 길이,odcinek listwy instalacyjnej zamkniętej,comprimento de conduta perfilada,прямая секция специального кабельного короба,"кабловски канал, м јд",kabelkanallängd,管道段
442-03-01,plug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-01,قـــابسمأخذ,"Stecker, m",plug,pistotulppa,"fiche, f",spina,プラグ,플러그마개,wtyczka,ficha,вилка,"утикач, м јд",stickpropp,插头
442-03-02,socket-outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-02,مقبس (مخرج),"Steckdose, f",socket-outlet,pistorasia,"socle de prise de courant, m",presa,コンセント,콘센트,gniazdo wtyczkowe,tomada,розетка,"прикључница, ж јд",eluttag,插座
442-03-03,plug and socket outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-03,قابس ومقبس (مأخذ ومخرج),"Steckvorrichtung, f",plug and socket outlet,pistokytkin,"prise de courant, f",spina e presa; presa a spina,差込接続器,플러그 및 콘센트,zespół gniazda i wtyczki,conjunto ficha-tomada,штепсельный соединитель,"утикач и прикључница, м јд",uttagsdon,插头和插座
442-03-04,fixed socket-outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-04,مقبس ثابت (مخرج ثابت),"ortsfeste Steckdose, f",fixed socket-outlet,kiinteä pistorasia,"socle fixe de prise de courant, m",presa fissa,固定形コンセント,고정 콘센트,gniazdo wtyczkowe stałe,tomada fixa,стационарная розетка,"прикључница за трајну уградњу, ж јд",fast eluttag,固定式插座
442-03-05,shutter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-05,مغــلاق وقايةغالق وقاية,"Einsteckschutz, m",shutter,turvasulku,"obturateur, m",schermo,シャッター,격리판셔터,przesłona,obturador (de alvéolo),шторки,"дијафрагма, ж јд",skyddsklaff,保护门
442-03-06,interlocked socket-outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-06,مقبس (مخرج) بمزلاج داخلي,"verriegelte Steckdose, f",interlocked socket-outlet,lukittava pistorasia,"socle à verrouillage, m",presa interbloccata,インターロック付きコンセント,연동 콘센트,gniazdo wtyczkowe z blokadą,tomada com encravamento,розетка с блокировкой,"прикључница са блокадом, ж јд",förreglat eluttag,联锁插座
442-03-07,portable socket-outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-07,مقبس منقول,"tragbare Steckdose, fKupplung, f",portable socket-outlet,jatkopistorasia,"socle mobile de prise de courant, m",presa mobile,可搬形コンセント,휴대용 콘센트,gniazdo wtyczkowe przenośne,tomada móvel,переносная розетка,"преносна прикључница, ж јд",skarvuttag,移动式插座
442-03-08,multiple socket-outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-08,مقبس (مخرج) متعدد,"Mehrfachsteckdose, f",multiple socket-outlet,moniosainen pistorasia,"socle multiple de prise de courant, m",presa multipla,マルチコンセント,다중 콘센트,gniazdo wtyczkowe wielokrotne,tomada múltipla,многоместная розетка,"вишеструка прикључница, ж јд",flervägsuttag,多位插座
442-03-09,socket-outlet for appliances,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-09,مقبس (مخرج) أجهزة,"Steckdose an Geräten, f",socket-outlet for appliances,laitepistorasia,"socle de prise de courant pour appareils d'utilisation, m",presa per apparecchi,機器用コンセント,기기용 콘센트,gniazdo wtyczkowe do urządzenia,tomada para aparelhos,розетка для приборов,"прикључница за апарате, ж јд",uttag för bruksföremål,器具插座
442-03-10,retaining device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-10,أداة إحتجاز,"Haltevorrichtung, f",retaining device,pidätinlaite,"dispositif de retenue, m",dispositivo di ritenuta,プラグ保持器具,유지 장치,urządzenie przytrzymujące,dispositivo de retenção,удерживающее устройство,"прибор за задржавање, м јд",fasthållningsanordning,保持器件
442-03-11,fused plug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-11,قابس ( مأخذ) بمصهر,"Stecker mit Sicherung, m",fused plug,sulakkeellinen pistotulppa,"fiche avec fusible, f",spina con fusibile,ヒューズ付プラグ,퓨즈 플러그,wtyczka z bezpiecznikiem,ficha com fusível,вилка с предохранителем,"утикач са осигурачем, м јд",stickpropp med säkring,带熔断器插头
442-03-12,polarized plug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-12,قابس (مأخذ) محدد الإتجاه,"unverwechselbarer Stecker, m",polarized plug,polarisoitu pistotulppa,"fiche polarisée, f",spina polarizzata,極性付プラグ,극성 플러그,wtyczka o określonej biegunowości,ficha polarizada,поляризованная вилка,"поларизовани утикач, м јд",polariserad stickpropp,带极性插头
442-03-13,switched socket-outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-13,مقبس (مخرج) بمفتاح,"Steckdose mit Schalter, f",switched socket-outlet,kytkimellä varustettu pistorasia,"socle de prise de courant avec interrupteur, m",presa con interruttore,スイッチ付コンセント,스위치 부착형 콘센트,gniazdo wtyczkowe z łącznikiem,tomada com interruptor,розетка с выключателем,"прикључница са склопком, ж јд",uttag med elkopplare,带开关插座
442-03-14,multiple switched socket-outlet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-14,وحدة مقابس (مخارج) متعددة بمفاتيح,"Mehrfachsteckdose mit Schalter, f",multiple switched socket-outlet,moniosainen kytkimellä varustettu pistorasia,"socle de prise de courant à interrupteur multiple, m",presa multipla con interruttore,マルチスイッチコンセント,다중 스위치 콘센트,zespół gniazd wtyczkowych z łącznikami,tomada múltipla com interruptor,многоместная розетка с выключателем,"вишеструка прикључница са склопком, ж јд",flervägsuttag med elkopplare,多位带开关插座
442-03-15,cable reel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-15,بكـرة بكـبل,"Leitungsroller, m",cable reel,johtokela,"enrouleur, mcordon-prolongateur enroulé sur tambour, m",avvolgicavo,ケーブルリール,케이블 릴,przedłużacz zwijany,enroladorcabo prolongador enrolado em tambor,кабельный барабан,"бубњић са продужним каблом, м јд",kabelvinda,电缆卷盘
442-03-16,portable cable reel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-16,بكـرة متنقلة بكـبل,"tragbarer Leitungsroller, m",portable cable reel,siirrettävä johtokela,"enrouleur mobile, m",avvolgicavo portatile,可搬形ケーブルリール,휴대용 케이블 릴,przedłużacz zwijany przenośny,enrolador móvel,переносный кабельный барабан,"преносни бубњић са продужним каблом, м јд",bärbar kabelvinda,移动式电缆卷盘
442-03-17,fixed cable reel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-17,بكرة ثابتة بكبل,"ortsfester Leitungsroller, m",fixed cable reel,kiinteä johtokela,"enrouleur fixe, m",avvolgicavo fisso,固定形ケーブルリール,고정 케이블 릴,przedłużacz zwijany stały,enrolador fixo,стационарный кабельный барабан,"бубњић са продужним каблом за трајну уградњу, м јд",fast kabelvinda,固定式电缆卷盘
442-03-18,non-detachable flexible cable or cord,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-18,وصلة كبل مرنة مثبتة إلى بكرة,"nicht abnehmbares flexibles Kabel, nnicht abnehmbare flexible Leitung, f",non-detachable flexible cable or cord,kiinteä kelajohto,"câble souple non-détachable, m",cavo flessibile non separabile,非交換固定形ケーブルリール,비분리 유연 케이블 및 코드,przewód giętki nieodłączalny,cabo flexível não destacável,неотделимый гибкий кабель или шнур,"савитљиви кабл који се не може уклонити, м јд",icke-borttagbar kabel,不可拆卸的软电缆或软线
442-03-19,adaptor (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-19,موائم - مهايئ,"Adapter, <für Steckvorrichtungen> m",adaptor (for accessories),sovitin,adaptateur (pour le petit appareillage) m,adattatore,アダプター,"결합기, <부속품>",rozgałęźnik wtyczkowy,adaptador,адаптер (для электроустановочных изделий)переходник,"адаптер, <за прибор> м јд",adapter,"转换器, <电器附件的>"
442-03-20,multiway adaptor (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-20,موائم (مهيايئ) متعدد السكك,"Mehrfachadapter, <für Steckvorrichtungen> m",multiway adaptor (for accessories),moniosainen sovitin,adaptateur multiple (pour le petit appareillage) m,adattatore multiplo,マルチアダプター,"다중 통로 결합기, <부속품>",rozgałęźnik wtyczkowy wielokrotny,adaptador múltiplo,многоместный адаптер (для эдектроустановочных изделий),"вишенаменски адаптер, <за прибор> м јд",flervägsadapter,"多位转换器, <电器附件的>"
442-03-21,intermediate adaptor (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-21,موائم بيني (وسطي),"Zwischenadapter, <für Steckvorrichtungen> m",intermediate adaptor (for accessories),välipistokytkin,adaptateur intermédiaire (pour le petit appareillage) m,adattatore di interposizione,中間アダプター,"중개 결합기, <부속품>",rozgałęźnik wtyczkowy pośredniczący,adaptador intermédio,промежуточный адаптер (для эдектроустановочных изделий),"међуадаптер, <за прибор> м јд",mellankopplingsadapter,"中间转换器, <电器附件的>"
442-03-22,conversion adaptor (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-03-22,موائم تبديل (تحويل),"Übergangsadapter, <für Steckvorrichtungen> m",conversion adaptor (for accessories),siirtymispistokytkin,adaptateur de conversion (pour le petit appareillage) m,adattatore di conversione,変換形アダプター,"변환 결합기, <부속품>",adapter,adaptador de conversão,преобразовательный адаптер (для эдектроустановочных изделий),"адаптер за конверзију, <за прибор> м јд",omvandlingsadapter,"型式转换器, <电器附件的>"
442-04-01,incorporated switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-01,مفتاح مدمّج,"eingebauter Schalter, mEinbauschalter, m",incorporated switch,rakenteeseen kiinteästi liitetty kytkin,"interrupteur incorporé, m",interruttore incorporato,組合せスイッチ,조합 스위치,łącznik wbudowany,interruptor incorporado,встроенный выключатель,"склопка за уградњу, ж јд",inbyggnadselkopplare,附装开关
442-04-02,integrated switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-02,مفتاح متكامل,"integrierter Schalter, mSchalter in baulicher Einheit, m",integrated switch,rakenteeseen kiinteästi kuuluva kytkin,"interrupteur intégré, m",interruttore integrato,内蔵スイッチ,통합 스위치,łącznik zintegrowany,interruptor integrado,объединенный выключатель,"интегрисана склопка, ж јд",elkopplare för sambyggnad,拼合开关
442-04-03,switch of micro-gap construction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-03,مفتاح ذو فجوة متناهية الصغر,"Schalter mit Mikrokontaktöffnung, m",switch of micro-gap construction,pienellä avausvälillä varustettu kytkin,"interrupteur à faible distance d'ouverture des contacts, m",apparecchio con micro-distanza di apertura dei contatti,マイクロギャップスイッチ,극소 갭 구조 스위치,łącznik o mikroprzerwie zestykowej,interruptor de pequeno hiatointerruptor de pequena distância de abertura dos contactos,выключатель с минимальным зазором,"склопка са микроразмацима, ж јд",mikrogapströmställare,微间隙结构开关
442-04-04,rotary switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-04,مفتاح دوّار,"Drehschalter, m",rotary switch,vääntökytkin,"interrupteur rotatif, m",interruttore rotativo,ロータリースイッチ,회전 개폐기,łącznik pokrętny,interruptor rotativo,поворотный выключатель,"обртна склопка, ж јд",vridströmställare,旋转开关
442-04-05,lever switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-05,مفتاح ذو رافعة,"Hebelschalter, m",lever switch,vipukytkin,"interrupteur à levier, m",interruttore a leva,レバースイッチ,지레 스위치,łącznik dźwigienkowy,interruptor de alavanca,выключатель с рычажным приводом,"полужна склопка, ж јд",vippströmställare,倒扳开关
442-04-06,rocker switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-06,مفتاح قـلاب,"Wippschalter, mWippe, f",rocker switch,keinuvipukytkin,"interrupteur à touche basculante, m",interruttore a bilanciere,タンブラスイッチ,굽은 막대 스위치,łącznik kołyskowy,interruptor (de tecla) basculante,выключатель с шатунным приводом,"прегибна склопка, ж јд",vaggvippströmställare,跷板开关
