term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
713-04-12,microwave landing system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-12,نظام الهبوط بالموجات الدقيقة,mikrovlnný přistávací systémMLS,"Mikrowellen-Landesystem, n",microwave landing systemMLS (abbreviation),MLS (abreviatura)sistema de aterrizaje por microondas,mikroaaltolaskeutumisjärjestelmä,"système d'atterrissage hyperfréquence, mMLS (abréviation) m",sistema di atterraggio strumentale a microonde MLS (acronimo),"マイクロ波着陸方式MLS, （略語）",마이크로파 착륙 시스템엠엘에스,system mikrofalowy lądowania,sistema de aterragem por microondas,inflygningssystem,微波着陆系统MLS
713-04-13,radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-13,رادار,radarradiolokátor,"Radar, n",radar,radar,tutka,"radar, m",radar,レーダ,레이더,radar,radar,radar,雷达
713-04-14,(radar) target,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-14,هدف (رادار),cíl (radaru),"Radarziel, nZiel, n",(radar) target,objetivo (radar),tutkamaali,"cible (radar), f",bersaglio (radar),レーダターゲットターゲット,레이더 표적,cel radaru,alvo (radar),radarmål,雷达目标
713-04-15,radar echo,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-15,صدى راداري,radarový odraz,"Radarecho, n",radar echo,eco radar,tutkakaiku,"écho radar, m",eco radar,レーダエコー,레이더 반향,echo radaru,eco radar,radareko,雷达回波
713-04-16,primary radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-16,رادار أولى,primární radar,"Primärradar, n",primary radar,radar primario,ensiötutka,"radar primaire, m",radar primario,一次レーダ,일차 레이더,radar pierwotny,radar primário,primärradar,一次雷达
713-04-17,secondary radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-17,رادار ثانوي,sekundární radar,"Sekundärradar, n",secondary radar,radar secundario,toisiotutka,"radar secondaire, m",radar secondario,二次レーダ,이차 레이더,radar wtórny,radar secundário,sekundärradar,二次雷达
713-04-18,monostatic radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-18,رادار بمحطة واحدة,monostatický radar,"monostatisches Radar, n",monostatic radar,radar monoestático,samapaikkainen tutka,"radar monostatique, m",radar monostatico,送受一体形レーダ,모노스태틱 레이더단상태 레이더송수일체형 레이더,radar monostatyczny,radar monostático,monostatisk radar,单基地雷达
713-04-19,bistatic radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-19,رادار بمحطتين,bistatický radar,"bistatisches Radar, n",bistatic radar,radar biestático,eripaikkainen tutka,"radar bistatique, m",radar bistatico,送受分離形レーダ,바이스태틱 레이더송수분리형 레이더,radar bistatyczny,radar bistático,bistatisk radar,双基地雷达
713-04-20,side-looking radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-20,رادار مسح جانبي,radar s postranním pohledemSLR,"Seitensichtradar, n",side-looking radarSLR (abbreviation),radar de visión lateral SLR (abreviatura)SLR (abreviatura),sivukulmatutka,"radar à visée latérale, m",radar a visione laterale SLR (acronimo),"側方監視レーダSLR, （略語）",측방 관측 레이더에스엘아르,radar z wiązką na bok,radar de visada lateral,sidspanande radar,侧视雷达SLR
713-04-21,synthetic aperture radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-21,رادار ذو فتحة صناعية,radar s umělou aperturouSAR,"Radar mit synthetischer Apertur, n",synthetic aperture radarSAR (abbreviation),radar de apertura sintéticaSAR (abreviatura),synteettisapertuurinen tutka,"radar à synthèse d'ouverture, mradar à antenne synthétique, mRSO (abréviation) mRAAS (abréviation) m",radar ad apertura sintetica SAR (acronimo),"合成開口レーダSAR, （略語）",합성 개구 레이더에스에이아르,radar z aperturą syntetyczną,radar de abertura sintética,syntetisk aperturradar,合成孔径雷达SAR
713-04-22,moving targets indication radar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-22,رادار الاستدلال على الأهداف المتحركة,radar pro pohyblivé cíleMTI,"Bewegtzielradar, n",moving targets indication radarMTI  (abbreviation),MTI (abreviatura)radar de indicación de objetivos móviles,liikkuvan maalin tutkaliikkuvan maalin ilmaiseva tutka,"radar à élimination des échos fixes, m",MTI (acronimo) rilevatore radardi bersagli in movimento,"移動目標指示レーダMTI, （略語）",이동 표적 지시 레이더엠티아이,radar z tłumieniem ech stałych,radar indicador de alvos móveis,fastekoundertryckande radar,动目标显示雷达MTI
713-04-23,radar beacon,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-23,منارة راداريه,radarový majákracon,"Radarantwortbake, f",radar beaconracon,baliza de radar,tutkamajakka,"balise-radar, fracon, m",risponditore radar,レーダビーコンレーコン,레이더 표지레이콘,radiolatarnia radarowa,baliza-radarracon,radarfyr,雷达信标
713-04-24,radio altimeter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-24,مقياس الارتفاع بالراديو,rádiový výškoměr,"Funk-Höhenmessgerät, nRadar-Höhenmessgerät, n",radio altimeter,radioaltímetro,radiokorkeusmittari,"radioaltimètre, m",radioaltimetro,電波高度計,전파고도계,radiowysokościomierz,radioaltímetro,radiohöjdmätare,无线电高度表
713-04-25,radio homing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-25,اهتداء راديوي,rádiové navádění,"Funkzielansteuerung, f",radio homing,radioalineación,radioavusteinen kohtiajo,"radioralliement, m",radio-guida,電波ホーミング,무선 자동추적무선 호밍,naprowadzanie radiowe,radioencaminhamento,radiovägledning,无线电寻的
713-04-26,radio guidance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-04-26,توجيه راديوي,rádiové řízení,"Funklenkung, f",radio guidance,radioguía,radio-ohjaus,"radioguidage, m",radio guida,電波誘導,무선유도,sterowanie radiowe,radioguiamento,radiostyrning,无线电制导
713-05-01,broadcasting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-01,إذاعة,vysílání,"Rundfunk, mRundsendung, f",broadcasting,radiodifusión,yleisjakelu,"télédiffusion, f",diffusione,放送,방송,"teledyfuzja, frozprowadzanie, <programów tele-wizyjnych lub dźwiękowych> n",teledifusão,radioutsändning,广播
713-05-02,broadcasting service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-02,خدمة اذاعة,vysílací služba,"Rundfunkdienst, m",broadcasting service,radiodifusión (servicio),yleisradio,"radiodiffusion, f",radiodiffusione,放送サービス,방송 서비스,"usługi radiokomunikacyjne, f pl",radiodifusão,rundradio,广播业务
713-05-03,radiotelephony,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-03,مهاتفة راديوية,radiotelefonie,"Funktelefonie, f",radiotelephony,radiotelefonía,radiopuhelinpalvelu,"radiotéléphonie, f",radiotelefonia,無線電話,무선 전화,radiotelefonia,radiotelefonia,radiotelefoni,无线电话技术
713-05-04,radiotelegraphy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-04,ابراق راديوي,radiotelegrafie,"Funktelegrafie, f",radiotelegraphy,radiotelegrafía,radiolennätinpalvelu,"radiotélégraphie, f",radiotelegrafia,無線電信,무선전신,radiotelegrafia,radiotelegrafia,radiotelegrafi,无线电报技术
713-05-05,meteorological aids service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-05,خدمة مساعدات الأرصاد الجوية,pomocná meteorologická služba,"Wetterhilfenfunkdienst, m",meteorological aids service,servicio de ayuda a la meteorología,ilmatieteen radiopalvelu,"service des auxiliaires de la météorologie, m",servizio degli ausiliari della meteorologia,気象援助業務,기상 원조 서비스,radiometeorologia,serviço de auxiliares da meteorologia,hydrometeorologiradio,气象辅助业务
713-05-06,radiosonde,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-06,مسبار راديوي,rádiová sondaradiosonda,"Funksonde, f",radiosonde,radiosonida,radiosondi,"radiosonde, f",radiosonda,ラジオゾンデ,라디오존데전파 기상 기구,radiosonda,radiossonda,radiosond,无线电高空测候器
713-05-07,Earth exploration-satellite service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-07,خدمة استكشاف الأرض بالقمر الصناعي,služba družicového průzkumu Země,"Erderkundungsfunkdienst über Satelliten, m",Earth exploration-satellite service,servicios de exploración de la tierra por satélite,maapallotutkimuksen satelliittiliikenne,"service d'exploration de la Terre par satellite, m",servizio di esplorazione della terra via satellite,地球探査衛星業務,지구 탐사 위성 서비스,badanie satelitarne ziemi,serviço de exploração da Terra por satélite,fjärranalys av jorden,卫星地球探测业务
713-05-08,space operation service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-08,خدمة العمليات الفضائية,služba kosmického provozu,"Weltraumfernwirkfunkdienst, m",space operation service,servicio de explotación espacial,avaruuslaitteiden kaukokäyttöliikenne,"service d'exploitation spatiale, m",servizio di esercizio spaziale,宇宙運用業務,우주 운용 업무,służba operacyjna kosmiczna,serviço de exploração espacial,rymdmanövreringsradio,空间操作业务
713-05-09,meteorological-satellite service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-09,خدمة القمر الصناعي للأرصاد الجوية,družicová meteorologická služba,"Wetterfunkdienst über Satelliten, m",meteorological-satellite service,servicio meteorológico por satélite,ilmatieteen satelliittiliikenne,"service de météorologie par satellite, m",servizio di meteorologia via satellite,気象衛星業務,기상 위성 서비스,służba meteorologiczna satelitarna,serviço de meteorologia por satélite,vädersatellittjänst,卫星气象业务
713-05-10,space research service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-10,خدمة البحوث الفضائية,služba kosmického výzkumu,"Weltraumforschungsfunkdienst, m",space research service,servicio de explotación espacial,avaruustutkimusliikenne,"service de recherche spatiale, m",servizio di ricerca spaziale,宇宙研究業務,우주 연구 업무,naukowa służba kosmiczna,serviço de investigação espacial,rymdforskning,空间研究业务
713-05-11,meteor trail,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-11,أثر شهابي,stopa (meteoritu),"Meteoritenspur, f",meteor trail,estela de meteoros,meteorivana,"traînée météoritique, ftraînée météorique, f",tracciato meteorico,流星痕,유성체,ślad meteoru,rasto meteorítico,meteorspår,流星余迹
713-05-12,meteor scattering communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-12,اتصال بوساطة التناثر من الشهب,komunikace meteorickým rozptylem,"Kommunikation durch Streuung an Meteoriten, f",meteor scattering communication,comunicación por difusión meteórica,meteorivanaviestintä,"communication par diffusion météoritique, fcommunication par diffusion météorique, f",comunicazione per diffusione meteorica,流星散乱通信,유성 산란 통신,łączność wykorzystująca ślad meteoru,comunicação por difusão meteorítica,meteorsspårskommunikation,流星散射通信
713-05-13,radar astronomy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-13,علم الفلك الراداري,radarová astronomie,"Radarastronomie, f",radar astronomy,radioastronomía,tutka-astronomia,"radarastronomie, f",radarastronomia,レーダ天文学,레이더 천문학,astronomia radarowa,radarastronomia,radarastronomi,雷达天文学
713-05-14,radio source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-14,مصدر راديوي,rádiový zdroj,"Radioquelle, f",radio source,fuente de radio,radiolähde,"radiosource, f",radiosorgente,電波源,전파원,źródło radiowe,radiofonte,radiokälla,射频源
713-05-15,search for extra-terrestrial intelligence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-15,البحث عن مظاهر الحضارة خارج الأرض,hledání mimozemské inteligenceSETI,"Suche nach außerirdischer Intelligenz, f",search for extra-terrestrial intelligenceSETI  (abbreviation),búsqueda de inteligencia extra-terrestre,Maan ulkopuolisen älyn etsintä,"recherche de messages extra-terrestres, fSETI  (abréviation) f",SETI (acronimo)ricerca di messaggi extra terrestri,"地球外知的生命探査SETI, （略語）",외계 지적생명체 탐사에스이티아이,poszukiwanie pozaziemskich cywilizacji,procura de mensagens extra-terrestres,sökning efter utomjordiska signaler,地外文明探索SETI
713-05-16,standard frequency and time signal service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-16,خدمة التردد القياسي وزمن الاشارة القياسي,služba kmitočtových normálů a časových signálů,"Normalfrequenz- und Zeitzeichenfunkdienst, m",standard frequency and time signal service,servicio de frecuencia patrón y de señales horarias,standarditaajuus- ja aikamerkkipalvelu,"service de fréquences étalon et de signaux horaires, m",servizio di frequenze campioni e di segnali orari,標準周波数報時業務,표준주파수 및 시보 서비스,służba wzorców częstotliwości i sygnałów czasu,serviço de frequências padrão e de sinais horários,standardfrekvens- och tidssignalsändning,标准频率和时间信号业务
713-05-17,standard frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-17,تردد قياسى,kmitočtový normál,"Normalfrequenz, f",standard frequency,frecuencia patrón,standarditaajuus,"fréquence étalon, f",frequenza campione,標準周波数,표준 주파수,częstotliwość wzorcowa,frequência padrão,standardfrekvens,标准频率
713-05-18,international atomic time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-18,زمن ذري دولي,mezinárodní atomový časIAT,"Internationale Atomzeit, f",international atomic timeTAI  (abbreviation),tiempo atómico internacional,kansainvälinen atomiaika,"temps atomique international, mTAI (abréviation) m",TAI (acronimo)tempo atomico internazionale,"国際原子時TAI, （略語）",국제원자시티에이아이,międzynarodowy czas atomowy,tempo atómico internacional,internationell atomtid,国际原子时TAI
713-05-19,universal time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-19,توقيت عالمي,světový časUTNEVHODNÝ TERMÍN: GMT (zkratka se přísně nedoporučuje v tomto smyslu),"Weltzeit, fUT, Abkürzung","universal timeUT (abbreviation)DEPRECATED: GMT,  (abbreviation strongly deprecated in this sense)",tiempo universalUT (abreviatura),maailmanaika,"temps universel, mUT (abréviation) mDÉCONSEILLÉ: GMT  (abréviation à proscrire dans ce sens) m",UT (acronimo)tempo universale,"世界時UT, （略語）",세계시유티,czas uniwersalny,tempo universal,universell tid,世界时UTGMT
713-05-20,coordinated universal time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-20,توقيت عالمي منسق,koordinovaný světový časUTC,"Koordinierte Weltzeit, fUTC, Abkürzung",coordinated universal timeUTC (abbreviation),tiempo universal coordinado,koordinoitu maailmanaika,"temps universel coordonné, mUTC (abréviation) m",tempo coordinato universale UTC (acronimo),"協定世界時UTC, （略語）",협정세계시유티시,czas uniwersalny skoordynowany,tempo universal coordenado,koordinerad universell tid,协调世界时
713-05-21,radio-amateur,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-21,هواة الراديو,radioamatér,"Funkamateur, m",radio-amateur,radio-amateur,radioamatööri,"radioamateur, m",radioamatore,アマチュア無線家,아마추어 무선,radioamator,radioamador,radioamatör,无线电业余爱好者
713-05-22,amateur station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-22,محطة الهواة,amatérská stanice,"Amateurfunkstelle, f",amateur station,estación amateur,amatööriasema,"station d'amateur, f",stazione d'amatore,アマチュア局,아마추어 국,stacja amatorska,estação de amador,amatörradiostation,业余电台
713-05-23,citizens band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-23,نطاق تردد مخصص للمواطنين,pásmo občanských radiostanicCB,"Zivilfunkband, nCB, Abkürzung",citizens bandCB  (abbreviation),banda de radioaficionado,LA-alue,"bande (de fréquences) publique, fbande de canaux banalisés, fbande CB  (abréviation) f",banda cittadinaCB (acronimo),"市民バンドCB, （略語）",시민 대역시비,pasmo obywatelskie CB (akronim),banda do cidadãobanda (de frequências) públicafaixa (de frequências) pública,privatradioband,民用频带CB
713-05-24,CB user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-24,مستعمل النطاق المخصص للمواطنين,uživatel CB,"CB-Nutzer, mZivilfunkbandnutzer, m",CB user,radioaficionado,LA-käyttäjä,"cébiste, mcibiste (terme déconseillé) m",utente CB,CBユーザ,시민 대역 사용자시비 사용자,użytkownik CB,cebista,privatradioanvändare,CB用户
713-05-25,experimental radio station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-05-25,محطة راديوية تجريبية,pokusná rádiová stanice,"Versuchsfunkstelle, f",experimental radio station,estación de radio experimental,kokeiluradioasema,"station radioélectrique expérimentale, f",stazione radio sperimentale,実験局,실험 무선국,doświadczalne stacje radiowe,estação radioeléctrica experimental,experimentstation,实验无线电台
713-06-01,frequency band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-01,نطاق التردد,kmitočtové pásmo,"Frequenzband, n",frequency band,banda de frecuencias,taajuuskaista,"bande de fréquences, f",banda di frequenza,周波数帯域,주파수 대역,pasmo częstotliwości,banda de frequênciasfaixa de frequências,frekvensband,频带
713-06-02,radio frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-02,تردد راديوي,vysoký kmitočetrádiový kmitočetvysokofrekvenčníRF,"Funkfrequenz, fRadiofrequenz, fRF",radio frequencyRF,frecuencia de radio,radiotaajuus,"radiofréquence, fRF, ffréquence radioélectrique, fDÉCONSEILLÉ: haute fréquence, f",radiofrequenza RF (acronimo),無線周波数RF,무선주파수아르에프,"częstotliwość radiowa, fczęstotliwość wielka, fw.cz.",radiofrequência,radiofrekvens,无线电频率RF
713-06-03,microwave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-03,موجة دقيقة,mikrovlna,"Mikrowelle, f",microwave,microonda,mikroaalto,"hyperfréquence, fmicro-onde, f",rnicroonde,マイクロ波,극초단파마이크로파,mikrofale,microondahiperfrequência,mikrovåg,微波
713-06-04,(radio-frequency) channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-04,قناة (تردد راديوي),(vysokofrekvenční) kanálRF kanál,"Radiofrequenzkanal, mFunkfrequenzkanal, mRF-Kanal, m",(radio-frequency) channelRF channel,canal de radiofrecuencia (canal de RF),radiokanava,"canal (radioélectrique), mradiocanal, mcanal RF, m",canale a radiofrequenza canale RF,無線周波数チャネルチャネルRFチャネル,무선 주파수 채널아르에프 채널,kanał w.cz.,canal (radioeléctrico)canal de rádiocanal RF,radiofrekvenskanal,射频信道RF信道
713-06-05,allocation (of a frequency band),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-05,تحديد (لنطاق تردد),"přidělení, <kmitočtového pásma>","Zuweisung, <eines Frequenzbandes> f",allocation (of a frequency band),atribución (de una banda de frecuencias),taajuusjako liikennelajeilletaajuusjako radioliikennelajeille,attribution (d'une bande de fréquences) f,attribuzione di una banda di frequenza,"分配, <無線周波帯の>","할당, <주파수대역>",przydział częstotliwości,atribuição (de uma banda de frequências),upplåtelse av frekvensband,"划分, <频带的>"
713-06-06,allocated frequency band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-06,نطاق التردد المخصص,přidělené kmitočtové pásmo,"zugewiesenes Frequenzband, n",allocated frequency band,banda de frecuencias atribuida,liikennelajille jaettu taajuuskaista,"bande de fréquences attribuée, f",banda di frequenza attribuita,分配周波数帯,할당 주파수 대역,pasmo częstotliwości przydzielone,banda de frequência atribuída,upplåtet frekvensband,划分的频带
713-06-07,allotment (of a radio frequency or radio-frequency channel),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-07,حصة (لتردد راديوي أو لقناة تردد راديوي),"skupinové přidělení, <vysokofrekvenčního kmitočtu nebo vysokofrekvenčníhokanálu>","Verteilung, <einer Radiofrequenz oder eines Radiofrequenzkanals> f",allotment (of a radio frequency or radio-frequency channel),adjudicación (de una frecuencia o canal de radiofrecuencia),taajuuden tai radiokanavan osoitus alueelletaajuuden tai radiokanavan osoitus maantieteelliselle alueelle,allotissement (d'une fréquence ou d'un canal radioélectrique) m,allocazione (di una canale a radio frequenza),"区域分配, <無線周波数または無線周波チャネルの>","구역분배, <무선 주파수 또는 무선 주파수 채널>",przydział (częstotliwości radiowej lub kanału radiowego),adjudicação (de uma frequência ou de um canal radioeléctrico),frekvensutdelning,"分配, <无线电频率或射频频道的>"
713-06-08,assignment (of a radio frequency or radio-frequency channel),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-08,تخصيص (لتردد راديوي أو لقناة تردد راديوى),"příděl, <vysokofrekvenčního kmitočtu nebo vysokofrekvenčníhokanálu>","Zuteilung, <einer Radiofrequenz oder eines Radiofrequenzkanals> f",assignment (of a radio frequency or radio-frequency channel),asignación (de una frecuencia de radio o de un canal de radiofrecuencia),taajuudenanto,assignation (d'une fréquence ou d'un canal radioélectrique) f,assegnazione (di un canale a radio frequenza),"割当て, <無線周波数または無線周波チャネルの>","할당, <무선 주파수 또는 무선 주파수 채널>",wyznaczenie (częstotliwości radiowej lub kanału radiowego),consignação (de uma frequência ou de um canal radioeléctrico),frekvenstilldelning,"指配, <无线电频率或射频频道的>"
713-06-09,assigned channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-09,قناة مخصصة,přidělený kanálpřidělené pásmo,"zugeteilter Kanal, mzugeteiltes Frequenzband, n",assigned channelassigned band,banda asignadacanal asignado,annettu kanavaannettu taajuuskaista,"canal assigné, mbande assignée, f",banda assegnatacanale assegnato,割当チャネル割当周波数帯,할당 채널할당 대역,kanał przypisany,canal consignadobanda consignada,tilldelat frekvensband,指配信道指配频带
713-06-10,assigned frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-10,تردد مخصص,přidělený kmitočet,"zugeteilte Frequenz, f",assigned frequency,frecuencia asignada,asemalle annettu taajuus,"fréquence assignée, f",frequenza assegnata,割当周波数,할당 주파수,częstotliwość przypisana,frequência consignada,tilldelad frekvens,指配频率
713-06-11,"characteristic frequency,  (of an emission)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-11,تردد مميز(للبث),"charakteristický kmitočet, <vysílání>","charakteristische Frequenz, <einer Aussendung> f","characteristic frequency,  (of an emission)",frecuencia característica (de una emisión),lähetteen karakteristinen taajuus,fréquence caractéristique (d'une émission) f,frequenza caratteristica (di una emissione),"特性周波数, <発射の>","특성 주파수, <방출>",częstotliwość charakterystyczna,frequência característica (de uma emissão),karakteristisk frekvens,"特征频率, <发射的>"
713-06-12,"reference frequency,  (of an emission)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-12,تردد مرجعي (للبث),"referenční kmitočet, <vysílání>","Referenzfrequenz, <einer Aussendung> fBezugsfrequenz, <einer Aussendung> f","reference frequency,  (of an emission)",frecuencia de referencia (de una emisión),lähetteen referenssitaajuus,fréquence de référence (d'une émission) f,frequenza di riferimento (di una emissione),"基準周波数, <発射の>","기준 주파수, <방출>",częstotliwość odniesienia,frequência de referência (de uma emissão),referensfrekvens,"参考频率, <发射的>"
713-06-13,"frequency tolerance,  (of an emission)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-13,تفاوت التردد(للبث),"kmitočtová tolerance, <vysílání>","Frequenztoleranz, <einer Aussendung> f","frequency tolerance,  (of an emission)",tolerancia de frecuencia (de una emisión),lähetteen taajuustoleranssi,tolérance de fréquence (d'une émission) f,tolleranza di frequenza (di una emissione),"周波数許容偏差, <発射の>","주파수 허용 편차, <방출>",tolerancja częstotliwości,tolerância de frequência (de uma emissão),frekvenstolerans,"频率容限, <发射的>"
713-06-14,"necessary bandwidth,  (of an emission)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-14,عرض النطاق الترددي المطلوب (للبث),"potřebná šířka pásma, <vysílání>","erforderliche Bandbreite, <einer Aussendung> f","necessary bandwidth,  (of an emission)",ancho de banda necesario,tarvittava kaistaleveys,largeur de bande nécessaire (d'une émission) f,larghezza di banda necessaria (di una emissione),"必要周波数帯域, <発射の>","필요 대역폭, <방출>",wymagana szerokość pasma,largura da banda necessária,erforderlig bandbredd,"必要带宽, <发射的>"
713-06-15,baseband,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-15,نطاق التردد الرئيسي,základní pásmo,"Basisband, n",baseband,banda base,kantataajuuskaista,"bande de base, f",banda base,ベースバンド,기저대,"pasmo podstawowe, n",banda basebanda de base,basband,基带
713-06-16,baseband bandwidth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-16,حيز نطاق التردد الرئيسي,šířka základního pásma,"Basisband-Bandbreite, fBasisbandbreite, f",baseband bandwidth,ancho de banda base,kantataajuuskaistan leveys,"largeur de la bande de base, f",larghezza di banda base,ベースバンド帯域幅,기저대 주파수 대역,szerokość pasma podstawowego,largura de banda de base,basbandsbredd,基带带宽
713-06-17,bandwidth expansion ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-17,نسبة اتساع عرض النطاق الترددي,poměr rozšíření šířky pásma,"Bandbreiten-Erweiterungsverhältnis, n",bandwidth expansion ratio,relación de expansión del ancho de banda,kaistaleveyden laajennussuhde,"rapport d'étalement de la largeur de bande, m",rapporto di espansione della larghezza di banda,帯域幅伸張比,대역폭 확장비,współczynnik rozszerzenia pasma,relação de expansão da largura de banda,bandbreddsexpansion,带宽扩展比
713-06-18,occupied band (of an emission),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-18,نطاق ترددي مشغول (للبث),"obsazené pásmo, <vysílání>","belegtes Band, <einer Aussendung> n",occupied band (of an emission),banda ocupada (de una emisión),lähetteen käyttämä kaista,bande occupée (par une émission) f,banda occupata (di une emissione),"占有帯域幅, <発射の>","점유 대역, <방출>",pasmo zajmowane,banda ocupada (por uma emissão),upptaget band,"占用频带, <发射的>"
713-06-19,occupied bandwidth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-19,عرض نطاق ترددي مشغول,obsazená šířka pásma,"belegte Bandbreite, f",occupied bandwidth,ancho de banda ocupada,käytetty kaistaleveys,"largeur de bande occupée, f",larghezza di banda occupata,占有周波数帯域幅,점유 대역폭,szerokość zajmowanego pasma,largura de banda ocupada,upptagen bandbredd,占用带宽
713-06-20,shared band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-20,نطاق ترددي مشترك,sdílené pásmo,"gemeinsam genutztes Band, n",shared band,banda compartida,jaettu taajuuskaista,"bande partagée, f",banda in condivisione,共用バンド,공유 대역,pasmo wydzielone,banda partilhada,delat band,共用频带
713-06-21,adjacent channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-21,قناة مجاورة,sousední kanál,"Nachbarkanal, m",adjacent channel,canal adyacente,naapurikanava,"canal adjacent, m",canale adiacente,隣接チャネル,인접 채널,kanał sąsiedni,canal adjacente,grannkanal,相邻信道
713-06-22,second adjacent channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-22,قناة مجاورة ثانية,druhý sousední kanál,"zweiter Nachbarkanal, m",second adjacent channel,canal adyacente secundario,toiseksi lähin kanava,"canal deuxième adjacent, m",secondo canale adiacente,第二隣接チャネル,이차 인접 채널,następny kanał sąsiedni,segundo canal adjacente,,第二相邻信道
713-06-23,"co-channel, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-23,قناة مشتركة,společný kanál,"Gleichkanal..., in Zusammensetzungen","co-channel, adj",cocanal (adjetivo),samakanava-,"cocanal, adjcofréquence, adj",co-canale (aggettivo),"同一チャネル, 形容詞",동일 채널,wspólnokanałowy,desvio (adjectivo)cocanal (adjectivo),,同频道的
713-06-24,orthogonal channels,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-06-24,قنوات متعامدة,ortogonální kanály,"orthogonale Kanäle, m, pl",orthogonal channels,canales ortogonales,ortogonaaliset kanavat,"canaux orthogonaux, m pl",canali ortogonali,直交チャネル,직교 채널,kanał ortogonalny,canais ortogonais,ortogonala kanaler,正交信道
