term_id,term,term_url,ar,de,en,fr,it,ja,ko,pl,pt,sv,zh
891-02-43,latent period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-43,فترة كمون,"Latenzdauer, f",latent period,"période de latence, f",periodo di latenzaperiodo latente,潜伏期,잠복기,okres latencji okres utajenia,período de latência,latenstid,"潜伏期, <相关条目：IEV:891-02-42>"
891-02-44,electrical subnormality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-44,حالة إنخفاض الإثارة الكهربائية,"elektrische Subnormalität, f",electrical subnormality,"subnormalité électrique, f",subnormalità elettrica,電気的次常性,전기적 준정상,subnormalność elektryczna,subnormalidade eléctrica,sänkt elektrisk retbarhet,电逊常态
891-02-45,accommodation (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-45,ملائمة (في علم الكهروحيوية),"Einstellung, <in der Elektrobiologie> f",accommodation (in electrobiology),accommodation (en électrobiologie) f,accomodamento,順応,"순응, 전기생물학적응, 전기생물학",akomodacja (w elektrobiologii),acomodação (em electrobiologia),ackommodation,"适应, <生物电学>"
891-02-46,facilitation (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-46,زيادة طفيفة فى الإثارة ( فى الكهروحيوية),"Erleichterung, <in der Elektrobiologie> f",facilitation (in electrobiology),facilitation (en électrobiologie) f,facilitazione,促通,"촉진, 전기생물학촉통, 전기생물학",torowanie bodźców (w elektrobiologii),facilitação (em electrobiologia),facilitering,"易化, <生物电学>"
891-02-47,absolute refractory period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-47,فترة صمود مطلقة,"absolute Refraktärdauer, f",absolute refractory period,"période réfractaire absolue, f",periodo refrattario assoluto,絶対不応期,절대불응기,okres refrakcji bezwzględny,período refractário absoluto,absolut refraktärperiod,绝对不应期
891-02-48,relative refractory period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-48,فترة صمود نسبية,"relative Refraktärdauer, f",relative refractory period,"période réfractaire relative, f",periodo refrattario relativo,相対不応期,상대불응기,okres refrakcji względny,período refractário relativo,relativ refraktärperiod,相对不应期
891-02-49,electrotonus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-49,توتر كهربائى,"Elektrotonus, m",electrotonus,"électrotonus, m",elettrotono,電気緊張,전기긴장,elektrotonus,electrotónus,tonus,电紧张
891-02-50,electrotonic wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-50,موجة جهد كهربائىموجة إلكترونية,"elektrotonische Welle, f",electrotonic wave,"onde électrotonique, f",onda elettrotonica,電気緊張性波,전기긴장파,sygnał elektrotoniczny,onda electrotónica,tonisk våg,电紧张波形
891-02-51,impedance of the skin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-51,معاوقة الجلد,"Impedanz der Haut, f",impedance of the skin,"impédance de la peau, f",impedenza della pelleimpedenza della cute,皮膚インピーダンス,피부 임피던스,impedancja skóry,impedância da pele,hudimpedans,皮肤阻抗
891-02-52,internal impedance of the human body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-52,معاوقة داخلية لجسم الإنسان,"interne Impedanz des menschlichen Körpers, f",internal impedance of the human body,"impédance interne du corps humain, f",impedenza interna del corpo umano,人体の内部インピーダンス,인체 내부 임픽던스,impedancja wewnętrzna ciała ludzkiego,impedância interna do corpo humano,inre kroppsimpedans,人体内部阻抗
891-02-53,total impedance of the human body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-53,معاوقة كلية لجسم الإنسان,"Gesamtimpedanz des menschlichen Körpers, f",total impedance of the human body,"impédance totale du corps humain, f",impedenza totale del corpo umano,人体の総インピーダンス,인체 총 임피던스,impedancja całkowita ciała ludzkiego,impedância total do corpo humano,total kroppsimpedans,人体总阻抗
891-02-54,initial resistance of the human body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-54,معاوقة أولية لجسم الإنسان,"Anfangswiderstand des menschlichen Körpers, m",initial resistance of the human body,"résistance initiale du corps humain, f",rewsistenza iniziale del corpo umano,人体の初期抵抗,인체 초기 저항,rezystancja początkowa ciała ludzkiego,resistência inicial do corpo humano,initial kroppsresistans,人体初始电阻
891-02-55,electrical stimulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-55,تنبيه كهربائىإستثارة كهربائية,"elektrische Stimulation, fElektrostimulation, f",electrical stimulationelectrostimulation,"stimulation électrique, félectrostimulation, f",stimolazione elettrica,電気刺激,전기 자극,stymulacja elektryczna elektrostymulacja,estimulação eléctricaelectro-estimulação,elektrisk retning,电刺激
891-02-56,magnetic stimulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-56,تنبيه مغناطيسىإستثارة مغناطيسية,"magnetische Stimulation, fMagnetostimulation, f",magnetic stimulationmagnetostimulation,"stimulation magnétique, fmagnétostimulation, f",stimolazione magnetica,磁気刺激,자기자극,stymulacja magnetyczna magnetostymulacja,estimulação magnéticamagnetostimulação,magnetisk retning,磁刺激
891-02-57,electrochemistry (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-57,علم الكهروكيمياء ( فى الكهروحيوية),"Elektrochemie, f",electrochemistry (in electrobiology),électrochimie (en électrobiologie) f,elettrochimica,電気化学,"전기화학, 전기생물학",elektrochemia (w elektrobiologii),electroquímica (em electrobiologia),kemi,"电化学, <生物电学>"
891-02-58,electroviscous effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-58,أثر تخفيض اللزوجة كهربائياً,"elektroviskotischer Effekt, m",electroviscous effect,"effet électrovisqueux, m",effetto elettroviscoso,電気粘性効果,전기점성 효과,efekt lepkości elektryczny,efeito electroviscoso,viskös effekt,电滞效应
891-02-59,electrophonic effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-59,أثر الإحساس السمعى الكهربائى,"elektrophonischer Effekt, m",electrophonic effect,"effet électrophonique, m",effetto elettrofonico,電気聴覚,전자음 효과,efekt elektrofoniczny,efeito electrofónico,fonisk effekt,电声效应
891-02-60,electrical phosphene,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-60,إحساس بصرى كهربائى,"elektrisches Phosphen, n",electrical phosphene,"phosphène électrique, m",fosfene elettrico,電気眼閃,전기 안내섬광전기 눈섬광,fosfen elektryczny błysk elektryczny,fosfeno eléctrico,fosfen effekt,电光幻视
891-02-61,electrically induced taste,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-61,تذوق مستحث بلإستثارة الكهربائية,"elektrisch verursachter Geschmack, m",electrically induced taste,"goût électrique, m",elettrogustogusto elettrico indotto,電気味覚,전기적 유도된 맛전기미각,posmak wywołany elektrycznie,gosto eléctrico,elstimulerad smaksensation,电诱导味觉
891-02-62,electrotactile effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-62,أثر الإحساس باللمس بالإستثارة الكهربائية,"elektrotaktiler Effekt, m",electrotactile effect,"effet électrotactile, m",effetto elettrotattile,電気触覚効果,전기 촉각 효과,efekt dotykowy elektryczny,efeito electrotáctil,taktil effekt,电触觉效应
891-02-63,pyroelectric effect (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-63,أثر الإحساس بالإستثارة الكهربائية ( فى الكهروحيوية),"pyroelektrischer Effekt, <in der Elektrobiologie> m",pyroelectric effect (in electrobiology),effet pyro-électrique (en électrobiologie) m,effetto piroelettrico,焦電気効果,"초전효과, 전기생물학",efekt pyro-elektryczny (w elektrobiologii),efeito piro-eléctrico (em electrobiologia),pyroelektrisk effekt,"热电效应, <生物电学>"
891-02-64,perception threshold (current) (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-64,تيار بدء الادراك الحسي(في الكهروحيوية),"Wahrnehmungs-Schwellenstrom, <in der Elektrobiologie> m",perception threshold (current) (in electrobiology),seuil de perception (du courant) (en électrobiologie) m,soglia di percezione (della corrente),"知覚閾値, <電流>","지각 문턱 전류, 전기생물학",próg percepcji prądowej (w elektrobiologii) próg wrażliwości prądowej,limiar de percepção (da corrente) (em electrobiologia),perceptionströskel,"感知阈, <电流>"
891-02-65,electrical-phosphene threshold,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-65,تيار بدء الاحساس البصري,"Phosphen-Schwellenstrom, m",electrical-phosphene threshold,"seuil d'un phosphène électrique, m",soglia di un fosfene elettrico,電気眼閃閾値,전기 눈섬광 문턱값전기섬광 문턱값,próg fosfenu elektrycznego próg błysku elektrycznego,limiar de um fosfeno eléctrico,fosfentröskel,电光幻视阈
891-02-66,electrophonic threshold,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-66,تيار بدء الاحساس السمعي,"Elektrophon-Schwellenstrom, m",electrophonic threshold,"seuil d'un effet électrophonique, m",soglia di un effetto elettrofonico,電気聴覚閾値,전자음 문턱값전기청각 문턱값,próg elektrofoniczny,limiar de um efeito electrofónico,fontröskel,电声阈
891-02-67,electrotactile threshold,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-67,تيار بدء الاحساس باللمس,"Elektrotaktil-Schwellenstrom, m",electrotactile threshold,"seuil d'un effet électrotactile, m",soglia di un effetto elettrotattile,電気触覚閾値,전기촉각 문턱값,próg dotykowy elektryczny,limiar de um efeito electrotáctil,taktiliseringströskel,电触觉阈
891-02-68,pain threshold (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-68,التنبيه الكهربائي للالم(في الكهروحيوية),"Schmerz-Schwellenstrom, <in der Elektrobiologie> m",pain threshold (in electrobiology),seuil de douleur (en électrobiologie) m,soglia del dolore,疼痛閾値,"통증 문턱값, 전기생물학",próg bólu (w elektrobiologii),limiar de dor (em electrobiologia),smärttröskel,"痛阈, <生物电学>"
891-02-69,let-go threshold (current),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-69,الحد الأقصى للتيار الذي يفقد بعده الجسم  السيطرة على العضلات,"Loslass-Schwellenstrom, m",let-go threshold (current)release current  (deprecated),"limite de lâcher, fseuil de non lâcher, m",soglia di rilascio,離脱閾値,이탈전류 문턱값가수전류 문턱값,próg samouwolnienia,limiar de largar,släppströmströskel,"耐受阈, <电流>"
891-02-70,tetanization threshold (current),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-70,تيار بدء التشنج,"Tetanisierungs-Schwellenstrom, m",tetanization threshold (current),"seuil de tétanisation, m",soglia di tetanizzazione,"痙攣閾値, <電流>","강직경련 문턱값, 전류",próg tetanizacji prądowej,limiar de tetanização,tetaniseringströskel,"强直电刺激阈, <电流>"
891-02-71,threshold of atrial fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-71,بدء الرجفان الأذيني,"Vorhofflimmern-Schwellenstrom, m",threshold of atrial fibrillation,"seuil de fibrillation auriculaire, m",soglia di fibrillazione auricolare,心房細動閾値,심방세동 문턱값,próg migotania przedsionków próg fibrylacji przedsionków,limiar de fibrilhação auricular,förmaksflimmertröskel,心房纤颤阈
891-02-72,threshold of ventricular fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-72,بدء الرجفان البطيني,"Herzkammerflimmern-Schwellenstrom, m",threshold of ventricular fibrillationventricular fibrillation threshold  (current),"seuil de fibrillation ventriculaire, m",soglia di fibrillazione ventricolare,心室細動閾値,심실 세동 문턱값,próg migotania komór próg fibrylacji komór,limiar de fibrilhação ventricular,kammarflimmertröskel,"心室纤颤阈, <电流>"
891-02-73,heart current factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-73,عامل تيار القلب,"Herzstromfaktor, m",heart current factor,"facteur de courant de coeur, m",fattore di corrente cardiaca,心電流因子,심전류 계수,współczynnik prądu serca,factor de corrente de coração,hjärtströmsfaktor,心脏电流系数
891-02-74,DC/AC equivalence factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-74,عامل تكافؤ للتيار (المستمر / المتردد),"Gleichstrom-Wechselstrom-Äquivalenzfaktor, m",DC/AC equivalence factor,facteur d'équivalence entre courant continu et courant alternatif (en électrobiologie) m,fattore d'equivalenza tra corrente continua e corrente alternatafattore d'equivalenza DC/AC,DC/AC同値要素,직류/교류 등가 계수,współczynnik równowagi DC/AC,factor de equivalência entre corrente contínua e corrente alterna (em electrobiologia),,直流/交流当量因子
891-02-75,vulnerable period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-75,فترة غير آمنة,"Empfindlichkeitsphase, f",vulnerable period,"période vulnérable, f",periodo vulnerabile,受攻期,수공기간취약기간,okres nadwrażliwości,período vulnerável,vulnerabelt intervall,易颤期
891-02-76,longitudinal current (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-76,تيار طولى ( فى الكهروحيوية),"Längsstrom, <in der Elektrobiologie> m",longitudinal current (in electrobiology),courant longitudinal (en électrobiologie) m,corrente longitudinale,縦走電流,"종향 전류, 전기생물학종단전류, 전기생물학",prąd wzdłużny (w elektrobiologii),corrente longitudinal (em electrobiologia),longitudinell ström,"纵向电流, <生物电学>"
891-02-77,transverse current (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-77,تيار مستعرض ( فى الكهروحيوية),"Querstrom, <in der Elektrobiologie> m",transverse current (in electrobiology),courant transversal (en électrobiologie) m,corrente trasversale,横断電流,"횡향 전류, 전기생물학횡단 전류, 전기생물학",prąd poprzeczny (w elektrobiologii),corrente transversal (em electrobiologia),transversell ström,"横向电流, <生物电学>"
891-02-78,upward current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-78,تيار صاعد,"Aufwärtsstrom, m",upward currentrising current  (deprecated),"courant montant, m",corrente montante,上向電流,상향전류,prąd wstępujący,corrente ascendente,kraniell ström,上升电流
891-02-79,downward current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-79,تيار هابط,"Abwärtsstrom, m",downward currentfalling current  (deprecated),"courant descendant, m",corrente discendente,下向性電流,하향 전류,prąd zstępujący,corrente descendente,kaudal ström,下降电流
891-02-80,specific fibrillation energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-80,طاقة الرجفان النوعية,"spezifische Fibrillationsenergie, f",specific fibrillation energy,"énergie spécifique de fibrillation, f",energia specifica di fibrillazione,固有細動エネルギー,고유 세동 에너지,energia specyficzna migotania energia specyficzna fibrylacji,energia específica de fibrilhação,specifik flimmerenergi,特定颤能
891-02-81,specific fibrillation charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-81,شحنة الرجفان النوعية,"spezifische Fibrillationsladung, f",specific fibrillation charge,"charge spécifique de fibrillation, f",carica specifica di fibrillazione,比細動電荷,비세동 전하,ładunek specyficzny migotania ładunek specyficzny fibrylacji,carga específica de fibrilhação,specifik flimmerladdning,特定颤电荷
891-02-82,frequency factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-82,عامل التردد,"Frequenzfaktor, m",frequency factor,"facteur de fréquence, m",fattore di frequenza,周波数因子,주파수 인자주파수 계수,współczynnik częstotliwości,factor de frequência,fysiologisk frekvensfaktor,频率因子
891-02-83,ion transfer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-83,إنتقال الأيونات,"Ionentransfer, m",ion transfer,"transfert d'ions, m",trasporto ionico,イオンの転移,이온 전달,przepływ jonowy,transferência de iões,jontransport,离子迁移
891-02-84,electro-osmosis (in electrophysiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-84,تناضح كهربائي ( في علم الظواهر الكهربائية لوظائف الأعضاء ),"Elektroosmose, <in der Elektrophysiologie> f",electro-osmosis (in electrophysiology),électro-osmose (en électrophysiologie) f,elettroosmosi,電気浸透,"전기삼투, 전기생물학",elektroosmoza (w elektrofizjologii),electro-osmose (em electrofisiologia),osmos,"电渗, <电生理学>"
891-02-85,electrogenesis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-85,نشؤ الكهربائى,"Elektrogenese, f",electrogenesis,"électrogénèse, f",elettrogenesi,電気発生,전기발생생물발전,elektrogeneza,electrogénese,genes,生电作用
891-03-01,electropathology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-01,كهرباء علم الامراض,"Elektropathologie, f",electropathology,"électropathologie, f",elettropatologia,電気病理学,전기병리학,elektropatologia,electropatologia,patologi,电病理学
891-03-02,injury potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-02,جهد الإصابة,"Verletzungspotential, n",injury potential,"potentiel de lésion, m",potenziale di lesionepotenziale lesivo,負傷電位,손상전위,potencjał obrażenia,potencial de lesão,skadepotential,损伤电位
891-03-03,electric shock,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-03,صدمة كهربائية,"elektrischer Schlag, m",electric shock,"choc électrique, m",elettroshock,感電,감전,porażenie,choque eléctrico,elchock,电击
891-03-04,electric shock (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-04,صدمة كهربائية ( فى الكهروحيوية),"elektrischer Schlag, <in der Elektrobiologie> m",electric shock (in electrobiology),choc électrique (en électrobiologie) m,elettroshock,電気ショック,"감전, 전기생물학",szok elektryczny (w elektrobiologii),choque eléctrico (em electrobiologia),elektrochock,"电休克, <生物电学>"
891-03-05,electrical traumatism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-05,رضوض كهربائية,"elektrische Verletzung, f",electrical traumatism,"électrotraumatisme, m",elettrotrauma,電気的外傷,전기적 외상,urazowość elektryczna,electrotraumatismo,elskada,电创伤
891-03-06,electrocution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-06,صعق كهربائي,"tödlicher elektrischer Schlag, m",electrocution,"électrocution, f",elettroshock letaleelettroshock mortale,感電死,감전사,porażenie śmiertelne prądem,electrocução,dödande elchock,致死性电击
891-03-07,atrial electrofibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-07,رجفان أذينى كهربائى,"Vorhofelektroflimmern, n",atrial electrofibrillationauricular electrofibrillation,"électrofibrillation auriculaire, f",elettrofibrillazione atriale,電気心房細動,심방 전기세동,elektrofibrylacja przedsionków,electrofibrilhação auricular,strömutlöst förmaksflimmer,电诱发房颤
891-03-08,ventricular electrofibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-08,رجفان بطينى كهربائى,"Herzkammerelektroflimmern, n",ventricular electrofibrillation,"électrofibrillation ventriculaire, f",elettrofibrillazione ventricolare,電気心室細動,심실 전기세동,elektrofibrylacja komór,electrofibrilhação ventricular,strömutlöst kammarflimmer,电诱发室颤
891-03-09,lightning strike,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-09,ضربة صاعقة,"Blitzschlag, m",lightning strike,"foudroiement, m",folgorazionefulminazione,落雷による感電,벼락뇌해,porażenie piorunem,descarga atmosférica,blixtnedslagschock,雷击
891-03-10,. . . . .,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-10,,"Elektrokoma, n",. . . . .,"électrocoma, m",elettrocoma,電気的昏睡,전기적 혼수,elektrosen,electrocoma,elframkallat koma,电致昏迷
891-03-11,threshold of burning by current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-11,بداية الاحتراق بالتيار الكهربائي,"Schwellenwert einer durch Strom verursachten Verbrennung, m",threshold of burning by current,"seuil de brûlure électrothermique, m",soglia di bruciatura elettrotermica,電流による燃焼閾値,연소 전류 문턱값,próg poparzenia prądem,limiar de queimadura electrotérmica,elbrännskadetröskel,电流灼伤阈值
891-03-12,threshold of burning by arc,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-12,بدايةالاحتراق بالقوس الكهربائي,"Schwellenwert einer durch Lichtbogen verursachten Verbrennung, m",threshold of burning by arc,"seuil de brûlure par arc, m",soglia di bruciatura da arco elettrico,アークによる燃焼閾値,연소 아크 문턱값,próg poparzenia łukiem,limiar de queimadura por arco,ljusbågsskadetröskel,电弧灼伤阈值
891-03-13,oral galvanism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-03-13,طلاء فمي,"oraler Galvanismus, m",oral galvanism,"galvanisme buccal, m",galvanismo orale,口内直流通電法,구강 직류전기법,galwanizacja ustna,galvanismo oral,oral galvanism,口腔电疗法
891-04-01,electrodiagnosis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-01,تشخيص بالكهرباء,"Elektrodiagnose, f",electrodiagnosis,"électrodiagnostic, m",elettrodiagnostica,電気診断,전기 진단법,elektrodiagnostyka,electrodiagnóstico,elektrodiagnostik,电诊断
891-04-02,passive electrodiagnosis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-02,تشخيص  كهربائي غير فاعل,"passive Elektrodiagnose, f",passive electrodiagnosis,"électrodiagnostic de détection, m",elettrodiagnostica di rilevazione,受動的電気診断,수동 전기진단법,elektrodiagnostyka bierna,electrodiagnóstico passivoelectrodiagnóstico de detecção,passiv elektrodiagnostik,被动电诊断
891-04-03,active electrodiagnosis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-03,تشخيص  كهربائي  فاعل,"aktive Elektrodiagnose, f",active electrodiagnosis,"électrodiagnostic de stimulation, mstimulodétection, f",elettrodiagnostica di stimolazioneelettrodiagnosi attiva,能動的電気診断,능동 전기진단법,elektrodiagnostyka czynna,electrodiagnóstico activoelectrodiagnóstico de estimulação,aktiv elektrodiagnostik,主动电诊断
891-04-04,differential amplifier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-04,مكبر تفاضلى,"Differenzverstärker, m",differential amplifier,"amplificateur différentiel, m",amplificatore differenziale,差動増幅器,차동증폭기,wzmacniacz różnicowy,amplificador diferencial,differentialförstärkare,差分放大器
891-04-05,common-mode signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-05,إشارة النظام الشائعإشارة بطريقة شائعة,"Gleichtaktsignal, n",common-mode signal,"signal de mode commun, m",segnale di/in modo comune,同相信号,동상 신호동상모드 신호,sygnał współbieżny sygnał synfazowy,sinal de modo comum,ifassignal,共模信号
891-04-06,common-mode rejection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-06,رفض النظام  الشائعرفض بطريقة شائعة,"Gleichtaktunterdrückung, f",common-mode rejection,"réjection de mode commun, f",reiezione di/in modo comune,同相除去性,동상 제거공통모드 제거,tłumienie sygnału współbieżnego tłumienie sygnału synfazowego,rejeição de modo comum,ifasundertryckning,共模抑制
891-04-07,common-mode rejection ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-07,نسبة رفض النظام  الشائعنسبة رفض بطريقة شائعة,"Gleichtaktunterdrückungsverhältnis, n",common-mode rejection ratioCMRR (abbreviation),"rapport de réjection de mode commun, m",rapporto di reiezione in modo comune,"同相弁別比CMRR, （略語）",공통 모드 제거비동상 제거비,współczynnik tłumienia sygnału współbieżnego współczynnik tłumienia sygnału synfazowego CMRR (akronim),relação de rejeição de modo comum,ifasundertryckningsfaktor,共模抑制比
891-04-08,receptive field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-08,مجال إستقبال حسى,"Aufnahmefeld, nLeitungsfeld, n",receptive fieldlead field,"champ réceptif, m",campo ricettivo,受容野,수용 영역수용장,pole odbioru,campo receptivo,receptionsområde,接收域导联域
891-04-09,electrocardiogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-09,رسم كهربائى للقلب,"Elektrokardiogramm, nEKG, Abkürzung",electrocardiogramECG (abbreviation),"électrocardiogramme, mECG (abréviation) m",elettrocardiogramma,"心電図ECG, （略語）",심전도,elektrokardiogram EKG (akronim),electrocardiogramaECG (abreviatura),EKGkardiogram,心电图
891-04-10,ECG waves,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-10,موجات الرسم الكهربائى للقلب,"EKG-Wellen, f, pl",ECG waves,"ondes ECG, f pl",onde ECG,ECG波,심전도 파이시지파,załamki EKG,ondas ECG,EKG-vågor,心电图波形
891-04-11,electrocardiograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-11,راسم  الكهربائى للقلب,"Elektrokardiograph, m",electrocardiograph,"électrocardiographe, m",elettrocardiografo,心電計,심전도계심전계,elektrokardiograf,electrocardiógrafo,kardiograf,心电图仪
891-04-12,electrocardiography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-12,تقنية الكشف بالرسم الكهربائى للقلب,"Elektrokardiographie, f",electrocardiography,"électrocardiographie, f",elettrocardiografia,心電図法,심전도법심전도검사,elektrokardiografia,electrocardiografia,kardiografi,心电图学
891-04-13,electrocardioscope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-13,منظار كهربائى للقلب,"Elektrokardioskop, n",electrocardioscope,"électrocardioscope, m",elettrocardioscopico,心電直視器,심전직시기심전도,elektrokardioskop,electrocardioscópio,kardioskop,心电示波器
891-04-14,electrocardioscopy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-14,تقنية الكشف بالمنظار الكهربائى للقلب,"Elektrokardioskopie, f",electrocardioscopy,"électrocardioscopie, f",elettrocardioscopia,心電表示法,심전도심전표시법,elektrokardioskopia,electrocardioscopia,kardioskopi,心电监测
891-04-15,Wilson centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-15,مركز ويلسون,"Wilson-Zentrum, n",Wilson centre,"centre de Wilson, m",centro di Wilson,ウイルソン中心,윌슨 중심윌슨 센터,punkt Wilsona,centro de Wilson,referenspunkt för Wilson-avledning,威尔逊中心
891-04-16,vector electrocardiogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-16,منحى الرسم البياني الكهربائي للقلب,"Vektorelektrokardiogramm, nVektorkardiogramm, n",vector electrocardiogramvectorcardiogram,"électrocardiogramme vectoriel, mélectrocardiovectogramme, m",elettrocardiogramma vettoriale,ベクトル心電図,벡터 심전도,elektrokardiogram wektorowy wektokardiogram,electrocardiograma vectorialcardiovectograma,vektorkardiogram,矢量心电图
891-04-17,magnetocardiogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-17,رسم مغناطيسي للقلب,"Magnetokardiogramm, n",magnetocardiogram,"magnétocardiogramme, m",magnetocardiogramma,心磁図,심자도,magnetokardiogram,magnetocardiograma,magnetokardiogram,心磁图
891-04-18,magnetocardiograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-18,راسم مغناطيسي للقلب,"Magnetokardiograph, m",magnetocardiograph,"magnétocardiographe, m",magnetocardiografo,心磁計,심자계,magnetokardiograf.,magnetocardiógrafo,magnetokardiograf,心磁图仪
891-04-19,magnetocardiography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-19,تقنية الكشف بالرسم  المغناطيسي للقلب,"Magnetokardiographie, f",magnetocardiography,"magnétocardiographie, f",magnetocardiografia,心磁図法,심자도법,magnetokardiografia,magnetocardiografia,magnetokardiografi,心磁图学
891-04-20,electrocorticogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-20,رسم كهربائى للقشرة الدماغية,"Elektrokortikogramm, n",electrocorticogram,"électrocorticogramme, m",elettrocorticogramma,皮質脳波,피질뇌파도피질전도,elektrokortikogram,electrocorticograma,kortikogram,皮质脑电图
891-04-21,electrocorticograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-21,راسم كهربائي للقشرة الدماغية,"Elektrokortikograph, m",electrocorticograph,"électrocorticographe, m",elettrocorticografo,皮質脳波計,피질뇌파계,elektrokortikograf.,electrocorticógrafo,kortikograf,皮质脑电图仪
