term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,mn,pl,pt,sr,sv,zh
212-11-63,"water adsorption, <of insulating material>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-63,,"adsorpce vody, <na izolačním materiálu>","Wasseradsorption, <an Isolierstoff> f","water adsorption, <of insulating material>",,"adsorption d’eau, <du matériau isolant> f",,"水分吸着, <絶縁物質の>","물 흡수, <절연 재료>","нимгэн усан бүрхүүл, <тусгаарлагч материалын>","adsorpcja wody, f","adsorção de água, <de material isolante>","адсорпција воде, <изолационог материјала> ж јд",,"吸水性, <绝缘材料的>"
212-12-01,conditioning,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-01,تهيئة,expozicekondicionování,"Konditionierung, f",conditioning,acondicionamiento,"conditionnement, m",,コンディショニング,조건 처리,нөхцөлдүүлэлт,kondycjonowanie,condicionamento,"кондиционирање, с јд",konditionering,条件处理
212-12-02,preconditioning,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-02,تهيئة مسبقة,aklimatizace před zkouškou,"Vorbehandlung, f",preconditioning,preacondicionamiento,"préconditionnement, m",,プレコンディショニング,사전 조건 처리,урьдчилсан нөхцөлдүүлэлт,kondycjonowanie wstępne,precondicionamento,"прекондиционирање, с јд",förkonditionering,预处理
212-12-05,factor of influence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-05,عامل التأثير,ovlivňující faktor,"Einflussfaktor, m",factor of influence,factor de influencia,"facteur d’influence, m",,影響率,영향 인자,нөлөөлөх хүчин зүйл,czynnik narażający (izolację),factor de influência,"фактор утицаја, м јд",påverkande faktor,影响因子
212-12-06,ageing stress,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-06,إجهاد التقادم,namáhání vyvolávající stárnutí,"Alterungsbeanspruchung, f",ageing stress,solicitación de envejecimiento,"contrainte de vieillissement, f",,劣化ストレス,노화 응력,насжилтын механик хүчдэл,narażenia wywołujące starzenie (izolacji),esforço de envelhecimento,"старење услед напрезања, с јд",åldringspåkänning,老化应力
212-12-07,ageing factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-07,عامل التقادم,faktor stárnutí,"Alterungsfaktor, m",ageing factor,factor de envejecimiento,"facteur de vieillissement, m",,劣化率要因,노화 인자,насжилтын хүчин зүйл,czynnik wywołujący starzenie (izolacji),factor de envelhecimento,"фактор старења, м јд",åldringsfaktor,老化因子
212-12-08,endurance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-08,تحمل,trvanlivostodolnost,"Beständigkeit, f",endurance,endurancia,"endurance, f",,耐久性,내구성,тэсвэрлэх чадвар,odporność na starzenietrwałośćwytrzymałość (termin niezalecany),endurância,"издржљивост, ж јд",åldringsbeständighet,耐久性
212-12-09,thermal endurance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-09,تحمل حراري,tepelná odolnost,"thermische Beständigkeit, f",thermal endurance,endurancia térmica,"endurance thermique, f",,熱耐久性,열 내구성열적 내력,дулаан тэсвэрлэх чадвар,trwałość cieplnaodporność cieplnawytrzymałość cieplna (termin niezalecany),endurância térmica,"термичка издржљивост, ж јд",termisk åldringsbeständighet,热耐久性长期耐热性
212-12-10,thermal endurance graph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-10,مخطط التحمل الحراري,diagram tepelné odolnostiArrheniův diagram (pro tepelnou odolnost),"thermisches Beständigkeitsdiagramm, nArrhenius-Diagramm (für die thermische Beständigkeit), n",thermal endurance graphArrhenius graph (for thermal endurance),gráfica de endurancia térmica; gráfica de Arrhenius (para la endurancia térmica),"graphique d’endurance thermique, mgraphique d’Arrhenius (pour l’endurance thermique), m",,耐熱性グラフアレニウス・グラフ,내열 그래프,"дулаан тэсвэрлэх чадварын графикАррениусын график, <дулаан тэсвэрлэх чадварт зориулсан>",wykres trwałości cieplnej,gráfico de endurância térmicagráfico de Arrhenius (para endurância térmica),"графикон термичке издржљивости, м јдАренијусов графикон, <за термичку издржљивост> м јд",termisk åldringsdiagram,"耐热图阿伦尼乌斯图, <热耐久性的>"
212-12-11,temperature index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-11,TI إختصارمؤشر درجة الحرارة ،,teplotní indexTI,"Temperaturindex, mTI, Abkürzung",temperature indexTI (abbreviation),índice de temperatura; IT (abreviatura),"indice de température, mIT (abréviation) m",,耐熱温度指数耐熱指数,온도 지수,температурын индексTИ,wskaźnik temperaturowyTI (akronim),índice de temperatura,"температурни индекс, м јдTI",temperaturindex,温度指数
212-12-12,relative temperature index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-12,RTI إختصارمؤشر درجة الحرارة النسبي,relativní teplotní indexRTI,"relativer Temperaturindex, mRTI, Abkürzung",relative temperature indexRTI (abbreviation),índice relativo de temperatura; IRT (abreviatura),"indice relatif de température, mIRT (abréviation) m",,相対耐熱温度指数相対耐熱指数,상대 온도 지수,температурын харьцангуй индексТХИ,wskaźnik temperaturowy względnyRTI (akronim),índice relativo de temperatura,"релативни температурни индекс, м јдRTI",relativt temperaturindex,相对温度指数
212-12-13,halving interval,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-13,HIC إختصارفاصل التصنيف,půlicí intervalHIC,"Halbierungsintervall, mHIC, Abkürzung",halving intervalHIC (abbreviation),intervalo de división por dos,"intervalle de division par deux, mIDC (abréviation) m",,半減間隔,반감 간격HIC,тэнцүү хуваах интервалТэХИ,przedział temperaturowy połówkowyHIC(akronim),intervalo de divisão por dois,"полуинтервал, м јдHIC",halveringsintervall,半差
212-12-14,relative thermal endurance index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-14,الدليل النسبيِ للتحمّلِ الحراريِ,relativní index tepelné odolnosti,"relativer thermischer Beständigkeitsindex, m",relative thermal endurance index,índice de endurancia térmica relativa,"indice d’endurance thermique relatif, m",,相対耐熱性指数,상대 내열 지수,дулаан тэсвэрлэх чадварын харьцангуй индекс,wskaźnik trwałości cieplnej względny,índice de endurância térmica relativo,"релативни индекс термичке издржљивости, м јд",relativt termiskt hållfasthetsindex,相对耐热指数
212-12-15,assessed thermal endurance index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-15,ATE إختصارالدليل المُقَيَّمِ للتحمّلِ الحراريِ,stanovený index tepelné odolnostiATE,"festgelegter thermischer Beständigkeitsindex, mATE, Abkürzung",assessed thermal endurance indexATE (abbreviation),índice de endurancia térmica evaluada,"indice d’endurance thermique évalué, m",,耐熱性指数,평가 내열 지수ATE,үнэлэгдсэн дулаан тэсвэрлэх чадварын индексҮДТЧ,wskaźnik trwałości cieplnej oszacowanyATE (akronim),índice de endurância térmica avaliado,"процењени индекс термичке издржљивости, м јдАТЕ",fastställt termiskt hållfasthetsindex,评定耐热指数ATE
212-12-16,end-point line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-16,نقطة نهاية الخط,čára koncového bodu,"Grenzwertlinie, f",end-point line,línea de punto límite,"ligne de point limite, f",,終点線,끝점 선,эцсийн цэгийн шугам,linia wartości granicznej,linha de ponto limite,"гранична линија, ж јд",ändpunktslinje,终点线
212-12-17,end-point criterion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-17,معيار نقطة النهاية,kritérium koncového bodu,"Grenzwertkriterium, n",end-point criterion,criterio de punto límite,"critère de point limite, m",,終点基準,끝점 기준,эцсийн цэгийн шалгуур,kryterium żywotności (izolacji)kryterium trwałości (izolacji)kryterium końca życia (termin przestarzały),critério de ponto limite,"критеријум граничне тачке, м јд",ändpunktskriterium,终点判据
212-12-18,intended life (of an electric insulation system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-18,العمر الإفتراضى (لنظامِ عزلِ كهربائيِ,předpokládaná životnost (elektroizolačního systému),"beabsichtigte Lebensdauer (eines elektrischen Isoliersystems), f",intended life (of an electric insulation system),vida prevista (de un sistema de aislamiento eléctrico),"vie prévue (d’un système d’isolation électrique), f",,絶縁寿命,"예정 수명, <전기 절연 계통>","онолын ашиглах хугацаа, <цахилгаан тусгаарлагын системийн>",żywotność przewidywana (układu elektroizolacyjnego)trwałość przewidywana (układu elektroizolacyjnego),vida prevista (de um sistema de isolação eléctrica),"очекивани животни век, <електричног изолационог система> м јд",tilltänkt livstid (för ett elektriskt isolersystem),"预期寿命, <电气绝缘系统的>"
212-12-19,estimated life (of an electric insulation system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-19,العمر المقدر (لنظامِ عزلِ كهربائيِ),odhadnutá životnost (elektroizolačního systému),"geschätzte Lebensdauer (eines elektrischen Isoliersystems), f",estimated life (of an electric insulation system),vida estimada (de un sistema de aislamiento eléctrico),"vie estimée (d’un système d’isolation électrique), f",,絶縁予測寿命,"추정 수명, <전기 절연 계통>예측 수명, <전기 절연 계통>","тооцоолсон ашиглах хугацаа, <цахилгаан тусгаарлагын системийн>",żywotność oszacowana (układu elektroizolacyjnego)trwałość oszacowana (układu elektroizolacyjnego),vida estimada (de um sistema de isolação eléctrica),"процењени животни век, <електричног изолационог система> м јд",förväntad livstid (för ett elektriskt isolersystem),"估计寿命, <电气绝缘系统的>"
212-12-20,softening temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-20,درجة حرارة التليين,teplota měknutí,"Erweichungstemperatur, f",softening temperature,punto de reblandecimiento,"point de ramollissement, m",,軟化温度,연화 온도,зөөлрөлтийн температур,temperatura mięknienia,temperatura de amolecimento,"температура омекшавања, ж јд",mjukningstemperatur,软化温度
212-12-21,wettability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-21,قابلية البلل,smáčitelnost,"Benetzbarkeit, f",wettability,mojabilidad,"mouillabilité, f",,湿潤性,습윤성,норомтгой чанар,zwilżalność,molhabilidade,"квашљивост, ж јд",vätbarhet,浸润性
212-12-22,liquid absorption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-22,امتصاص سائل,nasákavost kapalinou,"Flüssigkeitsabsorptionsmenge, f",liquid absorption,absorción de líquido,"absorption de liquide, f",,液体吸収,액체 흡수,шингэн шингээлт,absorpcja cieczy,absorção de líquido,"апсорпција течности, ж јд",vätskeabsorption,吸液性
212-12-23,water penetration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-23,اختراق المياه,propustnost vody,"Wasserpenetrationsrate, f",water penetration,penetración de agua,"pénétration d’eau, f",,透水,수분 침투,ус нэвтрэх чанар,przenikanie wody,penetração de água,"продирање воде, с јд",vattengenomsläpplighet,透水性
212-12-24,moisture absorption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-24,امتصاص الرطوبة,absorbce vlhkostipohlcování vlhkosti,"Feuchtigkeitsabsorption, f",moisture absorption,absorción de humedad,"absorption d’humidité, f",,吸湿,습기 흡수,чийг шингээлт,absorpcja wilgoci,absorção de humidade,"апсорпција влаге, ж јд",fuktabsorption,吸潮性
212-12-25,gas absorption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-25,إمتصاص الغاز,absorpce plynuadsorpce plynu,"Gasabsorption, f",gas absorption,absorción de gas,"absorption de gaz, f",,ガス吸収,기체 흡수,хий шингээлт,absorpcja gazu,absorção de gás,"апсорпција гаса, ж јд",gasupptagning,吸气性
212-12-26,delamination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-26,فصل الى طبقات رقيقة,delaminace,"Delaminierung, f",delamination,desestratificación,"déstratification, f",,層間剥離,층간 들뜸,үелэн салах,rozwarstwienie,delaminação,"раслојавање, с јд",delaminering,分层
212-12-27,breaking length (of paper),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-27,طول القطع,tržná délka (papíru),"Reißlänge (von Papier), f",breaking length (of paper),longitud de ruptura (de un papel),"longueur de rupture (d’un papier), f",,裂断長,"절단 길이, <종이>","тасрах урт, <цаасны>",miara samozrywalności (papieru),comprimento de rotura (de papel),"прекидна дужина, <папира> ж јд",slitlängd,"裂断长, <纸的>"
212-12-28,glass transition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-28,الإنتقال خلال الزجاج,skelný přechod,"Glasübergang, m",glass transition,transición vítrea,"transition vitreuse, f",,ガラス転移,유리 전이,шилний кристаллжилт,zeszklenie,transição vítrea,"омекшавање, с јдстакласти прелаз, м јд",glasövergång,玻璃化转变
212-12-29,glass transition temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-29,درجة الحرارة نتيجة الإنتقالِ خلال الزجاج,teplota skelného přechodu,"Glasübergangstemperatur, f",glass transition temperature,temperatura de transición vítrea,"température de transition vitreuse, f",,ガラス転移温度,유리 전이 온도,шилний кристаллжилтын температур,temperatura zeszklenia,temperatura de transição vítrea,"температура стакластог прелаза, ж јдтемпература омекшавања, ж јд",glasomvandlings-temperatur (Tg),玻璃化转变温度
212-12-30,potentially destructive stress,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-30,إجهاد تدميري فعلى,potenciálně destruktivní namáhání,"potentiell zerstörende Belastung, f",potentially destructive stress,solicitación potencialmente destructiva,"contrainte potentiellement destructive, f",,潜在的破壊ストレス,잠재 파괴 응력,хөнөөлтэй байж болзошгүй механик хүчдэл,narażenie potencjalnie niszczące,esforço potencialmente destrutivo,"потенцијално разарајуће напрезање, с јд",potentiellt förstörande påkänning,潜在破坏应力
212-12-31,thermal class,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-31,تصنيف حراري,tepelná třída,"Wärmeklasse, f",thermal class,clase térmica,"classe thermique, f",,熱等級,열 등급,дулааны ангилал,klasa odporności cieplnejklasa odporności termicznej,classe térmica,"термичка класа, ж јд",temperaturklass,热等级
212-12-32,thermal stability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-32,إستقرار حراري,tepelná stabilita,"thermische Stabilität, f",thermal stability,estabilidad térmica,"stabilité thermique, f",stabilità termica,熱安定,열 안전성,дулааныг тэсвэрлэх чадвар,stabilność cieplna,estabilidade térmica,"термичка стабилност, ж јд",termisk stabilitet,热稳定性
212-12-33,diagnostic test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-33,إختبار تشخيصي,diagnostická zkouška,"diagnostische Prüfung, f",diagnostic test,ensayo de diagnóstico,"essais de diagnostic, m pl",,診断テスト,진단 시험,оношилгооны туршилт,badanie diagnostyczne,ensaio de diagnóstico,"дијагностичка испитивања, с мн",diagnostiskt prov,诊断试验
212-12-34,(mechanical) recycling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-34,إعادة تدوير (ميكانيكي),(mechanická) recyklace,"mechanisches Recycling, nRecycling, n",(mechanical) recycling,reciclado (mecánico),"recyclage (mécanique), m",,リサイクル,기계 재생활용,дахин ашиглалт,recykling mechanicznyrecykling,reciclagem (mecânica),"механичка рециклажа, ж јд",(mekaniskt) återvinning,机械再生利用再生利用
212-12-35,commingled waste plastics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-12-35,بلاستيك النفايةِ المَمْزُوجِ,smíšený odpadní plast,"vermischter Kunststoffabfall, m",commingled waste plastics,residuos plásticos mezclados,"déchets plastiques mélangés, m pl",,混合プラスチックごみ,혼합 폐 플라스틱,холимог хаягдал хуванцар,odpady mieszaniny tworzyw sztucznych,resíduos plásticos misturados,"мешовити пластични отпад, м јд",blandat plastavfall,混合废塑料
212-13-01,impregnating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-01,تشبع- غمر,impregnace,"Imprägnieren, n",impregnating,impregnación,"imprégnation, f",,含浸,함침,нэвчүүлэх,impregnacja,impregnação,"импрегнација, ж јд",impregnering,浸渍
212-13-02,casting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-02,سبك- صب,lití,"Gießen, n",casting,moldeado,"coulée, f",,注型,주조,цутгах,zalewanie,vazamento,"ливење, с јд",gjutning,浇铸
212-13-03,encapsulating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-03,تغليف- وضع في كبسولات,pouzdřenívytváření ochranné vrstvy,"Umgießen, n",encapsulating,encapsulado,"encapsulage, m",,封止,캡슐화,бүхэлд нь бүрхэх,pokrywanie uszczelniające,encapsulagem,"инкапсулација, ж јд",inkapsling,包封
212-13-04,embedding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-04,طمر,zalití (ve formě),"Einbetten, n",embedding,revestimiento,"enrobage, m",,埋め込み,끼워 넣기,хайрцаглах,zalewanie (w formie),embutimento,"заливање, с јд",inbäddning,埋封
212-13-05,potting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-05,إيعاء (وضع في وعاء حافظ),zalévání (do formy),"Eintopfen, n",potting,revestimiento con molde perdido,"empottage, m",,ポッテイング,밀봉 작업,тогоонд цутгах,zalewanie (w obudowie),envasilhagem,"стапање, с јд",ingjutning,灌注
212-13-06,fluidized bed coating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-06,طلاء في مسبح مميع,fluidní nanášení,"Wirbelsinterbeschichten, n",fluidized bed coating,revestimiento en baño fluido,"revêtement en bain fluidisé, m",,流動コーティング法,유동 상 피복,шингэрүүлсэн хатуу бодисоор бүрээс хийх,pokrycie przez fluidyzację,revestimento em banho fluidizado,"наношење превлаке у течном купатилу, с јд",virvelsintring,流化床涂敷
212-13-07,"cure, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-07,معالجة,vytvrzování,"härten, Verb","cure, verb",tratar; curar,"traiter, verbecuire, verbe",,"硬化する, 動詞","경화하다, 동사",бэхжүүлэх,utwardzać,curar,"очвршћавање, с јд",härda,固化，动词
212-13-08,curing temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-08,درجة حرارة المعالجة,teplota vytvrzování,"Härtungstemperatur, f",curing temperature,temperatura de tratamiento; temperatura de curado,"température de traitement, ftempérature de cuisson, f",,硬化温度,경화 온도,бэхжүүлэх температур,temperatura utwardzania,temperatura de cura,"температура очвршћавања, ж јд",härdningstemperatur,固化温度
212-13-09,curing time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-09,زمن المعالجة,doba vytvrzování,"Härtungszeit, f",curing time,tiempo de tratamiento; tiempo de curado,"temps de traitement, mtemps de cuisson, m",,硬化時間,경화 시간,бэхжүүлэх хугацаа,czas utwardzania,tempo de cura,"време очвршћавања, с јд",härdningstid,固化时间
212-13-10,cold curing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-10,تقسية بالتبريد,vytvrzování za studena,"Kalthärtung, f",cold curingcold setting,endurecimiento en frío,"durcissement à froid, m",,自然硬化,실온 경화실온 응결,халаахгүйгээр бэхжүүлэххалаахгүйгээр хатууруулах,utwardzanie na zimno,cura a frio,"хладно очвршћавање, с јд",kallhärdning,室温固化
212-13-11,"gel, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-11,هلامى القوام,gelovatětželatinovat,"gelieren, Verb","gel, verb",gelificar,"gélifier, verbe",,"ゲル化する, 動詞","겔화하다, 동사",гель болох,żelować,gelificar,"желирати, глагол",gela,"胶凝化, 动词"
212-13-12,gel point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-12,نقطة التحول إلى هلام,bod želatinacebod zvláčnění,"Gelierpunkt, m",gel point,punto de gelificación,"point de gélification, m",,ゲル点,겔 점,гель болох цэггель болох мөч,punkt żelowania,ponto de gelificação,"тачка желирања, ж јдтачка гела, ж јд",gelpunkt,凝胶点
212-13-13,gel time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-13,زمن التحول إلى هلام,doba želatinacedoba zvláčnění,"Gelierdauer, f",gel time,tiempo de gelificación,"temps de gélification, m",,ゲル化時間,겔화 시간,гель болох хугацаа,czas żelowania,tempo de gelificação,"време образовања гела, с јдвреме образовања желеа, с јд",geltid,凝胶时间
212-13-14,"cement, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-14,تثبيت بالاسمنت,lepit,"verkitten, Verb","cement, verb",cementar,"cimenter, verbe",,"セメントで固める, 動詞","접합시키다, 동사",цементлэх,spajać,cimentar,"цементирати, глагол",limma,"粘合, 动词"
212-13-15,shelf life,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-15,عمر التخزين,doba skladovatelnostiživotnost při skladování,"Lagerfähigkeit, fHaltbarkeit, f",shelf lifestorage life,tiempo máximo de almacenamiento,"durée limite de stockage, fdurée de vie en stock, f",,保管寿命,보관 수명저장 수명,хадгалалтын хугацаа,dopuszczalny czas składowania,duração limite de armazenamento,"рок трајања, м јдвреме складиштења, с јд",lagringstid,贮存期
212-13-16,pot life,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-16,عمر تشغيلي,doba zpracovatelnosti,"Topfzeit, fGebrauchsdauer, f",pot lifeworking life,tiempo máximo de utilización,"durée de vie en pot, fdurée limite d’emploi, f",,可使寿命,가용 수명작업 수명,боловсруулах шинж чанараа хадгалах хугацаа,czas podatności roboczej,duração de vida em recipiente,"трајност, ж јдрадни век, м јд",brukbarhetstid,适用期使用期
212-13-17,creping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-17,تجعيد,krepování,"Kreppen, n",creping,corrugado,"crêpage, m",,クレーピング,크레이프가공,нугалаа гаргах,krepowanie,crepagem,"креповање, с јд",kräppning,起绉
212-13-18,reclaiming,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-13-18,إِسْتِرْداد,regenerace,"Regenerierung, f",reclaiming,regeneración,"régénération, f",,再生,재생,дахин сэргээх,regeneracja,regeneração,"регенерација, ж јд",regenerering,再生
212-14-01,resin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-01,صمغ,pryskyřice,"Harz, n",resin,resina,"résine, f",,樹脂,수지,давирхай,żywica,resina,"смола, ж јд",harts,树脂
212-14-02,"plastic, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-02,بلاستيك,plast,"Kunststoff, m","plastic, noun","plástico, sustantivo","plastique, substantifmatière plastique",,"プラスチック, 名詞","플라스틱, 명사",хуванцар,tworzywo sztuczne,"plástico, substantivo","пластична маса, ж јд",plast,塑料
212-14-03,"thermoplastic, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-03,بلاستيك حراري,termoplast,"Thermoplast, m","thermoplastic, noun","termoplástico, sustantivo","thermoplastique, substantif",,"熱可塑性樹脂, 名詞",열소성 수지,дулаанд уярамтгай хуванцар,materiał termoplastyczny,"termoplástico, substantivo","термопластична маса, ж јдтермопласт, м јд",termoplast,热塑性塑料
212-14-04,"thermoset, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-04,تصلب حراري,teplem tvrditelný plastreaktoplast,"Duromer, ngehärteter Kunststoff, f","thermoset, noun","termoendurecido, sustantivo","thermodurci, substantif",,"熱硬化性樹脂, 名詞",열경화성 수지,дулаанаар хатуурсан хуванцар,materiał termoutwardzalny,termoendurecido,"термореактивна пластична маса, ж јддуропластична маса, ж јд",härdplast,热固塑料
212-14-05,elastomer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-05,لدنة مرنة,elastomer,"Elastomer, n",elastomer,elastómero,"élastomère, m",,エラストマー,탄성중합체,харимхай полимер,elastomer,elastómero,"еластомер, м јд",elast,弹性体
212-14-06,latex,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-06,لثى,latex,"Latex, m",latex,latex,"latex, m",,ラテックス,라텍스,латекс,lateks,latex,"латекс, м јд",latex,乳胶
212-14-07,plasticizer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-07,ملدن,změkčovadloplastifikátor,"Weichmacher, m",plasticizer,plastificante,"plastifiant, m",,可塑剤,가소제,зөөлрүүлэгч,plastyfikatorzmiękczacz,plastificante,"пластификатор, м јд",mjukningsmedel,增塑剂
212-14-08,filler (in a plastic),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-08,حشوة- مالئ,plnivo (v plastu),"Füllstoff (in einem Kunststoff), m",filler (in a plastic),carga (en un plástico),"charge, fmatière de charge (dans un plastique), f",,充填剤,"충전제, <플라스틱>","дүүргэгч, <хуванцрын>",wypełniacz (tworzywa sztucznego)napełniacz (tworzywa sztucznego),carga (num plástico),"пунилац, <у пластичној маси> м јд",fyllmedel,"填料, <塑料中的>"
212-14-09,accelerator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-09,مسرع,urychlovačkatalyzátor,"Beschleuniger, m",acceleratorpromoter,acelerador,"accélérateur, mpromoteur, m",,硬化促進剤,가속기,хурдасгуур,aktywatorprzyśpieszacz,acelerador,"поспешивач, м јдпромотер, м јд",accelerator,促进剂助催化剂
212-14-10,hardening agent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-10,وسيط تقسية- مقسي,tvrdidlotužidlo,"Härtungsmittel, nHärter, m",hardening agenthardener,endurecedor,"agent de durcissement, mdurcisseur, m",,硬化剤,경화제,хатууруулагч,utwardzacz,endurecedor,"очвршћавач, м јд",härdare,硬化剂
212-14-11,inhibitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-11,مانع,inhibitor,"Inhibitor, m",inhibitor,inhibidor,"inhibiteur, m",,抑制剤,억제재,химийн урвалыг удаашруулагч,inhibitor,inibidor,"инхибитор, м јд",inhibitor,抑制剂
212-14-12,stabilizer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-12,مثبت استقرار,stabilizátor,"Stabilisator, m",stabilizer,estabilizante,"stabilisant, m",,安定剤,안정제,химийн урвалыг тогтворжуулагч,stabilizator,estabilizador,"стабилизатор, м јд","stabiliseringsmedel, stabilisator",稳定剂
212-14-13,antistatic (agent),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-13,مضاد للسكون,antistatický přípravek,"Antistatikum, n",antistatic (agent),agente antiestático,"agent antistatique, m",,帯電防止剤,정전기 방지제,статик цэнэгийн эсрэг бодис,antystatyk,agente anti-estático,"антистатик, м јд",antistatmedel,抗静电剂
212-14-14,"gel, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-14,غراء (إسم),gel,"Gel, n","gel, noun",gel,"gel, m",,"ゲル, 名詞","겔, 명사",гель,żel,gel,"гел, м јджеле, м јд",gel,凝胶
212-14-15,degree of polymerization (of a polymer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-15,درجة البلمرة (لبوليمر),polymerační stupeňstupeň polymerace (polymeru),"Polymerisationsgrad (eines Polymers), m",degree of polymerization (of a polymer),grado de polimerización (de un polímero),"degré de polymérisation (d’un polymère), m",,"ポリマーの重合度重合度, （１）","중합도, <중합체>","полимержилтийн түвшин, <полимерийн>",stopień polimeryzacji,grau de polimerização (de um polímero),"степен полимеризације, <полимера> м јд",polymerisationsgrad,"聚合度, <聚合物的>"
212-14-16,degree of polymerization (of a cellulose molecule),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-14-16,درجة البلمرة ( لورق السللوز),polymerační stupeňstupeň polymerace (molekuly celulózy),"Polymerisationsgrad (eines Zellulosemoleküls), m",degree of polymerization (of a cellulose molecule),grado de polimerización ( de una molécula de celulosa),"degré de polymérisation (d’une molécule de cellulose), m",,"セルロースの紙重合度重合度, （２）","중합도, <셀룰로스 분자>","полимержилтийн түвшин, <целлюлоз молекулын>",stopień polimeryzacji celulozy,grau de polimerização (de uma molécula de celulose),"степен полимеризације, <за целулозне молекуле> м јд",polymerisationsgrad,"聚合度, <纤维素分子的>"
