term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,zh
351-45-23,impulse function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-23,دالة نبضية,impulzní funkce,"Impulsfunktion, f",impulse function,"impulso, m",impulssifunktio,"fonction impulsion, f",funzione impulsiva,インパルス関数,임펄스 함수,funkcja impulsowa,função impulso,脉冲函数
351-45-24,step function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-24,دالة خطوية,skoková funkce,"Sprungfunktion, f",step function,"escalón, m",askelfunktio,"fonction échelon, f",funzione a gradini,ステップ関数,계단 함수,funkcja skokowa,função degrau,阶跃函数
351-45-25,ramp function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-25,دالة انحداريةمنحدر الزمن,rampová funkcečasová rampa,"Anstiegsfunktion, f",ramp functiontime ramp,"rampa temporal, frampa, f",pengerfunktioramppifunktioaikaramppi,"fonction en rampe, frampe temporelle, f",funzione a rampa,ランプ関数,경사 함수램프 함수,funkcja narastająca liniowoliniowe narastanie w czasie,função em ramparampa temporal,斜坡函数时间斜坡
351-45-26,impulse response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-26,إستجابة نبضية,odezva impulzu,"Impulsantwort, f",impulse response,"respuesta impulsional, f",impulssivaste,"réponse impulsionnelle, f",risposta impulsiva,インパルス応答,임펄스 응답임펄스 감응,odpowiedź impulsowa,resposta impulsional,脉冲响应
351-45-27,step response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-27,إستجابة خطوية,skoková odezva,"Sprungantwort, f",step response,"respuesta a escalón, f",askelvaste,"réponse à un échelon, f",risposta al gradino,ステップ応答,스텝 응답계단 응답,odpowiedź skokowa,resposta a um degrau,阶跃响应
351-45-28,ramp response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-28,إستجابة إنحدارية,odezva rampy,"Anstiegsantwort, f",ramp response,"respuesta a rampa, f",ramppivastepengervaste,"réponse de rampe, f",risposta alla rampa,ランプ応答,경사 응답램프 응답,odpowiedź na sygnał narastający liniowo,resposta a uma rampa,斜坡响应
351-45-29,unit-impulse response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-29,إستجابة نبضة أحاديةدالة الوزن,odezva na jednotkový impulzváhová funkce,"Einheitsimpulsantwort, fGewichtsfunktion, f",unit-impulse responseweighting function,"respuesta a impulso unitario, frespuesta impulsional, f",yksikköimpulssivaste,"réponse impulsionnelle unité, ffonction de pondération, f",risposta ad impulso unitario,単位インパルス応答,단위임펄스 응답,odpowiedź impulsowaodpowiedź na impuls Diraca,resposta ao impulso unitário,单位脉冲响应加权函数
351-45-30,unit-step response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-30,إستجابة خطوة أحادية,odezva jednotkového skoku,"Einheitssprungantwort, fÜbergangsfunktion, f",unit-step response,"respuesta a escalón unitario, f",yksikköaskelvaste,"réponse unitaire à un échelon, f",risposta al gradino unitario,単位ステップ応答,단위계단 응답,odpowiedź na skok jednostkowy,resposta ao degrau unitário,单位阶跃响应
351-45-31,unit-ramp response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-31,إستجابة انحدار أحادى,odezva na jednotkovou rampu,"Einheitsanstiegsantwort, fbezogene Anstiegsantwort, f",unit-ramp response,"respuesta a rampa unitaria, f",yksikkörampin vasteyksikköpenkereen vaste,"réponse unitaire de la rampe, f",risposta alla rampa unitaria,単位ランプ応答,단위경사 응답단위램프 응답,odpowiedź na nachylenie jednostkowe,resposta a uma rampa unitária,单位斜坡响应
351-45-32,time constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-32,ثابت زمن,časová konstanta,"Zeitkonstante, fVerzögerungszeit, f",time constant,"constante de tiempo, f",aikavakio,"constante de temps, f",costante di tempo,時定数,시상수시정수,stała czasowa,constante de tempo,时间常数
351-45-33,impulse-function sequence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-33,تتابع دالة نبضية,sekvence impulzní funkce,"Impulsfolgefunktion, f",impulse-function sequence,"secuencia de impulsos, f",impulssifunktiojono,"séquence de fonctions impulsions, f",sequenza di funzione impulsiva,インパルス関数列,임펄스 함수 열,ciąg funkcji impulsowych,sequência de impulsos unitários,脉冲函数序列
351-45-34,equivalent dead time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-34,زمن عدم الاستجابة المكافئ,ekvivalentní mrtvá doba,"Verzugszeit, f",equivalent dead time,"retardo puro equivalente, m",ekvivalentti viivästysaika,"temps mort équivalent, m",tempo morto equivalente,等価遅れ時間,등가 불감 시간,czas opóźnienia równoważny,tempo morto equivalente,等效时滞
351-45-35,equivalent time constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-35,ثابت الزمن المكافئ,ekvivalentní časová konstanta,"Ausgleichszeit, f",equivalent time constant,"constante de tiempo equivalente, f",ekvivalentti aikavakio,"constante de temps équivalente, f",costante di tempo equivalente,等価時定数,등가 시상수등가 시정수,stała czasowa równoważna,constante de tempo equivalente,等效时间常数
351-45-36,step response time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-36,زمن إستجابة خطوية,doba skokové odezvy,"Anschwingzeit, f",step response time,"tiempo de subida, m",askelvasteaika,"temps de réponse à un échelon, m",tempo di risposta al gradino,ステップ応答時間,계단 응답 시간,czas odpowiedzi skokowej,tempo de resposta a um degrau,阶跃响应时间
351-45-37,settling time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-37,زمن استقرار,doba ustálení,"Einschwingzeit, f",settling time,"tiempo de establecimiento, m",asettumisaika,"durée d'établissement, f",durata di assestamento,整定時間,정착 시간세팅 타임,czas ustalania się,tempo de estabelecimento,建立时间
351-45-38,overshoot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-38,تجاوز,překmit,"Überschwingweite, f",overshoot,"sobreoscilación, f",ylitys,"taux de dépassement, m",sorpassamento,オーバーシュート,오버슈트초과량,przeregulowanie,sobre-elevação,超调量
351-45-39,transfer function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-39,دالة تحويل,přenosová funkce,"Übertragungsfunktion, f",transfer function,"función de transferencia, f",siirtofunktio,"fonction de transfert, f",funzione di trasferimento,伝達関数,전달 함수,transmitancja operatorowatransmitancjafunkcja przejścia,função de transferência,传递函数
351-45-40,Z-transfer function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-40,دالة تحويل Z,přenosová funkce Z,"Z-Übertragungsfunktion, f",Z-transfer function,"función de transferencia en Z, f",Z-siirtofunktio,"transmittance en Z, f",funzione di trasferimento Z,Ｚ変換関数,제트 전달 함수,transmitancja dyskretnafunkcja przejścia dyskretna,função de transferência em Z,Z-传递函数
351-45-41,frequency response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-41,إستجابة التردد,kmitočtová odezva,"Frequenzgang, m",frequency response,"respuesta en frecuencia, f",taajuusvaste,"réponse en fréquence, f",risposta in frequenza,周波数応答,주파수 응답,charakterystyka częstotliwościowaodpowiedź częstotliwościowa,resposta frequencial,频率响应
351-45-42,gain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-42,كسب,zisk,"Amplitudenverhältnis, n",gain,"ganancia, f",vahvistus,"gain, m",guadagno,利得ゲイン,이득게인,wzmocnienie,ganho,增益
351-45-43,logarithmic gain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-43,كسب لوغاريتمى,logaritmický zisk,"logarithmisches Amplitudenverhältnis, n",logarithmic gain,"ganancia logarítmica, f",logaritminen vahvistus,"gain logarithmique, m",guadagno logaritmico,対数利得対数ゲイン,로그 이득,wzmocnienie logarytmiczne,ganho logarítmico,对数增益
351-45-44,gain response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-44,استجابة كسب,odezva ziskuamplitudová charakteristika,"Amplitudengang, m",gain responseamplitude quotient responseamplitude response,"ganancia de la respuesta en frecuencia, frespuesta en amplitud, f",vahvistusvasteamplitudivaste,"réponse en gain, fréponse en amplitude, f",risposta in guadagnorisposta in ampiezza,利得応答ゲイン応答,이득 응답,charakterystyka częstotliwościowa amplitudowacharakterystyka amplitudowa,resposta em ganho,增益响应幅值响应
351-45-45,phase angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-45,زاوية وجه,fázová charakteristika,"Phasenwinkel, m",phase angle,"desfase, m",vaihekulma,"déphasage, m",angolo di fase,位相角,위상각,przesunięcie fazowe,ângulo de fase,相角
351-45-46,phase response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-46,إستجابة الوجه,fázová odezva,"Phasengang, m",phase response,"desfase de la respuesta en frecuencia, mrespuesta en fase, f",vaihevaste,"réponse en phase, f",risposta in fase,位相応答,위상 응답,charakterystyka częstotliwościowa fazowacharakterystyka fazowa,resposta em fase,相位响应
351-45-47,frequency response characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-47,خصائص إستجابة التردد,kmitočtová charakteristikaBodeho diagram,"Frequenzkennlinien, f, plBodediagramm, n",frequency response characteristicBode diagramBode chart,"diagrama de Bode, mtrazado de Bode, m",taajuusvastekuvaajaBoden kaavio,"courbes de réponse en fréquence, f pldiagramme de Bode, m",curve di risposta in frequenzadiagramma di bode,周波数応答特性,주파수 응답 특성,charakterystyka częstotliwościowa logarytmicznawykres Bodego,características da resposta frequencial,频率响应特性图伯德图
351-45-48,corner angular frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-48,تردد زاوى ركنى,rohový úhlový kmitočet,"Eckkreisfrequenz, f",corner angular frequency,"frecuencia de rompimiento, f",kulmapistetaajuus,"fréquence pulsation de cassure, f",frequenza angolare,折点角周波数折点周波数,코너 각 주파수,pulsacja graniczna,frequência angular de canto,转折频率
351-45-49,frequency response locus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-49,المحل الهندسى لاستجابة التردد,Nyquistův diagram,"Nyquistortskurve, fOrtskurve des Frequenzgangs, f",frequency response locusNyquist plot,"trazado polar de la respuesta en frecuencia, m",napakoordinaattikuvaajaNyquistin kaavio,"lieu de la réponse en fréquence, mdiagramme de Nyquist, m",luogo della risposta in frequenzadiagramma di Nyquist,周波数応答軌跡,주파수 응답 궤적,charakterystyka amplitudowo-fazowawykres Nyquista,lugar da resposta frequencialdiagrama de Nyquist,频率响应轨迹图奈奎斯特图
351-45-50,describing function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-50,دالة وصفية,popisná funkce,"Beschreibungsfunktion, f",describing function,"función descriptiva, f",kuvausfunktio,"fonction descriptive, f",funzione descrittivatrasmittanza equivalente,記述関数,기술 함수,funkcja opisująca,função descritiva,描述函数
351-45-51,rational transfer element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-51,عنصر تحويل نسبى,racionální přenosový prvek,"rationales Übertragungsglied, n",rational transfer element,"elemento de transferencia racional, m",rationaalinen siirtoelementti,"élément de transfert rationnel, m",elemento di trasferimento razionale,有理伝達要素,유리형 전달 요소,człon funkcjonalny wymiernyelement funkcjonalny wymierny,elemento de transferência racional,有理传递元件
351-45-52,minimal-phase element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-52,عنصر ذو حد أدنى للطور,prvek s minimální fází,"Minimalphasenglied, n",minimal-phase element,"elemento de fase mínima, m",minimivaihe-elementti,"élément à déphasage minimal, m",elemento a sfasamento minimo,最小位相要素,최소 위상 요소,człon minimalnofazowyelement minimalnofazowy,elemento de fase mínima,最小相位元件
351-45-53,all-pass element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-53,عنصر إمرار كلى,prvek propouštějící všechny kmitočty,"Allpassglied, n",all-pass element,"elemento pasa-todo, m",kokopäästöelementti,"élément passe-tout, m",elemento passa-tutto,全位相要素,전통과 요소,człon wszechprzepustowyelement wszechprzepustowy,elemento passa-tudo,全通元件
351-45-54,controlled system with self-regulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-54,نظام متحكم فيه بضبط ذاتى,řízený systém se samoregulací,"Strecke mit Ausgleich, f",controlled system with self-regulation,"sistema controlado con autorregulación, m",itseohjautuva järjestelmä,"système commandé avec autorégulation, m",sistema controllato con autoregolazione,自己調整付き制御対象システム,자체 조정부 제어대상시스템,układ sterowany z samoregulacją,sistema controlado com autoregulação,自调节被控系统
351-45-55,controlled system without self-regulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-45-55,نظام متحكم فيه بدون ضبط ذاتى,řízený systém bez samoregulace,"Strecke ohne Ausgleich, f",controlled system without self-regulation,"sistema controlado sin autorregulación, m",itseohjautumaton järjestelmä,"système commandé sans autorégulation, m",sistema controllato senza autoregolazione,自己調整なし制御対象システム,무정위 제어 대상 시스템,układ sterowany bez samoregulacji,sistema controlado sem autorregulação,无自调节被控系统
351-46-01,control rise time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-01,زمن الصعود للتحكموقت الوصول لقيمة التحكم,doba náběhu řízení,"Anregelzeit, f",control rise time,"tiempo de subida de control, m",ohjauksen nousuaika,"temps de montée de commande, m",tempo di salita di controllo,制御立ち上がり時間,제어 상승 시간,"czas reakcji,",tempo de subida de controlo,控制上升时间
351-46-02,control settling time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-02,زمن الاستقرار للتحكموقت الوصول لقيمة إستقرار التحكم,doba ustálení řízení,"Ausregelzeit, f",control settling time,"tiempo de establecimiento de control, m",ohjauksen asettumisaika,"durée d'établissement de commande, f",durata di assestamento di controllo,制御整定時間,제어 설정 시간,czas regulacji,tempo de estabelecimento de controlo,控制建立时间
351-46-03,open-loop frequency response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-03,إستجابة التردد للدائرة المفتوحة,kmitočtová odezva otevřené smyčky,"Frequenzgang des aufgeschnittenen Regelkreises, m",open-loop frequency response,"respuesta en frecuencia en bucle abierto, f",avoimen silmukan taajuusvaste,"réponse en fréquence en boucle ouverte, f",risposta in frequenza in anello aperto,開ループ周波数応答,개루프 주파수 응답,charakterystyka częstotliwościowa pętli otwartej,resposta frequencial em anel aberto,开环频率响应
351-46-04,gain crossover angular frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-04,التردد الزاوى لمعامل كسب يساوى الواحد,zisk pro úhlový kmitočet přechodu,"Durchtrittskreisfrequenz, f",gain crossover angular frequency,"pulsación de cruce de ganancia, f",yksikkövahvistuksen kulmataajuus,"pulsation de convergence de gain, f",frequenza angolare critica per il guadagno,ゲインクロスオーバー角周波数利得クロスオーバー周波数,이득 절체 각주파수,"pulsacja przecięcia,",frequência (angular) de cruzamento de ganho,增益交越角频率
351-46-05,phase margin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-05,هامش الوجهالفرق بين الطور لدائرة مفتوحة ومعدل كسب التردد الزاوى,mezní hodnota fáze,"Phasenreserve, f",phase margin,"margen de fase, m",vaihevara,"marge de phase, f",margine di fase,位相余裕,위상 여유,zapas fazy,margem de fase,相位裕度
351-46-06,phase crossover angular frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-06,تردد زاوى متقاطع الوجهتردد مرحلة الإنتقال الزاوى,přechod fáze úhlového kmitočtu,"Phasenschnittkreisfrequenz, f",phase crossover angular frequency,"pulsación de cruce de fase, f",kriittinen taajuus,"pulsation critique, f",frequenza angolare critica per la fase,位相クロスオーバー角周波数位相クロスオーバー周波数,위상 절체 각주파수,"pulsacja antyfazy,",frequência (angular) de cruzamento de fase,相位交越角频率
351-46-07,gain margin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-07,هامش الكسبقيمة الفرق بين إستجابة الكسب للدائرة المفتوحة والتردد,mez zisku,"Amplitudenreserve, fBetragsreserve, f",gain margin,"margen de ganancia, m",vahvistusvara,"marge de gain, f",margine di guadagno,利得余裕ゲイン余裕,이득 여유,zapas wzmocnienia,margem de ganho,增益裕度
351-46-08,control factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-08,معامل التحكم,koeficient řízení,"Regelfaktor, m",control factor,"factor de control, m",säädön muutoskerroin,"facteur de commande, m",fattore di controllo,制御ファクタ,제어율,współczynnik regulacji,fator de controlo,控制因子
351-46-09,Nichols plot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-09,رسم نيكولاس,Nicholsův diagram,"Nicholsdiagramm, n",Nichols plot,"diagrama de Nichols, m",Nicholsin taajuusvastekuvaajakaavio,"diagramme de Nichols, m",diagramma di nichols,ニコラス線図,니콜스 선도,wykres Nicholsa,diagrama de Nichols,尼科尔斯图
351-46-10,root-locus plot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-10,"رسم مسار المحل الهندسي للجذور, فعلرسم المواقع الأصلية",diagram geometrického místa kořenů,"Wurzelortskurven, f, pl",root-locus plot,"lugar de las raíces, m",juuriurakuvaaja,"diagramme lieu des racines, m",grafico del luogo delle radici,根軌跡線図,근궤적 선도,wykres linii pierwiastkowej,diagrama de localização das raízes,根轨迹图
351-46-11,phase plane analysis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-11,تحليل مستوى الوجهتحليل مخطط الحالة,analýza ve fázové rovině,"Analyse in der Phasenebene, f",phase plane analysis,"análisis en el plano de fase, m",vaihetasoanalyysi,"analyse dans le plan de phase, f",analisi sul piano di fase,位相面解析,위상 평면 분석,analiza na płaszczyźnie fazowej,análise no plano de fase,相平面分析
351-46-12,reference-variable response of the control system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-12,متغير مرجعى لاستجابة نظام التحكممرجع إستجابة متغير بنظام النحكم,odezva referenční proměnné řídicího systému,"Führungsverhalten des Regelkreises, n",reference-variable response of the control system,"respuesta a la variable de referencia del sistema de control, f",ohjausjärjestelmän vaste vertailusuureeseen,"réponse à la variable de référence d'un système de commande, f",risposta alla variabile di riferimento di un sistema di controllo,制御システムの設定変数応答,제어시스템 기준변수 응답,odpowiedź układu regulacji na zmiany zmiennej zadającej,resposta à variável de referência do sistema de controlo,控制系统参比变量响应
351-46-13,disturbance response of the control system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-13,إستجابة نظام التحكم للتشويش,odezva na rušení systému řízení,"Störverhalten des Regelkreises, n",disturbance response of the control system,"respuesta a una perturbación del sistema de control, f",ohjausjärjestelmän vaste häiriösuureeseen,"réponse à une perturbation d'un système de commande, f",risposta a disturbi di un sistema di controllo,制御システムの外乱応答,제어시스템 외란 응답,odpowiedź układu regulacji na zakłócenie,resposta a uma perturbação do sistema de controlo,控制系统扰动响应
351-46-14,hunting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-46-14,تأرجحإضطراب,parazitní kmitání automatického řízení,"Pendelung in Regelungssystemen, fPendelung, f",hunting,"oscilación mantenida, f",huojunta,"pompage en commande automatique, mpompage, m",ricercapendolamento,ハンティング,난조헌팅,"kołysanie,",batimento (em controlo automático),猎振
351-47-01,closed-loop control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-01,دائرة التحكم المغلقةتحكم تغذية مرتدة,řízení v uzavřené smyčceřízení ve zpětné vazbě,"Regeln, nRegelung, f",closed-loop controlfeedback control,"control en bucle cerrado, mcontrol en lazo cerrado, mcontrol en cadena cerrada, mcontrol por realimentación, m",säätötakaisinkytketty ohjaus,"commande en boucle fermée, frégulation, f",controllo ad anello chiuso,閉ループ制御,폐루프 제어,sterowanie ze sprzężeniem zwrotnymsterowanie w układzie zamkniętymregulacja automatyczna,controlo em anel fechado,闭环控制反馈控制
351-47-02,open-loop control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-02,دائرة تحكم مفتوحة,řízení v otevřené smyčce,"Steuern, nSteuerung, f",open-loop control,"control en bucle abierto, mcontrol en lazo abierto, mcontrol en cadena abierta, m",avoin ohjaus,"commande en boucle ouverte, f",controllo ad anello aperto,開ループ制御,개루프 제어,sterowanie w układzie otwartym,controlo em anel aberto,开环控制
351-47-03,closed action path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-03,مسار فعل مغلق,uzavřená akční cesta,"geschlossener Wirkungsweg, m",closed action path,"camino de acción cerrado, m",suljettu vaikutustie,"chaîne d'action fermée, f",percorso d’azione chiuso,閉動作路,폐 동작 경로,tor oddziaływania w układzie zamkniętym,percurso de ação fechado,闭环作用通路
351-47-04,closed action,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-04,فعل مغلق,uzavřená akce,"geschlossener Wirkungsablauf, m",closed action,"acción cerrada, f",suljettu vaikutus,"action fermée, f",azione chiusa,閉動作,폐 동작,oddziaływanie w układzie zamkniętym,ação fechada,闭环作用
351-47-05,open action path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-05,مسار فعل مفتوح,otevřená akční cesta,"offener Wirkungsweg, m",open action path,"camino de acción abierto, m",avoin vaikutustie,"chaîne d'action ouverte, f",percorso d’azione aperto,開動作路,개 동작 경로,tor oddziaływania w układzie otwartym,percurso de ação aberto,开环作用通路
351-47-06,open action,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-06,فعل مفتوح,otevřená akce,"offener Wirkungsablauf, m",open action,"acción abierta, f",avoin vaikutus,"action ouverte, f",azione aperta,開動作,개 동작,oddziaływanie w układzie otwartym,ação aberta,开环作用
351-47-07,forward path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-07,مسار أمامي,dopředná cesta,"Vorwärtszweig, m",forward path,"cadena directa, f",myötähaara,"chaîne d'action, f",percorso d’azione,フォワード路,정방향 경로,tor oddziaływania główny,percurso de ação,正向通路
351-47-08,feedback path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-08,مسار تغذية مرتدة,zpětná cesta,"Rückführzweig, m",feedback path,"cadena de realimentación, f",takaisinkytkentätietakaisinkytkentähaara,"chaîne de réaction, f",percorso di reazione,フィードバック路,피드백 경로되먹임 경로,tor sprzężenia zwrotnego,percurso de retroação,反馈通路
351-47-09,disturbance feedforward control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-09,تشويش تحكم التغذية الأمامية,řízení s rušivou kladnou zpětnou vazbou,"Regelung mit Störgrößenaufschaltung, f",disturbance feedforward control,"control por prealimentación de una perturbación, m",myötäkytkettyyn häiriösuureeseen perustuva säätö,"régulation avec action anticipatrice de perturbation, f",controllo ad azione anticipatrice di disturbo,外乱フィードフォワード制御,외란 피드포워드 제어,regulacja z dodatkowym sprzężeniem zwrotnym od zakłóceń,controlo antecipativo de uma perturbação,扰动前馈控制
351-47-10,reference-variable feedforward control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-10,متغير مرجعى فى التغذية الأمامية,dopředné řízení referenční proměnné,"Regelung mit Führungsgrößenaufschaltung, f",reference-variable feedforward control,"control por prealimentación de la variable de referencia, m",myötäkytkettyyn vertailusuureeseen perustuva säätö,"régulation avec action anticipatrice de la variable de référence, f",controllo ad azione anticipatrice della variabile di riferimento,設定変数フィードフォワード制御,기준변수의 피드포워드 제어,"regulacja z dodatkowym sprzężeniem antycypacyjnymregulacja ze sprzężeniem ""w przód""",controlo antecipativo de uma variável de referência,参比变量前馈控制
351-47-11,control loop,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-11,تحكم حلقي,řídicí smyčka,"Regelkreis, m",control loop,"bucle de control, mlazo de control, m",säätöpiiri,"boucle d'asservissement, f",anello di controlloanello di regolazione,制御ループ,제어 루프,pętla regulacji,anel de controlo,控制回路
351-47-12,control chain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-12,سلسلة تحكم,řídicí řetězec,"Steuerkette, f",control chain,"cadena de control, f",ohjausketju,"chaîne de commande, f",catena di controllocatena di regolazione,制御チェイン,제어 사슬제어 체인,łańcuch sterowania,cadeia de controlo,控制链
351-47-13,continuous feedback control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-13,تحكم مستمر لتغذية مرتدة,souvislé zpětné řízení,"zeitkontinuierliche Regelung, f",continuous feedback control,"control realimentado continuo, m",jatkuva säätö,"commande continue, f",regolazione con retroazione continua,連続フィードバック制御連続制御,연속 피드백 제어연속 되먹임 제어,regulacja ciągła,controlo contínuo,连续反馈控制
351-47-14,multi-position control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-14,تحكم متعدد الأوضاع,vícepolohové řízení,"Mehrpunktregelung, f",multi-position control,"control multiposición, m",monitilainen säätö,"régulation multiposition, f",controllo multiposizioneregolazione multiposizione,多位置制御,다위치 제어,regulacja wielopozycyjna,controlo de múltiplas posições,多位控制
351-47-15,sampling control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-15,تحكم بناءا على العينات,řízení se vzorkováním,"Abtastregelung, f",sampling control,"control muestreado, m",näytejonosäätö,"régulation par échantillonnage, f",controllo per campionamentoregolazione per campionamento,サンプリング制御,표본 제어,regulacja z próbkowaniem,controlo por amostragem,采样控制
351-47-16,sampling period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-16,الفترة الزمنية بين أخذ عينتين متتاليتين,perioda vzorkování,"Abtastperiode, f",sampling period,"periodo de muestreo, m",näytteenottojakso,"période d'échantillonnage, f",periodo di campionamento,サンプリング周期,표본 주기,okres próbkowania,período de amostragem,采样周期
351-47-17,fixed set-point control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-17,التحكم في نقطة الضبط,řízení s pevně nastavenou hodnotou,"Festwertregelung, f",fixed set-point control,"control con referencia fija, m",vakioarvosäätö,"régulation de maintien, f",controllo a punto fissoregolazione a punto fisso,固定セットポイント制御,고정 설정점 제어,regulacja stałowartościowa,controlo de referência fixa,定值控制
351-47-18,time scheduled closed-loop control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-18,تحكم حلقي محدد الزمن,řízení uzavřené smyčky podle plánu,"Zeitplanregelung, f",time scheduled closed-loop control,"control realimentado con referencia variable en el tiempo, m",ajastettu säätö,"régulation fonction du temps, f",controllo ad anello chiuso programmato nel tempo,時間スケジュール閉ループ制御,시간 계획 폐루프 제어시간 스케줄 폐루프 제어,regulacja z harmonogramem czasowym,controlo em anel fechado em função do tempo,时间程序闭环控制
351-47-19,follow-up control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-19,متابعة التحكم,vlečné řízení,"Folgeregelung, f",follow-up control,"servo control, m",seurantasäätö,"régulation de correspondance, f",controllo di corrispondenza,フォローアップ制御,추적 제어사후 관리 제어,regulacja nadążna,controlo de seguimento,随动控制
351-47-20,programmed control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-20,تحكم مبرمج,programové řízení,"programmierte Steuerung, f",programmed control,"control por programa, m",ohjelmoitu säätö,"commande programmée, f",controllo programmato,プログラム制御,프로그램 제어,sterowanie programowane,controlo programado,程序控制
351-47-21,hardwired programmed logic control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-47-21,تحكم منطقي مبرمج,řízení pevně zadrátovanou logikou,"verbindungsprogrammierte Steuerung, f",hardwired programmed logic control,"control lógico de programa cableado, m",johdotettu logiikka,"automate programmé à logique câblée, m",controllo programmabile a logica cablata,結線プログラム論理制御,결선프로그램 논리제어,sterowanie o logice programowanej sprzętowosterowanie o logice programowanej układowo,controlo com programa cablado,硬连线程序逻辑控制
