term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,ru,sv,zh
651-25-07,lance earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-25-07,حربة تأريض,"Staberder, m",lance earthing,pica de puesta a tierra,"canne de mise à la terre, f",lancia di messa a terra,"接地棒, <関連エントリー: 651-25-05>",접지 랜스,"lanca uziemiająca, flanca, f",bengala de ligação à terra,штанга переносного заземления ШПЗ,jordningslans,接地枪
651-26-01,electrical installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-01,تركيبات كهربائية,"elektrische Anlage, f",electrical installation,instalación eléctrica,"installation électrique, f",impianto elettrico,電気設備,전기 설비,"instalacja elektryczna, f",instalação elétrica,электрическая установка,elektrisk anläggning,电气装备
651-26-02,operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-02,تشغيل,"Betrieb, m",operation,explotación,"exploitation, f",esercizio,操作,운전작동조작,"eksploatacja, f",exploração,оперативное обслуживание электроустановки,drift,操作
651-26-03,work location,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-03,منطقة عمل,"Arbeitsort, m",work location,zona de trabajo,"zone de travail, f",posto di lavoro,作業場所,작업 장소,"miejsce pracy, n",zona de trabalho,рабочее место,arbetsplats,作业位置
651-26-04,electrical work,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-04,عمل كهربائي,"elektrotechnische Arbeiten, f pl",electrical work,trabajo eléctrico,"travail électrique, m",lavoro elettrico,電気作業,전기 작업,"prace elektryczne, f pl",trabalho elétrico,работа в электроустановке,elarbeteelektriskt arbete,电气作业
651-26-05,electrical hazard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-05,مخاطر كهربائية,"elektrische Gefährdung, f",electrical hazard,peligro eléctrico,"phénomène électrique dangereux, m",sorgente di rischio elettrico,電気的ハザード,전기적 위험,"zagrożenie elektryczne, n",perigo elétrico,опасность поражения электрическим током,riskkälla,电气危险源
651-26-06,electrical risk,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-06,مخاطرة كهربائية,"elektrisches Risiko, n",electrical risk,riesgo eléctrico,"risque électrique, m",rischio elettrico,電気的リスク,전기 위험성,"ryzyko elektryczne, n",risco elétrico,риск поражения электрическим током,elektrisk risk,电气风险
651-26-07,electrical danger,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-07,خطر كهربائي,"elektrische Gefahr, f",electrical danger,riesgo eléctrico,"danger électrique, m",pericolo elettrico,電気的危険性,전기 위험,"niebezpieczeństwo elektryczne, n",perigo elétrico,риск поражения электрическим током,elektrisk fara,电气危险
651-26-08,electrical injury,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-08,ضرر كهربىإصابة كهربائية,"elektrisch bedingte Verletzung, f",electrical injury,"daño corporal, <eléctrico>","dommage corporel électrique, m","infortunio, <elettrico>",電気的傷害傷害,전기적 상해,"wypadek elektryczny, m","dano corporal, <elétrico>",электротравма,elskada,电气伤害
651-26-09,designated person in control of a work activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-09,الشخص المكلف لإدارة العمل,"Arbeitsverantwortlicher, m",designated person in control of a work activity,trabajador designado encargado de los trabajos,"personne désignée chargée des travaux, f",persona preposta ad un’attività lavorativa,作業監督者,시공관리자,"osoba odpowiedzialna za pracę, f",responsável de trabalhospessoa designada encarregada dos trabalhos,ответственный руководитель работ,elsäkerhetsledare,作业监护人
651-26-10,designated person in control of an electrical installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-10,الشخص المكلف لإدارة التركيبات الكهربائية,"Anlagenverantwortlicher, m",designated person in control of an electrical installation,trabajador designado encargado de una instalación eléctrica,"personne désignée chargée d'une installation électrique, f",persona preposta alla conduzione di un impianto elettrico,電気設備監督者,전기설비 관리자,"osoba nadzorująca urządzenia elektryczne, f",responsável de exploraçãopessoa designada encarregada de uma instalação elétrica,лицо из оперативного персонала,eldriftledare,电气装备监护人
651-26-11,"skilled person, <electricity>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-11,شخص ماهرشخص مؤهل,"Elektrofachkraft, f","skilled person, <electricity>qualified person, <electricity> US","trabajador cualificado, <eléctricamente>","personne qualifiée, <électricité> f","persona esperta, <in campo elettrico>",熟練者作業指導者電気取扱者,"숙련자, <전기>자격자, <전기>","osoba wykwalifikowana, f <do prac elektrycznych>","pessoa qualificada, <eletricamente>",опытный работникквалифицированный работник,fackkunnig person,熟练人员
651-26-12,"instructed person, <electricity>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-26-12,شخص مُوجهشخص مُدرب,"elektrotechnisch unterwiesene Person, f","instructed person, <electricity>trained person, <electricity> US","trabajador formado, <eléctricamente>","personne avertie, <électricité> f","persona avvertita, <in campo elettrico>",技能者作業者電気作業員,"교육받은 자, <전기>훈련받은 자, <전기>","osoba poinstruowana, f","pessoa instruída, <eletricamente>",обученный работник,instruerad person,受过培训的人员
651-27-01,arc flash,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-01,وميض القوس الكهربى,"Störlichtbogen, m",arc flash,arc flash,"arc flash, m",,アークフラッシュ,,"wyładowanie łukowe, n",,,farlig ljusbåge,弧闪
651-27-02,arc flash protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-02,الوقاية من القوس الكهربىالحماية من القوس الكهربى,"Störlichtbogenschutz, m",arc flash protection,"protección frente al arco eléctrico, f","protection arc flash, f",,アークフラッシュ保護,,"zabezpieczenie przed wyładowaniem łukowym, n",,,skydd mot farlig ljusbåge,弧闪防护
651-27-03,"arc protection class, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-03,"فئة الوقاية من القوس الكهربى, <في اختبار القوس الكهربي>فئة الحماية من القوس الكهربى","Lichtbogenschutzklasse, <bei Lichtbogenprüfungen> fAPC","arc protection class, <in electric arc testing>APC","clase de protección de arco, f","classe de protection à l’arc, <dans l’essai à l’arc électrique> fAPC, f",,アーク保護クラス,,"klasa ochrony przed łukiem elektrycznym, <w badaniu łukiem elektrycznym> f",,,"ljusbågsskyddsklass, <för ljusbågsprovning>APC","电弧防护等级, <在电弧测试中>APC"
651-27-04,"arc rating, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-04,"مقنن القوس الكهربى, <في اختبار القوس الكهربي>طاقة القوس الكهربى","Lichtbogenkennwert, <bei Lichtbogenprüfungen> m","arc rating, <in electric arc testing>","característica de arco, f","valeur assignée de l’arc, <dans l’essai à l’arc électrique> f",,アーク定格,,"poziom zabezpieczenia, <w badaniu łukiem elektrycznym> m",,,"ljusbågsskyddsvärde, <för ljusbågsprovning>","电弧能量水平, <在电弧测试中>"
651-27-05,"arc thermal performance value, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-05,"الاداء الحراري للقوس الكهربي, <في اختبار القوس الكهربي>","thermischer Lichtbogenschutzwert, <bei Lichtbogenprüfungen> mATPV","arc thermal performance value, <in electric arc testing>ATPV","valor del rendimiento térmico del arco, m","valeur de performance thermique à l’arc, <dans l’essai à l’arc électrique> fATPV, f",,アーク耐熱性能値,,"wskaźnik poziomu ochrony przed skutkami termicznymi, <w badaniu łukiem elektrycznym> m",,,"termiskt prestandavärde mot ljusbåge, <för ljusbågsprovning>APTV","电弧热性能值, <在电弧测试中>ATPV"
651-27-06,"arc thermal protection, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-06,"الحماية ضد التأثير الحرارى للقوس الكهربى, <في اختبار القوس الكهربي>الوقاية ضد التأثير الحرارى للقوس الكهربى","thermische Lichtbogenschutzwirkung, <bei Lichtbogenprüfungen> f","arc thermal protection, <in electric arc testing>","protección térmica contra el arco, f","protection thermique à l’arc, <dans l’essai à l’arc électrique> f",,アーク耐熱保護,,"zabezpieczenie przed termicznym działaniem łuku elektrycznego, <w badaniach skutków łuku elektrycznego> n",,,"termisk ljusbågsskyddsnivå, <för ljusbågsprovning>","电弧热防护, <在电弧测试中>"
651-27-07,"box test arc, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-07,"اختبار القوس الكهربى فى مكان مغلق, <في اختبار القوس الكهربي>","Boxtest-Lichtbogen, <bei Lichtbogenprüfungen> m","box test arc, <in electric arc testing>","arco de ensayo de la caja, m","arc d’essai à la boîte, <dans l’essai à l’arc électrique> m",,ボックス試験アーク,,"test w komorze probierczej, <w badaniu łukiem elektrycznym> mtest skrzynkowy, <w badaniu łukiem elektrycznym> m",,,"riktad ljusbåge, <för ljusbågsprovning>boxtestljusbåge","箱式测试电弧, <在电弧测试中>"
651-27-08,"open arc, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-08,"اختبار القوس الكهربى فى مكان مفتوح, <في اختبار القوس الكهربي>","offener Lichtbogen, <bei Lichtbogenprüfungen> m","open arc, <in electric arc testing>","arco abierto, m","arc ouvert, <dans l’essai à l’arc électrique> m",,オープンアーク,,"metoda łuku otwartego, <w badaniu łukiem elektrycznym> f",,,"öppen ljusbåge, <för ljusbågsprovning>","开放式电弧, <在电弧测试中>"
651-27-09,"breakopen, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-09,"تصدع المادة, <في اختبار القوس الكهربي>انهيار المادة","Aufbrechen, <bei Lichtbogenprüfungen> n","breakopen, <in electric arc testing>","rotura abierta, f","éventration, <dans l’essai à l’arc électrique> f",,破断開口,,"pęknięcie, <tkaniny poddanej próbie łuku elektrycznego> n",,,"öppet genombrott, <för ljusbågsprovning>","破裂, <在电弧测试中>"
651-27-10,"breakopen threshold energy, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-10,"حد طاقة تصدع المادة, <في اختبار القوس الكهربي>حد طاقة انهيارالمادة","Schwellenenergie zum Aufbrechen, <bei Lichtbogenprüfungen> fEBT","breakopen threshold energy, <in electric arc testing>EBT","energía umbral de rotura abierta, f","seuil d’énergie d’éventration, <dans l’essai à l’arc électrique> mEBT, m",,破断開口閾値エネルギー,,"energia progu pęknięcia, <w badaniu łukiem elekrycznym> fEBT",,,"tröskelenergi för öppet genombrott, <för ljusbågsprovning>EBT","破裂阈能, <在电弧测试中>EBT"
651-27-11,"incident energy, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-11,"الطاقة الساقطة على السطح, <في اختبار القوس الكهربي>","Einwirkenergie, <bei Lichtbogenprüfungen> f","incident energy, <in electric arc testing>","energía incidente, f","énergie incidente, <dans l'essai à l'arc électrique> f",,入射エネルギー,,"energia padająca, <na próbkę badaną łukiem elektrycznym> f",,,"termisk ljusbågsenergi, <för ljusbågsprovning>","入射能量, <在电弧测试中>"
651-27-12,"incident energy limit, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-12,"حد الطاقة الساقطة على السطح, <في اختبار القوس الكهربي>","Einwirkenergiegrenze, <bei Lichtbogenprüfungen> fELIM","incident energy limit, <in electric arc testing>ELIM","límite de energía incidente, m","énergie limite incidente, <dans l’essai à l’arc électrique> fELIM, f",,入射エネルギー限界,,"ograniczenie energii padającej, <w badaniu łukiem elektrycznym> n",,,"gränsvärde för termisk ljusbågsenergi, <för ljusbågsprovning>ELIM","入射能量极值, <在电弧测试中>ELIM"
651-27-13,"electric arc, <in live working>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-13,"قوس كهربى, <في العمل تحت الجهد>","Lichtbogen, <bei Arbeiten unter Spannung> melektrischer Lichtbogen, <bei Arbeiten unter Spannung> m","electric arc, <in live working>","arco eléctrico, m","arc électrique, <en travaux sous tension> m",,電気アーク,,"łuk elektryczny, <w pracy pod napięciem> m",,,"ljusbåge, <för arbete med spänning>","电弧, <在带电作业中>"
651-27-14,electric arc hazard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-14,قوس كهربي خطر,"Lichtbogengefährdung, f",electric arc hazard,"riesgo de arco eléctrico, m","phénomène dangereux d’arc électrique, m",,電気アークハザード,,"zagrożenie łukiem elektrycznym, n",,,ljusbågsfara,电弧危害
651-27-15,"ablation, <in electric arc testing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-15,"تصدع سطحي, <فى اختبار القوس الكهربي>شرخ","Ablation, <bei Lichtbogenprüfungen> f","ablation, <in electric arc testing>","ablación, f","ablation, <dans l’essai à l’arc électrique> f",,アブレーション焼灼,,"stopniowe niszczenie materiału, <w badaniu łukiem elektrycznym> n",,,"skiktavlossning, <för ljusbågsprovning>ablation","烧蚀, <在电弧测试中>"
651-27-16,garment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-16,ملابس,"Kleidungsstück, n",garment,"prenda, f","pièce d’habillement, f",,服装ガーメント,,"część odzieży, f",,,plagg,服装
651-27-17,garment assembly,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-17,تجميعة الملابس,"Kleidungskombination, fKleidung, f",garment assemblyassembly of garments,"conjunto de prendas, m","assemblage de pièces d’habillement, m",,服装一式ガーメント一式,,"zestaw odzieży, m",,,plaggkombination,服装的组装
651-27-18,hand protective device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-18,قفاز واقيقفاز الحماية,"Handschutzausrüstung, f",hand protective device,"dispositivo de protección para manos, m","dispositif protecteur de la main, m",,手防具,,"środek ochrony rąk, m",,,handskydd,手防护用品
651-27-19,"hardware, <in protective equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-19,"مكون, <في معدات الحماية>","Beschlagteile, <bei Schutzausrüstungen> f","hardware, <in protective equipment>","accesorio, m","élément matériel, <dans l’équipement de protection> m",,ハードウェア,,"sprzęt, <w wyposażeniu ochronnym> m",,,"tillbehör, <inom skyddsutrustning>","五金件, <在防护器具中>"
651-27-20,"material, <in protective equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-20,"مادة, <في معدات الحماية>","Material, <bei Schutzausrüstungen> n","material, <in protective equipment>","material, m","matériau, <dans l’équipement de protection> m",,材料,,"materiał, <w wyposażeniu ochronnym> m",,,"material, <inom skyddsutrustning>","材料, <在防护器具中>"
651-27-21,protective clothing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-21,ملابس واقيةملابس الحماية,"Schutzkleidung, f",protective clothing,"ropa de protección, f","vêtement protecteur, m",,防護服,,"odzież ochronna, f",,,skyddskläder,防护服
651-27-22,protector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-22,واقى,"Schutzeinrichtung, f",protector,"protector, m","protecteur, m",,防具,,"ochraniacz, m",,,skyddsutrustning,防护物
651-27-23,Stoll curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-27-23,منحنى ستول,"Stoll-Kurve, f",Stoll curve,"curva de Stoll, f","courbe de Stoll, f",,ストール曲線,,"krzywa Stolli, f",,,Stollkurva,斯托尔曲线
